,Date,Open,High,Low,Close
5578,2021-12-31,78.0,79.0,77.77,78.55
5577,2021-12-30,78.08,78.66,77.78,78.0
5576,2021-12-29,78.2,78.64,77.771,77.94
5575,2021-12-28,77.45,78.6601,77.45,78.32
5574,2021-12-27,76.36,77.59,76.07,77.51
5573,2021-12-23,75.82,76.995,75.43,76.65
5572,2021-12-22,74.3,75.3,74.115,75.27
5571,2021-12-21,71.79,74.63,71.58,74.49
5570,2021-12-20,70.62,71.71,69.835,71.21
5569,2021-12-17,73.19,74.62,71.865,72.11
5568,2021-12-16,74.57,75.32,73.9,74.01
5567,2021-12-15,74.19,75.13,73.145,74.57
5566,2021-12-14,73.46,74.1,72.84,73.52
5565,2021-12-13,73.36,74.06,72.34,73.38
5564,2021-12-10,74.43,74.9,73.29,73.67
5563,2021-12-09,73.1,73.88,72.71,73.87
5562,2021-12-08,73.34,74.045,73.01,73.5
5561,2021-12-07,73.51,74.5,72.81,72.92
5560,2021-12-06,71.16,74.81,71.105,72.99
5559,2021-12-03,70.67,70.82,69.55,69.98
5558,2021-12-02,68.73,70.825,68.33,70.18
5557,2021-12-01,71.46,72.25,68.05,68.07
5556,2021-11-30,72.32,72.845,69.91,70.04
5555,2021-11-29,73.26,73.99,72.48,73.2
5554,2021-11-26,73.63,74.49,72.06,72.73
5553,2021-11-24,76.01,76.48,75.34,76.33
5552,2021-11-23,75.63,76.95,75.2,76.51
5551,2021-11-22,74.72,76.0532,74.19,75.37
5550,2021-11-19,74.58,74.78,73.005,74.17
5549,2021-11-18,75.7,76.02,74.26,74.93
5548,2021-11-17,76.12,76.94,75.33,75.66
5547,2021-11-16,76.47,76.54,75.32,76.53
5546,2021-11-15,76.6,77.3,76.01,76.43
5545,2021-11-12,77.64,78.0,76.19,76.21
5544,2021-11-11,78.4,79.13,77.17,77.57
5543,2021-11-10,79.3,79.7,77.27,78.55
5542,2021-11-09,79.63,81.78,77.79,79.6
5541,2021-11-08,81.5,81.79,79.84,80.41
5540,2021-11-05,78.75,81.495,78.75,81.31
5539,2021-11-04,77.58,78.74,77.425,77.71
5538,2021-11-03,77.39,78.4,77.2,77.38
5537,2021-11-02,78.61,78.61,77.44,77.61
5536,2021-11-01,77.21,79.13,77.11,78.37
5535,2021-10-29,76.33,77.2199,76.04,76.9
5534,2021-10-28,76.37,77.13,75.93,76.64
5533,2021-10-27,77.13,77.76,76.27,76.42
5532,2021-10-26,77.97,78.19,76.3,77.04
5531,2021-10-25,78.03,79.375,77.93,78.05
5530,2021-10-22,79.54,79.99,78.64,78.68
5529,2021-10-21,79.9,80.76,79.33,79.63
5528,2021-10-20,81.34,81.58,79.675,79.82
5527,2021-10-19,81.68,81.729,79.485,81.34
5526,2021-10-18,81.39,82.06,80.86,81.3
5525,2021-10-15,83.06,83.83,82.13,82.22
5524,2021-10-14,82.22,82.77,81.8888,82.23
5523,2021-10-13,82.7,82.84,80.43,81.84
5522,2021-10-12,82.67,83.84,82.09,83.06
5521,2021-10-11,83.15,83.75,82.27,82.86
5520,2021-10-08,82.85,83.74,82.195,83.35
5519,2021-10-07,81.62,82.915,81.31,82.87
5518,2021-10-06,80.3,81.52,79.49,81.11
5517,2021-10-05,81.65,81.6768,80.415,80.74
5516,2021-10-04,80.72,81.66,80.46,81.42
5515,2021-10-01,78.89,81.44,78.89,80.82
5514,2021-09-30,80.98,80.98,78.41,78.5
5513,2021-09-29,80.7,81.76,80.14,80.93
5512,2021-09-28,81.53,82.75,80.51,80.7
5511,2021-09-27,80.8,82.54,80.48,81.66
5510,2021-09-24,79.91,80.94,79.38,80.48
5509,2021-09-23,77.58,80.59,77.55,79.79
5508,2021-09-22,77.14,77.84,76.75,77.7
5507,2021-09-21,76.28,77.01,75.8,76.47
5506,2021-09-20,74.95,76.55,74.52,76.14
5505,2021-09-17,76.42,76.88,75.405,76.09
5504,2021-09-16,76.35,77.19,76.14,76.76
5503,2021-09-15,75.56,76.4,75.24,76.27
5502,2021-09-14,77.24,77.26,75.26,75.78
5501,2021-09-13,76.98,77.35,76.44,76.87
5500,2021-09-10,78.31,78.43,76.53,76.56
5499,2021-09-09,76.08,78.25,75.7,77.97
5498,2021-09-08,77.2,77.5,75.99,76.41
5497,2021-09-07,77.01,77.43,76.29,77.14
5496,2021-09-03,78.12,78.18,77.24,77.35
5495,2021-09-02,79.09,79.6,77.99,78.36
5494,2021-09-01,79.8,79.895,78.7,78.99
5493,2021-08-31,79.37,79.8,78.77,79.65
5492,2021-08-30,80.29,80.44,78.61,78.99
5491,2021-08-27,79.34,80.74,78.995,80.25
5490,2021-08-26,79.16,79.31,78.47,79.02
5489,2021-08-25,78.3,79.42,78.13,79.15
5488,2021-08-24,77.72,78.59,77.3817,78.45
5487,2021-08-23,77.14,77.92,76.25,77.56
5486,2021-08-20,75.42,77.06,74.73,76.79
5485,2021-08-19,76.17,77.1399,74.31,75.55
5484,2021-08-18,78.27,78.57,76.83,76.94
5483,2021-08-17,78.87,79.64,78.54,78.67
5482,2021-08-16,79.1,79.68,78.6091,79.33
5481,2021-08-13,78.91,79.77,78.45,79.44
5480,2021-08-12,77.99,78.9,77.7,78.78
5479,2021-08-11,78.7,78.73,77.61,78.16
5478,2021-08-10,77.0,78.7,75.23,78.24
5477,2021-08-09,75.01,75.17,73.2801,73.45
5476,2021-08-06,74.16,74.56,73.55,73.92
5475,2021-08-05,72.26,73.55,72.08,73.52
5474,2021-08-04,71.88,72.285,71.29,71.75
5473,2021-08-03,73.36,73.45,71.55,72.56
5472,2021-08-02,74.62,75.66,73.15,73.18
5471,2021-07-30,74.67,75.63,73.97,74.2
5470,2021-07-29,74.6,75.9981,74.3801,75.08
5469,2021-07-28,74.02,74.49,72.87,73.65
5468,2021-07-27,72.91,73.91,72.59,73.59
5467,2021-07-26,72.47,73.62,72.47,73.32
5466,2021-07-23,72.27,73.16,71.93,72.87
5465,2021-07-22,73.14,73.14,71.8,71.96
5464,2021-07-21,73.35,74.36,73.18,73.27
5463,2021-07-20,70.71,73.16,70.615,72.67
5462,2021-07-19,70.24,70.62,68.9,70.47
5461,2021-07-16,73.29,73.29,71.35,71.58
5460,2021-07-15,72.71,73.28,72.05,72.59
5459,2021-07-14,73.5,74.44,73.16,73.22
5458,2021-07-13,74.89,74.91,73.09,73.31
5457,2021-07-12,75.26,75.72,74.9,75.23
5456,2021-07-09,75.28,76.52,74.83,76.14
5455,2021-07-08,74.24,74.76,73.51,74.29
5454,2021-07-07,75.37,75.66,74.27,74.85
5453,2021-07-06,76.35,76.7,75.3,75.34
5452,2021-07-02,76.89,77.04,76.49,76.59
5451,2021-07-01,77.57,77.89,76.5745,76.82
5450,2021-06-30,75.69,77.86,75.59,77.75
5449,2021-06-29,76.42,76.79,75.64,75.68
5448,2021-06-28,77.05,77.05,75.71,76.22
5447,2021-06-25,77.32,77.67,76.88,77.04
5446,2021-06-24,77.52,77.6599,76.99,77.23
5445,2021-06-23,77.18,77.865,76.9,77.27
5444,2021-06-22,77.15,77.73,75.97,77.13
5443,2021-06-21,75.4,77.39,75.08,77.36
5442,2021-06-18,75.03,75.45,74.2,74.71
5441,2021-06-17,77.77,77.84,75.7,76.04
5440,2021-06-16,79.11,79.27,77.41,77.44
5439,2021-06-15,79.62,79.84,79.11,79.22
5438,2021-06-14,80.11,80.31,78.8,79.4
5437,2021-06-11,79.2,79.95,78.87,79.87
5436,2021-06-10,79.39,79.6,78.39,78.93
5435,2021-06-09,80.52,80.565,79.37,79.46
5434,2021-06-08,79.77,80.52,79.67,80.31
5433,2021-06-07,79.86,80.19,79.06,79.83
