,Date,Open,High,Low,Close
2331,2021-12-31,43.38,44.1026,43.11,43.9977
2330,2021-12-30,43.06,43.8065,43.06,43.41
2329,2021-12-29,44.06,44.06,43.11,43.3
2328,2021-12-28,44.3,44.44,43.3,43.9
2327,2021-12-27,43.5,44.23,43.37,44.16
2326,2021-12-23,43.25,43.8,43.03,43.8
2325,2021-12-22,42.48,43.5884,41.7,43.12
2324,2021-12-21,41.42,43.775,41.42,42.87
2323,2021-12-20,41.58,41.58,40.91,41.14
2322,2021-12-17,41.79,42.31,41.58,42.22
2321,2021-12-16,42.0,43.2695,42.0,42.29
2320,2021-12-15,41.78,42.3,40.89,42.11
2319,2021-12-14,42.64,42.84,41.82,41.86
2318,2021-12-13,43.5,43.68,42.81,42.81
2317,2021-12-10,44.4,44.67,43.85,44.07
2316,2021-12-09,45.07,45.235,43.89,44.67
2315,2021-12-08,45.15,46.09,45.13,45.24
2314,2021-12-07,44.5,45.4,44.3238,44.76
2313,2021-12-06,43.83,44.44,43.38,43.88
2312,2021-12-03,44.92,44.92,43.4,43.4
2311,2021-12-02,43.77,44.84,43.75,44.5399
2310,2021-12-01,45.69,46.0129,43.61,43.713
2309,2021-11-30,47.22,47.22,44.98,45.02
2308,2021-11-29,48.05,48.05,47.3,47.31
2307,2021-11-26,48.7,49.47,47.5,47.59
2306,2021-11-24,49.06,50.0,48.85,49.41
2305,2021-11-23,49.18,49.39,48.9001,49.39
2304,2021-11-22,49.16,49.49,48.72,48.92
2303,2021-11-19,48.86,49.2427,48.79,49.02
2302,2021-11-18,49.88,49.88,49.05,49.25
2301,2021-11-17,49.97,50.23,49.97,50.0501
2300,2021-11-16,50.6,50.7,50.06,50.33
2299,2021-11-15,50.66,50.87,50.09,50.39
2298,2021-11-12,50.4,50.68,50.28,50.4
2297,2021-11-11,50.09,50.65,50.0108,50.5
2296,2021-11-10,49.71,50.15,49.71,49.98
2295,2021-11-09,49.94,50.49,49.4555,50.0335
2294,2021-11-08,49.42,49.91,49.42,49.72
2293,2021-11-05,48.95,49.69,48.95,49.3
2292,2021-11-04,49.44,49.57,48.6262,48.83
2291,2021-11-03,49.1,49.47,49.1,49.19
2290,2021-11-02,49.49,49.49,48.675,48.97
2289,2021-11-01,48.59,49.5,48.59,49.29
2288,2021-10-29,49.12,49.12,47.9,48.57
2287,2021-10-28,48.42,48.9702,48.33,48.96
2286,2021-10-27,47.78,49.4,47.78,48.42
2285,2021-10-26,48.78,49.13,48.22,48.34
2284,2021-10-25,48.8,48.93,48.53,48.7177
2283,2021-10-22,48.88,49.19,48.34,48.34
2282,2021-10-21,49.33,49.48,48.55,48.85
2281,2021-10-20,48.88,49.3,48.88,49.26
2280,2021-10-19,48.42,48.89,48.42,48.75
2279,2021-10-18,48.8,48.95,47.98,48.473
2278,2021-10-15,48.76,48.94,47.8803,48.61
2277,2021-10-14,48.31,48.9,48.31,48.9
2276,2021-10-13,47.8,48.25,47.6,48.15
2275,2021-10-12,47.61,48.0488,47.61,47.8
2274,2021-10-11,47.84,48.2,47.15,47.17
2273,2021-10-08,47.97,47.97,47.5053,47.53
2272,2021-10-07,47.86,47.9606,47.694,47.82
2271,2021-10-06,47.31,47.97,47.31,47.64
2270,2021-10-05,47.78,47.97,47.4993,47.55
2269,2021-10-04,47.19,47.73,47.19,47.65
2268,2021-10-01,47.48,47.6616,46.7615,46.92
2267,2021-09-30,46.98,47.85,46.96,47.07
2266,2021-09-29,46.5,47.29,46.0974,46.7
2265,2021-09-28,46.02,46.55,46.02,46.48
2264,2021-09-27,45.89,46.4136,45.89,46.014
2263,2021-09-24,45.31,45.99,45.31,45.545
2262,2021-09-23,45.58,45.98,45.11,45.91
2261,2021-09-22,44.8,45.67,44.8,45.3164
2260,2021-09-21,44.49,45.744,44.36,44.46
2259,2021-09-20,44.93,45.83,44.05,44.39
2258,2021-09-17,46.15,46.7,45.83,45.8715
2257,2021-09-16,47.15,47.15,46.01,46.01
2256,2021-09-15,48.28,48.36,47.3317,47.48
2255,2021-09-14,48.75,48.75,47.4719,48.1558
2254,2021-09-13,47.71,48.8392,47.68,48.62
2253,2021-09-10,47.6,48.052,47.45,47.45
2252,2021-09-09,47.27,47.85,47.0,47.32
2251,2021-09-08,47.43,47.9,47.1401,47.16
2250,2021-09-07,47.41,47.55,47.15,47.25
