,Date,Open,High,Low,Close
346,2021-12-31,24.55,24.63,24.5111,24.5111
345,2021-12-30,24.53,24.53,24.4516,24.4516
344,2021-12-29,24.41,24.4351,24.41,24.4351
343,2021-12-28,24.68,24.68,24.4901,24.555
342,2021-12-27,24.61,24.65,24.56,24.6099
341,2021-12-23,24.525,24.525,24.525,24.525
340,2021-12-22,24.5601,24.625,24.5601,24.625
339,2021-12-21,24.5496,24.5496,24.5496,24.5496
338,2021-12-20,24.61,24.61,24.61,24.61
337,2021-12-17,24.6771,24.6771,24.6771,24.6771
336,2021-12-16,24.5497,24.5497,24.5497,24.5497
335,2021-12-15,24.69,24.69,24.579,24.579
334,2021-12-14,24.6001,24.645,24.6001,24.645
333,2021-12-13,24.51,24.555,24.48,24.555
332,2021-12-10,24.375,24.375,24.35,24.35
331,2021-12-09,24.42,24.42,24.408,24.408
330,2021-12-08,24.3797,24.3797,24.3797,24.3797
329,2021-12-07,24.68,24.68,24.5117,24.5117
328,2021-12-06,24.72,24.72,24.6748,24.6748
327,2021-12-03,24.7902,24.7902,24.7902,24.7902
326,2021-12-02,24.7393,24.7393,24.7393,24.7393
325,2021-12-01,24.6631,24.6631,24.6631,24.6631
324,2021-11-30,24.6484,24.6484,24.6484,24.6484
323,2021-11-29,24.51,24.5206,24.51,24.5206
322,2021-11-26,24.5916,24.5916,24.5916,24.5916
321,2021-11-24,24.3069,24.3069,24.3069,24.3069
320,2021-11-23,24.1642,24.1642,24.1642,24.1642
319,2021-11-22,24.345,24.345,24.33,24.33
318,2021-11-19,24.462,24.462,24.462,24.462
317,2021-11-18,24.325,24.325,24.325,24.325
316,2021-11-17,24.2552,24.2552,24.2552,24.2552
315,2021-11-16,24.1652,24.1652,24.1652,24.1652
314,2021-11-15,24.31,24.31,24.1371,24.1371
313,2021-11-12,24.36,24.378,24.35,24.35
312,2021-11-11,24.4,24.4,24.4,24.4
311,2021-11-10,24.405,24.405,24.405,24.405
310,2021-11-09,24.46,24.53,24.39,24.53
309,2021-11-08,24.405,24.405,24.405,24.405
308,2021-11-05,24.42,24.42,24.42,24.42
307,2021-11-04,24.285,24.285,24.285,24.285
306,2021-11-03,24.33,24.33,24.25,24.2898
305,2021-11-02,24.3497,24.3497,24.3497,24.3497
304,2021-11-01,24.3239,24.3239,24.3239,24.3239
303,2021-10-29,24.376,24.376,24.376,24.376
302,2021-10-28,24.35,24.355,24.35,24.355
301,2021-10-27,24.395,24.395,24.395,24.395
300,2021-10-26,24.08,24.175,24.08,24.1091
299,2021-10-25,24.0055,24.0055,24.0055,24.0055
298,2021-10-22,24.0801,24.0801,24.0801,24.0801
297,2021-10-21,23.9647,23.9647,23.9647,23.9647
296,2021-10-20,23.9747,23.9747,23.9747,23.9747
295,2021-10-19,24.0,24.0499,24.0,24.005
294,2021-10-18,24.12,24.12,24.0469,24.0469
293,2021-10-15,24.135,24.135,24.135,24.135
292,2021-10-14,24.195,24.2133,24.195,24.2133
291,2021-10-13,23.96,24.25,23.96,24.145
290,2021-10-12,23.9298,23.9298,23.9298,23.9298
289,2021-10-11,23.8231,23.8231,23.8231,23.8231
288,2021-10-08,23.8532,23.8532,23.8532,23.8532
287,2021-10-07,23.8642,23.8642,23.8642,23.8642
286,2021-10-06,23.925,23.925,23.9,23.9152
285,2021-10-05,23.9148,23.9148,23.9148,23.9148
284,2021-10-04,23.96,23.97,23.94,23.945
283,2021-10-01,23.92,23.95,23.92,23.95
282,2021-09-30,23.93,23.9348,23.84,23.9348
281,2021-09-29,23.95,23.95,23.95,23.95
280,2021-09-28,24.07,24.07,23.84,23.905
279,2021-09-27,24.2203,24.2203,24.2203,24.2203
278,2021-09-24,24.22,24.22,24.155,24.155
277,2021-09-23,24.33,24.33,24.2,24.32
276,2021-09-22,24.4204,24.4204,24.4204,24.4204
275,2021-09-21,24.33,24.4,24.33,24.39
274,2021-09-20,24.42,24.42,24.42,24.42
273,2021-09-17,24.425,24.425,24.425,24.425
272,2021-09-16,24.42,24.42,24.42,24.42
271,2021-09-15,24.47,24.47,24.47,24.47
270,2021-09-14,24.4601,24.4601,24.4601,24.4601
269,2021-09-13,24.41,24.41,24.41,24.41
268,2021-09-10,24.45,24.45,24.36,24.405
267,2021-09-09,24.345,24.5,24.325,24.48
266,2021-09-08,24.27,24.36,24.25,24.335
265,2021-09-07,24.2,24.2,24.06,24.075
264,2021-09-03,24.317,24.317,24.317,24.317
263,2021-09-02,24.27,24.325,24.16,24.325
262,2021-09-01,24.21,24.235,24.21,24.235
261,2021-08-31,24.19,24.215,24.17,24.215
260,2021-08-30,24.27,24.2974,24.25,24.2974
259,2021-08-27,24.25,24.25,24.19,24.2118
258,2021-08-26,24.2804,24.2804,24.2804,24.2804
257,2021-08-25,24.2349,24.2349,24.2349,24.2349
256,2021-08-24,24.3001,24.3001,24.22,24.2649
255,2021-08-23,24.29,24.32,24.29,24.32
254,2021-08-20,24.3547,24.3547,24.3547,24.3547
253,2021-08-19,24.21,24.3452,24.21,24.3452
252,2021-08-18,24.22,24.22,24.18,24.215
251,2021-08-17,24.2048,24.2048,24.2048,24.2048
250,2021-08-16,24.21,24.23,24.21,24.23
249,2021-08-13,24.23,24.23,24.23,24.23
248,2021-08-12,24.02,24.1199,23.96,24.09
247,2021-08-11,23.9383,23.9383,23.9383,23.9383
246,2021-08-10,24.08,24.12,24.02,24.02
245,2021-08-09,24.0398,24.0398,24.0398,24.0398
244,2021-08-06,24.15,24.15,24.1035,24.1035
243,2021-08-05,24.2797,24.2797,24.2797,24.2797
242,2021-08-04,24.3,24.32,24.2,24.3139
241,2021-08-03,24.2501,24.2778,24.2501,24.2778
240,2021-08-02,24.1,24.2753,24.1,24.2753
239,2021-07-30,24.0889,24.0889,24.0889,24.0889
238,2021-07-29,24.1,24.1,24.055,24.06
237,2021-07-28,24.065,24.065,24.065,24.065
236,2021-07-27,23.99,24.07,23.99,24.07
235,2021-07-26,24.05,24.05,24.05,24.05
234,2021-07-23,24.09,24.09,24.09,24.09
233,2021-07-22,24.07,24.0802,24.05,24.0802
232,2021-07-21,24.06,24.06,23.9889,23.9889
231,2021-07-20,24.2,24.2,24.145,24.145
230,2021-07-19,24.06,24.175,24.06,24.175
229,2021-07-16,23.97,23.9968,23.93,23.9548
228,2021-07-15,24.02,24.06,24.02,24.0248
227,2021-07-14,23.92,23.963,23.92,23.963
226,2021-07-13,23.8401,23.8942,23.8401,23.8942
225,2021-07-12,23.9307,23.9307,23.9307,23.9307
224,2021-07-09,23.9788,23.9788,23.9788,23.9788
223,2021-07-08,24.12,24.12,24.1161,24.1161
222,2021-07-07,23.87,23.9643,23.8,23.9643
221,2021-07-06,23.66,23.815,23.66,23.815
220,2021-07-02,23.73,23.73,23.6669,23.6853
219,2021-07-01,23.76,23.76,23.61,23.675
218,2021-06-30,23.87,24.1,23.87,24.028
217,2021-06-29,23.87,23.8999,23.85,23.8508
216,2021-06-28,23.8597,23.8597,23.8597,23.8597
215,2021-06-25,23.653,23.653,23.653,23.653
214,2021-06-24,23.81,23.81,23.81,23.81
213,2021-06-23,23.8,23.8,23.8,23.8
212,2021-06-22,23.8,23.8,23.8,23.8
211,2021-06-21,23.89,23.89,23.746,23.746
210,2021-06-18,24.1822,24.1822,24.1822,24.1822
209,2021-06-17,23.565,23.7935,23.56,23.7935
208,2021-06-16,23.4634,23.4634,23.4634,23.4634
207,2021-06-15,23.495,23.495,23.495,23.495
206,2021-06-14,23.48,23.48,23.43,23.455
205,2021-06-11,23.705,23.705,23.705,23.705
204,2021-06-10,23.53,23.6654,23.53,23.6654
203,2021-06-09,23.575,23.575,23.575,23.575
202,2021-06-08,23.405,23.405,23.405,23.405
201,2021-06-07,23.295,23.295,23.295,23.295
200,2021-06-04,23.305,23.305,23.305,23.305
199,2021-06-03,23.033,23.033,23.033,23.033
198,2021-06-02,23.1358,23.1358,23.1358,23.1358
197,2021-06-01,23.0,23.0,22.88,22.9585
196,2021-05-28,23.1016,23.1016,23.1016,23.1016
195,2021-05-27,23.1062,23.1062,23.1062,23.1062
194,2021-05-26,23.2087,23.2087,23.2087,23.2087
193,2021-05-25,23.2312,23.2312,23.2312,23.2312
192,2021-05-24,23.0239,23.0239,23.0239,23.0239
191,2021-05-21,22.9544,22.9544,22.9544,22.9544
190,2021-05-20,22.8864,22.8864,22.8864,22.8864
189,2021-05-19,22.7331,22.7331,22.7331,22.7331
188,2021-05-18,22.699,22.699,22.699,22.699
187,2021-05-17,22.77,22.77,22.69,22.7279
186,2021-05-14,22.7966,22.7966,22.7966,22.7966
185,2021-05-13,22.6657,22.6657,22.6657,22.6657
184,2021-05-12,22.641,22.6619,22.56,22.6287
183,2021-05-11,22.73,22.743,22.73,22.743
182,2021-05-10,22.9912,22.9912,22.9912,22.9912
181,2021-05-07,23.1507,23.1507,23.1507,23.1507
180,2021-05-06,23.2384,23.2384,23.2384,23.2384
179,2021-05-05,23.14,23.143,23.0735,23.0735
178,2021-05-04,23.1,23.12,23.05,23.0968
177,2021-05-03,22.9999,23.04,22.9893,22.9893
176,2021-04-30,22.9862,22.9862,22.9862,22.9862
175,2021-04-29,22.85,22.905,22.78,22.905
174,2021-04-28,22.975,22.975,22.975,22.975
173,2021-04-27,23.17,23.17,23.0326,23.0326
172,2021-04-26,23.2098,23.2098,23.2098,23.2098
171,2021-04-23,23.25,23.25,23.2101,23.2101
170,2021-04-22,23.2,23.2,23.2,23.2
169,2021-04-21,23.0,23.035,23.0,23.035
168,2021-04-20,23.0789,23.0789,23.0789,23.0789
167,2021-04-19,23.0039,23.0039,23.0039,23.0039
166,2021-04-16,23.0639,23.0639,23.0639,23.0639
165,2021-04-15,23.05,23.27,23.05,23.2111
164,2021-04-14,22.97,22.99,22.97,22.976
