,Date,Open,High,Low,Close
388,2021-12-31,27.93,27.93,27.2897,27.2897
387,2021-12-30,27.29,27.36,27.17,27.24
386,2021-12-29,27.36,27.36,27.36,27.36
385,2021-12-28,27.54,27.55,27.47,27.55
384,2021-12-27,27.53,27.53,27.53,27.53
383,2021-12-23,27.35,27.54,27.35,27.4
382,2021-12-22,27.5,27.54,27.5,27.54
381,2021-12-21,27.5,27.5,27.5,27.5
380,2021-12-20,27.45,27.54,27.4,27.54
379,2021-12-17,27.45,27.45,27.45,27.45
378,2021-12-16,27.56,27.56,27.3,27.45
377,2021-12-15,27.16,27.34,27.16,27.18
376,2021-12-14,27.61,27.61,27.25,27.2717
375,2021-12-13,27.8,27.99,27.8,27.885
374,2021-12-10,27.75,27.99,27.6,27.99
373,2021-12-09,27.92,27.92,27.5186,27.5186
372,2021-12-08,27.74,27.9698,27.735,27.95
371,2021-12-07,27.75,27.75,27.52,27.69
370,2021-12-06,27.5,27.6,27.47,27.6
369,2021-12-03,27.97,27.97,27.75,27.75
368,2021-12-02,27.75,27.75,27.75,27.75
367,2021-12-01,27.295,27.7862,27.295,27.545
366,2021-11-30,27.72,27.8999,27.72,27.8999
365,2021-11-29,27.14,27.55,27.1101,27.55
364,2021-11-26,27.72,27.72,27.72,27.72
363,2021-11-24,27.7296,27.73,27.71,27.72
362,2021-11-23,27.75,27.75,27.75,27.75
361,2021-11-22,27.79,27.8301,27.75,27.75
360,2021-11-19,27.95,28.0,27.95,28.0
359,2021-11-18,27.9674,27.9674,27.9674,27.9674
358,2021-11-17,27.9674,27.9674,27.9674,27.9674
357,2021-11-16,27.9674,27.9674,27.9674,27.9674
356,2021-11-15,27.8,27.8,27.7203,27.7203
355,2021-11-12,27.98,27.98,27.98,27.98
354,2021-11-11,27.73,27.98,27.73,27.98
353,2021-11-10,27.8257,27.9193,27.8257,27.9193
352,2021-11-09,28.0,28.0,27.76,27.76
351,2021-11-08,27.81,27.97,27.69,27.7301
350,2021-11-05,27.824,27.9699,27.824,27.9699
349,2021-11-04,27.986,28.0,27.9,27.97
348,2021-11-03,27.85,27.85,27.85,27.85
347,2021-11-02,27.75,27.85,27.75,27.85
346,2021-11-01,28.0,28.0,28.0,28.0
345,2021-10-29,27.71,28.0,27.6901,27.84
344,2021-10-28,27.91,28.0,27.68,28.0
343,2021-10-27,27.86,28.0,27.86,28.0
342,2021-10-26,27.7,27.7,27.7,27.7
341,2021-10-25,27.81,27.81,27.61,27.61
340,2021-10-22,27.8,28.0,27.8,28.0
339,2021-10-21,28.0,28.0,28.0,28.0
338,2021-10-20,28.0,28.0,27.99,28.0
337,2021-10-19,27.9999,28.0,27.9999,28.0
336,2021-10-18,27.8794,27.8794,27.785,27.785
335,2021-10-15,27.95,27.9999,27.8838,27.8838
334,2021-10-14,27.7101,27.7101,27.7101,27.7101
333,2021-10-13,27.57,28.05,27.57,28.05
332,2021-10-12,27.73,27.73,27.73,27.73
331,2021-10-11,27.7,27.75,27.7,27.73
330,2021-10-08,27.81,28.05,27.81,27.95
329,2021-10-07,27.855,28.05,27.66,28.05
328,2021-10-06,27.85,27.85,27.85,27.85
327,2021-10-05,27.9,28.0,27.6,27.77
326,2021-10-04,27.65,28.04,27.65,28.04
325,2021-10-01,27.88,27.8987,27.55,27.73
324,2021-09-30,27.79,27.8957,27.6,27.8957
323,2021-09-29,27.5697,27.8,27.5697,27.77
322,2021-09-28,27.6396,27.6396,27.47,27.47
321,2021-09-27,27.61,27.68,27.58,27.68
320,2021-09-24,27.64,27.89,27.57,27.6989
319,2021-09-23,27.5675,27.96,27.55,27.6
318,2021-09-22,27.86,27.86,27.86,27.86
317,2021-09-21,27.75,27.98,27.54,27.86
316,2021-09-20,27.95,27.99,27.47,27.67
315,2021-09-17,28.0,28.0,27.7501,27.7501
314,2021-09-16,28.0,28.0,27.8431,27.9999
313,2021-09-15,27.678,27.99,27.65,27.99
312,2021-09-14,27.96,28.05,27.65,27.9
311,2021-09-13,28.2187,28.25,27.96,28.25
310,2021-09-10,28.43,28.43,27.94,28.048
309,2021-09-09,28.0468,28.0468,28.0468,28.0468
308,2021-09-08,27.925,28.29,27.925,28.1
307,2021-09-07,27.83,27.9999,27.83,27.85
306,2021-09-03,28.0116,28.0116,28.0116,28.0116
305,2021-09-02,28.0,28.0,28.0,28.0
304,2021-09-01,28.08,28.2,27.7501,28.2
303,2021-08-31,27.95,28.19,27.95,28.0
302,2021-08-30,28.23,28.23,28.23,28.23
301,2021-08-27,28.1399,28.1399,28.1399,28.1399
300,2021-08-26,27.76,28.0697,27.65,28.0697
299,2021-08-25,27.88,27.88,27.88,27.88
298,2021-08-24,27.65,27.914,27.65,27.88
297,2021-08-23,27.825,28.3666,27.6,28.3666
296,2021-08-20,28.3062,28.3062,28.05,28.05
295,2021-08-19,28.05,28.05,28.05,28.05
294,2021-08-18,28.05,28.05,27.63,28.05
293,2021-08-17,28.0,28.38,28.0,28.33
292,2021-08-16,27.91,28.3,27.91,28.3
