,Date,Open,High,Low,Close
1799,2021-12-31,118.87,119.54,118.35,119.08
1798,2021-12-30,120.48,122.4521,118.71,118.95
1797,2021-12-29,118.48,120.93,116.48,120.73
1796,2021-12-28,118.71,120.535,116.8,118.62
1795,2021-12-27,114.06,120.12,114.06,119.97
1794,2021-12-23,111.47,114.37,111.47,113.13
1793,2021-12-22,109.53,111.55,108.77,110.52
1792,2021-12-21,108.61,112.035,107.83,110.89
1791,2021-12-20,108.75,109.68,105.06,106.85
1790,2021-12-17,116.15,116.15,107.99,110.34
1789,2021-12-16,125.47,125.8199,116.1,116.84
1788,2021-12-15,122.7,125.875,120.985,124.11
1787,2021-12-14,125.09,126.94,121.57,122.08
1786,2021-12-13,125.58,126.88,123.26,124.66
1785,2021-12-10,129.38,129.6916,125.58,126.03
1784,2021-12-09,131.25,132.25,129.09,129.36
1783,2021-12-08,129.8,132.92,129.29,132.3
1782,2021-12-07,133.7,136.015,129.03,129.56
1781,2021-12-06,130.92,134.82,129.3,132.76
1780,2021-12-03,135.08,135.08,127.35,128.7
1779,2021-12-02,126.82,133.045,126.82,132.49
1778,2021-12-01,130.08,132.41,125.66,125.72
1777,2021-11-30,128.25,129.405,125.97,127.35
1776,2021-11-29,130.5,132.12,128.05,129.95
1775,2021-11-26,129.62,130.76,126.29,127.97
1774,2021-11-24,131.17,133.96,130.64,133.63
1773,2021-11-23,129.4,132.58,128.03,132.0
1772,2021-11-22,131.44,135.3,129.13,129.32
1771,2021-11-19,130.65,132.315,129.07,130.47
1770,2021-11-18,132.0,135.57,132.0,132.2
1769,2021-11-17,132.1,132.27,128.88,131.87
1768,2021-11-16,129.96,133.42,129.7,132.1
1767,2021-11-15,128.02,131.5,126.7,130.62
1766,2021-11-12,128.61,128.8,124.88,127.42
1765,2021-11-11,126.8,129.19,126.0,127.89
1764,2021-11-10,126.49,127.495,125.0501,126.1
1763,2021-11-09,125.59,129.18,123.6,126.51
1762,2021-11-08,125.82,125.97,123.59,125.41
1761,2021-11-05,125.885,127.9,124.33,125.17
1760,2021-11-04,126.04,127.02,123.29,125.95
1759,2021-11-03,122.06,127.5662,122.06,125.58
1758,2021-11-02,120.16,122.09,119.52,122.07
1757,2021-11-01,118.3,120.555,117.42,119.86
1756,2021-10-29,114.85,117.82,114.85,117.3
1755,2021-10-28,113.38,115.14,112.28,114.95
1754,2021-10-27,115.7,116.16,112.51,112.62
1753,2021-10-26,117.18,117.19,115.7032,116.0
1752,2021-10-25,116.37,118.5,116.37,116.63
1751,2021-10-22,112.98,116.15,112.04,115.9
1750,2021-10-21,105.0,111.27,101.51,109.8
1749,2021-10-20,109.75,112.65,109.01,112.38
1748,2021-10-19,109.39,110.06,108.2201,109.75
1747,2021-10-18,107.17,109.44,106.2015,108.95
1746,2021-10-15,109.65,110.125,107.47,107.5
1745,2021-10-14,107.48,108.08,105.9903,107.92
1744,2021-10-13,105.64,106.74,104.0,106.21
