,Date,Open,High,Low,Close
775,2021-12-31,0.384,0.384,0.3631,0.365
774,2021-12-30,0.3779,0.3899,0.3704,0.3806
773,2021-12-29,0.4,0.4081,0.369,0.3782
772,2021-12-28,0.4298,0.43,0.4,0.4
771,2021-12-27,0.42,0.4241,0.417,0.4171
770,2021-12-23,0.4134,0.4249,0.406,0.417
769,2021-12-22,0.401,0.42,0.4007,0.4128
768,2021-12-21,0.4034,0.4244,0.4001,0.4168
767,2021-12-20,0.413,0.4139,0.395,0.4047
766,2021-12-17,0.4,0.415,0.392,0.4139
765,2021-12-16,0.4041,0.4041,0.3753,0.3852
764,2021-12-15,0.3725,0.3998,0.3513,0.3998
763,2021-12-14,0.38,0.3834,0.364,0.3698
762,2021-12-13,0.4031,0.4031,0.38,0.3801
761,2021-12-10,0.4024,0.415,0.3821,0.3992
760,2021-12-09,0.41,0.418,0.4,0.4032
759,2021-12-08,0.3907,0.4288,0.3838,0.4121
758,2021-12-07,0.364,0.395,0.364,0.39
757,2021-12-06,0.375,0.375,0.355,0.3697
756,2021-12-03,0.38,0.39,0.3606,0.3728
755,2021-12-02,0.3753,0.3898,0.3702,0.38
754,2021-12-01,0.391,0.4098,0.38,0.3825
753,2021-11-30,0.3801,0.394,0.3704,0.3896
752,2021-11-29,0.4116,0.418,0.3906,0.3912
751,2021-11-26,0.4016,0.4099,0.4002,0.4032
750,2021-11-24,0.4032,0.4207,0.4001,0.419
749,2021-11-23,0.3975,0.42,0.395,0.4092
748,2021-11-22,0.42,0.4277,0.3842,0.409
747,2021-11-19,0.4218,0.44,0.4136,0.4249
746,2021-11-18,0.45,0.46,0.4206,0.43
745,2021-11-17,0.4825,0.485,0.4549,0.458
744,2021-11-16,0.4921,0.495,0.4533,0.4875
743,2021-11-15,0.5189,0.521,0.5061,0.521
742,2021-11-12,0.51,0.52,0.5011,0.5163
741,2021-11-11,0.51,0.5138,0.4995,0.5035
740,2021-11-10,0.5127,0.5159,0.5001,0.5036
739,2021-11-09,0.5106,0.52,0.505,0.5169
738,2021-11-08,0.515,0.52,0.4975,0.5121
737,2021-11-05,0.54,0.54,0.4951,0.5183
736,2021-11-04,0.526,0.54,0.52,0.5298
735,2021-11-03,0.521,0.5398,0.515,0.5271
734,2021-11-02,0.53,0.542,0.5202,0.5291
733,2021-11-01,0.52,0.54,0.5191,0.5325
732,2021-10-29,0.5479,0.55,0.515,0.517
731,2021-10-28,0.5315,0.5343,0.523,0.5259
730,2021-10-27,0.52,0.545,0.52,0.527
729,2021-10-26,0.52,0.565,0.512,0.5187
728,2021-10-25,0.5197,0.5277,0.515,0.52
727,2021-10-22,0.55,0.555,0.5054,0.5195
726,2021-10-21,0.58,0.5897,0.5489,0.5533
725,2021-10-20,0.5502,0.6189,0.55,0.571
724,2021-10-19,0.56,0.5625,0.5211,0.556
723,2021-10-18,0.5041,0.5198,0.5,0.5042
722,2021-10-15,0.5012,0.51,0.5,0.505
721,2021-10-14,0.5024,0.5139,0.4955,0.5019
720,2021-10-13,0.51,0.51,0.489,0.4965
719,2021-10-12,0.5175,0.538,0.4921,0.5024
718,2021-10-11,0.4884,0.5098,0.4852,0.5042
717,2021-10-08,0.4867,0.498,0.4814,0.4872
716,2021-10-07,0.49,0.495,0.4831,0.4888
715,2021-10-06,0.4915,0.4946,0.4777,0.483
