,Date,Open,High,Low,Close
5578,2021-12-31,508.15,522.96,508.15,517.34
5577,2021-12-30,501.62,511.43,501.62,508.8
5576,2021-12-29,498.67,502.99,493.725,502.51
5575,2021-12-28,502.21,502.21,491.175,497.79
5574,2021-12-27,496.01,500.67,496.01,500.66
5573,2021-12-23,492.27,498.53,492.27,494.65
5572,2021-12-22,479.08,491.78,476.75,489.69
5571,2021-12-21,467.11,480.745,464.475,479.64
5570,2021-12-20,467.49,470.18,459.94,465.18
5569,2021-12-17,460.02,475.08,453.08,470.56
5568,2021-12-16,476.03,478.13,459.77,461.53
5567,2021-12-15,465.05,475.27,459.82,474.44
5566,2021-12-14,465.99,466.42,455.86,462.88
5565,2021-12-13,463.78,471.97,462.65,470.37
5564,2021-12-10,470.11,477.29,464.53,466.04
5563,2021-12-09,481.72,485.85,469.31,470.2
5562,2021-12-08,475.8,486.18,473.09,481.3
5561,2021-12-07,473.43,481.56,468.21,472.96
5560,2021-12-06,456.53,468.93,450.58,468.24
5559,2021-12-03,469.57,469.57,449.745,456.15
5558,2021-12-02,459.44,469.45,456.6149,467.27
5557,2021-12-01,473.76,478.74,461.46,461.94
5556,2021-11-30,482.67,491.28,468.8,472.03
5555,2021-11-29,472.78,488.79,472.78,479.69
5554,2021-11-26,476.44,491.96,472.54,473.47
5553,2021-11-24,470.16,477.27,466.68,476.97
5552,2021-11-23,485.68,486.995,464.995,472.72
5551,2021-11-22,502.13,502.13,488.28,489.63
5550,2021-11-19,497.47,507.17,486.76,501.5
5549,2021-11-18,495.92,497.43,489.19,495.14
5548,2021-11-17,504.49,504.565,488.025,493.92
5547,2021-11-16,499.49,511.21,493.91,504.49
5546,2021-11-15,504.94,507.9125,501.56,501.77
5545,2021-11-12,508.39,512.8,502.11,504.5
5544,2021-11-11,507.47,514.73,501.0,506.63
5543,2021-11-10,497.9,505.55,497.23,503.66
5542,2021-11-09,506.0,507.6,500.74,502.14
5541,2021-11-08,497.32,507.22,494.2,506.4
