,Date,Open,High,Low,Close
4899,2021-12-31,28.4,28.95,28.25,28.82
4898,2021-12-30,28.74,29.05,28.395,28.43
4897,2021-12-29,28.5,28.86,28.19,28.6
4896,2021-12-28,28.67,28.95,28.585,28.73
4895,2021-12-27,28.3,28.77,28.1,28.77
4894,2021-12-23,28.12,28.465,28.05,28.29
4893,2021-12-22,27.36,28.095,27.34,28.05
4892,2021-12-21,26.74,27.4,26.7,27.38
4891,2021-12-20,26.27,26.49,25.865,26.45
4890,2021-12-17,27.01,27.43,26.68,26.95
4889,2021-12-16,27.48,27.88,27.04,27.12
4888,2021-12-15,26.49,26.85,25.85,26.82
4887,2021-12-14,26.83,27.55,26.83,26.9
4886,2021-12-13,27.24,27.45,26.575,26.96
4885,2021-12-10,27.93,28.0687,27.09,27.22
4884,2021-12-09,27.41,27.775,27.211,27.66
4883,2021-12-08,27.75,28.27,27.58,27.82
4882,2021-12-07,27.5,28.29,27.31,27.73
4881,2021-12-06,26.05,26.78,25.24,26.53
4880,2021-12-03,26.5,26.8,25.55,25.76
4879,2021-12-02,26.28,26.7,25.7,26.55
4878,2021-12-01,26.82,27.53,26.0,26.03
4877,2021-11-30,26.52,26.99,26.03,26.49
4876,2021-11-29,27.06,27.08,26.14,26.55
4875,2021-11-26,25.42,26.0986,25.08,26.03
4874,2021-11-24,27.34,27.37,26.755,26.96
4873,2021-11-23,27.15,27.37,26.74,27.31
4872,2021-11-22,26.16,27.46,26.11,27.06
4871,2021-11-19,26.0,26.49,25.775,26.1
4870,2021-11-18,27.0,27.07,26.1,26.25
4869,2021-11-17,27.15,27.58,27.035,27.08
4868,2021-11-16,27.29,27.4,26.9,27.16
4867,2021-11-15,28.0,28.11,26.83,27.45
4866,2021-11-12,28.25,28.87,28.1075,28.52
4865,2021-11-11,27.4,29.19,27.33,28.56
4864,2021-11-10,27.22,27.63,26.49,26.83
4863,2021-11-09,27.63,27.72,26.84,27.27
4862,2021-11-08,27.61,28.25,27.23,27.77
4861,2021-11-05,27.75,27.86,27.0448,27.09
4860,2021-11-04,27.65,27.8596,27.29,27.56
4859,2021-11-03,27.69,27.69,27.085,27.51
4858,2021-11-02,28.45,28.6,27.44,27.9
4857,2021-11-01,28.1,28.8,27.7464,28.71
4856,2021-10-29,28.43,28.64,27.67,27.9
4855,2021-10-28,28.13,28.95,27.67,28.85
4854,2021-10-27,28.23,28.48,27.21,27.93
4853,2021-10-26,28.47,28.579,27.99,28.2
4852,2021-10-25,28.08,28.85,27.955,28.53
4851,2021-10-22,28.0,28.24,27.32,27.83
4850,2021-10-21,27.94,28.32,27.45,27.87
4849,2021-10-20,29.01,29.01,28.135,28.62
4848,2021-10-19,29.43,29.69,28.59,29.1
4847,2021-10-18,29.05,29.915,28.86,29.88
4846,2021-10-15,29.04,29.48,28.92,29.24
4845,2021-10-14,28.85,29.0,28.33,28.37
4844,2021-10-13,28.08,28.5,27.8,28.14
4843,2021-10-12,27.4,28.1,27.18,28.06
4842,2021-10-11,28.15,28.54,27.44,27.6
4841,2021-10-08,26.36,26.905,26.27,26.7
4840,2021-10-07,24.97,26.08,24.94,26.04
4839,2021-10-06,25.1,25.33,24.11,24.55
4838,2021-10-05,26.08,26.11,25.52,25.7
4837,2021-10-04,25.36,26.115,25.36,25.82
4836,2021-10-01,25.08,25.59,24.705,25.19
4835,2021-09-30,24.92,25.16,24.53,24.91
4834,2021-09-29,25.345,25.75,24.8,24.91
4833,2021-09-28,25.22,25.31,24.51,24.86
4832,2021-09-27,24.78,25.31,24.685,25.19
4831,2021-09-24,24.33,24.81,23.88,24.78
4830,2021-09-23,24.8,25.07,24.51,24.77
4829,2021-09-22,24.59,25.57,24.3,24.68
4828,2021-09-21,24.34,24.48,23.03,23.19
4827,2021-09-20,23.23,23.99,22.75,23.97
4826,2021-09-17,25.28,25.35,24.335,24.66
4825,2021-09-16,25.97,26.11,25.31,25.82
4824,2021-09-15,26.21,27.08,26.03,26.8
4823,2021-09-14,24.55,26.63,23.91,25.84
4822,2021-09-13,25.38,25.58,24.29,24.64
4821,2021-09-10,25.15,25.68,24.95,25.26
4820,2021-09-09,24.0,24.68,24.0,24.45
4819,2021-09-08,25.05,25.05,23.71,23.81
4818,2021-09-07,24.58,25.17,24.34,25.05
4817,2021-09-03,23.95,24.75,23.94,24.62
4816,2021-09-02,23.2,24.1,23.2,23.88
4815,2021-09-01,22.27,22.99,22.12,22.87
4814,2021-08-31,22.88,22.96,22.195,22.55
4813,2021-08-30,23.06,23.1,22.5701,22.64
4812,2021-08-27,22.0,23.04,22.0,22.86
4811,2021-08-26,21.76,22.18,21.57,21.76
4810,2021-08-25,21.18,21.945,21.03,21.76
