,Date,Open,High,Low,Close
654,2021-12-31,10.5813,10.5813,10.5813,10.5813
653,2021-12-30,10.5999,10.5999,10.55,10.56
652,2021-12-29,10.65,10.65,10.65,10.65
651,2021-12-28,10.64,10.64,10.64,10.64
650,2021-12-27,10.64,10.64,10.6001,10.6001
649,2021-12-23,10.6,10.6,10.6,10.6
648,2021-12-22,10.56,10.61,10.56,10.6
647,2021-12-21,10.55,10.55,10.55,10.55
646,2021-12-20,10.55,10.55,10.55,10.55
645,2021-12-17,10.55,10.55,10.55,10.55
644,2021-12-16,10.56,10.56,10.55,10.55
643,2021-12-15,10.549,10.55,10.5,10.55
642,2021-12-14,10.53,10.5476,10.4779,10.51
641,2021-12-13,10.6,10.6,10.575,10.575
640,2021-12-10,10.6,10.6,10.575,10.6
639,2021-12-09,10.6,10.6,10.6,10.6
638,2021-12-08,10.5777,10.6,10.5777,10.5999
637,2021-12-07,10.59,10.6,10.56,10.56
636,2021-12-06,10.5906,10.6265,10.575,10.6
635,2021-12-03,10.6,10.645,10.6,10.6
634,2021-12-02,10.54,10.645,10.54,10.6
633,2021-12-01,10.54,10.66,10.53,10.6031
632,2021-11-30,10.56,10.69,10.5,10.61
631,2021-11-29,10.61,10.61,10.61,10.61
630,2021-11-26,10.5764,10.61,10.53,10.61
629,2021-11-24,10.5673,10.6887,10.5673,10.6887
628,2021-11-23,10.6,10.6,10.6,10.6
627,2021-11-22,10.68,10.68,10.6,10.6
626,2021-11-19,10.6882,10.6882,10.6882,10.6882
625,2021-11-18,10.631,10.631,10.631,10.631
624,2021-11-17,10.61,10.61,10.5191,10.6
623,2021-11-16,10.5799,10.6099,10.51,10.5778
622,2021-11-15,10.5699,10.5699,10.5699,10.5699
621,2021-11-12,10.5699,10.57,10.5699,10.5699
620,2021-11-11,10.53,10.53,10.53,10.53
619,2021-11-10,10.57,10.57,10.5105,10.53
618,2021-11-09,10.5527,10.5527,10.5527,10.5527
617,2021-11-08,10.56,10.56,10.5527,10.5527
616,2021-11-05,10.45,10.49,10.45,10.49
615,2021-11-04,10.44,10.46,10.435,10.46
614,2021-11-03,10.67,10.67,10.6611,10.6611
613,2021-11-02,10.625,10.672,10.625,10.63
612,2021-11-01,10.6,10.6,10.5671,10.6
611,2021-10-29,10.6084,10.6084,10.6084,10.6084
610,2021-10-28,10.66,10.66,10.6084,10.6084
609,2021-10-27,10.54,10.54,10.54,10.54
608,2021-10-26,10.46,10.5998,10.45,10.54
607,2021-10-25,10.47,10.525,10.47,10.525
606,2021-10-22,10.55,10.55,10.55,10.55
605,2021-10-21,10.51,10.55,10.51,10.55
604,2021-10-20,10.4691,10.54,10.46,10.52
603,2021-10-19,10.56,10.56,10.56,10.56
602,2021-10-18,10.4,10.4024,10.29,10.29
601,2021-10-15,10.4214,10.5214,10.4214,10.5214
600,2021-10-14,10.5241,10.5241,10.5241,10.5241
599,2021-10-13,10.41,10.41,10.41,10.41
598,2021-10-12,10.41,10.41,10.41,10.41
597,2021-10-11,10.44,10.44,10.44,10.44
596,2021-10-08,10.4175,10.51,10.4,10.44
595,2021-10-07,10.375,10.4,10.35,10.35
594,2021-10-06,10.3999,10.3999,10.3999,10.3999
593,2021-10-05,10.39,10.4,10.39,10.4
592,2021-10-04,10.355,10.4,10.355,10.39
591,2021-10-01,10.34,10.44,10.33,10.39
590,2021-09-30,10.52,10.54,10.5,10.54
589,2021-09-29,10.31,10.37,10.31,10.37
588,2021-09-28,10.2518,10.35,10.2281,10.24
587,2021-09-27,10.29,10.29,10.29,10.29
586,2021-09-24,10.29,10.29,10.29,10.29
585,2021-09-23,10.28,10.28,10.28,10.28
584,2021-09-22,10.28,10.28,10.28,10.28
583,2021-09-21,10.25,10.2636,10.25,10.2636
582,2021-09-20,10.25,10.29,10.21,10.22
581,2021-09-17,10.2301,10.3899,10.2301,10.37
580,2021-09-16,10.1857,10.1857,10.1857,10.1857
579,2021-09-15,10.29,10.29,10.1857,10.1857
578,2021-09-14,10.2,10.2,10.185,10.2
