,Date,Open,High,Low,Close
1951,2021-12-31,1.86,2.2,1.8,1.84
1950,2021-12-30,1.61,1.75,1.61,1.69
1949,2021-12-29,1.65,1.73,1.52,1.62
1948,2021-12-28,1.75,1.8,1.61,1.68
1947,2021-12-27,1.54,1.94,1.5,1.75
1946,2021-12-23,1.66,1.71,1.46,1.47
1945,2021-12-22,0.3491,0.369,0.3275,0.332
1944,2021-12-21,0.4552,0.4552,0.3475,0.3565
1943,2021-12-20,0.4051,0.43,0.4,0.404
1942,2021-12-17,0.4299,0.463,0.4135,0.4309
1941,2021-12-16,0.43,0.435,0.4011,0.417
1940,2021-12-15,0.4452,0.4545,0.3906,0.4141
1939,2021-12-14,0.4936,0.4936,0.4403,0.4499
1938,2021-12-13,0.535,0.5495,0.48,0.4925
1937,2021-12-10,0.57,0.58,0.515,0.5397
1936,2021-12-09,0.549,0.605,0.5201,0.5613
1935,2021-12-08,0.5185,0.58,0.5185,0.5323
1934,2021-12-07,0.583,0.5999,0.5,0.5105
1933,2021-12-06,0.695,0.7,0.5,0.55
1932,2021-12-03,0.7,0.7035,0.6701,0.6966
1931,2021-12-02,0.71,0.71,0.6401,0.7
1930,2021-12-01,0.6972,0.719,0.66,0.7096
1929,2021-11-30,0.7034,0.77,0.7034,0.74
1928,2021-11-29,0.7139,0.75,0.7072,0.7445
1927,2021-11-26,0.7392,0.7476,0.7007,0.7016
1926,2021-11-24,0.6951,0.7499,0.6901,0.7362
1925,2021-11-23,0.72,0.78,0.68,0.7181
1924,2021-11-22,0.7391,0.7898,0.6601,0.78
1923,2021-11-19,0.64,0.73,0.62,0.727
1922,2021-11-18,0.71,0.71,0.6,0.6716
1921,2021-11-17,0.7256,0.7349,0.695,0.6985
1920,2021-11-16,0.7511,0.7588,0.6817,0.7425
1919,2021-11-15,0.8089,0.8188,0.755,0.7651
1918,2021-11-12,0.8,0.82,0.798,0.7992
1917,2021-11-11,0.785,0.8299,0.7799,0.8
1916,2021-11-10,0.813,0.813,0.781,0.7849
1915,2021-11-09,0.8202,0.835,0.7801,0.8126
1914,2021-11-08,0.85,0.8779,0.7804,0.8175
1913,2021-11-05,0.82,0.82,0.7817,0.8085
1912,2021-11-04,0.84,0.85,0.7785,0.8199
1911,2021-11-03,0.8828,0.92,0.7982,0.8
1910,2021-11-02,0.81,1.02,0.8,0.8805
1909,2021-11-01,0.8751,0.8827,0.74,0.86
1908,2021-10-29,0.95,0.95,0.855,0.8712
1907,2021-10-28,1.06,1.06,0.9382,0.95
1906,2021-10-27,1.13,1.18,1.0401,1.05
1905,2021-10-26,1.16,1.21,1.06,1.08
1904,2021-10-25,1.04,1.33,1.03,1.24
1903,2021-10-22,1.05,1.07,1.03,1.06
1902,2021-10-21,1.03,1.07,1.03,1.05
1901,2021-10-20,1.07,1.07,1.01,1.04
1900,2021-10-19,1.05,1.07,1.01,1.06
1899,2021-10-18,1.05,1.0516,1.0,1.04
1898,2021-10-15,1.06,1.07,1.02,1.07
1897,2021-10-14,1.02,1.08,1.01,1.04
1896,2021-10-13,1.02,1.0499,1.0,1.03
1895,2021-10-12,1.07,1.07,0.99,1.0088
1894,2021-10-11,1.03,1.05,1.0,1.02
1893,2021-10-08,1.04,1.07,1.0049,1.03
1892,2021-10-07,1.1,1.1,0.9901,1.03
1891,2021-10-06,1.1,1.12,1.07,1.08
1890,2021-10-05,1.18,1.19,1.09,1.12
1889,2021-10-04,1.14,1.2,1.14,1.17
1888,2021-10-01,1.07,1.18,1.04,1.16
1887,2021-09-30,1.33,1.4,1.33,1.38
1886,2021-09-29,1.36,1.3923,1.35,1.36
1885,2021-09-28,1.36,1.42,1.32,1.38
1884,2021-09-27,1.43,1.43,1.38,1.38
1883,2021-09-24,1.37,1.44,1.35,1.42
1882,2021-09-23,1.52,1.61,1.445,1.49
1881,2021-09-22,1.47,1.53,1.45,1.49
1880,2021-09-21,1.34,1.48,1.34,1.48
1879,2021-09-20,1.43,1.45,1.31,1.31
1878,2021-09-17,1.41,1.47,1.41,1.42
1877,2021-09-16,1.43,1.44,1.4,1.4
1876,2021-09-15,1.44,1.5,1.38,1.45
1875,2021-09-14,1.52,1.55,1.43,1.45
1874,2021-09-13,1.49,1.53,1.48,1.515
1873,2021-09-10,1.49,1.53,1.46,1.5
1872,2021-09-09,1.43,1.52,1.36,1.5
1871,2021-09-08,1.5,1.52,1.43,1.43
1870,2021-09-07,1.51,1.55,1.48,1.52
1869,2021-09-03,1.56,1.6,1.471,1.51
1868,2021-09-02,1.6,1.63,1.5501,1.58
1867,2021-09-01,1.54,1.8,1.51,1.61
1866,2021-08-31,1.49,1.56,1.4575,1.54
1865,2021-08-30,1.51,1.59,1.46,1.49
1864,2021-08-27,1.42,1.51,1.37,1.51
1863,2021-08-26,1.38,1.54,1.38,1.45
1862,2021-08-25,1.41,1.42,1.34,1.37
1861,2021-08-24,1.35,1.54,1.3221,1.38
1860,2021-08-23,1.35,1.36,1.32,1.34
1859,2021-08-20,1.3,1.34,1.28,1.33
1858,2021-08-19,1.35,1.365,1.29,1.3
1857,2021-08-18,1.35,1.3999,1.28,1.31
1856,2021-08-17,1.36,1.36,1.25,1.28
1855,2021-08-16,1.39,1.53,1.32,1.38
1854,2021-08-13,1.55,1.56,1.38,1.39
1853,2021-08-12,1.7,1.74,1.49,1.55
1852,2021-08-11,1.8028,1.82,1.69,1.72
1851,2021-08-10,1.71,1.905,1.61,1.88
1850,2021-08-09,1.38,2.1,1.37,1.88
1849,2021-08-06,1.27,1.3699,1.25,1.34
1848,2021-08-05,1.28,1.5,1.28,1.3
1847,2021-08-04,1.61,1.63,1.25,1.25
1846,2021-08-03,1.91,1.95,1.51,1.53
1845,2021-08-02,1.99,2.03,1.91,1.92
1844,2021-07-30,1.99,2.04,1.9543,1.98
1843,2021-07-29,2.06,2.11,1.93,2.0
1842,2021-07-28,2.06,2.08,2.01,2.03
1841,2021-07-27,2.08,2.13,2.03,2.04
1840,2021-07-26,2.25,2.315,2.05,2.07
1839,2021-07-23,2.4,2.41,2.1997,2.35
1838,2021-07-22,2.92,2.9488,2.83,2.88
1837,2021-07-21,2.91,2.97,2.85,2.9
1836,2021-07-20,2.88,2.92,2.83,2.85
1835,2021-07-19,2.85,2.91,2.78,2.9
1834,2021-07-16,2.95,2.98,2.86,2.86
1833,2021-07-15,2.81,2.98,2.81,2.93
1832,2021-07-14,2.84,2.85,2.79,2.81
1831,2021-07-13,2.83,2.92,2.76,2.82
1830,2021-07-12,2.9,2.98,2.775,2.82
1829,2021-07-09,2.95,2.95,2.85,2.87
1828,2021-07-08,2.88,3.0,2.82,2.87
1827,2021-07-07,3.0,3.07,2.88,2.9
1826,2021-07-06,2.82,3.03,2.79,2.95
1825,2021-07-02,2.75,2.79,2.66,2.68
1824,2021-07-01,2.8,2.829,2.72,2.74
1823,2021-06-30,2.72,2.94,2.72,2.79
1822,2021-06-29,2.85,2.86,2.72,2.75
1821,2021-06-28,2.84,2.92,2.81,2.86
1820,2021-06-25,2.9,2.95,2.8,2.86
1819,2021-06-24,2.79,2.96,2.79,2.93
1818,2021-06-23,2.81,2.96,2.76,2.82
1817,2021-06-22,2.8238,3.1,2.68,2.92
1816,2021-06-21,3.2,3.2,2.62,2.77
1815,2021-06-18,3.31,3.335,3.1,3.19
1814,2021-06-17,3.42,3.46,3.35,3.37
1813,2021-06-16,3.58,3.58,3.415,3.48
1812,2021-06-15,3.59,3.6,3.57,3.59
1811,2021-06-14,3.62,3.63,3.59,3.6
1810,2021-06-11,3.61,3.64,3.6,3.61
1809,2021-06-10,3.6,3.62,3.59,3.6
1808,2021-06-09,3.62,3.64,3.61,3.61
1807,2021-06-08,3.61,3.66,3.61,3.63
1806,2021-06-07,3.64,3.66,3.6,3.64
1805,2021-06-04,3.65,3.7,3.65,3.66
1804,2021-06-03,3.61,3.7,3.61,3.68
1803,2021-06-02,3.66,3.71,3.66,3.7
1802,2021-06-01,3.63,3.7,3.63,3.68
1801,2021-05-28,3.63,3.68,3.63,3.65
1800,2021-05-27,3.6,3.67,3.6,3.65
1799,2021-05-26,3.6,3.6631,3.59,3.62
1798,2021-05-25,3.78,3.78,3.53,3.55
1797,2021-05-24,3.76,3.76,3.675,3.69
1796,2021-05-21,3.79,3.809,3.7501,3.76
1795,2021-05-20,3.76,3.79,3.74,3.79
1794,2021-05-19,3.75,3.775,3.745,3.76
1793,2021-05-18,3.77,3.8,3.75,3.75
1792,2021-05-17,3.77,3.78,3.76,3.77
1791,2021-05-14,3.79,3.8,3.765,3.77
1790,2021-05-13,3.76,3.8,3.76,3.79
1789,2021-05-12,3.78,3.8,3.77,3.79
1788,2021-05-11,3.79,3.795,3.765,3.78
1787,2021-05-10,3.81,3.8288,3.77,3.8
1786,2021-05-07,3.78,3.84,3.77,3.83
1785,2021-05-06,3.83,3.83,3.76,3.81
1784,2021-05-05,3.83,3.84,3.819,3.84
1783,2021-05-04,3.79,3.84,3.79,3.84
1782,2021-05-03,3.779,3.85,3.76,3.84
1781,2021-04-30,3.75,3.845,3.7093,3.75
1780,2021-04-29,3.37,3.4,3.28,3.37
1779,2021-04-28,3.3,3.3999,3.3,3.36
1778,2021-04-27,3.25,3.42,3.25,3.31
1777,2021-04-26,3.21,3.33,3.21,3.26
1776,2021-04-23,3.18,3.27,3.18,3.23
1775,2021-04-22,3.18,3.28,3.13,3.19
1774,2021-04-21,3.1,3.2,3.075,3.19
1773,2021-04-20,3.11,3.1507,3.04,3.09
1772,2021-04-19,3.02,3.19,3.02,3.13
1771,2021-04-16,3.03,3.06,3.01,3.04
1770,2021-04-15,3.04,3.101,3.01,3.04
1769,2021-04-14,3.04,3.08,3.03,3.06
1768,2021-04-13,3.07,3.08,3.03,3.06
1767,2021-04-12,3.12,3.16,3.04,3.06
1766,2021-04-09,3.14,3.16,3.1,3.14
1765,2021-04-08,3.1,3.21,3.09,3.15
1764,2021-04-07,3.14,3.15,3.08,3.09
1763,2021-04-06,3.16,3.26,3.11,3.14
