,Date,Open,High,Low,Close
5578,2021-12-31,4.27,4.3,4.23,4.24
5577,2021-12-30,4.32,4.345,4.27,4.28
5576,2021-12-29,4.39,4.4,4.37,4.39
5575,2021-12-28,4.39,4.43,4.365,4.37
5574,2021-12-27,4.37,4.39,4.35,4.38
5573,2021-12-23,4.36,4.39,4.345,4.35
5572,2021-12-22,4.31,4.35,4.31,4.34
5571,2021-12-21,4.29,4.33,4.29,4.32
5570,2021-12-20,4.25,4.3,4.23,4.29
5569,2021-12-17,4.28,4.32,4.28,4.31
5568,2021-12-16,4.25,4.305,4.25,4.26
5567,2021-12-15,4.29,4.33,4.2601,4.33
5566,2021-12-14,4.25,4.345,4.25,4.31
5565,2021-12-13,4.17,4.1775,4.13,4.15
5564,2021-12-10,4.17,4.22,4.16,4.22
5563,2021-12-09,4.18,4.18,4.15,4.16
5562,2021-12-08,4.21,4.24,4.2,4.22
5561,2021-12-07,4.25,4.26,4.23,4.23
5560,2021-12-06,4.21,4.29,4.21,4.25
5559,2021-12-03,4.15,4.16,4.12,4.16
5558,2021-12-02,4.2,4.23,4.19,4.21
5557,2021-12-01,4.36,4.37,4.24,4.25
5556,2021-11-30,4.49,4.51,4.43,4.51
5555,2021-11-29,4.42,4.45,4.39,4.42
5554,2021-11-26,4.38,4.41,4.34,4.4
5553,2021-11-24,4.49,4.5099,4.47,4.5
5552,2021-11-23,4.49,4.56,4.48,4.56
5551,2021-11-22,4.64,4.72,4.63,4.69
5550,2021-11-19,4.49,4.505,4.42,4.45
5549,2021-11-18,4.5,4.51,4.46,4.48
5548,2021-11-17,4.4,4.45,4.4,4.45
5547,2021-11-16,4.53,4.54,4.42,4.44
5546,2021-11-15,4.5,4.5179,4.45,4.47
5545,2021-11-12,4.51,4.56,4.51,4.54
5544,2021-11-11,4.51,4.56,4.5,4.55
5543,2021-11-10,4.5,4.55,4.5,4.5
5542,2021-11-09,4.43,4.45,4.41,4.43
5541,2021-11-08,4.38,4.38,4.34,4.36
5540,2021-11-05,4.32,4.39,4.32,4.36
5539,2021-11-04,4.25,4.26,4.2,4.23
5538,2021-11-03,4.32,4.4,4.32,4.4
5537,2021-11-02,4.41,4.41,4.35,4.35
5536,2021-11-01,4.43,4.45,4.425,4.44
5535,2021-10-29,4.37,4.39,4.34,4.35
5534,2021-10-28,4.42,4.43,4.38,4.39
5533,2021-10-27,4.44,4.455,4.42,4.42
5532,2021-10-26,4.42,4.46,4.405,4.43
5531,2021-10-25,4.46,4.4762,4.44,4.44
5530,2021-10-22,4.47,4.47,4.41,4.41
5529,2021-10-21,4.5,4.51,4.44,4.45
5528,2021-10-20,4.45,4.54,4.45,4.54
5527,2021-10-19,4.4,4.43,4.38,4.4
5526,2021-10-18,4.38,4.41,4.36,4.38
5525,2021-10-15,4.45,4.46,4.41,4.45
5524,2021-10-14,4.63,4.64,4.57,4.57
5523,2021-10-13,4.63,4.63,4.6,4.61
5522,2021-10-12,4.66,4.6671,4.62,4.66
5521,2021-10-11,4.66,4.66,4.605,4.61
5520,2021-10-08,4.68,4.7,4.65,4.67
5519,2021-10-07,4.7,4.72,4.65,4.65
5518,2021-10-06,4.68,4.68,4.61,4.67
5517,2021-10-05,4.74,4.89,4.72,4.78
5516,2021-10-04,4.71,4.765,4.71,4.73
5515,2021-10-01,4.67,4.69,4.62,4.67
5514,2021-09-30,4.72,4.72,4.67,4.71
5513,2021-09-29,4.73,4.76,4.6901,4.74
