,Date,Open,High,Low,Close
416,2021-12-31,7.68,7.6988,7.26,7.26
415,2021-12-30,8.4,8.52,7.21,7.68
414,2021-12-29,28.62,28.645,28.62,28.645
413,2021-12-28,28.645,28.645,28.645,28.645
412,2021-12-27,28.645,28.645,28.645,28.645
411,2021-12-23,28.6801,28.6801,28.6801,28.6801
410,2021-12-22,28.4517,28.4517,28.4517,28.4517
409,2021-12-21,28.2316,28.2316,28.2316,28.2316
408,2021-12-20,27.358,27.358,27.358,27.358
407,2021-12-17,27.8216,27.8216,27.8216,27.8216
406,2021-12-16,28.0083,28.0083,28.0083,28.0083
405,2021-12-15,28.5795,28.5795,28.5795,28.5795
404,2021-12-14,28.0868,28.0868,28.0868,28.0868
403,2021-12-13,28.4352,28.4352,28.4352,28.4352
402,2021-12-10,29.0534,29.0534,29.0534,29.0534
401,2021-12-09,28.8952,28.8952,28.8952,28.8952
400,2021-12-08,29.397,29.397,29.397,29.397
399,2021-12-07,29.3325,29.3325,29.3325,29.3325
398,2021-12-06,28.6453,28.6453,28.6453,28.6453
397,2021-12-03,28.4653,28.4653,28.4653,28.4653
396,2021-12-02,29.1206,29.1206,29.1206,29.1206
395,2021-12-01,28.4192,28.4192,28.4192,28.4192
394,2021-11-30,29.1725,29.1725,29.1725,29.1725
393,2021-11-29,30.1145,30.1145,30.1145,30.1145
392,2021-11-26,29.83,29.83,29.7511,29.7511
391,2021-11-24,30.5242,30.5242,30.5242,30.5242
390,2021-11-23,29.95,30.2119,29.95,30.2119
389,2021-11-22,30.4434,30.4434,30.4434,30.4434
388,2021-11-19,30.758,30.76,30.7353,30.7353
387,2021-11-18,30.94,30.965,30.94,30.965
386,2021-11-17,31.18,31.18,30.9676,30.9676
385,2021-11-16,31.21,31.21,31.21,31.21
384,2021-11-15,30.952,30.952,30.952,30.952
383,2021-11-12,30.9438,30.9438,30.9438,30.9438
382,2021-11-11,30.468,30.468,30.468,30.468
381,2021-11-10,29.8987,29.8987,29.8987,29.8987
380,2021-11-09,30.2993,30.2993,30.2993,30.2993
379,2021-11-08,30.65,30.7255,30.65,30.7255
378,2021-11-05,30.64,30.64,30.64,30.64
377,2021-11-04,30.742,30.742,30.742,30.742
376,2021-11-03,30.69,30.69,30.69,30.69
375,2021-11-02,30.662,30.662,30.662,30.662
374,2021-11-01,29.9248,29.9248,29.9248,29.9248
373,2021-10-29,29.5971,29.5971,29.5971,29.5971
372,2021-10-28,29.38,29.4465,29.36,29.4465
371,2021-10-27,29.22,29.2405,29.1634,29.1634
370,2021-10-26,29.5908,29.5908,29.5908,29.5908
369,2021-10-25,29.7834,29.7834,29.7834,29.7834
368,2021-10-22,29.45,29.4961,29.45,29.4961
367,2021-10-21,29.18,29.42,29.18,29.3879
366,2021-10-20,29.15,29.15,29.144,29.1441
365,2021-10-19,29.079,29.079,29.079,29.079
364,2021-10-18,28.99,29.01,28.99,28.9982
363,2021-10-15,28.8257,28.8257,28.8257,28.8257
362,2021-10-14,28.6275,28.6275,28.6275,28.6275
361,2021-10-13,28.22,28.2807,28.21,28.2807
360,2021-10-12,28.2786,28.2786,28.2786,28.2786
359,2021-10-11,28.1617,28.1617,28.1617,28.1617
358,2021-10-08,28.3239,28.3239,28.3239,28.3239
357,2021-10-07,28.3656,28.3656,28.3656,28.3656
356,2021-10-06,27.795,28.0796,27.795,28.0796
355,2021-10-05,28.1348,28.1348,28.1348,28.1348
354,2021-10-04,27.8546,27.8546,27.8546,27.8546
353,2021-10-01,28.1,28.1,28.1,28.1
352,2021-09-30,27.6428,27.6428,27.6428,27.6428
351,2021-09-29,28.13,28.13,27.9818,27.9818
350,2021-09-28,28.0501,28.17,28.01,28.0452
349,2021-09-27,29.05,29.05,28.61,28.61
348,2021-09-24,28.9734,28.9734,28.9734,28.9734
347,2021-09-23,28.9648,29.0416,28.9648,29.0416
