,Date,Open,High,Low,Close
3356,2021-12-31,110.06,112.61,109.56,112.11
3355,2021-12-30,112.3,113.0299,110.36,110.44
3354,2021-12-29,111.3,113.64,111.0,112.29
3353,2021-12-28,110.75,111.99,110.75,111.17
3352,2021-12-27,110.06,112.33,109.0,111.0
3351,2021-12-23,106.73,109.165,106.71,108.73
3350,2021-12-22,104.81,106.665,104.81,106.41
3349,2021-12-21,103.97,105.37,102.62,105.37
3348,2021-12-20,103.28,105.75,102.87,102.88
3347,2021-12-17,106.4,107.15,103.82,105.91
3346,2021-12-16,105.83,107.44,104.15,105.0
3345,2021-12-15,101.46,104.69,100.96,104.62
3344,2021-12-14,103.94,104.14,101.25,101.79
3343,2021-12-13,108.0,108.11,104.44,104.65
3342,2021-12-10,108.96,109.8,107.46,108.27
3341,2021-12-09,109.48,109.48,107.82,108.49
3340,2021-12-08,110.46,112.8,108.37,109.12
3339,2021-12-07,107.23,110.99,107.11,110.47
3338,2021-12-06,103.83,106.16,102.82,105.0
3337,2021-12-03,102.91,104.31,101.4,103.31
3336,2021-12-02,100.02,102.74,99.35,102.25
3335,2021-12-01,101.22,103.05,99.88,100.0
3334,2021-11-30,105.0,105.02,98.75,101.75
3333,2021-11-29,111.89,114.38,105.43,105.81
3332,2021-11-26,110.28,113.01,109.98,110.94
3331,2021-11-24,110.0,111.96,109.51,111.79
3330,2021-11-23,110.08,112.35,108.73,110.49
3329,2021-11-22,109.25,110.51,108.56,110.24
3328,2021-11-19,106.87,109.08,106.35,108.83
3327,2021-11-18,108.8,108.8,106.71,106.83
3326,2021-11-17,110.56,110.64,107.79,108.1
3325,2021-11-16,111.95,112.62,110.57,110.69
3324,2021-11-15,114.11,114.19,111.515,111.8
3323,2021-11-12,111.96,114.5735,111.25,114.1
3322,2021-11-11,112.4,113.0,111.34,111.62
3321,2021-11-10,113.71,114.3,110.34,111.28
3320,2021-11-09,115.0,115.38,113.425,114.1
3319,2021-11-08,115.17,116.19,113.2,114.88
3318,2021-11-05,115.85,115.85,112.01,114.46
3317,2021-11-04,110.65,114.72,109.597,113.85
3316,2021-11-03,105.76,110.77,104.95,110.68
3315,2021-11-02,107.88,108.99,105.635,105.81
3314,2021-11-01,114.1,114.1,106.63,106.93
3313,2021-10-29,119.57,119.57,107.8,110.83
3312,2021-10-28,115.9,120.5,115.9,120.18
3311,2021-10-27,116.0,117.31,115.28,115.41
3310,2021-10-26,118.99,118.99,115.8,115.81
3309,2021-10-25,118.46,119.91,117.53,118.12
3308,2021-10-22,116.41,118.55,115.55,118.27
3307,2021-10-21,113.72,116.2814,113.72,115.69
3306,2021-10-20,112.17,114.16,112.17,113.53
3305,2021-10-19,113.1,114.295,111.74,111.76
3304,2021-10-18,110.22,112.44,109.04,112.28
3303,2021-10-15,109.82,110.34,107.63,110.19
3302,2021-10-14,106.8,109.42,106.52,109.0
3301,2021-10-13,104.53,105.9,103.46,105.51
3300,2021-10-12,102.89,104.47,102.4,104.21
3299,2021-10-11,103.31,104.05,103.0,103.03
3298,2021-10-08,103.68,104.09,102.78,103.65
3297,2021-10-07,102.78,104.05,102.3138,102.72
3296,2021-10-06,101.45,102.52,100.0637,102.32
3295,2021-10-05,100.01,103.235,99.55,102.57
3294,2021-10-04,102.34,102.66,99.19,100.05
3293,2021-10-01,102.3,102.76,99.97,102.49
3292,2021-09-30,102.72,105.1,102.18,102.18
3291,2021-09-29,102.92,103.37,100.83,102.07
3290,2021-09-28,106.09,106.09,101.92,102.86
3289,2021-09-27,106.09,107.31,105.84,106.39
3288,2021-09-24,108.93,108.93,105.65,106.56
3287,2021-09-23,110.46,112.0,108.93,109.14
3286,2021-09-22,111.5,112.39,109.27,109.48
3285,2021-09-21,111.5,112.24,109.77,111.48
3284,2021-09-20,110.65,111.52,109.64,111.06
3283,2021-09-17,112.16,113.88,111.24,113.09
3282,2021-09-16,113.2,114.54,112.305,112.76
3281,2021-09-15,113.4,113.98,111.08,113.83
3280,2021-09-14,112.55,113.22,111.6,112.21
3279,2021-09-13,113.05,113.82,111.42,112.59
3278,2021-09-10,112.57,114.91,112.57,113.33
3277,2021-09-09,110.76,112.16,110.2,111.69
3276,2021-09-08,113.98,114.97,109.19,110.11
3275,2021-09-07,114.91,115.94,114.08,114.94
3274,2021-09-03,114.24,115.24,113.54,115.15
3273,2021-09-02,115.77,116.5,114.58,114.77
3272,2021-09-01,113.18,115.76,113.12,115.29
3271,2021-08-31,113.16,114.49,112.8,113.1
3270,2021-08-30,113.14,114.5529,112.75,113.15
3269,2021-08-27,111.41,113.64,111.18,113.07
3268,2021-08-26,112.8,113.14,111.22,111.44
3267,2021-08-25,112.13,113.95,111.19,112.85
3266,2021-08-24,111.0,112.52,111.0,112.5
3265,2021-08-23,107.73,110.98,107.73,110.88
3264,2021-08-20,106.5,107.99,106.5,107.35
3263,2021-08-19,108.28,108.53,106.34,106.85
3262,2021-08-18,108.73,111.17,108.13,109.62
3261,2021-08-17,109.74,109.81,107.34,108.78
3260,2021-08-16,111.61,111.61,109.35,110.0
3259,2021-08-13,112.91,112.91,110.39,111.65
3258,2021-08-12,112.53,113.263,111.82,112.73
3257,2021-08-11,111.89,112.68,111.31,112.67
3256,2021-08-10,110.83,112.585,110.83,111.73
3255,2021-08-09,111.99,111.99,110.28,111.29
3254,2021-08-06,111.39,113.31,110.73,111.53
3253,2021-08-05,109.52,111.59,109.37,111.23
3252,2021-08-04,112.45,112.45,109.89,110.08
3251,2021-08-03,111.67,112.45,110.6,111.79
3250,2021-08-02,112.04,113.72,110.86,111.45
3249,2021-07-30,112.27,113.52,111.59,112.02
3248,2021-07-29,110.44,113.61,110.26,112.63
3247,2021-07-28,111.61,111.61,106.87,110.24
3246,2021-07-27,111.15,115.7775,108.13,111.89
3245,2021-07-26,104.0,105.3275,102.6001,104.95
3244,2021-07-23,102.56,104.03,101.6,103.86
3243,2021-07-22,100.64,102.11,99.255,101.96
3242,2021-07-21,99.27,101.4,99.27,100.75
3241,2021-07-20,96.11,98.96,95.69,98.88
3240,2021-07-19,95.85,96.65,93.11,95.92
3239,2021-07-16,100.4,100.4,97.08,97.37
3238,2021-07-15,98.9,100.21,97.5,99.84
3237,2021-07-14,92.24,99.35,91.905,98.9
3236,2021-07-13,91.61,91.95,90.58,90.88
3235,2021-07-12,92.29,92.83,91.27,91.62
3234,2021-07-09,91.34,92.66,91.34,92.38
3233,2021-07-08,88.96,91.81,88.8631,90.79
3232,2021-07-07,90.73,91.12,89.915,90.46
3231,2021-07-06,91.58,91.76,89.55,90.94
3230,2021-07-02,92.04,93.04,91.75,92.09
3229,2021-07-01,91.42,92.1,91.04,91.74
3228,2021-06-30,93.0,93.9,90.74,91.19
3227,2021-06-29,91.96,93.1,91.37,92.85
3226,2021-06-28,92.15,92.49,91.18,91.96
3225,2021-06-25,91.15,92.28,91.03,92.17
3224,2021-06-24,92.5,92.73,90.84,91.07
3223,2021-06-23,91.83,92.25,89.78,91.94
3222,2021-06-22,91.44,92.24,90.55,91.89
3221,2021-06-21,88.92,91.59,88.69,90.73
3220,2021-06-18,89.59,89.7935,88.51,88.56
3219,2021-06-17,91.38,92.39,89.75,90.6
3218,2021-06-16,93.54,93.99,91.69,91.74
3217,2021-06-15,93.98,94.28,93.14,93.37
3216,2021-06-14,92.93,94.37,92.93,93.88
3215,2021-06-11,92.88,93.79,92.65,92.97
3214,2021-06-10,93.01,93.46,92.12,92.84
3213,2021-06-09,93.48,93.75,92.32,92.44
3212,2021-06-08,90.02,93.26,90.0,93.04
3211,2021-06-07,94.46,94.46,89.83,90.0
3210,2021-06-04,95.59,95.59,93.65,94.63
3209,2021-06-03,93.33,95.1,93.12,95.1
