,Date,Open,High,Low,Close
346,2021-12-31,23.84,23.99,23.84,23.88
345,2021-12-30,23.81,23.99,23.805,23.93
344,2021-12-29,23.83,23.85,23.74,23.82
343,2021-12-28,24.28,24.31,24.0699,24.0699
342,2021-12-27,24.11,24.22,24.075,24.1339
341,2021-12-23,24.05,24.0643,23.9501,24.0643
340,2021-12-22,24.22,24.22,24.18,24.2023
339,2021-12-21,26.27,26.27,23.96,24.115
338,2021-12-20,24.37,24.52,24.19,24.225
337,2021-12-17,24.3,24.3,24.2803,24.2803
336,2021-12-16,24.16,24.16,24.13,24.1344
335,2021-12-15,24.22,24.23,24.13,24.14
334,2021-12-14,24.2,24.245,24.19,24.245
333,2021-12-13,24.18,24.29,24.18,24.29
332,2021-12-10,24.16,24.21,24.06,24.06
331,2021-12-09,24.0,24.0007,23.935,24.0007
330,2021-12-08,24.0,24.04,23.9838,23.9838
329,2021-12-07,24.19,24.19,24.0751,24.0751
328,2021-12-06,24.32,24.32,24.2833,24.2833
327,2021-12-03,24.25,24.449,24.25,24.395
326,2021-12-02,24.2699,24.2699,24.2699,24.2699
325,2021-12-01,24.05,24.16,24.05,24.1378
324,2021-11-30,24.13,24.18,24.03,24.1451
323,2021-11-29,23.94,24.07,23.94,24.07
322,2021-11-26,24.08,24.09,24.052,24.052
321,2021-11-24,23.6099,23.65,23.6099,23.615
320,2021-11-23,23.54,23.54,23.42,23.4768
319,2021-11-22,23.71,23.71,23.6371,23.645
318,2021-11-19,23.89,23.93,23.8771,23.8944
317,2021-11-18,23.615,23.725,23.615,23.67
316,2021-11-17,23.48,23.5951,23.48,23.5951
315,2021-11-16,23.4702,23.4702,23.4702,23.4702
314,2021-11-15,23.5999,23.5999,23.5447,23.5447
313,2021-11-12,23.6703,23.6703,23.6703,23.6703
312,2021-11-11,23.775,23.82,23.775,23.775
311,2021-11-10,23.91,23.93,23.76,23.82
310,2021-11-09,23.87,24.04,23.87,24.0102
309,2021-11-08,23.75,23.87,23.75,23.83
308,2021-11-05,23.81,23.82,23.7501,23.7904
307,2021-11-04,23.7197,23.725,23.6705,23.725
306,2021-11-03,23.64,23.64,23.5939,23.5939
305,2021-11-02,23.65,23.7063,23.65,23.7063
304,2021-11-01,23.6208,23.65,23.5701,23.6463
303,2021-10-29,23.7699,23.7754,23.7699,23.7754
302,2021-10-28,23.79,23.79,23.62,23.7507
301,2021-10-27,23.67,23.815,23.67,23.7946
300,2021-10-26,23.4602,23.4602,23.4602,23.4602
299,2021-10-25,23.41,23.4199,23.3352,23.3352
298,2021-10-22,23.3501,23.3951,23.3501,23.3951
297,2021-10-21,23.26,23.26,23.2597,23.2597
296,2021-10-20,23.38,23.38,23.23,23.2601
295,2021-10-19,23.415,23.43,23.3769,23.3769
294,2021-10-18,23.49,23.62,23.455,23.59
293,2021-10-15,23.41,23.41,23.3886,23.3886
