,Date,Open,High,Low,Close
3701,2021-12-31,17.93,18.03,17.82,17.87
3700,2021-12-30,17.9,18.0693,17.86,17.92
3699,2021-12-29,17.96,18.07,17.9,17.91
3698,2021-12-28,17.88,18.03,17.86,17.89
3697,2021-12-27,17.81,17.86,17.45,17.84
3696,2021-12-23,17.63,17.8,17.58,17.68
3695,2021-12-22,17.56,17.685,17.465,17.62
3694,2021-12-21,17.48,17.76,17.47,17.54
3693,2021-12-20,17.4,17.4,16.95,17.36
3692,2021-12-17,17.72,17.75,17.38,17.58
3691,2021-12-16,17.8,18.115,17.72,17.8
3690,2021-12-15,18.159,18.159,17.64,17.7
3689,2021-12-14,17.82,18.24,17.82,17.99
3688,2021-12-13,18.08,18.19,17.71,17.72
3687,2021-12-10,18.19,18.199,18.01,18.1
3686,2021-12-09,18.21,18.21,18.02,18.05
3685,2021-12-08,18.3,18.36,18.1404,18.3
3684,2021-12-07,18.32,18.44,18.11,18.19
3683,2021-12-06,18.1,18.49,18.1,18.21
3682,2021-12-03,18.23,18.23,17.93,18.03
3681,2021-12-02,18.06,18.4,18.02,18.22
3680,2021-12-01,18.28,18.6,17.91,17.93
3679,2021-11-30,18.21,18.46,17.86,18.0
3678,2021-11-29,18.78,18.8,18.32,18.39
3677,2021-11-26,19.2,19.22,18.57,18.81
3676,2021-11-24,19.5,19.6,19.4,19.45
3675,2021-11-23,19.58,19.72,19.46,19.52
3674,2021-11-22,19.38,19.7,19.35,19.48
3673,2021-11-19,19.25,19.395,19.08,19.33
3672,2021-11-18,19.6,19.61,19.33,19.41
3671,2021-11-17,19.58,19.61,19.395,19.6
3670,2021-11-16,19.9,19.97,19.6,19.66
3669,2021-11-15,19.96,20.07,19.89,19.95
3668,2021-11-12,20.25,20.25,19.88,19.96
3667,2021-11-11,20.28,20.3191,20.15,20.23
3666,2021-11-10,20.1,20.26,20.1,20.22
3665,2021-11-09,20.03,20.16,19.95,20.05
3664,2021-11-08,20.085,20.34,20.02,20.14
3663,2021-11-05,19.78,20.24,19.78,20.21
3662,2021-11-04,19.68,19.89,19.5,19.66
3661,2021-11-03,19.5,19.89,19.5,19.68
3660,2021-11-02,19.82,19.94,19.48,19.51
3659,2021-11-01,19.53,19.89,19.53,19.74
3658,2021-10-29,19.43,19.73,19.2,19.46
3657,2021-10-28,19.25,19.61,19.25,19.58
3656,2021-10-27,19.69,19.74,19.17,19.23
3655,2021-10-26,19.97,19.97,19.6516,19.69
3654,2021-10-25,19.96,20.2488,19.8,19.97
3653,2021-10-22,20.215,20.215,19.84,19.88
3652,2021-10-21,19.96,20.065,19.79,19.84
3651,2021-10-20,19.81,20.07,19.8,20.0
3650,2021-10-19,19.98,20.08,19.78,19.81
3649,2021-10-18,20.12,20.16,19.82,19.88
3648,2021-10-15,20.5,20.5,20.1,20.12
3647,2021-10-14,20.16,20.3829,20.16,20.36
3646,2021-10-13,19.87,20.1299,19.7,20.09
3645,2021-10-12,19.9,20.06,19.7642,19.89
3644,2021-10-11,20.26,20.26,19.94,19.94
3643,2021-10-08,20.25,20.39,20.0,20.13
3642,2021-10-07,19.71,19.89,19.47,19.87
3641,2021-10-06,19.45,19.61,19.27,19.61
3640,2021-10-05,19.6,19.72,19.43,19.5
3639,2021-10-04,19.5,19.8,19.42,19.59
3638,2021-10-01,19.16,19.58,19.14,19.52
3637,2021-09-30,19.4,19.68,19.03,19.06
3636,2021-09-29,19.24,19.52,19.11,19.28
3635,2021-09-28,19.5,19.57,19.17,19.2
3634,2021-09-27,19.11,19.65,19.1,19.4
3633,2021-09-24,18.93,19.16,18.93,18.99
3632,2021-09-23,18.9,19.0739,18.8,18.99
3631,2021-09-22,18.85,18.95,18.7,18.72
3630,2021-09-21,18.68,18.84,18.495,18.71
3629,2021-09-20,18.5,18.58,18.25,18.57
3628,2021-09-17,18.65,18.87,18.5191,18.71
3627,2021-09-16,18.85,18.85,18.54,18.57
3626,2021-09-15,18.8,18.94,18.67,18.75
3625,2021-09-14,19.25,19.25,18.81,18.82
3624,2021-09-13,18.65,19.28,18.65,19.27
3623,2021-09-10,18.91,18.9896,18.5,18.55
3622,2021-09-09,18.95,19.1,18.85,18.92
3621,2021-09-08,19.061,19.219,18.9,18.95
3620,2021-09-07,19.49,19.62,19.1,19.12
3619,2021-09-03,19.45,19.6335,19.4,19.5
3618,2021-09-02,19.78,20.1,19.74,19.88
3617,2021-09-01,20.08,20.09,19.73,19.74
3616,2021-08-31,19.78,20.039,19.78,19.99
3615,2021-08-30,19.96,20.0,19.73,19.78
3614,2021-08-27,19.54,19.92,19.5,19.88
3613,2021-08-26,19.8,19.9578,19.41,19.43
3612,2021-08-25,19.66,19.95,19.66,19.8
3611,2021-08-24,19.76,19.79,19.59,19.63
3610,2021-08-23,19.88,19.89,19.62,19.72
3609,2021-08-20,19.63,19.77,19.5,19.75
3608,2021-08-19,19.75,19.88,19.39,19.58
3607,2021-08-18,19.91,20.01,19.76,19.81
3606,2021-08-17,19.86,19.99,19.73,19.99
3605,2021-08-16,20.0,20.12,19.8,19.99
3604,2021-08-13,20.04,20.15,19.9,20.04
3603,2021-08-12,20.25,20.26,19.91,20.06
3602,2021-08-11,19.93,20.3,19.7618,20.3
3601,2021-08-10,19.75,20.14,19.685,19.84
3600,2021-08-09,19.69,19.78,19.49,19.69
3599,2021-08-06,19.41,19.75,19.32,19.68
3598,2021-08-05,19.14,19.278,19.0475,19.2
3597,2021-08-04,19.06,19.355,18.72,19.03
3596,2021-08-03,19.44,19.49,19.07,19.12
3595,2021-08-02,19.52,19.9,19.3,19.31
3594,2021-07-30,19.6,19.91,19.37,19.48
3593,2021-07-29,19.67,19.89,19.5704,19.76
3592,2021-07-28,19.59,19.76,19.41,19.61
3591,2021-07-27,19.52,19.66,19.36,19.45
3590,2021-07-26,19.51,19.79,19.5,19.58
3589,2021-07-23,19.58,19.68,19.45,19.57
3588,2021-07-22,19.85,19.8929,19.39,19.4
3587,2021-07-21,19.78,20.29,19.75,19.87
3586,2021-07-20,19.44,20.04,19.42,19.69
3585,2021-07-19,19.54,19.62,19.31,19.44
3584,2021-07-16,20.24,20.24,19.84,19.84
3583,2021-07-15,19.86,20.12,19.8,20.04
3582,2021-07-14,19.85,20.06,19.71,19.91
3581,2021-07-13,20.16,20.16,19.74,19.85
3580,2021-07-12,20.425,20.425,19.83,20.11
3579,2021-07-09,19.77,20.26,19.77,20.17
3578,2021-07-08,19.59,19.69,19.27,19.45
3577,2021-07-07,19.74,19.98,19.644,19.83
3576,2021-07-06,20.06,20.14,19.795,19.86
3575,2021-07-02,20.26,20.455,20.0201,20.14
3574,2021-07-01,20.44,20.44,20.21,20.26
3573,2021-06-30,20.18,20.38,20.18,20.3
3572,2021-06-29,20.54,20.569,20.25,20.28
3571,2021-06-28,20.75,20.78,20.35,20.43
3570,2021-06-25,20.75,20.97,20.64,20.76
3569,2021-06-24,20.51,20.74,20.41,20.71
3568,2021-06-23,20.39,20.71,20.3,20.45
3567,2021-06-22,20.45,20.48,20.16,20.4
3566,2021-06-21,20.07,20.43,20.01,20.41
3565,2021-06-18,20.34,20.59,19.84,19.9
3564,2021-06-17,21.09,21.14,20.38,20.43
3563,2021-06-16,21.0,21.14,20.76,21.1
3562,2021-06-15,21.17,21.25,20.82,21.04
3561,2021-06-14,21.32,21.32,20.901,21.13
3560,2021-06-11,21.47,21.5,21.13,21.26
3559,2021-06-10,21.78,21.8,21.32,21.34
3558,2021-06-09,21.96,21.96,21.62,21.65
3557,2021-06-08,21.9,22.09,21.73,22.01
3556,2021-06-07,22.22,22.29,21.9,21.92
3555,2021-06-04,22.26,22.52,22.16,22.5
3554,2021-06-03,22.12,22.35,22.1,22.25
3553,2021-06-02,22.48,22.54,22.03,22.06
3552,2021-06-01,22.43,22.53,22.23,22.35
3551,2021-05-28,22.21,22.26,22.05,22.16
3550,2021-05-27,22.0,22.16,22.0,22.11
3549,2021-05-26,21.33,21.73,21.3,21.67
3548,2021-05-25,22.02,22.23,21.01,21.03
3547,2021-05-24,22.12,22.17,21.86,22.07
3546,2021-05-21,21.89,22.16,21.81,21.97
3545,2021-05-20,21.49,21.89,21.34,21.85
3544,2021-05-19,21.77,21.88,21.36,21.55
3543,2021-05-18,22.15,22.4099,21.81,21.84
3542,2021-05-17,22.1,22.24,21.96,22.13
