,Date,Open,High,Low,Close
5578,2021-12-31,331.05,335.34,328.365,328.48
5577,2021-12-30,332.22,335.74,330.34,330.89
5576,2021-12-29,331.4,335.98,330.75,333.69
5575,2021-12-28,331.46,333.62,328.38,330.03
5574,2021-12-27,328.06,331.42,325.69,331.16
5573,2021-12-23,329.48,329.73,325.56,327.38
5572,2021-12-22,322.6,328.33,320.96,328.19
5571,2021-12-21,315.89,324.19,314.24,321.5
5570,2021-12-20,316.77,317.88,311.185,312.4
5569,2021-12-17,317.98,325.93,314.04,321.5
5568,2021-12-16,320.57,325.03,316.87,318.0
5567,2021-12-15,315.98,320.16,313.2,319.03
5566,2021-12-14,318.46,323.11,317.76,317.78
5565,2021-12-13,317.6,325.01,314.84,320.76
5564,2021-12-10,321.0,322.15,316.47,321.29
5563,2021-12-09,321.23,325.7969,320.35,320.35
5562,2021-12-08,321.85,325.66,321.49,323.28
5561,2021-12-07,323.54,329.4,321.71,321.81
5560,2021-12-06,309.37,324.68,308.75,320.42
5559,2021-12-03,301.91,306.325,297.44,305.22
5558,2021-12-02,290.06,302.55,290.06,298.3
5557,2021-12-01,301.93,302.98,289.0,289.48
5556,2021-11-30,305.96,308.58,297.27,297.42
5555,2021-11-29,309.23,312.36,304.59,308.95
5554,2021-11-26,314.62,314.62,304.57,305.15
5553,2021-11-24,314.81,322.2,314.62,317.77
5552,2021-11-23,319.95,319.95,312.68,315.29
5551,2021-11-22,320.01,326.89,318.63,321.24
5550,2021-11-19,332.04,332.04,318.19,318.83
5549,2021-11-18,341.26,341.26,329.88,329.99
5548,2021-11-17,338.3,342.475,338.3,339.52
5547,2021-11-16,338.37,342.13,337.64,340.71
5546,2021-11-15,339.99,339.99,335.26,338.14
5545,2021-11-12,334.13,341.365,334.13,340.12
5544,2021-11-11,340.73,342.06,328.395,338.26
5543,2021-11-10,343.28,350.34,340.6,341.94
5542,2021-11-09,352.7,353.31,338.68,342.32
5541,2021-11-08,355.14,355.245,350.4,352.41
5540,2021-11-05,348.59,356.805,346.46,353.31
5539,2021-11-04,350.3,350.3,342.86,346.46
5538,2021-11-03,369.22,369.22,342.78,348.03
5537,2021-11-02,362.73,370.2,358.055,369.71
5536,2021-11-01,357.08,361.29,354.96,359.24
5535,2021-10-29,345.67,359.4,343.285,356.94
5534,2021-10-28,348.0,358.89,343.15,347.36
5533,2021-10-27,373.88,375.74,364.06,366.27
5532,2021-10-26,378.02,381.97,373.06,373.36
5531,2021-10-25,376.22,379.22,373.825,376.9
5530,2021-10-22,378.4,381.23,375.985,376.51
5529,2021-10-21,371.82,379.3,370.575,378.28
5528,2021-10-20,369.81,374.145,367.96,372.25
5527,2021-10-19,362.02,369.32,362.02,367.82
5526,2021-10-18,361.18,362.85,354.88,359.87
5525,2021-10-15,366.35,370.0,363.17,363.2
5524,2021-10-14,358.22,366.6,357.45,364.48
5523,2021-10-13,350.48,357.27,350.23,354.51
5522,2021-10-12,355.14,356.66,350.8,351.46
5521,2021-10-11,363.52,364.35,352.6,354.14
5520,2021-10-08,374.68,374.87,359.37,362.91
5519,2021-10-07,373.46,382.46,372.645,373.99
5518,2021-10-06,371.74,378.91,367.66,378.74
5517,2021-10-05,375.2,381.49,373.05,375.61
5516,2021-10-04,381.42,383.11,371.64,374.34
5515,2021-10-01,379.42,384.705,373.51,383.27
5514,2021-09-30,388.07,388.98,376.38,376.55
5513,2021-09-29,389.5,391.1,385.2,385.2
5512,2021-09-28,384.48,389.67,381.29,387.42
5511,2021-09-27,386.1,390.49,382.09,387.22
5510,2021-09-24,388.42,391.39,385.67,388.09
5509,2021-09-23,385.5,390.54,381.95,389.3
5508,2021-09-22,380.35,385.88,376.93,383.33
5507,2021-09-21,381.57,384.655,377.23,378.14
5506,2021-09-20,379.26,385.45,377.28,379.11
5505,2021-09-17,383.27,387.88,382.34,385.57
5504,2021-09-16,388.6,389.14,383.59,385.97
5503,2021-09-15,387.02,390.71,386.04,388.67
5502,2021-09-14,382.14,389.86,376.605,387.34
5501,2021-09-13,375.47,380.47,373.205,377.73
5500,2021-09-10,386.79,388.22,372.05,372.42
5499,2021-09-09,398.99,400.75,384.33,385.4
5498,2021-09-08,399.17,405.895,398.33,400.11
5497,2021-09-07,397.37,400.82,394.405,399.14
5496,2021-09-03,403.19,405.55,398.01,398.43
5495,2021-09-02,400.09,405.61,396.39,404.61
5494,2021-09-01,398.3,400.0,394.78,397.56
5493,2021-08-31,393.2,399.36,392.4,395.46
5492,2021-08-30,388.41,393.72,388.41,392.58
5491,2021-08-27,388.17,392.76,387.08,388.22
5490,2021-08-26,384.24,386.6,383.29,385.96
5489,2021-08-25,384.96,387.045,381.46,385.28
5488,2021-08-24,381.62,390.99,381.62,386.17
