,Date,Open,High,Low,Close
2938,2021-12-31,19.23,19.75,18.96,19.0
2937,2021-12-30,19.24,20.26,19.16,19.35
2936,2021-12-29,18.88,19.24,18.65,19.24
2935,2021-12-28,18.72,19.65,18.72,19.03
2934,2021-12-27,19.39,19.4,18.45,18.65
2933,2021-12-23,18.4,19.56,18.19,19.39
2932,2021-12-22,17.87,18.38,17.322,18.35
2931,2021-12-21,17.5226,18.0,17.42,17.96
2930,2021-12-20,17.77,18.07,16.93,17.45
2929,2021-12-17,15.66,18.48,15.51,18.24
2928,2021-12-16,16.98,17.16,15.5,15.82
2927,2021-12-15,15.6,16.76,15.28,16.72
2926,2021-12-14,16.02,16.41,15.53,15.59
2925,2021-12-13,17.0,17.15,15.6404,16.09
2924,2021-12-10,16.88,17.6,16.42,16.57
2923,2021-12-09,17.91,17.9299,16.66,16.69
2922,2021-12-08,17.56,18.5399,17.25,18.04
2921,2021-12-07,16.76,18.49,16.695,17.47
2920,2021-12-06,15.73,16.43,14.9,16.3
2919,2021-12-03,16.77,16.7798,15.18,15.64
2918,2021-12-02,15.7,17.0,15.69,16.78
2917,2021-12-01,14.55,16.68,14.48,15.69
2916,2021-11-30,13.47,15.28,12.62,15.2
2915,2021-11-29,24.06,24.9,23.26,23.36
2914,2021-11-26,25.36,25.57,23.69,23.98
2913,2021-11-24,24.29,25.6,23.86,25.41
2912,2021-11-23,23.55,24.64,22.9,24.51
2911,2021-11-22,24.46,24.64,23.5,23.75
2910,2021-11-19,24.7,25.185,24.2,24.41
2909,2021-11-18,27.22,27.63,22.69,24.86
2908,2021-11-17,26.64,27.695,26.51,27.18
2907,2021-11-16,26.7,26.94,25.5,26.64
2906,2021-11-15,28.75,29.8478,26.5105,27.05
2905,2021-11-12,33.43,33.445,31.43,31.78
2904,2021-11-11,33.2,33.865,32.9501,33.17
2903,2021-11-10,34.37,34.86,33.1388,33.25
2902,2021-11-09,34.87,35.499,34.55,34.67
2901,2021-11-08,35.62,35.94,34.38,34.8
2900,2021-11-05,35.02,35.85,34.22,35.51
2899,2021-11-04,32.13,35.01,31.93,34.85
2898,2021-11-03,32.77,33.43,32.44,32.91
2897,2021-11-02,32.73,32.85,31.405,32.77
2896,2021-11-01,31.35,32.91,31.04,32.73
2895,2021-10-29,31.67,32.1599,31.13,31.22
2894,2021-10-28,31.1,31.62,30.75,31.58
2893,2021-10-27,31.8,32.03,31.01,31.06
2892,2021-10-26,32.44,32.58,31.65,31.74
2891,2021-10-25,31.51,32.54,31.3534,32.13
2890,2021-10-22,31.47,31.59,30.915,31.4
2889,2021-10-21,32.02,32.45,31.74,31.81
2888,2021-10-20,31.88,32.1,31.14,31.88
2887,2021-10-19,33.01,33.47,31.72,31.88
2886,2021-10-18,32.9,33.62,32.66,32.78
2885,2021-10-15,34.52,34.5998,33.27,33.31
2884,2021-10-14,33.07,34.13,33.07,33.95
2883,2021-10-13,32.65,32.93,32.32,32.8
2882,2021-10-12,32.1368,32.94,31.91,32.61
2881,2021-10-11,32.22,32.3819,31.6,32.02
2880,2021-10-08,31.52,31.88,31.18,31.55
2879,2021-10-07,31.22,31.9493,31.0,31.52
2878,2021-10-06,31.63,32.2,30.72,31.14
2877,2021-10-05,32.24,33.17,32.19,32.36
2876,2021-10-04,33.41,33.64,31.95,32.21
