,Date,Open,High,Low,Close
5578,2021-12-31,232.77,233.6205,229.22,231.44
5577,2021-12-30,228.8,233.87,228.8,231.91
5576,2021-12-29,225.37,229.565,225.37,227.92
5575,2021-12-28,224.45,227.5,223.64,224.91
5574,2021-12-27,222.1,224.69,220.86,224.1
5573,2021-12-23,218.55,222.135,218.29,221.01
5572,2021-12-22,219.8,221.28,217.0,217.74
5571,2021-12-21,219.88,220.78,216.48,220.07
5570,2021-12-20,221.03,221.5,214.6,219.19
5569,2021-12-17,224.83,226.29,221.47,223.31
5568,2021-12-16,235.96,236.65,224.49,224.78
5567,2021-12-15,233.6,236.82,231.55,236.65
5566,2021-12-14,230.91,236.16,230.91,235.28
5565,2021-12-13,237.92,238.52,232.4,234.17
5564,2021-12-10,237.16,239.75,236.69,238.18
5563,2021-12-09,239.11,239.7,235.83,237.56
5562,2021-12-08,246.74,247.33,238.2,239.6
5561,2021-12-07,244.63,246.23,243.67,245.63
5560,2021-12-06,248.46,248.85,242.32,242.97
5559,2021-12-03,246.73,248.41,245.31,247.57
5558,2021-12-02,241.89,246.62,241.385,245.5
5557,2021-12-01,245.68,248.4,240.23,240.39
5556,2021-11-30,246.36,246.99,242.24,243.84
5555,2021-11-29,248.54,251.58,247.01,249.16
5554,2021-11-26,248.69,251.46,245.775,246.57
5553,2021-11-24,247.9,249.62,246.12,248.76
5552,2021-11-23,245.65,249.72,243.43,249.18
5551,2021-11-22,251.43,251.68,241.21,244.57
5550,2021-11-19,251.1,253.88,250.41,250.7
5549,2021-11-18,256.09,256.6415,249.65,252.05
5548,2021-11-17,253.99,257.17,251.47,253.8
5547,2021-11-16,263.0,267.53,262.74,266.39
5546,2021-11-15,262.79,268.98,261.4,264.33
5545,2021-11-12,257.38,261.87,256.68,260.02
5544,2021-11-11,254.27,256.575,253.695,256.01
5543,2021-11-10,254.03,256.0,252.65,254.05
5542,2021-11-09,252.78,255.4243,252.57,255.16
5541,2021-11-08,253.25,256.1,252.03,253.33
5540,2021-11-05,261.0,261.24,252.81,254.27
5539,2021-11-04,260.66,262.51,259.4187,260.44
5538,2021-11-03,258.7,260.65,256.72,260.41
5537,2021-11-02,259.03,261.2,258.5401,260.26
5536,2021-11-01,261.55,261.8,257.49,257.92
5535,2021-10-29,256.51,259.78,256.51,259.62
5534,2021-10-28,258.26,260.155,257.53,258.22
5533,2021-10-27,258.94,259.39,255.72,256.54
5532,2021-10-26,261.4,261.505,257.51,258.73
5531,2021-10-25,256.82,261.0,256.1,260.35
5530,2021-10-22,255.48,257.41,254.5901,255.93
5529,2021-10-21,251.62,254.24,251.4,254.21
5528,2021-10-20,254.31,254.74,251.31,251.83
5527,2021-10-19,254.53,256.95,251.8,252.19
5526,2021-10-18,244.95,253.74,244.54,253.65
5525,2021-10-15,243.3001,247.35,242.15,245.71
5524,2021-10-14,238.8,243.8,236.23,242.09
5523,2021-10-13,231.5,236.77,230.52,236.75
5522,2021-10-12,230.0,231.4,228.5,230.24
5521,2021-10-11,228.57,231.25,228.34,228.72
5520,2021-10-08,230.05,231.72,228.3164,228.9
5519,2021-10-07,228.55,231.5,228.4,229.82
5518,2021-10-06,226.15,227.54,224.78,226.83
5517,2021-10-05,227.06,229.51,225.6623,227.56
5516,2021-10-04,227.93,228.9999,222.8753,225.89
5515,2021-10-01,229.25,229.485,223.846,228.42
5514,2021-09-30,235.88,235.88,228.13,228.77
5513,2021-09-29,234.57,237.62,233.81,235.85
5512,2021-09-28,236.9,237.36,232.86,233.44
5511,2021-09-27,240.25,242.34,237.8749,238.58
5510,2021-09-24,241.33,242.81,240.38,241.44
5509,2021-09-23,243.5,245.17,242.44,242.67
5508,2021-09-22,242.365,243.38,239.72,241.77
5507,2021-09-21,242.84,245.0597,241.24,241.31
5506,2021-09-20,243.48,246.17,239.56,242.14
5505,2021-09-17,245.45,248.53,245.45,246.67
5504,2021-09-16,245.23,247.5,244.75,246.95
5503,2021-09-15,242.33,244.86,241.8,244.14
5502,2021-09-14,243.39,244.41,241.78,242.24
5501,2021-09-13,245.5,246.2459,241.6,243.1
5500,2021-09-10,247.21,247.7,244.19,244.54
5499,2021-09-09,245.97,247.32,244.62,245.44
5498,2021-09-08,242.73,246.19,242.39,246.11
5497,2021-09-07,243.92,244.589,241.59,242.72
5496,2021-09-03,245.09,245.18,243.0,244.31
5495,2021-09-02,246.33,246.96,245.15,245.81
5494,2021-09-01,247.0,247.55,244.26,246.37
5493,2021-08-31,249.15,249.6,245.42,246.98
5492,2021-08-30,249.21,251.38,249.15,249.36
5491,2021-08-27,248.15,250.47,247.675,249.18
5490,2021-08-26,250.43,250.51,247.3,248.96
5489,2021-08-25,250.5,252.255,249.41,251.15
5488,2021-08-24,253.5,253.5,250.28,250.65
5487,2021-08-23,254.26,255.22,252.335,252.53
5486,2021-08-20,246.67,253.98,246.62,253.4
5485,2021-08-19,244.53,249.53,244.4,245.41
5484,2021-08-18,248.99,255.7899,246.25,247.58
5483,2021-08-17,260.45,260.45,252.05,254.65
5482,2021-08-16,260.09,263.49,256.75,263.15
5481,2021-08-13,262.69,263.6999,260.62,261.54
5480,2021-08-12,263.95,264.6,261.05,261.88
5479,2021-08-11,264.55,267.06,262.45,263.01
5478,2021-08-10,262.97,265.75,262.01,264.07
5477,2021-08-09,260.1,262.79,260.08,262.41
5476,2021-08-06,261.93,262.99,259.3356,260.09
5475,2021-08-05,261.77,262.71,259.98,261.4
5474,2021-08-04,261.2,262.89,260.24,260.53
5473,2021-08-03,258.11,263.3,257.96,262.2
5472,2021-08-02,262.08,262.31,254.8,257.24
5471,2021-07-30,260.74,263.46,258.73,261.05
5470,2021-07-29,258.19,261.84,257.3845,261.66
5469,2021-07-28,257.29,258.86,256.38,257.42
5468,2021-07-27,260.0,260.255,255.69,258.36
5467,2021-07-26,260.88,262.38,259.09,260.86
5466,2021-07-23,257.78,261.11,257.53,261.03
5465,2021-07-22,257.4,257.79,254.98,257.01
5464,2021-07-21,255.25,256.43,254.3,256.05
5463,2021-07-20,251.1,256.38,249.69,254.71
5462,2021-07-19,249.78,251.82,248.54,251.12
5461,2021-07-16,253.9,254.05,250.8601,251.15
5460,2021-07-15,253.7,254.532,252.03,252.93
5459,2021-07-14,252.6,254.05,251.61,253.63
5458,2021-07-13,250.5,253.44,250.5,251.75
5457,2021-07-12,249.5,252.47,249.12,252.24
5456,2021-07-09,248.68,250.75,247.38,248.58
5455,2021-07-08,245.32,248.96,245.05,248.58
5454,2021-07-07,245.61,248.395,245.53,247.55
5453,2021-07-06,246.5,247.34,242.95,245.45
5452,2021-07-02,244.5,246.98,244.21,246.58
5451,2021-07-01,241.96,243.53,241.13,243.47
5450,2021-06-30,241.79,242.95,240.8,241.74
5449,2021-06-29,241.26,243.46,241.01,241.85
5448,2021-06-28,240.9,242.24,239.7806,241.26
5447,2021-06-25,240.01,241.74,239.79,240.55
5446,2021-06-24,239.44,239.87,238.32,239.84
5445,2021-06-23,236.87,237.97,235.84,237.31
5444,2021-06-22,234.49,237.86,233.88,237.21
5443,2021-06-21,231.41,234.04,231.25,233.77
5442,2021-06-18,229.86,231.37,228.01,230.53
5441,2021-06-17,230.55,232.93,229.825,231.22
5440,2021-06-16,232.7,233.0,229.5556,231.26
5439,2021-06-15,233.01,233.01,230.75,232.57
5438,2021-06-14,233.16,233.5,231.55,233.07
5437,2021-06-11,231.79,232.9799,231.79,232.94
5436,2021-06-10,231.66,233.6999,231.3975,231.66
5435,2021-06-09,234.6,236.7999,231.89,231.94
5434,2021-06-08,234.27,236.36,232.55,235.1
5433,2021-06-07,231.5,232.66,230.39,230.89
5432,2021-06-04,230.2,231.61,228.71,231.34
5431,2021-06-03,228.34,230.23,227.01,229.18
5430,2021-06-02,226.41,229.14,226.15,228.38
5429,2021-06-01,227.56,228.79,226.05,227.27
