,Date,Open,High,Low,Close
5578,2021-12-31,11.75,11.87,11.58,11.82
5577,2021-12-30,11.73,11.99,11.73,11.79
5576,2021-12-29,11.82,11.8622,11.62,11.73
5575,2021-12-28,11.88,11.99,11.765,11.78
5574,2021-12-27,11.8,11.94,11.651,11.86
5573,2021-12-23,11.47,11.85,11.45,11.78
5572,2021-12-22,11.16,11.46,11.1067,11.35
5571,2021-12-21,11.15,11.35,11.04,11.11
5570,2021-12-20,11.01,11.09,10.59,10.99
5569,2021-12-17,11.63,11.73,11.18,11.31
5568,2021-12-16,11.71,11.98,11.52,11.64
5567,2021-12-15,11.25,11.72,11.02,11.68
5566,2021-12-14,11.42,11.84,11.22,11.22
5565,2021-12-13,11.33,11.63,11.2,11.47
5564,2021-12-10,11.46,11.46,11.16,11.36
5563,2021-12-09,11.83,11.8431,11.31,11.42
5562,2021-12-08,11.92,12.04,11.88,11.94
5561,2021-12-07,11.83,12.24,11.82,11.88
5560,2021-12-06,11.47,11.95,11.43,11.77
5559,2021-12-03,11.33,11.36,10.99,11.28
5558,2021-12-02,11.08,11.42,11.08,11.19
5557,2021-12-01,11.26,11.525,11.02,11.05
5556,2021-11-30,11.18,11.2,10.93,11.0
5555,2021-11-29,11.46,11.47,11.19,11.26
5554,2021-11-26,11.05,11.179,10.85,11.09
5553,2021-11-24,11.45,11.66,11.32,11.38
5552,2021-11-23,11.32,11.597,11.3,11.53
5551,2021-11-22,11.34,11.66,11.25,11.3
5550,2021-11-19,11.43,11.57,11.17,11.23
5549,2021-11-18,11.88,11.9,11.43,11.6
5548,2021-11-17,12.08,12.1,11.82,11.9
5547,2021-11-16,12.48,12.5099,12.1,12.15
5546,2021-11-15,12.84,12.84,12.3085,12.42
5545,2021-11-12,13.07,13.16,12.78,12.84
5544,2021-11-11,12.88,13.19,12.8,13.05
5543,2021-11-10,12.8,13.06,12.8,12.87
5542,2021-11-09,12.95,12.95,12.59,12.78
5541,2021-11-08,13.0,13.12,12.84,12.93
5540,2021-11-05,12.58,13.06,12.58,12.98
5539,2021-11-04,12.76,12.8,12.28,12.44
5538,2021-11-03,12.51,12.855,12.46,12.77
5537,2021-11-02,12.51,12.57,12.26,12.53
5536,2021-11-01,12.17,12.54,12.08,12.47
5535,2021-10-29,12.11,12.2,11.91,12.06
5534,2021-10-28,12.31,12.4,12.11,12.12
5533,2021-10-27,12.55,12.565,12.26,12.3
5532,2021-10-26,12.51,12.695,12.46,12.57
5531,2021-10-25,12.62,12.62,12.42,12.52
5530,2021-10-22,12.78,12.9088,12.57,12.57
5529,2021-10-21,13.0,13.0,12.62,12.81
5528,2021-10-20,12.91,12.97,12.82,12.95
5527,2021-10-19,13.0,13.0,12.65,12.86
5526,2021-10-18,12.67,12.98,12.65,12.93
5525,2021-10-15,12.96,12.99,12.67,12.67
5524,2021-10-14,12.54,12.72,12.52,12.71
5523,2021-10-13,12.58,12.64,12.33,12.37
5522,2021-10-12,12.5,12.6098,12.45,12.6
5521,2021-10-11,12.6,12.76,12.51,12.52
5520,2021-10-08,12.61,12.735,12.57,12.57
5519,2021-10-07,12.44,12.62,12.3502,12.59
5518,2021-10-06,12.34,12.43,12.16,12.31
5517,2021-10-05,12.52,12.52,12.33,12.48
5516,2021-10-04,12.55,12.6502,12.35,12.5
5515,2021-10-01,12.29,12.6,12.16,12.54
5514,2021-09-30,12.55,12.56,12.16,12.18
5513,2021-09-29,12.61,12.6332,12.36,12.44
5512,2021-09-28,12.94,13.0004,12.54,12.56
5511,2021-09-27,12.57,13.01,12.57,12.94
5510,2021-09-24,12.6,12.67,12.45,12.46
5509,2021-09-23,12.59,12.7189,12.49,12.58
5508,2021-09-22,12.54,12.75,12.49,12.5
5507,2021-09-21,12.94,13.05,12.14,12.44
5506,2021-09-20,12.37,12.89,12.2301,12.87
5505,2021-09-17,12.25,12.69,12.21,12.67
5504,2021-09-16,12.42,12.42,12.04,12.25
5503,2021-09-15,12.37,12.51,12.22,12.5
5502,2021-09-14,12.8,12.81,12.34,12.42
5501,2021-09-13,12.64,12.82,12.51,12.8
5500,2021-09-10,12.77,12.81,12.55,12.55
5499,2021-09-09,12.95,12.96,12.71,12.71
5498,2021-09-08,13.17,13.17,12.88,12.95
5497,2021-09-07,13.1,13.41,12.99,13.2
5496,2021-09-03,13.2,13.26,12.98,13.14
5495,2021-09-02,13.4,13.4,13.11,13.2
5494,2021-09-01,13.27,13.42,13.08,13.27
5493,2021-08-31,13.13,13.37,13.13,13.28
5492,2021-08-30,13.45,13.47,13.07,13.13
5491,2021-08-27,12.97,13.34,12.96,13.25
5490,2021-08-26,12.93,12.95,12.8,12.87
5489,2021-08-25,12.75,12.99,12.7,12.89
5488,2021-08-24,12.85,12.98,12.7,12.72
5487,2021-08-23,12.73,12.78,12.51,12.73
5486,2021-08-20,12.32,12.72,12.32,12.61
5485,2021-08-19,12.51,12.5862,12.29,12.36
5484,2021-08-18,12.78,12.85,12.55,12.57
5483,2021-08-17,12.75,12.8,12.55,12.78
5482,2021-08-16,12.69,12.9805,12.5666,12.82
5481,2021-08-13,12.96,12.96,12.78,12.81
5480,2021-08-12,13.02,13.02,12.85,12.98
5479,2021-08-11,13.16,13.22,12.92,13.08
5478,2021-08-10,12.9,13.2,12.85,13.15
5477,2021-08-09,13.2,13.2,12.81,12.9
5476,2021-08-06,12.85,13.25,12.7,13.18
5475,2021-08-05,12.71,12.94,12.58,12.66
5474,2021-08-04,12.905,12.93,12.56,12.58
5473,2021-08-03,12.9,13.16,12.71,13.04
5472,2021-08-02,13.16,13.35,12.86,12.87
5471,2021-07-30,13.02,13.34,13.02,13.07
5470,2021-07-29,12.94,13.16,12.94,13.03
5469,2021-07-28,12.99,12.99,12.6,12.87
5468,2021-07-27,12.92,13.05,12.7,12.86
5467,2021-07-26,12.61,12.89,12.61,12.89
5466,2021-07-23,12.48,12.54,12.34,12.53
5465,2021-07-22,12.63,12.77,12.38,12.49
5464,2021-07-21,12.62,12.85,12.6,12.64
5463,2021-07-20,12.47,12.78,12.38,12.46
5462,2021-07-19,12.52,12.68,12.28,12.38
5461,2021-07-16,13.2,13.2,12.83,12.86
5460,2021-07-15,12.88,13.1,12.87,13.05
5459,2021-07-14,13.16,13.35,12.93,12.94
5458,2021-07-13,13.16,13.21,12.96,13.13
5457,2021-07-12,12.99,13.14,12.88,13.12
5456,2021-07-09,12.87,13.1,12.87,12.97
5455,2021-07-08,12.76,12.78,12.6,12.72
5454,2021-07-07,13.01,13.19,12.81,12.95
5453,2021-07-06,13.32,13.32,12.88,13.07
5452,2021-07-02,13.76,13.76,13.33,13.34
5451,2021-07-01,13.88,13.93,13.685,13.71
5450,2021-06-30,13.58,13.92,13.58,13.77
5449,2021-06-29,13.58,13.69,13.525,13.57
5448,2021-06-28,13.85,13.85,13.47,13.51
5447,2021-06-25,14.02,14.16,13.88,13.88
5446,2021-06-24,14.04,14.0518,13.68,13.91
5445,2021-06-23,14.27,14.3304,13.97,13.97
5444,2021-06-22,14.23,14.42,13.94,14.16
5443,2021-06-21,14.21,14.46,14.14,14.26
5442,2021-06-18,14.79,14.82,14.18,14.19
5441,2021-06-17,15.24,15.3126,14.58,14.83
5440,2021-06-16,16.01,16.01,15.44,15.44
5439,2021-06-15,15.49,16.14,15.41,16.05
5438,2021-06-14,15.64,15.71,15.31,15.41
5437,2021-06-11,15.24,15.58,15.22,15.56
5436,2021-06-10,15.25,15.35,15.06,15.16
5435,2021-06-09,15.32,15.32,15.1,15.12
5434,2021-06-08,15.31,15.508,15.16,15.29
5433,2021-06-07,15.65,15.66,15.3,15.32
5432,2021-06-04,15.79,15.79,15.53,15.66
5431,2021-06-03,15.38,15.7,15.3,15.69
5430,2021-06-02,15.7,15.7,15.36,15.48
5429,2021-06-01,15.36,15.74,15.26,15.65
5428,2021-05-28,15.37,15.37,15.185,15.24
5427,2021-05-27,15.51,15.61,15.27,15.33
5426,2021-05-26,15.05,15.52,15.0,15.33
5425,2021-05-25,15.55,15.64,15.06,15.07
5424,2021-05-24,15.61,15.64,15.45,15.5
5423,2021-05-21,15.51,15.83,15.51,15.64
5422,2021-05-20,15.4,15.49,15.22,15.42
5421,2021-05-19,15.3,15.47,15.04,15.35
5420,2021-05-18,16.08,16.215,15.49,15.5
5419,2021-05-17,15.63,16.17,15.63,16.08
5418,2021-05-14,15.41,15.82,15.373,15.7
5417,2021-05-13,14.85,15.37,14.84,15.28
5416,2021-05-12,15.24,15.37,14.81,14.83
5415,2021-05-11,14.68,15.29,14.68,15.29
5414,2021-05-10,15.11,15.26,14.8,14.8
5413,2021-05-07,15.47,15.5,14.97,15.1
5412,2021-05-06,15.32,15.47,15.12,15.45
5411,2021-05-05,15.33,15.42,15.2,15.28
5410,2021-05-04,15.1,15.44,15.0,15.36
5409,2021-05-03,14.78,15.22,14.78,15.09
5408,2021-04-30,14.81,15.0136,14.57,14.62
5407,2021-04-29,14.97,14.97,14.61,14.81
5406,2021-04-28,14.6,14.815,14.54,14.74
5405,2021-04-27,14.71,14.9149,14.505,14.62
5404,2021-04-26,15.0,15.13,14.73,14.78
5403,2021-04-23,14.91,15.15,14.88,14.93
5402,2021-04-22,15.3,15.42,14.85,14.88
5401,2021-04-21,14.94,15.27,14.94,15.21
5400,2021-04-20,15.02,15.165,14.75,14.88
5399,2021-04-19,15.42,15.42,15.06,15.1
5398,2021-04-16,15.39,15.57,15.14,15.48
5397,2021-04-15,15.38,15.38,15.09,15.22
5396,2021-04-14,15.19,15.47,15.1337,15.21
5395,2021-04-13,15.44,15.445,15.05,15.16
5394,2021-04-12,15.25,15.46,15.19,15.38
5393,2021-04-09,15.15,15.405,15.12,15.23
5392,2021-04-08,14.88,15.13,14.51,15.1
5391,2021-04-07,15.32,15.44,14.78,14.88
5390,2021-04-06,15.25,15.42,15.2,15.28
5389,2021-04-05,15.56,15.67,15.0,15.24
5388,2021-04-01,15.03,15.39,14.89,15.37
5387,2021-03-31,15.1,15.36,14.89,15.01
5386,2021-03-30,15.19,15.3999,15.08,15.11
5385,2021-03-29,15.62,15.99,15.18,15.19
5384,2021-03-26,15.65,15.73,15.33,15.69
5383,2021-03-25,15.08,15.65,15.0,15.45
5382,2021-03-24,15.43,15.98,15.16,15.22
5381,2021-03-23,15.7,15.906,15.18,15.24
5380,2021-03-22,16.32,16.33,15.66,15.8
5379,2021-03-19,16.62,16.62,16.0,16.37
5378,2021-03-18,16.65,17.205,16.5,16.61
5377,2021-03-17,17.23,17.39,16.54,16.68
5376,2021-03-16,17.47,17.54,17.0326,17.26
5375,2021-03-15,17.83,17.91,17.21,17.55
5374,2021-03-12,18.1,18.2,17.67,17.82
5373,2021-03-11,18.35,18.38,17.81,18.11
5372,2021-03-10,17.75,18.39,17.36,18.32
5371,2021-03-09,17.87,17.87,17.1,17.71
5370,2021-03-08,17.15,17.89,17.15,17.79
5369,2021-03-05,16.62,17.205,16.3634,17.14
