,Date,Open,High,Low,Close
386,2021-06-10,11.75,11.75,11.75,11.75
385,2021-06-09,11.21,12.49,11.21,12.03
384,2021-06-08,11.7,11.7,11.55,11.55
383,2021-06-07,10.96,10.96,10.96,10.96
382,2021-06-04,10.8901,11.6027,10.8901,11.6027
381,2021-06-03,12.3547,12.3547,12.3547,12.3547
380,2021-06-02,12.3547,12.3547,12.3547,12.3547
379,2021-06-01,12.3547,12.3547,12.3547,12.3547
378,2021-05-28,10.86,10.86,10.86,10.86
377,2021-05-27,10.75,10.75,10.75,10.75
376,2021-05-26,10.82,11.8745,10.75,10.75
375,2021-05-25,11.05,11.05,11.05,11.05
374,2021-05-24,10.8,10.8,10.8,10.8
373,2021-05-21,10.77,10.7795,10.77,10.7795
372,2021-05-20,11.082,11.082,11.082,11.082
371,2021-05-19,10.76,10.76,10.76,10.76
370,2021-05-18,10.52,10.52,10.52,10.52
369,2021-05-17,10.52,10.52,10.52,10.52
368,2021-05-14,10.52,10.52,10.52,10.52
367,2021-05-13,11.4458,11.4458,10.6201,10.7146
366,2021-05-12,11.1,11.1,11.0,11.0
365,2021-05-11,10.99,10.99,10.99,10.99
364,2021-05-10,10.6239,10.99,10.6239,10.99
363,2021-05-07,10.8,10.8,10.8,10.8
362,2021-05-06,11.15,11.15,11.15,11.15
361,2021-05-05,11.15,11.15,11.15,11.15
360,2021-05-04,11.15,11.15,11.15,11.15
359,2021-05-03,11.15,11.15,11.15,11.15
358,2021-04-30,11.15,11.15,11.15,11.15
357,2021-04-29,10.8,10.9,10.8,10.9
356,2021-04-28,11.17,11.17,10.99,11.0
355,2021-04-27,10.891,11.17,10.891,11.17
354,2021-04-26,11.948,11.948,11.948,11.948
353,2021-04-23,10.97,11.9899,10.97,11.948
352,2021-04-22,10.9699,10.9699,10.9699,10.9699
351,2021-04-21,10.88,10.9699,10.88,10.9699
350,2021-04-20,10.755,10.95,10.755,10.95
349,2021-04-19,10.5,10.9,10.5,10.9
348,2021-04-16,11.08,11.08,11.0,11.0106
347,2021-04-15,11.5,11.5065,11.0,11.0
346,2021-04-14,11.05,12.16,11.01,12.16
345,2021-04-13,11.18,11.3999,11.18,11.36
344,2021-04-12,12.3094,12.3094,12.3094,12.3094
343,2021-04-09,13.24,13.24,12.42,12.42
342,2021-04-08,12.112,13.1699,11.7,12.7
341,2021-04-07,12.78,12.78,12.78,12.78
340,2021-04-06,14.3,14.3,12.78,12.78
339,2021-04-05,13.8,13.8,12.075,12.674
338,2021-04-01,13.02,13.8321,12.5,12.75
337,2021-03-31,10.22,12.0,10.16,11.1
336,2021-03-30,10.23,11.0,10.1767,10.1767
335,2021-03-29,10.5,11.0,10.21,11.0
334,2021-03-26,11.0,11.0,11.0,11.0
333,2021-03-25,11.0,11.0173,11.0,11.0173
332,2021-03-24,11.6099,11.6099,11.4,11.4
331,2021-03-23,11.6435,11.6435,11.6435,11.6435
330,2021-03-22,12.3651,12.7,12.3651,12.7
329,2021-03-19,11.405,11.405,11.405,11.405
328,2021-03-18,11.04,11.405,11.04,11.405
327,2021-03-17,12.8796,12.8796,12.5199,12.5199
326,2021-03-16,12.22,12.22,12.22,12.22
325,2021-03-15,13.0,13.0,13.0,13.0
324,2021-03-12,13.16,13.5234,13.0,13.0
323,2021-03-11,12.44,12.5,12.0,12.0
322,2021-03-10,12.0999,12.0999,12.0999,12.0999
321,2021-03-09,11.75,12.0999,11.75,12.0999
320,2021-03-08,11.98,11.98,11.98,11.98
319,2021-03-05,11.702,11.98,11.5,11.98
