,Date,Open,High,Low,Close
423,2021-06-10,10.9,11.07,10.37,10.87
422,2021-06-09,10.46,11.12,10.2299,11.1
421,2021-06-08,10.2,10.81,10.13,10.35
420,2021-06-07,10.12,10.28,9.9885,10.03
419,2021-06-04,10.08,10.1,9.66,10.09
418,2021-06-03,10.1,10.14,10.1,10.12
417,2021-06-02,10.13,10.15,10.1,10.14
416,2021-06-01,10.12,10.15,10.1,10.12
415,2021-05-28,10.12,10.13,10.1,10.1
414,2021-05-27,10.09,10.1,10.09,10.1
413,2021-05-26,10.1,10.1,10.09,10.09
412,2021-05-25,10.08,10.1,10.08,10.09
411,2021-05-24,10.08,10.1,10.08,10.1
410,2021-05-21,10.08,10.09,10.07,10.08
409,2021-05-20,10.07,10.09,10.07,10.09
408,2021-05-19,10.07,10.0899,10.07,10.07
407,2021-05-18,10.07,10.08,10.07,10.07
406,2021-05-17,10.061,10.09,10.06,10.08
405,2021-05-14,10.07,10.08,10.06,10.07
404,2021-05-13,10.06,10.09,10.06,10.06
403,2021-05-12,10.07,10.075,10.06,10.06
402,2021-05-11,10.01,10.11,10.01,10.05
401,2021-05-10,10.05,10.13,10.05,10.12
400,2021-05-07,10.05,10.11,10.04,10.05
399,2021-05-06,10.05,10.06,10.03,10.05
398,2021-05-05,10.09,10.09,10.045,10.05
397,2021-05-04,10.04,10.07,10.04,10.05
396,2021-05-03,10.07,10.08,10.04,10.05
395,2021-04-30,10.05,10.085,10.04,10.04
394,2021-04-29,10.06,10.09,10.05,10.05
393,2021-04-28,10.07,10.115,10.05,10.06
392,2021-04-27,10.13,10.1829,10.05,10.05
391,2021-04-26,10.11,10.22,10.1,10.13
390,2021-04-23,10.07,10.16,10.06,10.1
389,2021-04-22,10.06,10.1,10.01,10.07
388,2021-04-21,10.03,10.1097,10.01,10.06
387,2021-04-20,10.02,10.07,10.0,10.03
386,2021-04-19,10.05,10.0968,10.0,10.04
385,2021-04-16,10.06,10.1,10.0,10.07
384,2021-04-15,10.21,10.23,10.05,10.05
383,2021-04-14,10.25,10.3,10.155,10.22
382,2021-04-13,10.24,10.36,10.1,10.26
381,2021-04-12,10.44,10.47,10.17,10.34
380,2021-04-09,10.51,10.53,10.23,10.37
379,2021-04-08,10.59,10.6399,10.43,10.5
378,2021-04-07,10.76,10.94,10.485,10.55
377,2021-04-06,10.98,11.11,10.66,10.7
376,2021-04-05,11.06,11.48,10.91,10.95
375,2021-04-01,10.98,11.54,10.86,10.91
374,2021-03-31,10.1,10.47,10.01,10.42
373,2021-03-30,10.05,10.14,9.94,10.08
372,2021-03-29,10.1,10.195,10.03,10.06
371,2021-03-26,10.13,10.295,9.92,10.22
370,2021-03-25,9.98,10.1599,9.8,10.1
369,2021-03-24,10.29,10.3499,10.115,10.13
368,2021-03-23,10.61,10.68,10.21,10.29
367,2021-03-22,10.67,10.88,10.46,10.67
366,2021-03-19,10.68,10.706,10.43,10.48
365,2021-03-18,10.84,10.92,10.54,10.63
364,2021-03-17,10.79,10.95,10.5,10.93
363,2021-03-16,11.225,11.28,10.7,10.88
362,2021-03-15,11.7925,11.8,11.17,11.36
361,2021-03-12,11.2,12.09,11.16,11.79
360,2021-03-11,10.7,11.3759,10.6,11.19
359,2021-03-10,10.73,10.73,10.48,10.54
358,2021-03-09,10.645,10.69,10.36,10.62
357,2021-03-08,10.41,10.6,10.235,10.36
356,2021-03-05,10.45,10.73,10.05,10.61
355,2021-03-04,10.15,10.5,9.93,10.5
354,2021-03-03,10.46,10.55,10.1603,10.23
353,2021-03-02,11.0,11.0,10.42,10.45
352,2021-03-01,10.81,10.98,10.7,10.92
351,2021-02-26,10.81,10.89,10.21,10.63
350,2021-02-25,11.01,11.14,10.51,10.7
349,2021-02-24,11.11,11.33,10.91,11.07
348,2021-02-23,10.9653,11.17,10.485,10.86
347,2021-02-22,11.2,11.64,11.2,11.28
346,2021-02-19,11.45,11.66,11.2,11.28
345,2021-02-18,11.51,11.6489,11.31,11.4
344,2021-02-17,11.72,11.91,11.45,11.77
343,2021-02-16,12.05,12.19,11.7701,11.93
342,2021-02-12,12.14,12.39,11.93,11.96
341,2021-02-11,11.75,12.82,11.36,12.59
340,2021-02-10,12.25,12.3,11.72,11.72
339,2021-02-09,11.8904,12.29,11.63,12.18
338,2021-02-08,12.2,12.34,11.8,11.85
337,2021-02-05,12.5,12.56,12.1,12.19
336,2021-02-04,12.45,12.73,12.4062,12.49
335,2021-02-03,12.34,12.73,12.14,12.47
334,2021-02-02,12.06,12.4799,12.06,12.34
333,2021-02-01,11.59,12.13,11.45,12.06
332,2021-01-29,11.18,11.6,11.12,11.24
331,2021-01-28,11.2,11.68,10.96,11.33
330,2021-01-27,11.49,11.8,10.8701,10.96
329,2021-01-26,12.2,12.2071,11.81,11.96
328,2021-01-25,12.7,12.76,11.98,12.23
327,2021-01-22,12.79,12.98,12.56,12.7
326,2021-01-21,13.0,13.0,12.77,12.86
325,2021-01-20,13.3685,13.63,13.005,13.06
324,2021-01-19,13.0199,13.6,12.76,13.4
323,2021-01-15,13.0,13.17,12.65,12.88
322,2021-01-14,13.06,13.65,12.95,13.18
321,2021-01-13,13.07,13.9,12.92,13.03
320,2021-01-12,13.05,13.2499,12.87,13.14
319,2021-01-11,13.1,13.97,12.97,13.08
318,2021-01-08,12.97,13.53,12.52,13.39
317,2021-01-07,13.13,13.48,12.82,13.0
316,2021-01-06,12.76,13.64,12.7,12.81
315,2021-01-05,12.55,13.35,12.49,13.13
314,2021-01-04,13.3065,13.5,12.45,12.95
313,2020-12-31,13.73,13.75,13.16,13.22
312,2020-12-30,13.59,14.0,13.32,13.75
311,2020-12-29,13.99,14.15,12.98,13.53
310,2020-12-28,13.98,14.9399,13.5,14.09
309,2020-12-24,12.71,12.95,12.31,12.85
308,2020-12-23,11.7,12.25,11.5,11.96
307,2020-12-22,11.49,11.7,11.14,11.3
306,2020-12-21,10.7,11.25,10.55,11.05
305,2020-12-18,10.56,10.59,10.38,10.5
304,2020-12-17,10.72,10.73,10.45,10.58
303,2020-12-16,10.939,10.95,10.57,10.61
302,2020-12-15,11.465,11.5,10.5,10.69
301,2020-12-14,10.47,10.495,10.35,10.42
300,2020-12-11,10.35,10.73,10.34,10.47
299,2020-12-10,10.4,10.4,10.27,10.35
298,2020-12-09,10.44,10.44,10.26,10.31
297,2020-12-08,10.35,10.42,10.25,10.306
296,2020-12-07,10.34,10.35,10.2366,10.32
295,2020-12-04,10.27,10.3,10.19,10.29
294,2020-12-03,10.29,10.29,10.2,10.29
293,2020-12-02,10.2212,10.4,10.15,10.21
292,2020-12-01,10.23,10.3,10.15,10.2
291,2020-11-30,10.25,10.3,10.2,10.28
290,2020-11-27,10.2411,10.3,10.24,10.24
289,2020-11-25,10.25,10.25,10.21,10.24
288,2020-11-24,10.1219,10.2,10.12,10.18
287,2020-11-23,10.152,10.2,10.1,10.14
286,2020-11-20,10.09,10.19,10.09,10.19
285,2020-11-19,10.07,10.16,10.05,10.13
284,2020-11-18,10.1004,10.12,10.07,10.12
283,2020-11-17,10.12,10.16,10.0722,10.16
282,2020-11-16,10.0702,10.19,10.0702,10.13
281,2020-11-13,10.15,10.175,10.08,10.08
280,2020-11-12,10.0946,10.0946,10.0946,10.0946
279,2020-11-11,10.0946,10.0946,10.0946,10.0946
278,2020-11-10,10.15,10.15,10.1,10.1
277,2020-11-09,10.1,10.13,10.1,10.1
276,2020-11-06,10.15,10.15,10.1,10.13
275,2020-11-05,10.02,10.18,10.02,10.14
274,2020-11-04,10.1,10.16,10.1,10.15
273,2020-11-03,10.12,10.17,10.12,10.17
272,2020-11-02,10.09,10.12,10.085,10.12
271,2020-10-30,10.0,10.14,10.0,10.09
270,2020-10-29,10.12,10.12,10.045,10.045
269,2020-10-28,10.1,10.13,10.05,10.1
268,2020-10-27,10.07,10.12,10.0445,10.1199
267,2020-10-26,10.15,10.15,10.05,10.13
266,2020-10-23,10.23,10.24,10.17,10.17
265,2020-10-22,10.11,10.2,10.09,10.16
264,2020-10-21,10.08,10.2,10.07,10.18
263,2020-10-20,10.0217,10.3,10.0217,10.21
262,2020-10-19,10.13,10.15,10.1,10.15
261,2020-10-16,10.0896,10.09,10.0715,10.08
260,2020-10-15,10.0691,10.1,10.0691,10.08
259,2020-10-14,10.12,10.16,10.08,10.08
258,2020-10-13,10.07,10.08,10.03,10.08
257,2020-10-12,10.0101,10.0802,10.0101,10.05
256,2020-10-09,10.185,10.185,10.01,10.07
255,2020-10-08,10.08,10.24,10.05,10.07
254,2020-10-07,10.24,10.24,10.09,10.16
253,2020-10-06,10.12,10.25,10.1,10.23
252,2020-10-05,10.36,10.37,10.15,10.23
251,2020-10-02,10.2,10.27,10.19,10.23
250,2020-10-01,10.2033,10.279,10.15,10.19
249,2020-09-30,10.3,10.3,10.2,10.2
248,2020-09-29,10.28,10.31,10.2712,10.2712
247,2020-09-28,10.2736,10.31,10.2736,10.31
246,2020-09-25,10.2427,10.25,10.17,10.25
245,2020-09-24,10.12,10.45,10.04,10.23
244,2020-09-23,10.25,10.25,10.22,10.22
243,2020-09-22,10.3,10.3,10.17,10.25
242,2020-09-21,10.35,10.35,10.25,10.3
