,Date,Open,High,Low,Close
2043,2021-12-31,3.56,3.65,3.519,3.56
2042,2021-12-30,3.64,3.69,3.53,3.56
2041,2021-12-29,3.57,4.09,3.57,3.71
2040,2021-12-28,3.2052,3.77,3.2005,3.545
2039,2021-12-27,3.3,3.33,3.12,3.205
2038,2021-12-23,3.48,3.52,3.29,3.31
2037,2021-12-22,3.42,3.42,3.25,3.37
2036,2021-12-21,3.25,3.45,3.2064,3.43
2035,2021-12-20,3.25,3.35,3.1,3.18
2034,2021-12-17,3.16,3.34,3.08,3.29
2033,2021-12-16,3.33,3.38,3.16,3.18
2032,2021-12-15,3.24,3.3394,3.1326,3.3
2031,2021-12-14,3.29,3.42,3.29,3.32
2030,2021-12-13,3.39,3.55,3.31,3.36
2029,2021-12-10,3.57,3.57,3.33,3.35
2028,2021-12-09,3.53,3.65,3.52,3.56
2027,2021-12-08,3.46,3.651,3.46,3.56
2026,2021-12-07,3.45,3.5499,3.39,3.45
2025,2021-12-06,3.55,3.7,3.3,3.39
2024,2021-12-03,3.56,3.7,3.475,3.55
2023,2021-12-02,3.55,3.635,3.45,3.55
2022,2021-12-01,3.78,3.81,3.5,3.54
2021,2021-11-30,3.85,3.85,3.61,3.69
2020,2021-11-29,4.12,4.25,3.86,3.87
2019,2021-11-26,4.07,4.09,3.88,4.0
2018,2021-11-24,3.91,4.19,3.91,4.16
2017,2021-11-23,3.99,4.06,3.895,3.98
2016,2021-11-22,4.08,4.19,3.9,3.99
2015,2021-11-19,4.04,4.06,3.95,3.95
2014,2021-11-18,4.28,4.41,3.96,4.08
2013,2021-11-17,4.64,4.66,4.25,4.26
2012,2021-11-16,4.68,4.79,4.46,4.65
2011,2021-11-15,5.04,5.06,4.68,4.8
2010,2021-11-12,5.49,5.49,4.82,4.95
2009,2021-11-11,4.55,5.2,4.55,4.9
2008,2021-11-10,4.55,4.85,4.22,4.49
2007,2021-11-09,4.5,4.84,4.495,4.76
2006,2021-11-08,4.2,4.5,4.2,4.47
2005,2021-11-05,4.19,4.35,4.13,4.15
2004,2021-11-04,4.1,4.35,4.0001,4.14
2003,2021-11-03,4.0,4.13,4.0,4.1
2002,2021-11-02,4.21,4.25,4.0,4.05
2001,2021-11-01,4.19,4.24,4.09,4.18
2000,2021-10-29,4.08,4.21,4.04,4.14
1999,2021-10-28,4.16,4.2,4.0244,4.06
1998,2021-10-27,4.16,4.29,4.02,4.14
1997,2021-10-26,3.95,4.22,3.91,4.16
1996,2021-10-25,3.68,4.02,3.6201,3.96
1995,2021-10-22,3.54,3.79,3.51,3.68
