,Date,Open,High,Low,Close
5270,2021-12-31,29.4,29.52,28.93,28.99
5269,2021-12-30,28.74,29.715,28.74,29.49
5268,2021-12-29,28.86,29.65,28.79,29.63
5267,2021-12-28,29.03,29.32,28.84,29.22
5266,2021-12-27,28.5,29.05,28.5,28.96
5265,2021-12-23,29.0,29.1,28.64,28.84
5264,2021-12-22,28.5,28.8088,28.5,28.72
5263,2021-12-21,28.87,28.94,28.29,28.55
5262,2021-12-20,27.95,28.33,27.93,28.3
5261,2021-12-17,28.29,28.4427,27.97,27.97
5260,2021-12-16,28.49,28.53,28.22,28.36
5259,2021-12-15,28.2,28.43,28.07,28.42
5258,2021-12-14,28.26,28.48,28.09,28.2
5257,2021-12-13,28.27,28.36,28.12,28.15
5256,2021-12-10,28.62,28.76,28.46,28.48
5255,2021-12-09,28.56,28.59,28.37,28.46
5254,2021-12-08,28.69,28.69,28.28,28.41
5253,2021-12-07,28.85,28.85,28.5,28.7
5252,2021-12-06,28.97,29.17,28.71,28.79
5251,2021-12-03,28.05,28.59,28.01,28.26
5250,2021-12-02,28.8,29.01,28.6,29.01
5249,2021-12-01,28.33,28.81,28.26,28.51
5248,2021-11-30,28.04,28.27,27.8,28.07
5247,2021-11-29,28.34,28.65,28.22,28.42
5246,2021-11-26,27.16,27.59,27.11,27.56
5245,2021-11-24,26.48,26.69,25.8,26.59
5244,2021-11-23,26.39,26.58,26.37,26.52
5243,2021-11-22,26.63,26.76,26.33,26.37
5242,2021-11-19,26.6,27.34,26.6,26.92
5241,2021-11-18,25.31,25.32,25.0,25.32
5240,2021-11-17,25.49,25.49,25.05,25.23
5239,2021-11-16,25.55,25.83,25.55,25.71
5238,2021-11-15,25.24,25.46,25.24,25.34
5237,2021-11-12,25.34,25.4,25.08,25.25
5236,2021-11-11,25.65,25.65,25.21,25.51
5235,2021-11-10,25.82,25.88,25.59,25.73
5234,2021-11-09,25.99,26.0094,25.765,25.84
5233,2021-11-08,26.025,26.2,25.98,26.07
5232,2021-11-05,26.1,26.21,25.83,25.93
5231,2021-11-04,26.03,26.15,25.67,25.84
5230,2021-11-03,25.56,25.925,25.56,25.88
5229,2021-11-02,25.61,25.72,25.32,25.33
5228,2021-11-01,25.96,26.03,25.72,25.74
5227,2021-10-29,26.49,26.64,26.185,26.29
5226,2021-10-28,26.35,26.38,26.01,26.13
5225,2021-10-27,26.72,26.72,26.46,26.47
5224,2021-10-26,26.79,26.97,26.77,26.81
5223,2021-10-25,26.85,26.86,26.6,26.62
5222,2021-10-22,27.13,27.33,27.09,27.09
5221,2021-10-21,26.99,27.03,26.85,26.95
5220,2021-10-20,26.68,26.87,26.61,26.82
5219,2021-10-19,26.66,26.66,26.47,26.62
5218,2021-10-18,26.76,26.82,26.67,26.79
5217,2021-10-15,27.04,27.07,26.91,26.93
