,Date,Open,High,Low,Close
454,2021-12-31,0.1513,0.1679,0.1373,0.146
453,2021-12-30,0.1601,0.17,0.1501,0.1513
452,2021-12-29,0.1887,0.1887,0.12,0.1744
451,2021-12-28,0.1509,0.1893,0.1509,0.1893
450,2021-12-27,0.18,0.1899,0.1696,0.1899
449,2021-12-23,0.18,0.1984,0.18,0.18
448,2021-12-22,0.18,0.1895,0.1503,0.1895
447,2021-12-21,0.1705,0.2,0.1702,0.1791
446,2021-12-20,0.172,0.2,0.1612,0.2
445,2021-12-17,0.2004,0.2004,0.2004,0.2004
444,2021-12-16,0.2103,0.219,0.1816,0.2
443,2021-12-15,0.2443,0.2689,0.2003,0.2199
442,2021-12-14,0.205,0.2102,0.205,0.2102
441,2021-12-13,0.2794,0.2794,0.205,0.205
440,2021-12-10,0.26,0.27,0.228,0.2326
439,2021-12-09,0.25,0.2789,0.25,0.261
438,2021-12-08,0.2849,0.2849,0.23,0.2576
437,2021-12-07,0.2849,0.2849,0.2514,0.2708
436,2021-12-06,0.28,0.2887,0.2402,0.2699
435,2021-12-03,0.2943,0.2943,0.28,0.289
434,2021-12-02,0.29,0.2978,0.2611,0.2843
433,2021-12-01,0.2978,0.2978,0.2611,0.2611
432,2021-11-30,0.289,0.2978,0.289,0.297
431,2021-11-29,0.2999,0.2999,0.2604,0.2893
430,2021-11-26,0.2971,0.3093,0.2743,0.299
429,2021-11-24,0.2237,0.3093,0.2237,0.2878
428,2021-11-23,0.2795,0.2839,0.22,0.2748
427,2021-11-22,0.3238,0.3238,0.26,0.2787
426,2021-11-19,0.3085,0.31,0.272,0.31
425,2021-11-18,0.3199,0.3199,0.27,0.3
424,2021-11-17,0.3389,0.3389,0.2916,0.3147
423,2021-11-16,0.309,0.3254,0.29,0.322
422,2021-11-15,0.3489,0.3493,0.27,0.309
421,2021-11-12,0.2887,0.3787,0.2804,0.3314
420,2021-11-11,0.3184,0.3191,0.26,0.2801
419,2021-11-10,0.31,0.3451,0.2802,0.2802
418,2021-11-09,0.31,0.314,0.3088,0.3088
417,2021-11-08,0.33,0.3594,0.3,0.3296
416,2021-11-05,0.3292,0.3292,0.3087,0.31
415,2021-11-04,0.3279,0.3279,0.2902,0.3099
414,2021-11-03,0.3205,0.3349,0.2869,0.328
413,2021-11-02,0.339,0.339,0.3011,0.3016
412,2021-11-01,0.35,0.35,0.3102,0.3379
411,2021-10-29,0.3,0.3339,0.3,0.3018
410,2021-10-28,0.31,0.338,0.2988,0.301
409,2021-10-27,0.3,0.3197,0.295,0.2994
408,2021-10-26,0.33,0.33,0.285,0.3
407,2021-10-25,0.32,0.3201,0.295,0.31
406,2021-10-22,0.3299,0.3299,0.29,0.29
405,2021-10-21,0.3299,0.33,0.2901,0.312
404,2021-10-20,0.3199,0.3299,0.2897,0.3298
403,2021-10-19,0.32,0.32,0.2801,0.29
402,2021-10-18,0.33,0.33,0.29,0.29
401,2021-10-15,0.33,0.33,0.3288,0.3288
400,2021-10-14,0.3011,0.34,0.3001,0.31
399,2021-10-13,0.355,0.355,0.3023,0.3066
398,2021-10-12,0.3201,0.3349,0.315,0.3151
397,2021-10-11,0.3222,0.335,0.31,0.335
396,2021-10-08,0.3576,0.3576,0.3151,0.3293
395,2021-10-07,0.31,0.36,0.31,0.3293
394,2021-10-06,0.303,0.303,0.263,0.3002
393,2021-10-05,0.3009,0.305,0.3002,0.3008
392,2021-10-04,0.31,0.33,0.295,0.33
391,2021-10-01,0.3356,0.36,0.31,0.3101
390,2021-09-30,0.3001,0.3395,0.3001,0.3249
389,2021-09-29,0.3397,0.345,0.31,0.3199
388,2021-09-28,0.3099,0.3448,0.3055,0.3106
387,2021-09-27,0.3487,0.3499,0.31,0.3179
386,2021-09-24,0.3349,0.35,0.3139,0.3426
385,2021-09-23,0.322,0.322,0.3219,0.322
384,2021-09-22,0.3256,0.3256,0.3143,0.3237
383,2021-09-21,0.312,0.3497,0.312,0.3249
382,2021-09-20,0.3101,0.3535,0.305,0.3499
381,2021-09-17,0.3101,0.3494,0.3101,0.3365
380,2021-09-16,0.33,0.33,0.31,0.312
379,2021-09-15,0.3235,0.3235,0.3235,0.3235
378,2021-09-14,0.3328,0.34,0.3315,0.3315
377,2021-09-13,0.3201,0.3399,0.31,0.3388
376,2021-09-10,0.3659,0.3891,0.324,0.326
375,2021-09-09,0.3603,0.3799,0.3603,0.3715
374,2021-09-08,0.3603,0.37,0.3603,0.3603
373,2021-09-07,0.36,0.38,0.36,0.3602
372,2021-09-03,0.3501,0.3801,0.3501,0.37
371,2021-09-02,0.347,0.399,0.3469,0.376
370,2021-09-01,0.349,0.35,0.3112,0.3467
369,2021-08-31,0.3399,0.3399,0.31,0.3252
368,2021-08-30,0.338,0.338,0.3103,0.32
367,2021-08-27,0.36,0.36,0.2941,0.3105
366,2021-08-26,0.35,0.368,0.33,0.3352
365,2021-08-25,0.37,0.37,0.3599,0.36
364,2021-08-24,0.35,0.36,0.35,0.3599
363,2021-08-23,0.3999,0.3999,0.3401,0.35
362,2021-08-20,0.368,0.368,0.3303,0.34
361,2021-08-19,0.389,0.389,0.3358,0.34
360,2021-08-18,0.39,0.418,0.3612,0.39
359,2021-08-17,0.452,0.452,0.3505,0.4299
358,2021-08-16,0.59,0.63,0.41,0.41
357,2021-08-13,0.5116,0.59,0.3997,0.4
356,2021-08-12,0.6915,0.6916,0.6915,0.6916
355,2021-08-11,0.662,0.705,0.662,0.705
354,2021-08-10,0.6871,0.7744,0.6601,0.7
353,2021-08-09,0.721,0.75,0.71,0.75
352,2021-08-06,0.71,0.7599,0.7,0.7599
351,2021-08-05,0.7195,0.7195,0.6701,0.7178
350,2021-08-04,0.74,0.74,0.69,0.69
349,2021-08-03,0.74,0.8,0.69,0.7
348,2021-08-02,0.76,0.8005,0.74,0.74
347,2021-07-30,0.82,0.82,0.6982,0.75
346,2021-07-29,0.8001,0.8699,0.7501,0.7501
345,2021-07-28,0.7802,0.8798,0.7802,0.8699
344,2021-07-27,0.8,0.8735,0.8,0.8734
343,2021-07-26,0.8011,0.8899,0.8,0.8899
342,2021-07-23,0.89,0.89,0.8111,0.858
341,2021-07-22,0.8112,0.8597,0.8112,0.84
340,2021-07-21,0.84,0.88,0.8111,0.855
339,2021-07-20,0.89,0.9595,0.87,0.8889
338,2021-07-19,0.9251,0.98,0.8713,0.8899
337,2021-07-16,0.935,0.935,0.857,0.88
336,2021-07-15,0.8645,0.88,0.8645,0.88
335,2021-07-14,0.8511,0.91,0.8399,0.9
334,2021-07-13,0.881,0.9061,0.8,0.89
