,Date,Open,High,Low,Close
487,2021-12-31,1.32,1.36,1.26,1.28
486,2021-12-30,1.24,1.365,1.23,1.31
485,2021-12-29,1.32,1.32,1.22,1.24
484,2021-12-28,1.31,1.35,1.3,1.31
483,2021-12-27,1.37,1.38,1.3,1.33
482,2021-12-23,1.38,1.44,1.36,1.37
481,2021-12-22,1.4,1.43,1.3708,1.4
480,2021-12-21,1.45,1.5,1.39,1.42
479,2021-12-20,1.44,1.47,1.39,1.39
478,2021-12-17,1.57,1.58,1.48,1.505
477,2021-12-16,1.56,1.6,1.44,1.55
476,2021-12-15,1.39,1.62,1.37,1.6
475,2021-12-14,1.8,1.84,1.35,1.36
474,2021-12-13,1.93,1.95,1.84,1.85
473,2021-12-10,1.97,1.98,1.865,1.93
472,2021-12-09,1.985,2.07,1.905,1.94
471,2021-12-08,2.185,2.185,1.96,1.98
470,2021-12-07,2.0,2.19,1.97,2.12
469,2021-12-06,1.91,2.02,1.82,2.01
468,2021-12-03,1.94,1.99,1.78,1.94
467,2021-12-02,1.96,1.995,1.835,1.92
466,2021-12-01,2.08,2.1,1.9201,1.96
465,2021-11-30,2.09,2.11,1.965,2.03
464,2021-11-29,2.12,2.13,1.96,2.11
463,2021-11-26,2.09,2.17,2.02,2.08
462,2021-11-24,2.18,2.18,2.04,2.14
461,2021-11-23,2.2,2.2009,2.02,2.1
460,2021-11-22,2.47,2.51,2.18,2.2
459,2021-11-19,2.58,2.58,2.45,2.56
458,2021-11-18,2.82,2.82,2.55,2.56
457,2021-11-17,2.98,2.98,2.8023,2.84
456,2021-11-16,2.76,2.98,2.67,2.97
455,2021-11-15,2.83,2.97,2.63,2.74
454,2021-11-12,2.28,2.9499,2.28,2.82
453,2021-11-11,2.16,2.255,2.13,2.13
452,2021-11-10,2.29,2.32,2.15,2.17
451,2021-11-09,2.58,2.58,2.24,2.32
450,2021-11-08,2.57,2.57,2.35,2.42
449,2021-11-05,2.4,2.679,2.39,2.54
448,2021-11-04,2.36,2.4,2.3,2.32
447,2021-11-03,2.25,2.36,2.21,2.35
446,2021-11-02,2.32,2.32,2.17,2.26
445,2021-11-01,2.25,2.32,2.215,2.32
444,2021-10-29,2.05,2.23,2.05,2.2
443,2021-10-28,1.96,2.09,1.935,2.09
442,2021-10-27,2.07,2.07,1.92,1.96
441,2021-10-26,2.0,2.15,1.97,2.06
440,2021-10-25,2.01,2.02,1.96,1.98
