,Date,Open,High,Low,Close
1265,2021-08-09,65.97,65.97,65.97,65.97
1264,2021-08-06,65.97,65.97,65.97,65.97
1263,2021-08-05,65.97,65.97,65.97,65.97
1262,2021-08-04,65.97,65.97,65.97,65.97
1261,2021-08-03,65.97,65.97,65.97,65.97
1260,2021-08-02,65.97,65.97,65.97,65.97
1259,2021-07-30,65.97,65.97,65.97,65.97
1258,2021-07-29,65.85,66.03,65.85,65.97
1257,2021-07-28,65.615,66.0,65.615,65.96
1256,2021-07-27,65.93,65.95,65.87,65.92
1255,2021-07-26,65.91,65.94,65.9,65.92
1254,2021-07-23,65.92,65.95,65.9,65.91
1253,2021-07-22,65.95,65.95,65.87,65.92
1252,2021-07-21,65.89,65.92,65.88,65.9
1251,2021-07-20,65.81,65.91,65.81,65.88
1250,2021-07-19,65.43,65.68,65.43,65.65
1249,2021-07-16,65.54,65.65,65.5,65.65
1248,2021-07-15,65.47,65.59,65.385,65.5
1247,2021-07-14,65.57,65.6,65.46,65.47
1246,2021-07-13,65.43,65.62,65.43,65.51
1245,2021-07-12,64.905,65.65,64.905,65.63
1244,2021-07-09,65.51,65.65,65.45,65.48
1243,2021-07-08,65.57,65.57,65.435,65.55
1242,2021-07-07,65.6,65.66,65.56,65.65
1241,2021-07-06,65.57,65.635,65.55,65.62
1240,2021-07-02,65.5,65.76,65.5,65.56
1239,2021-07-01,65.45,65.81,65.4,65.58
1238,2021-06-30,65.46,65.74,65.18,65.6
1237,2021-06-29,65.4,65.6,65.385,65.52
1236,2021-06-28,65.4,65.485,65.4,65.4
1235,2021-06-25,65.42,65.563,65.28,65.4
1234,2021-06-24,65.45,65.49,65.4,65.47
1233,2021-06-23,65.42,65.45,65.39,65.4
1232,2021-06-22,65.38,65.45,65.38,65.4
1231,2021-06-21,65.32,65.49,65.32,65.42
1230,2021-06-18,65.2,65.61,65.15,65.34
1229,2021-06-17,65.15,65.4,65.15,65.38
1228,2021-06-16,65.25,65.35,65.25,65.34
1227,2021-06-15,65.26,65.4,65.12,65.34
1226,2021-06-14,65.485,65.485,65.3,65.4
1225,2021-06-11,65.36,65.4,65.18,65.35
1224,2021-06-10,65.15,65.31,65.15,65.3
1223,2021-06-09,65.14,65.3,65.1,65.19
1222,2021-06-08,65.1,65.25,65.07,65.13
1221,2021-06-07,65.08,65.305,65.08,65.19
1220,2021-06-04,64.98,65.25,64.98,65.15
1219,2021-06-03,64.98,65.25,64.955,65.16
1218,2021-06-02,65.0,65.07,64.92,64.99
1217,2021-06-01,64.97,65.235,64.9,65.05
