,Date,Open,High,Low,Close
870,2021-12-31,7.21,7.485,7.03,7.03
869,2021-12-30,7.02,7.56,7.0,7.28
868,2021-12-29,7.27,7.38,6.97,7.05
867,2021-12-28,7.55,7.68,7.25,7.28
866,2021-12-27,7.8458,7.85,7.525,7.61
865,2021-12-23,7.7637,7.955,7.53,7.84
864,2021-12-22,7.75,7.89,7.58,7.74
863,2021-12-21,7.5,7.93,7.47,7.85
862,2021-12-20,7.71,7.825,7.31,7.46
861,2021-12-17,7.68,8.11,7.4,7.98
860,2021-12-16,8.19,8.395,7.76,7.88
859,2021-12-15,8.03,8.23,7.67,8.14
858,2021-12-14,8.015,8.435,7.94,8.05
857,2021-12-13,8.54,8.58,8.08,8.29
856,2021-12-10,8.99,9.0682,8.51,8.62
855,2021-12-09,9.5,9.75,8.92,8.94
854,2021-12-08,9.54,9.935,9.23,9.61
853,2021-12-07,9.32,9.6379,9.25,9.44
852,2021-12-06,8.8,9.35,8.44,9.15
851,2021-12-03,9.51,9.5473,8.69,8.95
850,2021-12-02,9.26,9.6,9.1,9.54
849,2021-12-01,10.2,10.26,9.1334,9.27
848,2021-11-30,10.19,10.5107,9.65,10.12
847,2021-11-29,10.6,10.62,10.03,10.25
846,2021-11-26,10.432,10.73,10.3,10.57
845,2021-11-24,10.53,11.05,10.32,10.9
844,2021-11-23,10.4735,10.91,10.24,10.5
843,2021-11-22,11.2,11.2,10.22,10.49
842,2021-11-19,11.2,11.4,10.7,10.93
841,2021-11-18,11.92,12.14,10.7,10.9
840,2021-11-17,12.73,13.15,12.3,12.34
839,2021-11-16,12.78,13.3,12.26,12.97
838,2021-11-15,13.37,13.95,12.97,13.03
837,2021-11-12,12.57,13.07,12.11,12.94
836,2021-11-11,11.67,12.125,11.57,11.86
835,2021-11-10,11.99,12.4501,11.4,11.52
834,2021-11-09,12.14,12.705,11.51,12.38
833,2021-11-08,10.74,12.57,10.685,12.37
832,2021-11-05,10.75,10.77,10.16,10.7
831,2021-11-04,11.1285,11.28,10.695,10.81
830,2021-11-03,10.38,11.09,10.315,10.86
829,2021-11-02,10.72,10.725,10.235,10.42
828,2021-11-01,10.24,10.88,10.1,10.75
827,2021-10-29,10.43,10.64,10.22,10.3
826,2021-10-28,10.33,10.57,10.19,10.5
825,2021-10-27,10.7,10.83,10.29,10.3
824,2021-10-26,11.07,11.14,10.58,10.71
823,2021-10-25,11.05,11.29,10.88,11.0
822,2021-10-22,11.53,11.53,10.94,11.08
821,2021-10-21,11.455,12.16,11.42,11.56
820,2021-10-20,11.55,11.8,11.02,11.59
819,2021-10-19,10.17,11.83,10.03,11.66
818,2021-10-18,10.21,10.239,9.975,10.07
817,2021-10-15,10.46,10.53,10.19,10.24
816,2021-10-14,10.42,10.81,10.3714,10.39
815,2021-10-13,10.34,10.539,10.2,10.29
814,2021-10-12,10.16,10.56,10.12,10.28
813,2021-10-11,10.37,10.61,10.15,10.16
812,2021-10-08,10.85,11.08,10.46,10.49
811,2021-10-07,10.82,11.4175,10.37,11.02
810,2021-10-06,10.9,10.94,10.68,10.79
809,2021-10-05,10.75,11.34,10.6807,11.1
808,2021-10-04,11.02,11.11,10.68,10.74
807,2021-10-01,11.29,11.37,10.84,11.15
806,2021-09-30,11.17,11.53,10.95,11.29
805,2021-09-29,11.73,11.77,11.09,11.11
804,2021-09-28,12.04,12.19,11.6,11.63
803,2021-09-27,11.7,12.27,11.6506,12.22
802,2021-09-24,11.85,11.98,11.64,11.67
801,2021-09-23,12.2,12.4,11.87,12.02
800,2021-09-22,11.28,11.88,11.25,11.63
799,2021-09-21,11.23,11.54,11.03,11.22
798,2021-09-20,11.755,11.77,11.02,11.23
797,2021-09-17,12.0,12.199,11.75,12.17
796,2021-09-16,12.0,12.24,11.9,12.01
795,2021-09-15,11.76,12.185,11.68,12.03
794,2021-09-14,12.26,12.3101,11.72,11.74
793,2021-09-13,12.44,12.47,11.92,12.23
792,2021-09-10,12.96,12.96,12.4,12.41
791,2021-09-09,12.94,13.15,12.76,12.86
790,2021-09-08,13.22,13.33,12.77,12.8
789,2021-09-07,13.6,13.67,13.17,13.3
788,2021-09-03,13.75,14.16,13.44,13.59
787,2021-09-02,13.66,14.27,13.45,13.85
786,2021-09-01,13.74,14.2,13.51,13.57
785,2021-08-31,13.09,14.19,12.955,13.69
784,2021-08-30,13.51,13.51,12.9,13.13
783,2021-08-27,13.22,13.64,13.12,13.42
782,2021-08-26,13.45,13.765,13.06,13.25
781,2021-08-25,13.665,13.82,13.37,13.54
780,2021-08-24,13.44,13.81,13.25,13.805
779,2021-08-23,12.93,13.42,12.8,13.37
778,2021-08-20,12.8,13.0399,12.55,12.83
777,2021-08-19,13.04,13.36,12.62,12.68
776,2021-08-18,13.91,14.06,13.17,13.26
775,2021-08-17,12.96,13.36,12.78,13.12
774,2021-08-16,13.23,13.53,13.02,13.12
773,2021-08-13,14.05,14.05,13.24,13.3
772,2021-08-12,14.2794,14.33,13.92,14.1
771,2021-08-11,14.81,14.81,14.27,14.3
770,2021-08-10,14.61,15.21,14.45,14.79
769,2021-08-09,14.28,14.71,13.88,14.71
768,2021-08-06,14.54,14.64,14.1,14.42
767,2021-08-05,13.99,14.75,13.88,14.47
766,2021-08-04,14.11,14.565,13.88,13.96
765,2021-08-03,14.55,14.58,13.92,14.25
764,2021-08-02,14.66,15.25,14.44,14.61
763,2021-07-30,15.03,15.509,14.42,14.61
762,2021-07-29,16.605,16.67,15.28,15.42
761,2021-07-28,14.27,16.49,14.02,16.01
760,2021-07-27,13.49,13.65,12.5409,12.73
759,2021-07-26,13.4452,14.13,13.24,13.7
758,2021-07-23,13.96,13.96,13.26,13.59
757,2021-07-22,14.45,14.53,13.77,13.88
756,2021-07-21,14.16,14.89,13.94,14.6
755,2021-07-20,13.64,14.24,13.03,14.16
754,2021-07-19,13.36,13.79,13.19,13.6
753,2021-07-16,14.365,14.62,13.715,13.91
752,2021-07-15,14.97,15.34,13.9707,14.4
751,2021-07-14,16.76,16.8,14.95,15.01
750,2021-07-13,16.5,17.42,16.19,16.32
749,2021-07-12,16.02,16.39,15.7297,16.24
748,2021-07-09,16.24,16.37,15.85,16.17
747,2021-07-08,15.48,16.39,15.41,16.25
746,2021-07-07,16.75,16.94,15.84,16.23
745,2021-07-06,17.14,17.48,16.69,16.72
744,2021-07-02,17.83,17.9092,17.19,17.23
743,2021-07-01,18.0287,18.45,17.6,17.835
742,2021-06-30,17.9034,18.402,17.28,18.08
741,2021-06-29,18.67,19.24,17.78,17.86
740,2021-06-28,18.18,19.1402,18.04,18.63
739,2021-06-25,18.157,18.37,17.74,18.2
738,2021-06-24,17.96,18.68,17.72,18.26
737,2021-06-23,17.61,18.17,17.44,17.61
736,2021-06-22,17.25,17.49,16.84,17.43
735,2021-06-21,16.81,17.5,16.32,17.37
734,2021-06-18,17.5,17.755,16.842,16.91
733,2021-06-17,18.02,18.36,17.41,17.47
732,2021-06-16,17.92,18.69,17.64,18.13
731,2021-06-15,18.7,19.25,17.83,17.98
730,2021-06-14,19.9,20.3,18.88,19.16
729,2021-06-11,19.9,20.2,19.36,19.89
728,2021-06-10,21.4,21.44,19.79,20.05
727,2021-06-09,20.67,23.04,20.43,21.43
726,2021-06-08,20.21,20.51,19.271,20.22
725,2021-06-07,19.07,20.18,18.53,19.72
724,2021-06-04,20.21,20.47,18.42,18.8
723,2021-06-03,20.665,22.1401,19.1,19.72
722,2021-06-02,17.245,19.14,17.1425,19.0
721,2021-06-01,17.13,17.74,16.695,16.98
720,2021-05-28,17.16,18.74,16.67,16.67
719,2021-05-27,17.0,17.1958,16.155,17.17
718,2021-05-26,15.76,16.73,15.49,16.67
717,2021-05-25,15.09,16.46,15.07,15.46
716,2021-05-24,15.25,15.44,14.62,15.03
715,2021-05-21,15.08,15.44,14.7691,15.23
714,2021-05-20,15.1,15.56,14.79,14.94
713,2021-05-19,15.05,15.31,14.68,15.02
712,2021-05-18,15.05,15.87,14.85,15.58
711,2021-05-17,14.0,15.18,13.75,15.16
710,2021-05-14,13.96,14.4627,13.69,13.93
709,2021-05-13,14.64,15.1173,13.41,13.68
708,2021-05-12,15.37,15.67,14.48,14.53
707,2021-05-11,13.9,15.71,13.82,15.66
706,2021-05-10,16.4,16.43,14.87,15.04
705,2021-05-07,15.3,17.02,15.04,16.18
704,2021-05-06,15.6,15.7,13.83,14.15
703,2021-05-05,16.18,16.66,15.87,15.9
702,2021-05-04,16.66,17.02,15.86,16.1
701,2021-05-03,18.56,18.63,16.86,17.02
700,2021-04-30,18.28,19.26,17.98,18.34
699,2021-04-29,18.775,18.92,17.63,18.65
698,2021-04-28,17.79,19.57,17.4,19.32
697,2021-04-27,18.17,18.41,17.29,17.72
696,2021-04-26,17.13,17.86,16.9214,17.85
695,2021-04-23,16.51,17.27,16.2201,17.07
694,2021-04-22,17.04,17.14,16.13,16.46
693,2021-04-21,15.53,16.82,15.17,16.82
692,2021-04-20,18.0,18.2,15.6301,15.89
691,2021-04-19,17.26,18.49,16.87,17.44
690,2021-04-16,16.76,17.285,16.26,17.2
689,2021-04-15,17.68,18.45,16.93,16.94
688,2021-04-14,18.09,18.13,17.32,17.4
687,2021-04-13,16.39,18.5301,16.28,18.32
686,2021-04-12,18.0,18.21,17.1,17.19
685,2021-04-09,19.7,20.68,19.4031,19.76
684,2021-04-08,19.8963,20.1894,19.08,19.77
683,2021-04-07,20.925,20.98,19.57,19.76
682,2021-04-06,21.8127,22.07,20.91,21.14
681,2021-04-05,22.81,22.85,21.62,22.07
680,2021-04-01,23.4196,23.63,22.15,22.34
679,2021-03-31,23.03,24.13,22.52,22.73
678,2021-03-30,21.6207,22.58,21.15,22.04
677,2021-03-29,22.1514,23.35,21.56,21.63
676,2021-03-26,23.28,23.3749,21.094,22.08
675,2021-03-25,21.23,22.9,20.9,22.83
674,2021-03-24,23.3863,24.48,22.1,22.19
673,2021-03-23,23.52,24.68,22.28,23.22
672,2021-03-22,25.5493,26.03,23.82,23.9
671,2021-03-19,25.45,26.34,24.68,25.35
670,2021-03-18,26.95,28.14,25.15,25.32
669,2021-03-17,25.79,28.04,25.0,27.47
668,2021-03-16,30.52,30.55,26.17,26.97
667,2021-03-15,27.24,31.34,26.93,30.465
666,2021-03-12,26.28,29.44,25.66,27.57
665,2021-03-11,24.7735,28.3,24.31,28.195
664,2021-03-10,26.74,27.11,23.11,24.1
663,2021-03-09,23.23,25.04,23.02,24.41
662,2021-03-08,21.73,23.42,20.8,22.42
661,2021-03-05,22.99,23.22,18.23,21.63
660,2021-03-04,24.95,25.85,21.6601,22.65
659,2021-03-03,26.58,27.1,24.72,25.29
658,2021-03-02,26.1618,29.6,25.47,25.9
657,2021-03-01,25.12,26.62,24.77,25.56
656,2021-02-26,25.045,25.99,23.5,24.36
655,2021-02-25,26.9,27.73,24.3,24.5
654,2021-02-24,25.33,28.28,24.9,27.98
653,2021-02-23,24.04,24.95,21.13,24.79
652,2021-02-22,27.34,28.87,26.25,26.29
651,2021-02-19,27.8,29.9,27.31,29.21
650,2021-02-18,33.1,35.14,27.02,27.1
649,2021-02-17,31.94,33.4,30.65,31.51
648,2021-02-16,30.99,36.35,29.5,34.63
647,2021-02-12,29.26,35.41,28.21,29.0
646,2021-02-11,55.01,55.01,31.2201,32.16
645,2021-02-10,65.83,67.0,47.0,63.91
644,2021-02-09,35.18,45.49,34.26,42.35
643,2021-02-08,26.34,30.6,25.95,30.09
642,2021-02-05,27.13,27.35,25.61,25.72
641,2021-02-04,25.55,27.4,23.8,26.78
640,2021-02-03,25.46,28.86,24.7,26.31
639,2021-02-02,19.76,24.08,19.3,23.49
638,2021-02-01,19.0,19.48,17.78,19.1
637,2021-01-29,18.8336,20.42,17.92,18.1
636,2021-01-28,19.01,20.73,18.43,18.705
635,2021-01-27,17.7986,21.5,17.57,18.55
634,2021-01-26,18.27,19.85,18.0,19.03
633,2021-01-25,17.78,18.3,15.6,17.185
632,2021-01-22,17.0388,18.55,17.0,18.02
631,2021-01-21,18.06,18.38,17.17,17.92
630,2021-01-20,19.39,19.96,18.5,18.79
629,2021-01-19,19.17,20.2,17.4,20.09
628,2021-01-15,21.58,22.61,18.57,19.7
627,2021-01-14,15.46,19.407,15.46,18.56
626,2021-01-13,13.835,15.87,13.55,15.02
625,2021-01-12,12.68,13.54,12.18,13.35
624,2021-01-11,11.05,12.72,11.02,12.33
623,2021-01-08,11.375,11.89,10.68,11.31
622,2021-01-07,11.87,12.72,11.03,11.34
621,2021-01-06,11.02,12.04,10.52,10.77
620,2021-01-05,9.12,9.54,8.94,9.51
619,2021-01-04,8.43,9.19,8.4,9.0
618,2020-12-31,8.61,8.62,8.23,8.26
617,2020-12-30,8.24,8.77,8.15,8.63
616,2020-12-29,8.48,8.53,7.9,8.215
615,2020-12-28,8.71,8.78,8.33,8.37
614,2020-12-24,8.93,8.93,8.5,8.59
613,2020-12-23,8.55,9.31,8.27,8.89
612,2020-12-22,8.47,8.74,8.22,8.46
611,2020-12-21,8.54,8.855,8.29,8.39
610,2020-12-18,8.9488,9.265,8.79,8.89
609,2020-12-17,9.35,9.42,8.83,8.96
608,2020-12-16,9.9,10.01,9.1,9.33
607,2020-12-15,7.44,7.88,7.16,7.87
606,2020-12-14,7.93,7.93,7.3481,7.37
605,2020-12-11,8.08,8.13,7.67,7.77
604,2020-12-10,7.6,8.11,7.58,8.07
603,2020-12-09,8.33,8.37,7.64,7.92
602,2020-12-08,8.08,8.39,7.94,8.29
601,2020-12-07,8.59,8.75,8.02,8.21
600,2020-12-04,9.36,9.7,8.59,8.6
599,2020-12-03,8.7,9.22,8.42,9.07
598,2020-12-02,8.4687,8.98,8.22,8.64
597,2020-12-01,8.9961,9.11,8.03,8.07
596,2020-11-30,9.145,9.59,8.0766,9.04
595,2020-11-27,7.57,8.58,7.39,8.5
594,2020-11-25,7.66,7.71,7.32,7.47
593,2020-11-24,7.49,8.18,7.3,7.83
592,2020-11-23,7.345,7.35,6.66,6.68
591,2020-11-20,6.8,7.48,6.71,7.36
590,2020-11-19,7.15,7.1788,6.68,6.73
589,2020-11-18,7.3062,7.54,7.12,7.13
588,2020-11-17,7.09,7.61,7.05,7.21
587,2020-11-16,7.5,7.67,7.04,7.32
586,2020-11-13,7.74,7.8,7.43,7.65
585,2020-11-12,7.7,8.18,7.31,7.4
584,2020-11-11,7.77,8.6,7.36,8.04
583,2020-11-10,9.3132,9.33,8.07,8.33
582,2020-11-09,11.82,12.15,9.63,10.1
581,2020-11-06,8.98,12.14,8.45,9.63
580,2020-11-05,7.1,7.95,6.67,7.82
579,2020-11-04,6.29,6.35,5.94,6.0
578,2020-11-03,6.875,7.0,6.23,6.62
577,2020-11-02,5.82,6.74,5.77,6.66
576,2020-10-30,5.94,5.9499,5.43,5.71
575,2020-10-29,5.69,6.03,5.455,5.97
574,2020-10-28,5.4,5.77,5.25,5.65
573,2020-10-27,5.96,6.03,5.56,5.59
572,2020-10-26,6.65,6.73,5.76,5.86
571,2020-10-23,6.75,7.12,6.55,6.73
570,2020-10-22,6.52,6.93,6.15,6.83
569,2020-10-21,6.31,6.96,6.31,6.445
568,2020-10-20,6.35,6.52,6.1,6.26
567,2020-10-19,5.66,6.5,5.585,6.48
566,2020-10-16,5.65,5.72,5.46,5.56
565,2020-10-15,5.76,5.8305,5.48,5.57
564,2020-10-14,5.92,6.04,5.62,5.98
563,2020-10-13,6.2,6.23,5.8358,5.93
562,2020-10-12,6.15,6.57,6.05,6.3
561,2020-10-09,6.59,6.71,6.0,6.04
560,2020-10-08,5.391,6.37,5.22,6.15
559,2020-10-07,5.04,5.42,4.98,5.2
558,2020-10-06,5.4,5.42,4.87,4.9
557,2020-10-05,4.84,5.55,4.82,5.4
556,2020-10-02,4.74,4.9299,4.71,4.82
555,2020-10-01,4.92,4.99,4.81,4.92
554,2020-09-30,4.8,5.2,4.8,4.85
553,2020-09-29,4.81,4.97,4.71,4.83
552,2020-09-28,4.9,5.02,4.77,4.82
551,2020-09-25,4.7,4.89,4.64,4.79
550,2020-09-24,4.65,5.02,4.41,4.75
549,2020-09-23,5.14,5.2,4.7,4.7
548,2020-09-22,5.03,5.55,4.85,5.365
547,2020-09-21,5.26,5.2799,4.86,5.0
546,2020-09-18,5.41,5.65,5.21,5.34
545,2020-09-17,5.63,5.79,5.28,5.43
544,2020-09-16,5.35,6.05,5.3,5.64
543,2020-09-15,5.36,5.51,5.27,5.29
542,2020-09-14,5.3,5.33,5.08,5.31
541,2020-09-11,5.69,5.69,5.2,5.31
540,2020-09-10,5.669,5.8995,5.62,5.63
539,2020-09-09,5.68,5.8,5.56,5.65
538,2020-09-08,5.73,5.89,5.6,5.66
537,2020-09-04,6.04,6.12,5.43,5.92
536,2020-09-03,6.4,6.5203,6.01,6.06
535,2020-09-02,6.4,6.49,6.23,6.41
534,2020-09-01,6.54,6.6,6.34,6.45
533,2020-08-31,6.63,6.92,6.41,6.71
532,2020-08-28,6.47,6.67,6.46,6.59
531,2020-08-27,6.42,6.654,6.41,6.44
530,2020-08-26,6.6,6.65,6.43,6.49
529,2020-08-25,6.79,6.79,6.48,6.62
528,2020-08-24,6.66,6.79,6.33,6.74
527,2020-08-21,6.86,6.92,6.62,6.64
526,2020-08-20,7.0,7.03,6.85,6.9
525,2020-08-19,7.04,7.195,7.005,7.04
524,2020-08-18,7.1,7.17,6.92,6.98
523,2020-08-17,7.3,7.36,7.03,7.06
522,2020-08-14,7.09,7.43,6.97,7.25
521,2020-08-13,6.88,7.385,6.82,7.05
520,2020-08-12,7.08,7.1,6.76,6.9
519,2020-08-11,7.14,7.27,6.83,6.93
518,2020-08-10,7.75,8.17,7.5,7.97
517,2020-08-07,7.66,7.8,7.28,7.46
516,2020-08-06,8.03,8.1295,7.72,7.76
515,2020-08-05,8.4335,8.53,7.92,8.11
514,2020-08-04,7.34,8.76,7.34,8.7
513,2020-08-03,7.4,7.55,7.1,7.43
512,2020-07-31,7.53,7.7401,7.32,7.38
511,2020-07-30,7.47,7.735,7.37,7.53
510,2020-07-29,8.0,8.09,7.37,7.53
509,2020-07-28,7.32,8.38,7.2501,8.12
508,2020-07-27,7.1,7.5,7.08,7.37
507,2020-07-24,7.23,7.28,7.01,7.12
506,2020-07-23,7.27,7.6,7.09,7.35
505,2020-07-22,7.4,7.44,7.2,7.25
504,2020-07-21,7.2,7.75,7.18,7.4
503,2020-07-20,7.35,7.42,7.11,7.13
502,2020-07-17,7.62,7.71,7.3,7.33
501,2020-07-16,7.76,7.87,7.51,7.68
500,2020-07-15,7.71,8.0,7.58,7.84
499,2020-07-14,7.45,7.65,7.2,7.57
498,2020-07-13,7.96,8.41,7.45,7.47
497,2020-07-10,7.63,8.1,7.42,8.01
496,2020-07-09,7.63,7.77,7.31,7.45
495,2020-07-08,7.73,7.94,7.45,7.58
494,2020-07-07,7.83,8.4,7.62,7.7
493,2020-07-06,7.04,7.99,6.89,7.85
492,2020-07-02,7.15,7.28,6.89,6.96
491,2020-07-01,7.18,7.46,7.01,7.01
490,2020-06-30,7.74,7.74,7.02,7.11
489,2020-06-29,7.9637,8.0199,7.56,7.71
488,2020-06-26,8.31,8.43,7.77,7.95
487,2020-06-25,8.05,8.65,8.0,8.55
486,2020-06-24,8.49,8.6,8.06,8.15
485,2020-06-23,8.31,9.2,8.31,8.56
484,2020-06-22,8.23,8.49,8.02,8.41
483,2020-06-19,8.6,8.7,8.1,8.3
482,2020-06-18,7.99,8.71,7.91,8.56
481,2020-06-17,8.26,8.3,7.83,8.09
480,2020-06-16,8.74,8.78,8.11,8.23
479,2020-06-15,8.08,8.6,7.8655,8.44
478,2020-06-12,9.01,9.02,8.21,8.42
477,2020-06-11,8.91,9.23,8.21,8.37
476,2020-06-10,10.24,10.3799,9.54,9.69
475,2020-06-09,10.06,10.67,9.91,10.13
474,2020-06-08,9.68,10.68,9.66,10.44
473,2020-06-05,10.35,10.35,9.08,9.48
472,2020-06-04,10.13,10.31,9.91,10.09
471,2020-06-03,10.09,10.5,10.0,10.08
470,2020-06-02,10.2,10.47,9.85,10.02
469,2020-06-01,9.58,10.28,9.56,10.04
468,2020-05-29,9.9,10.1,9.33,9.85
467,2020-05-28,10.54,11.37,10.25,10.39
466,2020-05-27,11.05,11.25,9.9,10.65
465,2020-05-26,10.1,11.6,9.8,10.81
464,2020-05-22,10.06,10.69,8.9,10.26
463,2020-05-21,8.14,10.07,8.12,9.65
462,2020-05-20,8.23,8.4,7.94,8.05
461,2020-05-19,8.11,8.73,7.85,8.16
460,2020-05-18,8.1,8.65,7.87,7.96
459,2020-05-15,7.33,7.88,7.29,7.77
458,2020-05-14,6.92,7.3,6.73,7.17
457,2020-05-13,7.48,7.64,6.65,7.19
456,2020-05-12,7.76,8.2,7.38,7.47
455,2020-05-11,8.0,8.43,7.81,8.08
454,2020-05-08,7.84,8.05,7.6,7.78
453,2020-05-07,7.47,8.09,7.35,7.61
452,2020-05-06,7.5,7.64,7.16,7.41
451,2020-05-05,7.94,8.09,7.32,7.39
450,2020-05-04,7.3,7.74,7.29,7.65
449,2020-05-01,7.82,7.99,7.01,7.24
448,2020-04-30,7.95,8.75,7.7,8.05
447,2020-04-29,8.25,8.6,8.01,8.11
