,Date,Open,High,Low,Close
280,2021-12-31,15.61,15.725,15.25,15.42
279,2021-12-30,15.64,15.9,15.34,15.65
278,2021-12-29,15.82,15.9489,15.36,15.47
277,2021-12-28,16.02,16.205,15.85,15.93
276,2021-12-27,16.2,16.34,15.97,16.16
275,2021-12-23,15.98,16.33,15.86,16.17
274,2021-12-22,16.05,16.05,15.32,15.96
273,2021-12-21,15.03,15.86,15.03,15.84
272,2021-12-20,15.27,15.55,14.65,14.86
271,2021-12-17,14.483,16.05,14.483,15.8
270,2021-12-16,15.815,15.815,14.82,15.32
269,2021-12-15,15.35,15.6497,14.43,15.47
268,2021-12-14,15.66,15.92,15.21,15.35
267,2021-12-13,15.75,16.1862,15.675,15.82
266,2021-12-10,16.26,16.3774,15.68,15.87
265,2021-12-09,16.82,17.2,16.08,16.14
264,2021-12-08,17.0,17.28,16.42,17.1
263,2021-12-07,16.52,17.28,16.38,17.0
262,2021-12-06,15.53,16.47,15.19,16.16
261,2021-12-03,15.67,16.06,15.19,15.53
260,2021-12-02,15.43,16.06,14.99,15.95
259,2021-12-01,16.09,16.19,15.34,15.57
258,2021-11-30,16.23,16.46,15.17,15.75
257,2021-11-29,16.32,16.53,15.5,16.19
256,2021-11-26,16.26,16.489,15.9,16.15
255,2021-11-24,16.72,17.03,16.31,16.5
254,2021-11-23,17.76,18.1,16.7,16.89
253,2021-11-22,18.7,18.8541,17.93,17.96
252,2021-11-19,19.43,19.834,18.75,18.83
251,2021-11-18,18.32,19.09,18.05,18.82
250,2021-11-17,17.53,18.59,17.13,18.51
249,2021-11-16,17.69,18.01,17.0,17.59
248,2021-11-15,16.96,19.4799,14.8,17.54
247,2021-11-12,24.06,24.53,24.05,24.38
246,2021-11-11,24.55,24.82,23.92,23.95
245,2021-11-10,25.47,25.55,24.38,24.6
244,2021-11-09,26.17,26.6363,25.665,25.77
243,2021-11-08,26.58,26.8,26.36,26.45
242,2021-11-05,26.18,26.57,25.87,26.52
241,2021-11-04,26.21,26.21,25.2,26.01
240,2021-11-03,25.51,26.02,24.85,25.98
239,2021-11-02,25.83,26.115,25.26,25.5
238,2021-11-01,25.89,26.11,25.1,25.88
237,2021-10-29,25.73,26.03,25.41,25.91
236,2021-10-28,25.74,26.35,25.74,25.79
235,2021-10-27,26.01,26.2,25.45,25.68
234,2021-10-26,26.67,26.9534,25.87,25.89
233,2021-10-25,26.5,26.97,26.38,26.49
232,2021-10-22,27.05,27.47,26.57,26.65
231,2021-10-21,27.16,27.57,27.03,27.14
230,2021-10-20,26.98,27.335,26.71,27.17
229,2021-10-19,27.94,28.0,27.04,27.04
228,2021-10-18,28.42,28.42,27.29,27.48
227,2021-10-15,28.49,28.94,28.13,28.45
226,2021-10-14,27.77,28.14,27.39,28.13
225,2021-10-13,27.01,27.69,27.01,27.43
224,2021-10-12,26.95,27.72,26.95,26.98
223,2021-10-11,26.65,27.2875,26.51,26.78
222,2021-10-08,28.085,28.085,26.4,26.6
221,2021-10-07,27.85,28.715,27.74,27.87
220,2021-10-06,26.81,27.64,26.75,27.62
219,2021-10-05,27.35,27.66,27.13,27.21
218,2021-10-04,28.29,28.3552,27.07,27.31
217,2021-10-01,28.58,28.7194,28.26,28.59
216,2021-09-30,28.46,29.3699,28.04,28.42
215,2021-09-29,28.73,28.93,28.315,28.42
214,2021-09-28,29.46,29.46,27.75,28.45
213,2021-09-27,29.6,30.05,29.01,29.74
212,2021-09-24,30.51,31.18,29.45,29.79
211,2021-09-23,31.58,31.78,30.61,30.7
210,2021-09-22,30.76,31.75,30.51,31.6
209,2021-09-21,32.0,32.23,30.69,30.78
208,2021-09-20,31.5,32.5,31.13,31.97
207,2021-09-17,33.865,33.865,32.27,32.34
206,2021-09-16,32.98,33.71,32.73,33.51
205,2021-09-15,33.14,33.87,32.41,32.93
204,2021-09-14,33.33,33.67,32.99,33.14
203,2021-09-13,33.74,33.74,32.23,33.11
202,2021-09-10,33.97,34.4,33.19,33.61
201,2021-09-09,33.46,34.22,33.46,34.1
200,2021-09-08,33.76,34.27,33.06,33.58
