,Date,Open,High,Low,Close
250,2020-12-30,0.97,1.07,0.9,1.07
249,2020-12-29,0.9,0.95,0.8,0.8759
248,2020-12-28,0.74,0.99,0.74,0.9098
247,2020-12-24,0.64,0.6799,0.64,0.65
246,2020-12-23,0.65,0.66,0.6303,0.6499
245,2020-12-22,0.47,0.6799,0.45,0.6399
244,2020-12-21,0.5,0.5,0.45,0.4999
243,2020-12-18,0.5,0.5,0.45,0.45
242,2020-12-17,0.5,0.5,0.5,0.5
241,2020-12-16,0.4499,0.5,0.4499,0.5
240,2020-12-15,0.45,0.4505,0.445,0.45
239,2020-12-14,0.43,0.43,0.4,0.4069
238,2020-12-11,0.45,0.45,0.43,0.43
237,2020-12-10,0.5,0.5,0.45,0.45
236,2020-12-09,0.5501,0.5501,0.45,0.5
235,2020-12-08,0.5,0.52,0.4302,0.4698
234,2020-12-07,0.46,0.5542,0.46,0.48
233,2020-12-04,0.45,0.4599,0.4301,0.4301
232,2020-12-03,0.4623,0.4623,0.4623,0.4623
231,2020-12-02,0.46,0.4623,0.46,0.4623
230,2020-12-01,0.4599,0.46,0.45,0.45
229,2020-11-30,0.42,0.42,0.42,0.42
228,2020-11-27,0.42,0.4205,0.42,0.42
227,2020-11-25,0.43,0.43,0.43,0.43
226,2020-11-24,0.4194,0.4194,0.4194,0.4194
225,2020-11-23,0.5196,0.52,0.4101,0.4194
224,2020-11-20,0.4469,0.4599,0.4,0.4001
223,2020-11-19,0.3817,0.4468,0.3817,0.4468
222,2020-11-18,0.4,0.4463,0.381,0.4239
221,2020-11-17,0.3809,0.3809,0.3809,0.3809
220,2020-11-16,0.3809,0.3809,0.3809,0.3809
219,2020-11-13,0.4,0.407,0.3809,0.3809
218,2020-11-12,0.4,0.4,0.4,0.4
217,2020-11-11,0.4,0.4135,0.4,0.4
216,2020-11-10,0.38,0.4,0.38,0.4
215,2020-11-09,0.3901,0.395,0.36,0.3873
214,2020-11-06,0.4799,0.4799,0.4799,0.4799
213,2020-11-05,0.4889,0.4889,0.4889,0.4889
212,2020-11-04,0.4889,0.4889,0.4889,0.4889
211,2020-11-03,0.41,0.4498,0.41,0.4309
210,2020-11-02,0.4,0.4499,0.4,0.4499
209,2020-10-30,0.4,0.4,0.4,0.4
208,2020-10-29,0.4,0.4,0.391,0.4
207,2020-10-28,0.43,0.43,0.38,0.4
206,2020-10-27,0.4505,0.489,0.4,0.4475
205,2020-10-26,0.5,0.5,0.45,0.45
204,2020-10-23,0.45,0.45,0.45,0.45
203,2020-10-22,0.4599,0.4599,0.4599,0.4599
202,2020-10-21,0.4599,0.4599,0.4599,0.4599
201,2020-10-20,0.4694,0.4699,0.45,0.4599
200,2020-10-19,0.4664,0.47,0.41,0.41
199,2020-10-16,0.4989,0.4989,0.42,0.4681
198,2020-10-15,0.464,0.4899,0.4584,0.48
197,2020-10-14,0.41,0.41,0.4,0.4
196,2020-10-13,0.5099,0.5099,0.5099,0.5099
195,2020-10-12,0.5099,0.5099,0.5099,0.5099
194,2020-10-09,0.38,0.5099,0.38,0.5099
193,2020-10-08,0.43,0.51,0.43,0.51
192,2020-10-07,0.41,0.55,0.4099,0.5329
191,2020-10-06,0.54,0.54,0.4775,0.4775
190,2020-10-05,0.46,0.4875,0.42,0.4538
189,2020-10-02,0.43,0.53,0.43,0.5275
188,2020-10-01,0.35,0.55,0.35,0.55
187,2020-09-30,0.47,0.5499,0.47,0.5252
186,2020-09-29,0.4921,0.5,0.448,0.47
185,2020-09-28,0.55,0.55,0.41,0.437
184,2020-09-25,0.521,0.521,0.435,0.44
183,2020-09-24,0.55,0.55,0.512,0.5399
182,2020-09-23,0.5,0.55,0.5,0.55
181,2020-09-22,0.4999,0.5022,0.46,0.4799
180,2020-09-21,0.55,0.55,0.4894,0.5
179,2020-09-18,0.55,0.55,0.54,0.54
178,2020-09-17,0.51,0.55,0.51,0.5499
177,2020-09-16,0.5,0.5399,0.49,0.5399
176,2020-09-15,0.4789,0.5699,0.478,0.5
175,2020-09-14,0.4302,0.4999,0.43,0.47
174,2020-09-11,0.41,0.41,0.39,0.4049
173,2020-09-10,0.4081,0.41,0.4081,0.41
172,2020-09-09,0.3601,0.42,0.3601,0.41
171,2020-09-08,0.36,0.42,0.36,0.3601
170,2020-09-04,0.36,0.39,0.36,0.3717
169,2020-09-03,0.4,0.5,0.38,0.444
