,Date,Open,High,Low,Close
588,2021-01-04,20.0,20.0,20.0,20.0
587,2020-12-30,20.0,20.0,20.0,20.0
586,2020-12-29,21.6,21.6,20.0,20.0
585,2020-12-28,20.62,20.62,20.62,20.62
584,2020-12-24,13.0,13.0,13.0,13.0
583,2020-12-23,13.0,13.0,13.0,13.0
582,2020-12-22,13.0,13.0,13.0,13.0
581,2020-12-21,13.0,13.0,13.0,13.0
580,2020-12-18,13.0,13.0,13.0,13.0
579,2020-12-17,13.0,13.0,13.0,13.0
578,2020-12-16,13.0,13.0,13.0,13.0
577,2020-12-15,13.0,13.0,13.0,13.0
576,2020-12-14,13.0,13.0,13.0,13.0
575,2020-12-11,13.0,13.0,13.0,13.0
574,2020-12-10,13.0,13.0,13.0,13.0
573,2020-12-09,13.0,13.0,13.0,13.0
572,2020-12-08,13.0,13.0,13.0,13.0
571,2020-12-07,13.0,13.0,13.0,13.0
570,2020-12-04,13.0,13.0,13.0,13.0
569,2020-12-03,13.0,13.0,13.0,13.0
568,2020-12-02,13.0,13.0,13.0,13.0
567,2020-12-01,13.0,13.0,13.0,13.0
566,2020-11-30,13.0,13.0,13.0,13.0
565,2020-11-27,13.0,13.0,13.0,13.0
564,2020-11-25,13.0,13.0,13.0,13.0
563,2020-11-24,13.0,13.0,13.0,13.0
562,2020-11-23,13.0,13.0,13.0,13.0
561,2020-11-20,13.0,13.0,13.0,13.0
560,2020-11-19,13.0,13.0,13.0,13.0
559,2020-11-18,13.0,13.0,13.0,13.0
558,2020-11-17,13.0,13.0,13.0,13.0
557,2020-11-16,13.0,13.0,13.0,13.0
556,2020-11-13,13.0,13.0,13.0,13.0
555,2020-11-12,13.0,13.0,13.0,13.0
554,2020-11-11,13.0,13.0,13.0,13.0
553,2020-11-10,13.0,13.0,13.0,13.0
552,2020-11-09,13.0,13.0,13.0,13.0
551,2020-11-06,13.0,13.0,13.0,13.0
550,2020-11-05,13.0,13.0,13.0,13.0
549,2020-11-04,13.0,13.0,13.0,13.0
548,2020-11-03,13.0,13.0,13.0,13.0
547,2020-11-02,13.0,13.0,13.0,13.0
546,2020-10-30,13.0,13.0,13.0,13.0
545,2020-10-29,13.0,13.0,13.0,13.0
544,2020-10-28,13.0,13.0,13.0,13.0
543,2020-10-27,13.0,13.0,13.0,13.0
542,2020-10-26,13.0,13.0,13.0,13.0
541,2020-10-23,13.0,13.0,13.0,13.0
540,2020-10-22,13.0,13.0,13.0,13.0
539,2020-10-21,13.0,13.0,13.0,13.0
538,2020-10-20,13.0,13.0,13.0,13.0
537,2020-10-19,13.0,13.0,13.0,13.0
536,2020-10-16,13.0,13.0,13.0,13.0
535,2020-10-15,13.0,13.0,13.0,13.0
534,2020-10-14,13.0,13.0,13.0,13.0
533,2020-10-13,13.0,13.0,13.0,13.0
532,2020-10-12,13.0,13.0,13.0,13.0
531,2020-10-09,13.0,13.0,13.0,13.0
530,2020-10-08,13.0,13.0,13.0,13.0
529,2020-10-07,13.0,13.0,13.0,13.0
528,2020-10-06,13.0,13.0,13.0,13.0
527,2020-10-05,13.0,13.0,13.0,13.0
526,2020-10-02,13.0,13.0,13.0,13.0
525,2020-10-01,13.0,13.0,13.0,13.0
524,2020-09-30,13.0,13.0,13.0,13.0
523,2020-09-29,13.0,13.0,13.0,13.0
522,2020-09-28,13.0,13.0,13.0,13.0
521,2020-09-25,13.0,13.0,13.0,13.0
520,2020-09-24,13.0,13.0,13.0,13.0
519,2020-09-23,13.0,13.0,13.0,13.0
518,2020-09-22,13.0,13.0,13.0,13.0
517,2020-09-21,13.0,13.0,13.0,13.0
516,2020-09-18,13.0,13.0,13.0,13.0
515,2020-09-17,13.0,13.0,13.0,13.0
514,2020-09-16,13.0,13.0,13.0,13.0
513,2020-09-15,13.0,13.0,13.0,13.0
512,2020-09-14,13.0,13.0,13.0,13.0
511,2020-09-11,11.0,11.0,11.0,11.0
510,2020-09-10,11.0,11.0,11.0,11.0
509,2020-09-09,11.0,11.0,11.0,11.0
508,2020-09-08,11.0,11.0,11.0,11.0
507,2020-09-04,11.0,11.0,11.0,11.0
506,2020-09-03,11.0,11.0,11.0,11.0
505,2020-09-02,11.0,11.0,11.0,11.0
504,2020-09-01,11.0,11.0,11.0,11.0
503,2020-08-31,11.0,11.0,11.0,11.0
502,2020-08-28,11.0,11.0,11.0,11.0
501,2020-08-27,11.0,11.0,11.0,11.0
500,2020-08-26,11.0,11.0,11.0,11.0
499,2020-08-25,11.0,11.0,11.0,11.0
498,2020-08-24,11.0,11.0,11.0,11.0
497,2020-08-21,11.0,11.0,11.0,11.0
496,2020-08-20,11.0,11.0,11.0,11.0
495,2020-08-19,11.0,11.0,11.0,11.0
494,2020-08-18,11.0,11.0,11.0,11.0
493,2020-08-17,11.0,11.0,11.0,11.0
492,2020-08-14,11.0,11.0,11.0,11.0
491,2020-08-13,11.0,11.0,11.0,11.0
490,2020-08-12,11.0,11.0,11.0,11.0
489,2020-08-11,11.0,11.0,11.0,11.0
488,2020-08-10,11.0,11.0,11.0,11.0
487,2020-08-07,11.0,11.0,11.0,11.0
486,2020-08-06,11.0,11.0,11.0,11.0
485,2020-08-05,11.0,11.0,11.0,11.0
484,2020-08-04,11.0,11.0,11.0,11.0
483,2020-08-03,11.0,11.0,11.0,11.0
482,2020-07-31,11.0,11.0,11.0,11.0
481,2020-07-30,11.0,11.0,11.0,11.0
480,2020-07-29,11.0,11.0,11.0,11.0
479,2020-07-28,11.0,11.0,11.0,11.0
478,2020-07-27,11.0,11.0,11.0,11.0
477,2020-07-24,11.0,11.0,11.0,11.0
476,2020-07-23,11.0,11.0,11.0,11.0
475,2020-07-22,11.0,11.0,11.0,11.0
474,2020-07-21,11.0,11.0,11.0,11.0
473,2020-07-20,11.0,11.0,11.0,11.0
472,2020-07-17,11.0,11.0,11.0,11.0
471,2020-07-16,11.0,11.0,11.0,11.0
470,2020-07-15,11.0,11.0,11.0,11.0
469,2020-07-14,11.0,11.0,11.0,11.0
468,2020-07-13,11.0,11.0,11.0,11.0
467,2020-07-10,10.5,10.5,10.5,10.5
466,2020-07-09,10.5,10.5,10.5,10.5
465,2020-07-08,10.5,10.5,10.5,10.5
464,2020-07-07,10.5,10.5,10.5,10.5
463,2020-07-06,10.5,10.5,10.5,10.5
462,2020-07-02,10.5,10.5,10.5,10.5
461,2020-07-01,10.5,10.5,10.5,10.5
460,2020-06-30,10.5,10.5,10.5,10.5
459,2020-06-29,10.5,10.5,10.5,10.5
458,2020-06-26,10.5,10.5,10.5,10.5
457,2020-06-25,10.5,10.5,10.5,10.5
456,2020-06-24,10.5,10.5,10.5,10.5
455,2020-06-23,10.5,10.5,10.5,10.5
454,2020-06-22,10.5,10.5,10.5,10.5
453,2020-06-19,10.5,10.5,10.5,10.5
452,2020-06-18,10.5,10.5,10.5,10.5
451,2020-06-17,10.5,10.5,10.5,10.5
450,2020-06-16,10.5,10.5,10.5,10.5
449,2020-06-15,10.5,10.5,10.5,10.5
448,2020-06-12,10.5,10.5,10.5,10.5
447,2020-06-11,10.5,10.5,10.5,10.5
446,2020-06-10,10.5,10.5,10.5,10.5
445,2020-06-09,10.5,10.5,10.5,10.5
444,2020-06-08,10.5,10.5,10.5,10.5
443,2020-06-05,10.5,10.5,10.5,10.5
442,2020-06-04,10.5,10.5,10.5,10.5
441,2020-06-03,10.5,10.5,10.5,10.5
440,2020-06-02,10.5,10.5,10.5,10.5
439,2020-06-01,10.5,10.5,10.5,10.5
438,2020-05-29,10.5,10.5,10.5,10.5
437,2020-05-28,10.5,10.5,10.5,10.5
436,2020-05-27,10.5,10.5,10.5,10.5
435,2020-05-26,10.5,10.5,10.5,10.5
434,2020-05-22,10.5,10.5,10.5,10.5
433,2020-05-21,10.5,10.5,10.5,10.5
432,2020-05-20,10.5,10.5,10.5,10.5
431,2020-05-19,10.5,10.5,10.5,10.5
430,2020-05-18,10.5,10.5,10.5,10.5
429,2020-05-15,10.5,10.5,10.5,10.5
428,2020-05-14,10.5,10.5,10.5,10.5
427,2020-05-13,10.5,10.5,10.5,10.5
426,2020-05-12,10.5,10.5,10.5,10.5
425,2020-05-11,10.5,10.5,10.5,10.5
424,2020-05-08,10.5,10.5,10.5,10.5
423,2020-05-07,10.5,10.5,10.5,10.5
422,2020-05-06,10.5,10.5,10.5,10.5
421,2020-05-05,10.5,10.5,10.5,10.5
420,2020-05-04,10.5,10.5,10.5,10.5
419,2020-05-01,10.5,10.5,10.5,10.5
418,2020-04-30,10.5,10.5,10.5,10.5
417,2020-04-29,10.5,10.5,10.5,10.5
416,2020-04-28,10.5,10.5,10.5,10.5
415,2020-04-27,10.5,10.5,10.5,10.5
414,2020-04-24,10.5,10.5,10.5,10.5
413,2020-04-23,10.5,10.5,10.5,10.5
412,2020-04-22,10.5,10.5,10.5,10.5
411,2020-04-21,10.5,10.5,10.5,10.5
410,2020-04-20,10.5,10.5,10.5,10.5
409,2020-04-17,10.5,10.5,10.5,10.5
408,2020-04-16,10.5,10.5,10.5,10.5
407,2020-04-15,10.5,10.5,10.5,10.5
406,2020-04-14,10.5,10.5,10.5,10.5
405,2020-04-13,10.5,10.5,10.5,10.5
404,2020-04-09,10.5,10.5,10.5,10.5
403,2020-04-08,10.5,10.5,10.5,10.5
402,2020-04-07,10.5,10.5,10.5,10.5
401,2020-04-06,10.5,10.5,10.5,10.5
400,2020-04-03,10.5,10.5,10.5,10.5
