,Date,Open,High,Low,Close
249,2020-12-30,1.19,1.26,0.76,1.02
248,2020-12-29,1.48,1.49,1.07,1.19
247,2020-12-28,1.01,1.5,1.01,1.34
246,2020-12-24,0.89,0.956,0.7549,0.7549
245,2020-12-23,0.9,0.95,0.7622,0.865
244,2020-12-22,0.73,0.8899,0.6985,0.75
243,2020-12-21,0.6066,0.6066,0.55,0.5999
242,2020-12-18,0.625,0.6705,0.6,0.6022
241,2020-12-17,0.7,0.7,0.58,0.5922
240,2020-12-16,0.68,0.69,0.6024,0.6206
239,2020-12-15,0.685,0.76,0.6022,0.6803
238,2020-12-14,0.65,0.685,0.6,0.6
237,2020-12-11,0.6706,0.68,0.5701,0.6
236,2020-12-10,0.65,0.67,0.64,0.67
235,2020-12-09,0.67,0.67,0.55,0.65
234,2020-12-08,0.75,0.765,0.6,0.64
233,2020-12-07,0.57,0.8151,0.55,0.64
232,2020-12-04,0.4401,0.57,0.4401,0.55
231,2020-12-03,0.479,0.479,0.38,0.44
230,2020-12-02,0.49,0.49,0.35,0.4343
229,2020-12-01,0.43,0.48,0.4088,0.4799
228,2020-11-30,0.42,0.49,0.325,0.43
227,2020-11-27,0.4,0.54,0.4,0.4229
226,2020-11-25,0.41,0.4333,0.4015,0.4015
225,2020-11-24,0.4115,0.45,0.4015,0.41
224,2020-11-23,0.46,0.49,0.451,0.46
223,2020-11-20,0.4,0.55,0.4,0.4901
222,2020-11-19,0.34,0.4697,0.3399,0.4201
221,2020-11-18,0.3,0.35,0.281,0.35
220,2020-11-17,0.281,0.3151,0.281,0.2916
219,2020-11-16,0.35,0.3501,0.27,0.305
218,2020-11-13,0.35,0.3546,0.2601,0.2999
217,2020-11-12,0.296,0.2963,0.26,0.29
216,2020-11-11,0.3,0.3,0.2978,0.2979
215,2020-11-10,0.36,0.36,0.29,0.3276
214,2020-11-09,0.37,0.37,0.3446,0.36
213,2020-11-06,0.34,0.34,0.34,0.34
212,2020-11-05,0.36,0.399,0.339,0.339
211,2020-11-04,0.2881,0.345,0.2823,0.29
210,2020-11-03,0.2999,0.3105,0.29,0.29
209,2020-11-02,0.3499,0.37,0.281,0.2883
208,2020-10-30,0.282,0.3,0.282,0.3
207,2020-10-29,0.3499,0.3499,0.277,0.281
206,2020-10-28,0.2795,0.3001,0.2795,0.295
205,2020-10-27,0.3,0.3194,0.28,0.3194
204,2020-10-26,0.33,0.3301,0.3,0.32
203,2020-10-23,0.3454,0.3762,0.3454,0.3595
202,2020-10-22,0.3989,0.3989,0.3005,0.3849
201,2020-10-21,0.3707,0.45,0.2501,0.3531
200,2020-10-20,0.45,0.45,0.3965,0.429
199,2020-10-19,0.3855,0.418,0.3855,0.4117
198,2020-10-16,0.3951,0.41,0.3856,0.4
197,2020-10-15,0.39,0.43,0.39,0.4077
196,2020-10-14,0.45,0.45,0.361,0.396
195,2020-10-13,0.438,0.44,0.4018,0.4209
194,2020-10-12,0.48,0.48,0.4091,0.438
193,2020-10-09,0.44,0.47,0.39,0.47
192,2020-10-08,0.4101,0.43,0.37,0.39
191,2020-10-07,0.43,0.45,0.4101,0.4101
190,2020-10-06,0.43,0.4699,0.4101,0.43
189,2020-10-05,0.47,0.5299,0.43,0.4322
188,2020-10-02,0.431,0.5,0.4301,0.45
187,2020-10-01,0.5175,0.535,0.43,0.4677
186,2020-09-30,0.47,0.54,0.47,0.4724
185,2020-09-29,0.49,0.5299,0.4,0.52
184,2020-09-28,0.5499,0.55,0.45,0.4999
183,2020-09-25,0.52,0.5499,0.4305,0.4879
182,2020-09-24,0.5801,0.5929,0.41,0.4511
181,2020-09-23,0.6999,0.6999,0.565,0.58
180,2020-09-22,0.65,0.68,0.5709,0.62
179,2020-09-21,0.861,0.861,0.621,0.67
178,2020-09-18,0.9601,1.05,0.82,0.855
177,2020-09-17,0.9499,1.0801,0.9,0.96
176,2020-09-16,0.9,1.18,0.85,0.98
175,2020-09-15,0.6,0.89,0.6,0.82
174,2020-09-14,0.49,0.6,0.4866,0.54
173,2020-09-11,0.43,0.51,0.385,0.48
172,2020-09-10,0.44,0.45,0.38,0.43
171,2020-09-09,0.44,0.45,0.43,0.43
170,2020-09-08,0.44,0.47,0.4299,0.44
169,2020-09-04,0.4598,0.49,0.42,0.44
168,2020-09-03,0.479,0.479,0.37,0.4399
167,2020-09-02,0.3,0.395,0.22,0.3498
166,2020-09-01,0.1734,0.1885,0.1734,0.18
165,2020-08-31,0.18,0.1801,0.1299,0.16
164,2020-08-28,0.22,0.23,0.2199,0.22
163,2020-08-27,0.18,0.22,0.1799,0.22
162,2020-08-26,0.18,0.18,0.1799,0.18
161,2020-08-25,0.18,0.22,0.1798,0.19
160,2020-08-24,0.15,0.1889,0.1499,0.1608
159,2020-08-21,0.15,0.15,0.1398,0.1434
158,2020-08-20,0.12,0.125,0.12,0.12
157,2020-08-19,0.12,0.12,0.12,0.12
156,2020-08-18,0.13,0.154,0.12,0.154
155,2020-08-17,0.16,0.16,0.13,0.154
154,2020-08-14,0.13,0.17,0.13,0.1694
153,2020-08-13,0.1111,0.131,0.111,0.131
152,2020-08-12,0.1146,0.14,0.1146,0.1308
151,2020-08-11,0.15,0.15,0.15,0.15
150,2020-08-10,0.1501,0.18,0.11,0.1673
149,2020-08-07,0.1799,0.1799,0.1799,0.1799
148,2020-08-06,0.18,0.18,0.169,0.1799
147,2020-08-05,0.18,0.18,0.1792,0.1792
146,2020-08-04,0.17,0.18,0.17,0.18
145,2020-08-03,0.17,0.17,0.17,0.17
144,2020-07-31,0.15,0.17,0.15,0.17
