,Date,Open,High,Low,Close
1926,2021-12-31,0.9881,1.01,0.9502,0.97
1925,2021-12-30,0.9291,1.01,0.9291,0.99
1924,2021-12-29,0.94,1.04,0.901,0.94
1923,2021-12-28,1.02,1.0395,0.8646,0.915
1922,2021-12-27,0.9946,1.05,0.95,1.01
1921,2021-12-23,0.98,1.05,0.93,0.9784
1920,2021-12-22,0.9306,1.0,0.92,0.9749
1919,2021-12-21,0.849,1.0692,0.849,0.9488
1918,2021-12-20,0.85,0.88,0.8374,0.849
1917,2021-12-17,0.9,0.93,0.8012,0.85
1916,2021-12-16,0.9232,0.98,0.888,0.8882
1915,2021-12-15,1.02,1.03,0.91,0.935
1914,2021-12-14,1.01,1.01,0.96,0.9654
1913,2021-12-13,1.02,1.02,0.9401,0.9783
1912,2021-12-10,0.984,1.05,0.984,1.02
1911,2021-12-09,1.03,1.07,0.977,1.01
1910,2021-12-08,0.9575,1.08,0.95,1.02
1909,2021-12-07,0.95,1.0,0.8136,0.9669
1908,2021-12-06,0.88,0.96,0.825,0.9063
1907,2021-12-03,0.8654,0.97,0.8,0.884
1906,2021-12-02,0.91,0.9101,0.82,0.8654
1905,2021-12-01,0.9487,0.98,0.888,0.89
1904,2021-11-30,0.951,0.98,0.91,0.9202
1903,2021-11-29,1.02,1.02,0.951,0.96
1902,2021-11-26,1.05,1.06,1.0,1.02
1901,2021-11-24,1.09,1.1,1.06,1.1
1900,2021-11-23,1.16,1.16,1.06,1.08
1899,2021-11-22,1.2,1.2,1.16,1.16
1898,2021-11-19,1.22,1.245,1.2,1.2
1897,2021-11-18,1.33,1.33,1.22,1.23
1896,2021-11-17,1.26,1.34,1.26,1.32
1895,2021-11-16,1.29,1.29,1.24,1.26
1894,2021-11-15,1.34,1.34,1.28,1.29
1893,2021-11-12,1.32,1.32,1.29,1.32
1892,2021-11-11,1.32,1.326,1.28,1.29
1891,2021-11-10,1.34,1.34,1.28,1.31
1890,2021-11-09,1.34,1.37,1.27,1.32
1889,2021-11-08,1.35,1.37,1.3,1.35
1888,2021-11-05,1.31,1.34,1.26,1.34
1887,2021-11-04,1.3,1.3,1.23,1.25
1886,2021-11-03,1.29,1.31,1.27,1.29
1885,2021-11-02,1.34,1.35,1.26,1.29
1884,2021-11-01,1.34,1.37,1.32,1.35
1883,2021-10-29,1.36,1.3699,1.32,1.33
1882,2021-10-28,1.34,1.38,1.32,1.36
1881,2021-10-27,1.38,1.39,1.35,1.36
1880,2021-10-26,1.39,1.3999,1.33,1.34
1879,2021-10-25,1.44,1.44,1.35,1.39
1878,2021-10-22,1.4,1.42,1.4,1.41
1877,2021-10-21,1.44,1.45,1.4,1.42
1876,2021-10-20,1.42,1.4695,1.41,1.45
1875,2021-10-19,1.46,1.48,1.42,1.43
1874,2021-10-18,1.51,1.51,1.45,1.47
1873,2021-10-15,1.55,1.59,1.5,1.5
1872,2021-10-14,1.52,1.61,1.48,1.54
1871,2021-10-13,1.51,1.64,1.51,1.51
1870,2021-10-12,1.63,1.64,1.47,1.51
1869,2021-10-11,1.56,1.64,1.5317,1.64
1868,2021-10-08,1.57,1.62,1.55,1.61
1867,2021-10-07,1.41,1.55,1.41,1.55
1866,2021-10-06,1.48,1.499,1.34,1.34
1865,2021-10-05,1.48,1.52,1.48,1.5
1864,2021-10-04,1.55,1.55,1.48,1.5
1863,2021-10-01,1.57,1.57,1.46,1.53
1862,2021-09-30,1.54,1.54,1.49,1.51
1861,2021-09-29,1.5,1.5324,1.49,1.52
1860,2021-09-28,1.54,1.5439,1.49,1.5
1859,2021-09-27,1.54,1.56,1.48,1.55
1858,2021-09-24,1.53,1.57,1.495,1.54
1857,2021-09-23,1.5,1.6,1.49,1.57
1856,2021-09-22,1.46,1.54,1.46,1.49
1855,2021-09-21,1.43,1.49,1.42,1.47
1854,2021-09-20,1.43,1.48,1.4,1.41
1853,2021-09-17,1.53,1.57,1.44,1.47
1852,2021-09-16,1.49,1.5485,1.42,1.5
1851,2021-09-15,1.51,1.56,1.46,1.47
1850,2021-09-14,1.6,1.61,1.51,1.51
1849,2021-09-13,1.71,1.71,1.58,1.6
1848,2021-09-10,1.77,1.78,1.71,1.73
1847,2021-09-09,1.72,1.81,1.71,1.765
1846,2021-09-08,1.82,1.82,1.7,1.78
1845,2021-09-07,1.72,1.82,1.71,1.78
1844,2021-09-03,1.74,1.77,1.68,1.725
1843,2021-09-02,1.8,1.83,1.71,1.73
1842,2021-09-01,1.71,1.85,1.685,1.78
1841,2021-08-31,1.62,1.71,1.61,1.71
1840,2021-08-30,1.69,1.7,1.56,1.6
1839,2021-08-27,1.63,1.75,1.63,1.68
1838,2021-08-26,1.6,1.65,1.56,1.63
1837,2021-08-25,1.62,1.62,1.53,1.62
1836,2021-08-24,1.59,1.67,1.53,1.61
1835,2021-08-23,1.53,1.63,1.52,1.55
1834,2021-08-20,1.5,1.57,1.5,1.5
1833,2021-08-19,1.46,1.56,1.46,1.51
1832,2021-08-18,1.5,1.63,1.46,1.52
1831,2021-08-17,1.54,1.56,1.4,1.45
1830,2021-08-16,1.66,1.66,1.53,1.56
1829,2021-08-13,1.77,1.78,1.66,1.71
1828,2021-08-12,1.83,1.87,1.73,1.78
1827,2021-08-11,1.89,1.89,1.8,1.82
1826,2021-08-10,1.88,1.91,1.83,1.87
1825,2021-08-09,1.9,1.95,1.84,1.91
1824,2021-08-06,1.91,1.95,1.85,1.91
1823,2021-08-05,1.87,1.91,1.8273,1.89
1822,2021-08-04,1.84,1.93,1.82,1.82
1821,2021-08-03,1.88,1.89,1.85,1.855
1820,2021-08-02,1.93,1.97,1.84,1.9
1819,2021-07-30,2.06,2.08,1.98,2.02
1818,2021-07-29,1.99,2.1,1.95,2.08
1817,2021-07-28,1.96,2.04,1.92,1.99
1816,2021-07-27,1.89,2.02,1.82,1.94
1815,2021-07-26,1.94,1.99,1.88,1.93
1814,2021-07-23,2.04,2.0434,1.95,1.95
1813,2021-07-22,2.13,2.13,2.03,2.03
1812,2021-07-21,2.03,2.1327,2.01,2.12
1811,2021-07-20,1.99,2.055,1.96,2.04
1810,2021-07-19,1.98,2.095,1.9358,2.03
1809,2021-07-16,2.06,2.12,1.92,2.01
1808,2021-07-15,2.05,2.14,2.01,2.12
1807,2021-07-14,2.22,2.245,2.05,2.05
1806,2021-07-13,2.21,2.27,2.15,2.22
1805,2021-07-12,2.255,2.2827,2.1,2.25
1804,2021-07-09,2.14,2.28,2.1,2.19
1803,2021-07-08,2.05,2.18,2.02,2.14
1802,2021-07-07,2.28,2.2968,2.07,2.14
1801,2021-07-06,2.2,2.35,2.12,2.29
1800,2021-07-02,2.35,2.355,2.19,2.23
1799,2021-07-01,2.42,2.42,2.3,2.32
1798,2021-06-30,2.39,2.42,2.35,2.38
1797,2021-06-29,2.43,2.46,2.37,2.44
1796,2021-06-28,2.41,2.425,2.31,2.39
1795,2021-06-25,2.41,2.5,2.41,2.44
1794,2021-06-24,2.47,2.48,2.36,2.44
1793,2021-06-23,2.4,2.5,2.4,2.47
1792,2021-06-22,2.53,2.53,2.35,2.44
1791,2021-06-21,2.39,2.5,2.33,2.43
1790,2021-06-18,2.57,2.61,2.38,2.38
1789,2021-06-17,2.62,2.69,2.56,2.62
1788,2021-06-16,2.71,2.79,2.57,2.61
1787,2021-06-15,3.03,3.0599,2.69,2.76
1786,2021-06-14,2.82,3.07,2.82,3.03
1785,2021-06-11,2.81,2.8672,2.78,2.81
1784,2021-06-10,2.83,2.98,2.78,2.8
1783,2021-06-09,2.9,2.97,2.81,2.85
1782,2021-06-08,2.67,2.95,2.66,2.95
1781,2021-06-07,2.75,2.8,2.64,2.7
1780,2021-06-04,2.75,2.83,2.66,2.82
1779,2021-06-03,2.55,2.86,2.29,2.76
1778,2021-06-02,2.71,2.76,2.5,2.5
1777,2021-06-01,2.69,2.74,2.61,2.7
1776,2021-05-28,2.91,2.94,2.53,2.58
1775,2021-05-27,2.64,2.9,2.53,2.89
1774,2021-05-26,2.53,2.62,2.455,2.6
