,Date,Open,High,Low,Close
5578,2021-12-31,31.39,31.66,31.11,31.59
5577,2021-12-30,31.76,31.92,31.305,31.45
5576,2021-12-29,31.88,31.98,31.58,31.76
5575,2021-12-28,31.85,31.99,31.765,31.9
5574,2021-12-27,31.67,31.895,31.36,31.85
5573,2021-12-23,31.52,31.83,31.15,31.56
5572,2021-12-22,31.17,31.35,30.91,31.29
5571,2021-12-21,30.64,31.3,30.63,31.19
5570,2021-12-20,30.31,30.62,29.54,30.31
5569,2021-12-17,31.49,31.545,30.44,30.73
5568,2021-12-16,31.53,32.04,31.33,31.46
5567,2021-12-15,31.28,31.69,30.86,31.27
5566,2021-12-14,30.99,31.645,30.84,31.01
5565,2021-12-13,31.18,31.18,30.8,30.88
5564,2021-12-10,31.52,31.58,31.04,31.38
5563,2021-12-09,31.26,31.49,31.16,31.23
5562,2021-12-08,31.86,31.87,31.35,31.58
5561,2021-12-07,32.33,32.37,31.445,31.61
5560,2021-12-06,31.41,32.23,31.19,32.14
5559,2021-12-03,31.55,31.55,30.27,30.94
5558,2021-12-02,30.77,31.7,30.65,31.41
5557,2021-12-01,31.3,31.64,30.39,30.46
5556,2021-11-30,30.93,31.075,30.47,30.59
5555,2021-11-29,31.88,31.88,31.115,31.2
5554,2021-11-26,32.34,32.91,30.82,31.26
5553,2021-11-24,33.45,33.73,33.24,33.41
5552,2021-11-23,33.83,33.929,33.48,33.65
5551,2021-11-22,33.25,34.32,33.25,33.63
5550,2021-11-19,32.41,33.08,32.2628,33.03
5549,2021-11-18,32.84,33.02,32.425,32.96
5548,2021-11-17,32.97,32.97,32.38,32.72
5547,2021-11-16,32.78,33.05,32.49,32.93
5546,2021-11-15,32.89,32.89,32.63,32.77
5545,2021-11-12,33.06,33.15,32.56,32.71
5544,2021-11-11,33.05,33.28,32.88,33.04
5543,2021-11-10,33.05,33.24,32.89,32.96
5542,2021-11-09,32.93,33.08,32.67,32.95
5541,2021-11-08,32.96,33.23,32.82,33.17
5540,2021-11-05,32.77,33.23,32.58,32.81
5539,2021-11-04,32.56,32.56,31.82,32.32
5538,2021-11-03,32.03,32.99,31.84,32.43
5537,2021-11-02,32.75,32.75,32.05,32.14
5536,2021-11-01,31.73,32.76,31.73,32.65
5535,2021-10-29,31.16,31.55,31.14,31.52
5534,2021-10-28,30.77,31.14,30.59,31.01
5533,2021-10-27,31.56,31.56,30.446,30.51
5532,2021-10-26,31.72,31.97,31.425,31.64
5531,2021-10-25,31.76,31.78,31.3,31.69
5530,2021-10-22,31.35,31.82,31.14,31.54
5529,2021-10-21,32.06,32.29,31.57,31.77
5528,2021-10-20,31.39,31.79,31.181,31.74
5527,2021-10-19,30.285,31.89,30.285,31.28
5526,2021-10-18,31.8,32.0,31.6,31.67
5525,2021-10-15,32.41,32.41,31.85,31.9
5524,2021-10-14,32.2,32.2,31.75,31.87
5523,2021-10-13,31.82,31.94,31.2875,31.81
5522,2021-10-12,31.59,31.96,31.44,31.86
5521,2021-10-11,32.28,32.28,31.6,31.61
5520,2021-10-08,31.97,32.05,31.85,32.0
5519,2021-10-07,32.0,32.14,31.84,32.0
5518,2021-10-06,31.83,31.83,31.11,31.77
5517,2021-10-05,31.89,32.04,31.56,31.93
5516,2021-10-04,31.79,32.13,31.53,31.77
5515,2021-10-01,31.14,31.99,31.1,31.77
5514,2021-09-30,31.1,31.395,30.88,31.11
5513,2021-09-29,30.43,31.07,30.25,30.91
5512,2021-09-28,31.45,31.65,30.47,30.58
5511,2021-09-27,30.33,31.47,30.25,31.29
5510,2021-09-24,29.86,30.26,29.86,30.03
5509,2021-09-23,29.15,30.07,29.15,29.86
5508,2021-09-22,28.8,29.3,28.73,28.95
5507,2021-09-21,28.59,28.78,28.25,28.47
5506,2021-09-20,28.22,28.5,27.93,28.46
5505,2021-09-17,29.06,29.27,28.56,28.86
5504,2021-09-16,29.22,29.61,28.85,28.93
5503,2021-09-15,28.92,29.89,28.79,29.02
5502,2021-09-14,29.57,29.58,28.75,28.85
5501,2021-09-13,29.5,30.7053,29.04,29.41
5500,2021-09-10,29.83,29.91,29.13,29.14
5499,2021-09-09,29.7,30.01,29.58,29.6
5498,2021-09-08,29.87,29.96,29.48,29.72
5497,2021-09-07,30.15,30.35,29.7,29.92
5496,2021-09-03,30.06,30.495,29.4,29.7
5495,2021-09-02,30.34,30.34,30.03,30.13
5494,2021-09-01,30.63,30.63,30.0,30.25
5493,2021-08-31,30.5,31.165,30.37,30.47
5492,2021-08-30,31.1,31.1,30.34,30.36
5491,2021-08-27,30.12,31.025,29.94,31.01
5490,2021-08-26,30.7,30.77,30.04,30.09
5489,2021-08-25,30.74,31.05,30.55,30.66
5488,2021-08-24,30.67,30.9,30.44,30.55
5487,2021-08-23,30.75,30.91,30.48,30.67
5486,2021-08-20,30.06,30.605,30.06,30.4
5485,2021-08-19,30.42,30.95,29.87,30.22
5484,2021-08-18,30.91,31.225,30.63,30.65
5483,2021-08-17,31.04,31.44,30.61,30.98
5482,2021-08-16,30.93,31.32,30.68,31.12
5481,2021-08-13,31.67,31.67,31.16,31.24
5480,2021-08-12,31.73,31.73,31.3,31.63
5479,2021-08-11,31.09,31.6,30.87,31.59
5478,2021-08-10,30.34,31.01,30.34,30.94
5477,2021-08-09,30.68,30.89,30.35,30.52
5476,2021-08-06,30.35,30.87,30.35,30.81
5475,2021-08-05,29.67,29.99,29.57,29.91
5474,2021-08-04,29.42,29.85,29.3,29.46
5473,2021-08-03,30.21,30.21,28.92,29.83
5472,2021-08-02,30.07,30.79,29.17,29.28
5471,2021-07-30,30.61,30.61,29.55,29.81
5470,2021-07-29,30.61,30.61,30.1,30.24
5469,2021-07-28,30.03,30.745,29.42,30.11
5468,2021-07-27,29.75,30.09,29.565,29.75
5467,2021-07-26,29.8,30.37,29.8,30.0
5466,2021-07-23,29.83,29.985,29.42,29.7
5465,2021-07-22,29.99,30.27,29.2,29.36
5464,2021-07-21,30.29,30.635,29.88,30.24
5463,2021-07-20,29.16,30.58,29.15,29.86
5462,2021-07-19,29.15,29.815,28.86,29.12
5461,2021-07-16,30.54,30.67,29.83,29.96
5460,2021-07-15,29.79,30.42,29.77,30.35
5459,2021-07-14,30.21,30.65,29.75,30.01
5458,2021-07-13,29.95,30.59,29.9,30.12
5457,2021-07-12,30.1,30.64,29.9101,30.56
5456,2021-07-09,30.13,30.56,29.875,30.47
5455,2021-07-08,30.21,30.21,29.0,29.37
5454,2021-07-07,29.6,30.36,29.5407,29.97
5453,2021-07-06,29.94,30.255,29.3,29.6
5452,2021-07-02,28.23,30.68,28.23,30.31
5451,2021-07-01,30.71,30.8649,30.42,30.78
5450,2021-06-30,30.15,30.61,30.15,30.42
5449,2021-06-29,30.66,30.83,30.29,30.4
5448,2021-06-28,31.69,31.69,30.46,30.65
5447,2021-06-25,31.72,32.205,31.54,31.79
5446,2021-06-24,30.99,31.67,30.8525,31.64
5445,2021-06-23,30.9,31.22,30.65,30.93
5444,2021-06-22,30.8,31.2538,30.37,30.8
5443,2021-06-21,29.9,31.04,29.9,30.82
5442,2021-06-18,30.26,30.52,29.47,29.71
5441,2021-06-17,31.89,31.97,30.59,30.8
5440,2021-06-16,31.4,31.97,30.79,31.8
5439,2021-06-15,31.31,31.67,30.97,31.51
5438,2021-06-14,31.6,31.75,30.98,31.18
5437,2021-06-11,31.36,31.74,31.36,31.57
5436,2021-06-10,32.22,32.22,31.34,31.39
5435,2021-06-09,32.61,32.61,31.89,31.92
5434,2021-06-08,32.58,32.95,32.19,32.85
