,Date,Open,High,Low,Close
5578,2021-12-31,33.22,33.42,33.02,33.31
5577,2021-12-30,33.38,33.5646,33.14,33.18
5576,2021-12-29,33.23,33.46,33.1801,33.38
5575,2021-12-28,33.09,33.48,33.09,33.26
5574,2021-12-27,33.02,33.23,32.58,33.11
5573,2021-12-23,32.97,33.35,32.84,32.94
5572,2021-12-22,32.47,32.79,32.4,32.79
5571,2021-12-21,32.74,33.12,32.495,32.55
5570,2021-12-20,32.34,33.085,31.93,32.5
5569,2021-12-17,32.79,33.2,31.72,32.47
5568,2021-12-16,32.38,33.12,32.34,32.71
5567,2021-12-15,32.33,32.8,31.775,32.0
5566,2021-12-14,32.21,33.0,31.8,32.1
5565,2021-12-13,32.97,32.97,32.1,32.21
5564,2021-12-10,32.62,33.13,32.505,33.1
5563,2021-12-09,32.59,32.9174,32.36,32.63
5562,2021-12-08,32.95,33.22,32.6,32.67
5561,2021-12-07,33.22,33.22,32.82,32.94
5560,2021-12-06,32.61,33.46,32.61,32.98
5559,2021-12-03,32.97,32.97,32.28,32.39
5558,2021-12-02,32.32,33.06,31.6779,32.75
5557,2021-12-01,33.1,33.45,32.3,32.4
5556,2021-11-30,32.04,33.6157,31.98,32.66
5555,2021-11-29,33.19,33.3,32.19,32.35
5554,2021-11-26,33.26,33.5999,32.07,32.66
5553,2021-11-24,34.3,34.76,34.14,34.15
5552,2021-11-23,34.06,34.35,33.85,34.32
5551,2021-11-22,33.62,34.2633,33.59,33.87
5550,2021-11-19,33.4,33.56,33.17,33.4
5549,2021-11-18,33.3161,33.77,33.3161,33.68
5548,2021-11-17,33.66,33.88,33.21,33.85
5547,2021-11-16,33.98,33.98,33.58,33.76
5546,2021-11-15,34.17,34.215,33.81,33.97
5545,2021-11-12,34.53,34.585,33.98,34.09
5544,2021-11-11,34.71,34.8,34.32,34.52
5543,2021-11-10,34.53,34.78,33.9585,34.59
5542,2021-11-09,34.43,34.8,34.08,34.63
5541,2021-11-08,34.82,34.96,34.49,34.65
5540,2021-11-05,34.35,34.91,34.35,34.8
5539,2021-11-04,34.65,34.65,33.7,34.16
5538,2021-11-03,33.82,34.74,33.69,34.54
5537,2021-11-02,34.36,34.52,33.82,33.89
5536,2021-11-01,33.72,34.61,33.46,34.52
5535,2021-10-29,33.17,34.0048,33.17,33.56
5534,2021-10-28,32.93,33.67,32.93,33.24
5533,2021-10-27,33.37,33.37,32.78,32.87
5532,2021-10-26,34.16,34.16,33.5,33.59
5531,2021-10-25,33.53,34.32,33.455,34.03
5530,2021-10-22,33.15,33.35,32.59,33.3
5529,2021-10-21,32.77,33.35,32.43,32.92
5528,2021-10-20,32.47,32.9,32.4,32.89
5527,2021-10-19,32.56,32.56,32.175,32.5
5526,2021-10-18,32.61,32.78,32.38,32.5
5525,2021-10-15,33.08,33.12,32.58,32.58
5524,2021-10-14,32.76,32.77,32.26,32.77
5523,2021-10-13,32.84,32.84,32.1607,32.42
5522,2021-10-12,32.89,33.14,32.765,32.87
5521,2021-10-11,33.53,33.53,32.83,32.83
5520,2021-10-08,33.24,33.5,33.24,33.35
5519,2021-10-07,33.06,33.44,33.06,33.36
5518,2021-10-06,32.9,33.1,32.51,32.79
5517,2021-10-05,33.05,33.36,32.3618,33.11
5516,2021-10-04,32.9,33.3,32.82,32.88
5515,2021-10-01,32.11,32.99,32.04,32.82
5514,2021-09-30,32.56,32.56,31.9,31.97
5513,2021-09-29,32.07,32.56,31.94,32.38
5512,2021-09-28,32.35,32.41,31.89,31.96
5511,2021-09-27,31.26,32.61,31.26,32.21
5510,2021-09-24,30.7,31.44,30.69,31.19
5509,2021-09-23,30.55,31.33,30.42,30.86
5508,2021-09-22,30.21,30.69,30.13,30.3
5507,2021-09-21,30.2,30.5,29.91,29.95
5506,2021-09-20,30.43,30.99,29.78,30.11
5505,2021-09-17,30.76,31.13,30.61,30.83
5504,2021-09-16,31.12,31.35,30.64,30.8
5503,2021-09-15,30.89,31.2079,30.8301,30.99
5502,2021-09-14,31.45,31.45,30.91,30.94
5501,2021-09-13,31.71,31.71,31.07,31.33
5500,2021-09-10,31.94,32.25,31.49,31.57
5499,2021-09-09,31.86,32.26,31.86,31.95
5498,2021-09-08,31.5,32.0,31.5,31.91
5497,2021-09-07,31.68,31.85,31.31,31.37
5496,2021-09-03,31.77,32.1023,31.45,31.59
5495,2021-09-02,31.68,32.16,31.68,31.81
5494,2021-09-01,32.09,32.44,31.65,32.17
5493,2021-08-31,32.19,32.445,32.01,32.09
5492,2021-08-30,32.87,32.92,32.1,32.19
5491,2021-08-27,32.41,32.99,32.41,32.67
5490,2021-08-26,32.72,32.98,32.3,32.4
5489,2021-08-25,32.86,33.09,32.53,32.56
5488,2021-08-24,32.84,33.01,32.37,32.76
5487,2021-08-23,32.93,33.11,32.7,32.8
5486,2021-08-20,32.37,33.16,31.65,32.79
5485,2021-08-19,32.74,32.88,32.45,32.63
5484,2021-08-18,33.36,33.65,32.93,32.97
5483,2021-08-17,33.58,33.79,33.175,33.5
5482,2021-08-16,33.93,34.1393,33.46,33.74
5481,2021-08-13,34.28,34.28,33.63,33.82
5480,2021-08-12,34.29,34.33,33.6443,34.2
5479,2021-08-11,34.3,34.425,33.83,34.35
5478,2021-08-10,33.97,34.39,33.53,34.32
5477,2021-08-09,34.04,34.14,33.63,33.81
5476,2021-08-06,33.93,34.36,33.75,34.17
5475,2021-08-05,33.42,33.585,33.27,33.54
5474,2021-08-04,33.57,33.7331,33.22,33.26
5473,2021-08-03,33.39,34.014,33.06,33.81
5472,2021-08-02,33.8,34.28,33.25,33.39
5471,2021-07-30,33.62,34.16,33.515,33.63
5470,2021-07-29,33.79,33.99,33.49,33.73
5469,2021-07-28,33.5,33.71,32.9,33.55
5468,2021-07-27,33.11,33.45,33.025,33.4
5467,2021-07-26,33.15,33.665,33.12,33.28
5466,2021-07-23,33.06,33.17,32.69,33.11
5465,2021-07-22,33.72,33.95,32.6,32.7
5464,2021-07-21,33.24,34.39,33.17,33.89
5463,2021-07-20,32.51,33.82,32.51,33.05
5462,2021-07-19,33.09,33.99,32.31,32.55
5461,2021-07-16,33.83,33.83,33.4,33.6
5460,2021-07-15,33.08,33.84,33.08,33.57
5459,2021-07-14,33.08,33.42,32.83,33.26
5458,2021-07-13,33.56,33.56,32.9,33.0
5457,2021-07-12,33.186,33.71,33.06,33.61
5456,2021-07-09,33.09,33.44,32.86,33.25
5455,2021-07-08,32.67,33.29,32.22,32.59
5454,2021-07-07,33.34,33.74,32.93,33.21
5453,2021-07-06,33.99,33.99,33.08,33.44
5452,2021-07-02,34.51,34.51,33.9,34.04
5451,2021-07-01,34.77,34.81,34.28,34.52
5450,2021-06-30,34.17,34.6744,34.17,34.38
5449,2021-06-29,34.32,34.65,34.15,34.27
5448,2021-06-28,35.23,35.23,34.1,34.3
5447,2021-06-25,35.36,35.9,35.03,35.35
5446,2021-06-24,34.57,35.42,34.49,35.39
5445,2021-06-23,34.71,35.37,34.53,34.56
5444,2021-06-22,35.03,35.03,34.29,34.67
5443,2021-06-21,34.48,35.13,34.29,34.94
5442,2021-06-18,35.35,35.54,34.16,34.26
5441,2021-06-17,36.77,37.01,36.02,36.05
5440,2021-06-16,36.35,37.12,36.2,36.97
5439,2021-06-15,36.48,36.87,36.31,36.5
5438,2021-06-14,36.15,36.35,36.035,36.32
5437,2021-06-11,36.25,36.4,36.07,36.15
5436,2021-06-10,36.64,37.42,36.13,36.14
5435,2021-06-09,36.07,36.48,35.8298,36.26
5434,2021-06-08,35.85,36.37,35.538,36.27
5433,2021-06-07,36.85,36.85,35.93,36.02
5432,2021-06-04,37.24,37.56,36.38,36.75
5431,2021-06-03,37.22,37.41,36.84,37.31
5430,2021-06-02,37.79,37.92,37.2,37.46
5429,2021-06-01,39.21,39.21,37.76,37.8
5428,2021-05-28,40.16,41.47,37.99,39.13
5427,2021-05-27,7.6,7.71,7.6,7.7
5426,2021-05-26,7.48,7.6,7.46,7.58
5425,2021-05-25,7.71,7.73,7.45,7.46
5424,2021-05-24,7.76,7.76,7.61,7.67
5423,2021-05-21,7.79,7.8,7.68,7.76
5422,2021-05-20,7.69,7.71,7.5699,7.7
5421,2021-05-19,7.65,7.734,7.53,7.7
5420,2021-05-18,7.8,7.83,7.7,7.7
5419,2021-05-17,7.76,7.815,7.7,7.8
5418,2021-05-14,7.72,7.77,7.66,7.77
5417,2021-05-13,7.42,7.7,7.42,7.69
5416,2021-05-12,7.53,7.58,7.39,7.42
5415,2021-05-11,7.48,7.58,7.47,7.5
5414,2021-05-10,7.59,7.69,7.54,7.55
5413,2021-05-07,7.44,7.61,7.42,7.59
5412,2021-05-06,7.45,7.55,7.42,7.55
5411,2021-05-05,7.47,7.47,7.37,7.44
5410,2021-05-04,7.4,7.5,7.385,7.46
5409,2021-05-03,7.39,7.44,7.36,7.395
5408,2021-04-30,7.38,7.401,7.29,7.315
5407,2021-04-29,7.44,7.47,7.41,7.42
5406,2021-04-28,7.42,7.43,7.37,7.39
5405,2021-04-27,7.43,7.44,7.345,7.41
5404,2021-04-26,7.46,7.5,7.37,7.4
5403,2021-04-23,7.31,7.5,7.31,7.45
5402,2021-04-22,7.47,7.47,7.32,7.34
5401,2021-04-21,7.38,7.48,7.34,7.435
5400,2021-04-20,7.53,7.53,7.36,7.38
5399,2021-04-19,7.55,7.58,7.435,7.52
5398,2021-04-16,7.62,7.62,7.51,7.55
5397,2021-04-15,7.53,7.54,7.41,7.54
5396,2021-04-14,7.41,7.545,7.41,7.52
5395,2021-04-13,7.5,7.5,7.38,7.43
5394,2021-04-12,7.51,7.56,7.51,7.55
5393,2021-04-09,7.51,7.55,7.465,7.53
5392,2021-04-08,7.4,7.5,7.33,7.49
5391,2021-04-07,7.44,7.49,7.38,7.44
5390,2021-04-06,7.46,7.51,7.41,7.45
5389,2021-04-05,7.55,7.585,7.43,7.5
5388,2021-04-01,7.37,7.48,7.29,7.46
5387,2021-03-31,7.44,7.5,7.32,7.37
5386,2021-03-30,7.54,7.59,7.45,7.46
5385,2021-03-29,7.47,7.59,7.37,7.42
5384,2021-03-26,7.49,7.54,7.41,7.53
5383,2021-03-25,7.24,7.47,7.14,7.38
5382,2021-03-24,7.19,7.445,7.16,7.18
5381,2021-03-23,7.25,7.295,7.11,7.12
5380,2021-03-22,7.45,7.48,7.22,7.31
5379,2021-03-19,7.44,7.54,7.37,7.48
5378,2021-03-18,7.63,7.78,7.54,7.57
5377,2021-03-17,7.59,7.635,7.51,7.56
5376,2021-03-16,7.61,7.61,7.44,7.55
5375,2021-03-15,7.83,7.86,7.61,7.68
5374,2021-03-12,7.77,7.95,7.69,7.815
5373,2021-03-11,7.73,7.75,7.612,7.71
5372,2021-03-10,7.52,7.8,7.44,7.73
5371,2021-03-09,7.58,7.62,7.4299,7.52
5370,2021-03-08,7.37,7.68,7.37,7.63
5369,2021-03-05,7.27,7.35,7.22,7.33
5368,2021-03-04,7.11,7.38,7.08,7.2
5367,2021-03-03,7.11,7.3933,7.11,7.23
5366,2021-03-02,7.07,7.115,6.98,7.03
5365,2021-03-01,7.04,7.13,6.98,7.09
5364,2021-02-26,6.97,6.99,6.815,6.88
5363,2021-02-25,7.18,7.18,6.96,6.96
5362,2021-02-24,7.09,7.19,7.08,7.13
5361,2021-02-23,7.0,7.12,6.95,7.02
5360,2021-02-22,6.81,6.97,6.805,6.95
5359,2021-02-19,6.73,6.87,6.73,6.845
5358,2021-02-18,6.8,6.86,6.685,6.69
5357,2021-02-17,6.75,6.86,6.75,6.81
5356,2021-02-16,6.82,6.91,6.76,6.81
5355,2021-02-12,6.7,6.8,6.7,6.77
5354,2021-02-11,6.74,6.84,6.67,6.74
5353,2021-02-10,6.77,6.82,6.715,6.75
5352,2021-02-09,6.63,6.8,6.59,6.75
5351,2021-02-08,6.55,6.63,6.51,6.63
5350,2021-02-05,6.56,6.58,6.4599,6.51
5349,2021-02-04,6.38,6.53,6.33,6.5
5348,2021-02-03,6.38,6.43,6.26,6.37
5347,2021-02-02,6.38,6.47,6.295,6.39
5346,2021-02-01,6.28,6.33,6.17,6.29
5345,2021-01-29,6.34,6.38,6.19,6.22
5344,2021-01-28,6.34,6.37,6.25,6.34
5343,2021-01-27,6.46,6.51,6.23,6.28
5342,2021-01-26,6.67,6.695,6.54,6.56
5341,2021-01-25,6.73,6.83,6.54,6.67
5340,2021-01-22,7.1,7.12,6.75,7.08
5339,2021-01-21,7.3,7.34,7.12,7.145
5338,2021-01-20,7.24,7.31,7.18,7.3
5337,2021-01-19,7.22,7.29,7.13,7.23
5336,2021-01-15,7.16,7.26,7.1,7.215
5335,2021-01-14,7.11,7.26,7.1001,7.19
5334,2021-01-13,7.13,7.19,6.99,7.08
5333,2021-01-12,7.08,7.17,7.03,7.15
5332,2021-01-11,6.95,7.085,6.92,7.075
5331,2021-01-08,7.14,7.23,6.88,7.025
5330,2021-01-07,7.26,7.39,7.085,7.135
5329,2021-01-06,6.86,7.31,6.75,7.15
5328,2021-01-05,6.64,6.8,6.64,6.74
5327,2021-01-04,6.73,6.76,6.61,6.64
5326,2020-12-31,6.57,6.68,6.54,6.67
5325,2020-12-30,6.56,6.64,6.51,6.58
5324,2020-12-29,6.73,6.73,6.51,6.555
5323,2020-12-28,6.63,6.73,6.59,6.69
5322,2020-12-24,6.62,6.65,6.52,6.6
5321,2020-12-23,6.46,6.635,6.46,6.61
5320,2020-12-22,6.54,6.565,6.445,6.46
5319,2020-12-21,6.53,6.62,6.48,6.555
5318,2020-12-18,6.67,6.7701,6.56,6.62
5317,2020-12-17,6.6,6.655,6.52,6.64
5316,2020-12-16,6.57,6.615,6.525,6.57
5315,2020-12-15,6.44,6.6,6.43,6.55
