,Date,Open,High,Low,Close
4083,2021-12-31,59.44,60.6,59.23,60.23
4082,2021-12-30,60.72,60.9194,59.605,59.72
4081,2021-12-29,60.08,60.97,60.08,60.55
4080,2021-12-28,59.9,60.71,59.9,60.04
4079,2021-12-27,59.15,60.25,58.89,60.09
4078,2021-12-23,59.33,59.8,58.96,59.01
4077,2021-12-22,58.38,59.144,57.9,58.87
4076,2021-12-21,56.99,58.4,56.57,58.23
4075,2021-12-20,55.03,56.76,53.89,56.64
4074,2021-12-17,55.68,56.71,54.96,55.8
4073,2021-12-16,56.87,57.0799,55.6,55.93
4072,2021-12-15,55.6,56.555,54.58,56.3
4071,2021-12-14,56.36,57.06,55.54,55.65
4070,2021-12-13,57.99,58.2831,56.22,56.64
4069,2021-12-10,58.68,58.79,57.91,58.25
4068,2021-12-09,58.17,59.0,57.97,58.21
4067,2021-12-08,58.89,59.34,58.31,58.68
4066,2021-12-07,59.2,59.955,59.0019,59.44
4065,2021-12-06,58.03,59.28,57.705,58.31
4064,2021-12-03,57.47,57.69,56.6475,57.21
4063,2021-12-02,55.99,57.665,55.9112,57.08
4062,2021-12-01,57.76,57.81,55.25,55.25
4061,2021-11-30,57.01,57.26,55.15,55.97
4060,2021-11-29,59.11,59.25,57.56,57.87
4059,2021-11-26,59.73,59.73,56.63,58.07
4058,2021-11-24,60.47,60.93,60.0,60.55
4057,2021-11-23,60.23,60.84,59.625,60.47
4056,2021-11-22,60.65,61.62,60.19,60.23
4055,2021-11-19,60.97,61.16,59.85,60.28
4054,2021-11-18,62.11,62.53,61.145,61.42
4053,2021-11-17,61.15,62.25,60.92,61.98
4052,2021-11-16,61.3,62.04,61.115,61.56
4051,2021-11-15,61.9,62.3517,61.25,61.49
4050,2021-11-12,61.85,61.96,60.74,61.87
4049,2021-11-11,61.58,62.06,61.424,61.8
4048,2021-11-10,62.47,62.89,60.88,61.38
4047,2021-11-09,62.59,62.95,61.8,62.5
4046,2021-11-08,62.58,63.0,62.3,62.75
4045,2021-11-05,62.83,63.88,62.25,62.34
4044,2021-11-04,62.75,63.0,61.5,62.13
4043,2021-11-03,62.79,62.86,61.65,62.43
4042,2021-11-02,63.19,63.5,62.06,62.54
4041,2021-11-01,62.415,63.67,62.26,62.99
4040,2021-10-29,62.44,63.2599,61.59,62.19
4039,2021-10-28,60.13,63.19,60.02,62.93
4038,2021-10-27,59.71,60.5,59.04,59.74
4037,2021-10-26,60.0,60.71,57.9,59.24
4036,2021-10-25,56.3,59.15,56.26,58.96
4035,2021-10-22,55.49,56.21,55.22,55.93
4034,2021-10-21,56.0,56.65,55.06,55.42
4033,2021-10-20,54.78,56.119,54.21,56.0
4032,2021-10-19,55.18,55.3,54.52,54.92
4031,2021-10-18,54.1,55.424,53.75,54.84
4030,2021-10-15,55.73,56.45,54.23,54.31
4029,2021-10-14,54.13,54.94,54.085,54.86
4028,2021-10-13,53.56,53.77,52.97,53.69
4027,2021-10-12,52.99,53.48,52.5,53.33
4026,2021-10-11,52.98,53.91,52.97,52.98
4025,2021-10-08,53.29,53.885,52.875,52.98
4024,2021-10-07,54.23,54.6,53.47,53.56
4023,2021-10-06,53.0,53.98,52.76,53.94
4022,2021-10-05,52.74,54.02,52.07,53.71
4021,2021-10-04,53.3,53.73,52.55,52.64
4020,2021-10-01,52.4,53.97,52.4,53.43
4019,2021-09-30,53.08,53.47,52.02,52.04
4018,2021-09-29,52.48,53.09,52.04,52.86
4017,2021-09-28,53.0,53.67,52.11,52.23
4016,2021-09-27,51.52,53.54,51.52,53.03
4015,2021-09-24,50.88,52.2,50.76,51.63
4014,2021-09-23,50.41,51.5715,50.2679,51.19
4013,2021-09-22,49.95,50.68,49.62,50.13
4012,2021-09-21,49.5,49.8,48.79,49.4
4011,2021-09-20,50.64,50.99,48.34,48.98
4010,2021-09-17,51.94,52.5,51.41,52.16
4009,2021-09-16,51.46,52.1419,51.04,51.83
4008,2021-09-15,50.72,51.93,50.57,51.32
4007,2021-09-14,52.13,52.13,50.43,50.67
4006,2021-09-13,52.25,52.4905,51.34,51.87
4005,2021-09-10,53.45,53.45,51.86,51.9
4004,2021-09-09,52.69,53.55,52.28,53.1
4003,2021-09-08,53.71,53.9899,52.42,52.69
4002,2021-09-07,55.25,55.83,54.53,54.6
4001,2021-09-03,55.45,55.66,55.06,55.21
4000,2021-09-02,55.17,55.97,54.96,55.64
3999,2021-09-01,54.66,55.135,54.18,54.75
3998,2021-08-31,55.78,56.3,54.65,54.72
3997,2021-08-30,56.26,56.28,55.29,55.9
3996,2021-08-27,54.5,56.09,54.38,56.03
3995,2021-08-26,53.71,54.71,53.4021,54.14
3994,2021-08-25,53.65,54.04,53.1,53.54
3993,2021-08-24,53.09,53.813,53.06,53.32
3992,2021-08-23,52.65,53.15,52.1518,52.89
3991,2021-08-20,51.63,52.12,51.0801,51.94
3990,2021-08-19,52.73,53.45,51.2302,51.87
3989,2021-08-18,52.94,54.07,52.5,53.15
3988,2021-08-17,53.11,53.38,52.61,53.21
3987,2021-08-16,53.97,54.205,53.46,53.7
3986,2021-08-13,54.98,55.0875,54.23,54.36
3985,2021-08-12,55.64,55.84,54.6501,55.12
3984,2021-08-11,53.84,55.445,53.25,55.41
3983,2021-08-10,52.44,53.93,52.27,53.38
3982,2021-08-09,53.0,53.2,52.12,52.56
3981,2021-08-06,52.24,53.16,51.735,53.06
3980,2021-08-05,51.54,52.15,51.3306,51.61
3979,2021-08-04,52.1,52.275,51.32,51.55
3978,2021-08-03,52.27,52.87,51.25,52.62
3977,2021-08-02,53.11,53.75,51.73,51.94
3976,2021-07-30,52.83,53.21,51.92,52.79
3975,2021-07-29,51.1,52.44,50.65,52.33
3974,2021-07-28,50.82,51.48,49.836,50.47
3973,2021-07-27,50.34,50.7685,48.12,49.35
3972,2021-07-26,49.93,50.617,49.58,50.46
3971,2021-07-23,49.22,49.79,49.0,49.65
3970,2021-07-22,49.17,49.17,48.34,48.89
3969,2021-07-21,49.18,49.76,49.09,49.28
3968,2021-07-20,47.19,49.22,47.19,48.75
3967,2021-07-19,47.86,48.07,46.75,47.13
3966,2021-07-16,50.49,50.5,48.53,48.73
3965,2021-07-15,49.68,50.3,49.51,50.02
3964,2021-07-14,50.56,51.18,49.45,50.25
3963,2021-07-13,50.65,50.65,49.2011,50.05
3962,2021-07-12,49.9,50.93,49.29,50.8
3961,2021-07-09,49.69,50.48,49.4189,50.16
3960,2021-07-08,49.0,50.07,48.55,49.12
3959,2021-07-07,50.11,50.94,49.79,50.0
3958,2021-07-06,51.18,51.395,49.9,50.42
3957,2021-07-02,51.81,52.17,50.98,51.32
3956,2021-07-01,52.75,52.99,51.71,51.75
3955,2021-06-30,51.35,52.46,51.0,52.34
3954,2021-06-29,52.24,52.66,51.45,51.45
3953,2021-06-28,53.07,53.14,51.73,52.25
3952,2021-06-25,52.63,53.71,52.42,52.98
3951,2021-06-24,51.8,52.5,51.15,52.29
3950,2021-06-23,51.84,52.58,51.36,51.8
3949,2021-06-22,51.96,51.96,50.91,51.42
3948,2021-06-21,50.54,52.11,50.31,51.79
3947,2021-06-18,49.1,50.645,48.77,50.2
3946,2021-06-17,52.0,52.4,48.3,48.74
3945,2021-06-16,51.36,52.25,51.3,52.09
3944,2021-06-15,51.25,51.75,51.04,51.75
3943,2021-06-14,51.2,51.57,50.8,51.32
3942,2021-06-11,50.57,51.39,50.5,51.14
3941,2021-06-10,51.89,52.15,50.31,50.54
3940,2021-06-09,51.23,51.96,50.62,51.59
3939,2021-06-08,52.5,52.51,51.88,52.02
3938,2021-06-07,52.17,52.75,51.5,52.45
3937,2021-06-04,53.17,53.2,51.81,51.82
3936,2021-06-03,53.65,53.9999,52.91,52.94
3935,2021-06-02,55.07,55.2314,53.86,54.18
3934,2021-06-01,54.5,55.25,54.06,54.56
3933,2021-05-28,52.42,54.41,51.87,54.25
3932,2021-05-27,52.36,52.84,51.85,52.23
3931,2021-05-26,51.56,52.52,51.075,51.71
3930,2021-05-25,52.5,53.24,51.38,51.41
3929,2021-05-24,52.5,52.96,51.76,52.47
3928,2021-05-21,53.5,53.88,52.35,52.38
3927,2021-05-20,52.07,52.97,51.725,52.82
3926,2021-05-19,52.05,52.3147,51.03,52.14
3925,2021-05-18,53.91,54.22,52.76,52.78
3924,2021-05-17,52.74,54.04,52.0,53.99
3923,2021-05-14,51.98,52.97,51.8,52.93
3922,2021-05-13,49.88,51.63,49.71,51.36
3921,2021-05-12,50.77,51.27,49.51,49.67
3920,2021-05-11,50.51,51.49,49.51,50.92
3919,2021-05-10,52.97,53.06,50.94,51.09
3918,2021-05-07,52.31,53.23,52.09,52.92
