,Date,Open,High,Low,Close
5578,2021-12-31,11.81,13.64,11.656,13.43
5577,2021-12-30,12.19,12.73,11.63,11.76
5576,2021-12-29,11.46,12.74,11.4,12.19
5575,2021-12-28,12.6,12.6,11.4,11.57
5574,2021-12-27,12.49,13.23,11.93,12.62
5573,2021-12-23,12.82,13.35,11.8638,12.54
5572,2021-12-22,10.91,13.73,10.4,12.82
5571,2021-12-21,9.56,11.15,9.32,10.91
5570,2021-12-20,9.06,9.42,8.77,9.21
5569,2021-12-17,8.74,9.49,8.53,9.19
5568,2021-12-16,9.34,9.85,8.53,8.99
5567,2021-12-15,8.01,9.6,7.6201,9.42
5566,2021-12-14,8.09,8.26,7.7021,8.08
5565,2021-12-13,8.72,8.9,8.0101,8.36
5564,2021-12-10,9.01,9.36,8.42,8.61
5563,2021-12-09,9.61,9.72,8.65,8.94
5562,2021-12-08,9.05,9.69,8.8801,9.46
5561,2021-12-07,8.0,9.37,7.7528,9.0
5560,2021-12-06,7.62,7.98,7.35,7.77
5559,2021-12-03,8.72,8.72,7.4,7.8
5558,2021-12-02,8.29,8.79,8.08,8.53
5557,2021-12-01,9.26,9.31,8.25,8.41
5556,2021-11-30,9.82,10.4499,8.62,8.77
5555,2021-11-29,9.96,10.5,9.54,10.07
5554,2021-11-26,10.44,10.4797,9.19,9.71
5553,2021-11-24,8.81,11.08,8.55,10.75
5552,2021-11-23,8.49,9.23,8.1367,8.85
5551,2021-11-22,9.14,10.48,8.36,8.82
5550,2021-11-19,8.93,9.0824,8.3119,9.05
5549,2021-11-18,8.83,9.5,8.15,9.01
5548,2021-11-17,8.15,10.2399,8.12,9.1
5547,2021-11-16,6.27,9.09,6.27,8.77
5546,2021-11-15,4.8,7.87,4.7915,6.73
5545,2021-11-12,4.67,4.95,4.67,4.95
5544,2021-11-11,4.65,4.8,4.65,4.73
5543,2021-11-10,4.67,4.77,4.65,4.69
5542,2021-11-09,4.63,4.8,4.63,4.7893
5541,2021-11-08,4.66,4.7949,4.62,4.74
5540,2021-11-05,4.68,4.7702,4.5917,4.74
5539,2021-11-04,4.78,4.99,4.66,4.7
5538,2021-11-03,4.524,4.65,4.524,4.64
5537,2021-11-02,4.4487,4.66,4.4487,4.66
5536,2021-11-01,4.6911,4.7,4.5124,4.67
5535,2021-10-29,4.51,4.8,4.48,4.5
5534,2021-10-28,4.5,4.5099,4.38,4.46
5533,2021-10-27,4.39,4.46,4.38,4.395
5532,2021-10-26,4.4202,4.5,4.36,4.4
5531,2021-10-25,4.47,4.49,4.44,4.49
5530,2021-10-22,4.5,4.8112,4.44,4.44
5529,2021-10-21,4.55,4.82,4.41,4.47
5528,2021-10-20,4.5308,4.6378,4.4423,4.5
5527,2021-10-19,4.48,4.67,4.48,4.64
5526,2021-10-18,4.53,4.6399,4.42,4.491
5525,2021-10-15,4.43,4.595,4.43,4.5386
5524,2021-10-14,4.59,4.67,4.52,4.66
5523,2021-10-13,4.5136,4.59,4.5136,4.535
5522,2021-10-12,4.5034,4.593,4.4385,4.593
5521,2021-10-11,4.44,4.55,4.26,4.5
5520,2021-10-08,4.5499,4.75,4.44,4.6
5519,2021-10-07,4.49,4.57,4.41,4.425
5518,2021-10-06,4.42,4.52,4.41,4.51
5517,2021-10-05,4.38,4.52,4.38,4.42
5516,2021-10-04,4.35,4.51,4.35,4.42
5515,2021-10-01,4.3,4.6,4.3,4.475
5514,2021-09-30,4.4,4.6899,4.17,4.22
5513,2021-09-29,4.16,4.66,4.16,4.35
5512,2021-09-28,4.33,4.35,4.16,4.16
5511,2021-09-27,4.3757,4.45,4.29,4.35
5510,2021-09-24,4.34,4.4193,4.1501,4.26
5509,2021-09-23,4.3339,4.38,4.17,4.35
5508,2021-09-22,4.33,4.36,4.24,4.24
5507,2021-09-21,4.15,4.39,4.15,4.39
5506,2021-09-20,4.38,4.43,4.01,4.14
5505,2021-09-17,4.61,4.61,4.36,4.44
5504,2021-09-16,4.6,4.67,4.33,4.38
5503,2021-09-15,4.51,4.6173,4.42,4.5
5502,2021-09-14,4.54,4.76,4.5127,4.56
5501,2021-09-13,4.7,4.7,4.52,4.58
5500,2021-09-10,4.6101,4.9999,4.6,4.6
5499,2021-09-09,4.62,4.69,4.5899,4.62
5498,2021-09-08,4.5307,4.77,4.49,4.77
5497,2021-09-07,4.705,4.72,4.53,4.53
5496,2021-09-03,4.79,4.79,4.63,4.63
5495,2021-09-02,4.5,4.72,4.47,4.6
5494,2021-09-01,4.37,4.6,4.0918,4.46
5493,2021-08-31,4.55,4.6399,4.4801,4.52
5492,2021-08-30,4.6,4.6499,4.5,4.5
5491,2021-08-27,4.4979,4.55,4.43,4.55
5490,2021-08-26,4.4973,4.54,4.4973,4.5
5489,2021-08-25,4.48,4.61,4.41,4.57
5488,2021-08-24,4.32,4.42,4.2213,4.375
5487,2021-08-23,4.16,4.32,4.115,4.32
5486,2021-08-20,4.055,4.14,4.01,4.14
5485,2021-08-19,3.96,4.14,3.86,4.14
5484,2021-08-18,4.13,4.15,3.95,3.96
5483,2021-08-17,4.15,4.15,4.01,4.03
5482,2021-08-16,4.26,4.325,4.12,4.21
5481,2021-08-13,4.436,4.4547,4.33,4.35
5480,2021-08-12,4.45,4.46,4.3027,4.35
5479,2021-08-11,4.4628,4.52,4.315,4.46
5478,2021-08-10,4.38,4.48,4.3,4.48
5477,2021-08-09,4.32,4.49,4.25,4.34
5476,2021-08-06,4.55,4.55,4.32,4.32
5475,2021-08-05,4.84,4.84,4.47,4.5
5474,2021-08-04,4.81,4.9,4.6,4.78
5473,2021-08-03,4.89,4.89,4.78,4.8
5472,2021-08-02,4.954,4.954,4.77,4.8
5471,2021-07-30,4.85,4.99,4.8001,4.86
5470,2021-07-29,4.76,5.0,4.74,4.81
5469,2021-07-28,4.9446,4.9446,4.711,4.845
5468,2021-07-27,4.81,5.02,4.7001,4.99
5467,2021-07-26,5.0,5.0,4.81,4.81
5466,2021-07-23,4.9834,5.06,4.86,5.06
5465,2021-07-22,4.84,5.1,4.71,5.0
5464,2021-07-21,4.68,4.9199,4.68,4.84
5463,2021-07-20,4.7,4.75,4.635,4.67
5462,2021-07-19,4.6701,4.8115,4.67,4.7
5461,2021-07-16,4.85,4.85,4.72,4.72
5460,2021-07-15,4.93,4.93,4.7,4.81
5459,2021-07-14,5.21,5.21,4.86,4.87
5458,2021-07-13,5.0,5.2374,4.9,4.95
5457,2021-07-12,5.1,5.31,5.04,5.04
5456,2021-07-09,5.12,5.323,4.9901,5.1
5455,2021-07-08,5.06,5.25,5.0,5.12
5454,2021-07-07,5.17,5.2,4.99,5.16
5453,2021-07-06,5.0,5.17,4.83,5.09
5452,2021-07-02,5.041,5.13,4.94,5.01
5451,2021-07-01,5.0,5.08,4.95,5.06
5450,2021-06-30,5.07,5.2,4.86,5.03
5449,2021-06-29,5.04,5.34,4.98,5.2
5448,2021-06-28,5.29,5.29,5.01,5.14
5447,2021-06-25,5.2896,5.3,5.08,5.18
5446,2021-06-24,5.38,5.51,5.02,5.24
5445,2021-06-23,5.36,5.44,5.16,5.27
5444,2021-06-22,5.2,5.26,5.01,5.1
5443,2021-06-21,5.19,5.23,4.9584,5.17
5442,2021-06-18,5.52,5.6,5.11,5.11
5441,2021-06-17,5.5,5.65,5.47,5.48
5440,2021-06-16,5.59,5.59,5.4,5.47
5439,2021-06-15,5.7,5.7,5.5,5.6
5438,2021-06-14,5.7,5.87,5.58,5.7
5437,2021-06-11,5.6,5.98,5.5,5.7
5436,2021-06-10,5.91,5.97,5.58,5.6
5435,2021-06-09,6.75,6.8,5.86,5.91
5434,2021-06-08,6.53,6.75,6.23,6.62
5433,2021-06-07,6.2,6.68,6.02,6.48
5432,2021-06-04,5.52,6.18,5.52,6.1
5431,2021-06-03,5.1801,6.15,5.1801,5.6
5430,2021-06-02,5.26,5.38,5.1701,5.26
5429,2021-06-01,5.25,5.4,5.08,5.33
