,Date,Open,High,Low,Close
709,2021-02-16,11.5,12.57,10.53,12.57
708,2021-02-12,12.08,12.3521,11.51,11.63
707,2021-02-11,12.04,12.8,12.0,12.14
706,2021-02-10,12.19,13.34,12.14,12.55
705,2021-02-09,12.01,12.44,12.01,12.2992
704,2021-02-08,12.39,12.77,12.2,12.2
703,2021-02-05,12.61,12.61,12.21,12.61
702,2021-02-04,12.28,12.7649,12.28,12.42
701,2021-02-03,11.82,12.2,11.73,12.04
700,2021-02-02,11.99,11.99,11.68,11.85
699,2021-02-01,11.63,12.08,11.17,11.89
698,2021-01-29,11.92,12.2,11.51,11.85
697,2021-01-28,12.45,12.585,12.0,12.14
696,2021-01-27,12.03,13.5,12.03,12.4
695,2021-01-26,13.0,13.22,12.39,12.72
694,2021-01-25,12.29,13.15,11.62,12.55
693,2021-01-22,12.01,12.57,12.01,12.53
692,2021-01-21,12.51,12.6532,12.21,12.36
691,2021-01-20,12.41,12.79,12.18,12.43
690,2021-01-19,13.15,13.5,12.46,12.66
689,2021-01-15,13.05,13.75,12.82,12.87
688,2021-01-14,13.11,14.3,12.65,13.66
687,2021-01-13,13.77,14.99,13.68,14.05
686,2021-01-12,12.55,14.19,12.02,13.9
685,2021-01-11,11.94,13.11,11.87,12.4
684,2021-01-08,12.3,12.3,11.75,12.25
683,2021-01-07,12.94,12.9598,12.14,12.42
682,2021-01-06,12.27,13.24,11.5155,11.91
681,2021-01-05,12.1,12.6189,11.94,12.11
680,2021-01-04,12.26,12.71,11.5,11.92
679,2020-12-31,12.29,12.98,11.38,11.4
678,2020-12-30,11.53,12.9,11.46,12.75
677,2020-12-29,11.78,12.1,10.6,11.13
676,2020-12-28,13.6,13.7,11.69,11.91
675,2020-12-24,13.36,14.25,13.18,13.38
674,2020-12-23,13.97,14.31,13.07,13.16
673,2020-12-22,14.65,15.15,11.94,14.33
672,2020-12-21,11.58,14.0,11.58,13.89
671,2020-12-18,9.29,11.25,9.16,10.65
670,2020-12-17,7.67,8.76,7.67,8.7
669,2020-12-16,8.23,8.23,6.93,7.75
