,Date,Open,High,Low,Close
824,2021-12-31,15.58,15.87,15.4,15.54
823,2021-12-30,15.3,16.0,15.3,15.63
822,2021-12-29,15.58,15.7,15.3,15.32
821,2021-12-28,15.9,16.0227,15.58,15.64
820,2021-12-27,16.36,16.375,15.81,16.05
819,2021-12-23,16.5,16.77,16.25,16.35
818,2021-12-22,16.81,17.11,16.47,16.5
817,2021-12-21,16.36,17.03,16.05,16.9
816,2021-12-20,16.32,16.6,16.16,16.36
815,2021-12-17,16.38,17.11,16.0372,16.79
814,2021-12-16,16.74,16.82,16.11,16.53
813,2021-12-15,16.0,16.58,15.4997,16.52
812,2021-12-14,15.87,16.09,15.65,15.96
811,2021-12-13,16.03,16.27,15.73,16.12
810,2021-12-10,16.21,16.2894,15.74,16.04
809,2021-12-09,16.27,16.4,15.92,15.95
808,2021-12-08,16.65,16.65,15.79,16.27
807,2021-12-07,15.41,16.06,15.3401,15.86
806,2021-12-06,15.12,15.5241,14.81,15.16
805,2021-12-03,15.95,15.95,15.01,15.16
804,2021-12-02,15.6,15.9799,15.3,15.82
803,2021-12-01,16.18,16.47,15.5,15.51
802,2021-11-30,16.84,17.36,16.02,16.09
801,2021-11-29,16.88,17.2,16.29,17.11
800,2021-11-26,16.8415,17.2,16.64,16.84
799,2021-11-24,17.2369,17.71,16.94,17.2
798,2021-11-23,17.48,17.75,16.8,17.49
797,2021-11-22,17.5,18.0499,16.76,17.67
796,2021-11-19,16.95,17.5979,16.93,17.5
795,2021-11-18,17.9,17.95,16.76,17.15
794,2021-11-17,16.48,19.0,16.0701,18.3
793,2021-11-16,16.1,17.25,15.41,15.94
792,2021-11-15,16.42,16.67,16.0902,16.39
791,2021-11-12,16.97,17.09,16.02,16.29
790,2021-11-11,16.3783,17.08,15.82,17.03
789,2021-11-10,17.61,17.61,16.88,17.23
788,2021-11-09,17.8,17.85,17.325,17.77
787,2021-11-08,18.19,18.27,17.78,17.84
786,2021-11-05,18.21,18.469,17.91,18.16
785,2021-11-04,18.81,19.02,18.18,18.23
784,2021-11-03,18.34,19.02,18.325,18.83
783,2021-11-02,18.02,18.35,17.79,18.32
782,2021-11-01,17.98,18.2,17.78,18.08
781,2021-10-29,17.99,18.31,17.84,17.97
780,2021-10-28,17.885,18.13,17.61,18.04
779,2021-10-27,18.07,18.1737,17.67,17.69
778,2021-10-26,18.0,18.3,17.605,17.78
777,2021-10-25,17.6812,17.89,17.29,17.82
776,2021-10-22,17.75,17.95,17.33,17.56
775,2021-10-21,18.17,18.6,18.06,18.12
774,2021-10-20,17.75,18.52,17.711,18.27
773,2021-10-19,17.58,17.761,17.2701,17.69
772,2021-10-18,17.67,17.75,17.27,17.4
771,2021-10-15,18.11,18.14,17.6,17.67
770,2021-10-14,18.35,18.35,17.95,17.97
769,2021-10-13,18.13,18.3,17.95,18.07
768,2021-10-12,18.3,18.84,18.05,18.13
767,2021-10-11,18.0,18.75,17.79,18.23
766,2021-10-08,18.04,18.1608,17.791,17.99
765,2021-10-07,18.18,18.4415,17.93,17.99
764,2021-10-06,18.26,18.64,17.99,18.07
763,2021-10-05,18.02,18.639,18.02,18.58
762,2021-10-04,18.49,18.49,17.96,18.03
761,2021-10-01,18.64,18.7899,17.92,18.49
760,2021-09-30,18.64,18.76,18.32,18.43
759,2021-09-29,18.762,19.0299,18.27,18.48
758,2021-09-28,19.05,19.24,18.44,18.74
757,2021-09-27,19.0,19.57,18.81,19.28
756,2021-09-24,19.89,19.89,19.0,19.01
755,2021-09-23,19.7445,20.0,19.55,19.93
754,2021-09-22,19.1591,19.74,18.94,19.57
753,2021-09-21,19.53,19.76,19.06,19.11
752,2021-09-20,19.1035,19.87,19.1,19.7
751,2021-09-17,19.305,20.26,19.13,20.2
750,2021-09-16,19.5,19.82,19.21,19.32
749,2021-09-15,19.65,19.91,19.4,19.61
748,2021-09-14,20.01,20.18,19.27,19.74
747,2021-09-13,20.33,20.51,19.755,19.88
746,2021-09-10,21.29,21.59,20.55,20.59
745,2021-09-09,20.47,21.6945,20.4,21.37
744,2021-09-08,21.17,21.34,20.44,20.98
743,2021-09-07,21.53,21.9629,20.6,21.63
742,2021-09-03,24.1035,25.3499,21.7,22.08
741,2021-09-02,22.6,24.18,22.56,24.03
740,2021-09-01,21.99,22.97,21.42,22.42
739,2021-08-31,21.3,21.8414,20.61,21.17
738,2021-08-30,20.01,21.21,19.79,21.03
737,2021-08-27,19.11,20.429,19.11,20.1
736,2021-08-26,20.0254,20.56,18.85,19.34
735,2021-08-25,18.8338,20.5,18.8338,20.38
734,2021-08-24,18.5,19.16,17.75,19.16
733,2021-08-23,17.0,18.68,17.0,18.65
732,2021-08-20,16.22,17.32,16.15,16.86
731,2021-08-19,16.5,16.63,15.9621,16.07
730,2021-08-18,16.28,16.97,15.78,16.59
729,2021-08-17,16.34,16.64,15.87,16.01
728,2021-08-16,17.445,17.48,16.39,16.45
727,2021-08-13,18.25,18.74,17.0,17.01
726,2021-08-12,20.79,20.8466,19.83,20.31
725,2021-08-11,21.49,21.49,20.6576,20.79
724,2021-08-10,21.5007,21.88,21.43,21.45
723,2021-08-09,20.57,21.45,20.45,21.34
722,2021-08-06,20.36,20.685,20.14,20.59
721,2021-08-05,20.13,20.66,19.87,20.37
720,2021-08-04,19.91,20.35,19.7,20.19
719,2021-08-03,20.04,20.22,19.64,19.91
718,2021-08-02,19.76,20.07,19.53,19.97
717,2021-07-30,19.44,20.11,19.42,19.72
716,2021-07-29,19.63,20.2,19.5013,19.55
715,2021-07-28,19.16,19.68,19.0,19.54
714,2021-07-27,19.4584,19.87,18.91,19.07
713,2021-07-26,19.1,19.82,19.1,19.59
712,2021-07-23,19.72,19.75,19.12,19.26
711,2021-07-22,19.97,19.99,19.3,19.64
710,2021-07-21,20.07,20.42,19.87,19.97
709,2021-07-20,19.565,20.12,19.17,20.04
708,2021-07-19,19.73,19.88,19.13,19.36
707,2021-07-16,20.16,20.85,19.8521,20.0
706,2021-07-15,19.625,20.3,19.36,20.12
705,2021-07-14,20.6,20.61,19.46,19.54
704,2021-07-13,20.25,21.015,20.195,20.6
703,2021-07-12,20.47,20.545,19.747,20.0
702,2021-07-09,20.0,20.21,19.6,20.08
701,2021-07-08,19.15,20.0,19.0572,19.95
700,2021-07-07,20.66,20.77,19.61,19.64
699,2021-07-06,20.94,21.21,20.43,20.6
698,2021-07-02,21.45,21.68,20.86,20.94
697,2021-07-01,21.45,21.71,21.0113,21.4
696,2021-06-30,22.02,22.09,21.22,21.45
695,2021-06-29,20.31,21.1572,20.1,21.03
694,2021-06-28,20.2,20.28,19.95,20.25
693,2021-06-25,20.2,20.405,19.93,20.0
692,2021-06-24,20.31,20.97,20.05,20.16
691,2021-06-23,20.3767,20.38,19.95,20.15
690,2021-06-22,19.965,20.35,19.7,20.03
689,2021-06-21,20.41,20.53,19.821,20.12
688,2021-06-18,20.56,21.13,20.35,20.5
687,2021-06-17,21.1279,21.2999,20.64,20.96
686,2021-06-16,21.61,22.43,21.12,21.74
685,2021-06-15,22.235,24.25,21.32,21.87
684,2021-06-14,22.29,22.59,22.1,22.35
683,2021-06-11,22.2612,22.61,21.91,22.22
682,2021-06-10,22.71,22.92,21.96,22.49
