,Date,Open,High,Low,Close
5578,2021-12-31,99.45,100.46,98.85,99.91
5577,2021-12-30,100.65,100.83,99.31,99.45
5576,2021-12-29,99.12,101.02,98.86,100.25
5575,2021-12-28,99.94,100.045,98.98,99.35
5574,2021-12-27,98.67,99.97,98.17,99.88
5573,2021-12-23,98.85,99.62,98.104,99.32
5572,2021-12-22,97.08,98.34,97.0,98.04
5571,2021-12-21,94.46,97.465,94.145,97.14
5570,2021-12-20,94.82,95.14,93.15,93.56
5569,2021-12-17,99.18,99.18,94.91,95.6
5568,2021-12-16,99.0,99.96,97.66,99.34
5567,2021-12-15,101.5,101.87,96.79,98.03
5566,2021-12-14,97.9,99.13,97.54,98.41
5565,2021-12-13,99.54,100.29,98.01,98.46
5564,2021-12-10,101.24,101.74,99.25,99.89
5563,2021-12-09,102.07,102.07,100.74,100.75
5562,2021-12-08,102.74,102.95,101.8267,102.29
5561,2021-12-07,103.71,104.46,102.43,102.57
5560,2021-12-06,101.47,103.7,100.97,102.66
5559,2021-12-03,102.31,102.31,99.23,100.33
5558,2021-12-02,100.72,102.87,100.61,102.18
5557,2021-12-01,101.5,103.6,100.32,100.38
5556,2021-11-30,102.25,103.2,100.48,100.56
5555,2021-11-29,104.29,104.555,102.74,103.28
5554,2021-11-26,103.09,105.01,102.46,103.6
5553,2021-11-24,103.05,105.36,103.05,105.02
5552,2021-11-23,104.81,105.15,103.2,103.49
5551,2021-11-22,104.93,105.705,104.04,104.71
5550,2021-11-19,104.84,105.82,104.29,104.58
5549,2021-11-18,105.81,106.3093,104.72,104.85
5548,2021-11-17,104.28,105.69,103.5,105.31
5547,2021-11-16,101.75,104.74,101.75,103.93
5546,2021-11-15,103.01,103.12,101.43,101.9
5545,2021-11-12,101.8,102.895,101.2,102.58
5544,2021-11-11,100.9,101.42,100.29,101.24
5543,2021-11-10,100.47,101.13,99.935,100.45
5542,2021-11-09,100.05,100.78,99.74,100.73
5541,2021-11-08,99.47,100.27,99.08,100.1
5540,2021-11-05,98.24,99.785,98.22,98.86
5539,2021-11-04,97.78,99.72,97.3,97.88
