,Date,Open,High,Low,Close
1329,2021-12-31,94.18,94.85,91.57,91.64
1328,2021-12-30,92.11,95.55,91.81,94.27
1327,2021-12-29,94.0721,94.55,91.04,92.57
1326,2021-12-28,98.215,98.215,94.0,94.79
1325,2021-12-27,96.53,98.6,95.93,97.68
1324,2021-12-23,94.32,96.62,92.31,96.05
1323,2021-12-22,92.2,94.14,91.11,93.49
1322,2021-12-21,91.4,93.75,88.87,93.53
1321,2021-12-20,88.07,89.15,86.5,88.04
1320,2021-12-17,84.51,90.18,84.2,89.99
1319,2021-12-16,92.62,92.7,85.36,87.11
1318,2021-12-15,88.48,92.1599,84.42,91.43
1317,2021-12-14,90.16,91.4,85.88,88.33
1316,2021-12-13,94.41,95.21,90.62,92.5
1315,2021-12-10,96.3,98.305,93.272,94.06
1314,2021-12-09,97.62,99.4971,93.85,94.51
1313,2021-12-08,95.52,99.0,93.08,97.9
1312,2021-12-07,94.35,97.5891,94.19,95.72
1311,2021-12-06,87.61,91.82,85.35,89.63
1310,2021-12-03,95.7,95.755,88.18,89.51
1309,2021-12-02,95.3166,98.78,93.71,95.89
1308,2021-12-01,105.1969,105.8541,94.43,95.22
1307,2021-11-30,107.363,110.8665,101.59,103.42
1306,2021-11-29,105.22,108.2,103.0,107.06
1305,2021-11-26,103.82,108.49,103.25,103.98
1304,2021-11-24,102.22,106.46,100.86,106.21
1303,2021-11-23,101.26,105.69,98.72,102.74
1302,2021-11-22,107.31,107.79,98.71,103.27
1301,2021-11-19,108.23,110.63,107.04,107.79
1300,2021-11-18,108.29,110.3026,104.02,105.47
1299,2021-11-17,111.09,114.09,107.05,107.5
1298,2021-11-16,104.72,111.82,104.21,111.64
1297,2021-11-15,99.91,108.52,99.58,105.45
1296,2021-11-12,93.7,100.59,93.6,100.33
1295,2021-11-11,90.4,92.56,88.65,91.55
1294,2021-11-10,91.99,95.87,87.2841,88.66
1293,2021-11-09,89.6065,98.1999,89.1141,97.09
1292,2021-11-08,84.3,89.76,80.71,88.75
1291,2021-11-05,72.99,72.99,68.46,68.55
1290,2021-11-04,75.66,75.66,71.25,72.43
1289,2021-11-03,75.27,76.86,73.68,76.71
1288,2021-11-02,76.06,76.35,73.0444,75.04
1287,2021-11-01,75.195,76.68,74.1,76.49
1286,2021-10-29,74.5855,76.04,74.09,74.91
1285,2021-10-28,73.25,75.75,73.215,75.43
1284,2021-10-27,76.5,77.69,73.0,73.05
1283,2021-10-26,76.95,78.4,75.61,76.78
1282,2021-10-25,74.16,76.65,73.87,76.11
1281,2021-10-22,76.73,78.34,73.24,73.96
1280,2021-10-21,79.17,81.39,78.653,81.06
1279,2021-10-20,82.1653,82.99,79.35,79.56
1278,2021-10-19,81.16,82.72,80.55,81.41
1277,2021-10-18,78.46,81.1,77.77,80.82
1276,2021-10-15,77.41,78.94,76.07,78.46
1275,2021-10-14,77.05,79.17,76.79,77.09
1274,2021-10-13,73.39,75.94,73.39,75.72
1273,2021-10-12,71.79,73.37,70.81,72.75
1272,2021-10-11,70.5,72.2,70.11,70.72
1271,2021-10-08,70.83,71.985,69.78,71.0
1270,2021-10-07,69.5132,71.07,69.44,70.42
1269,2021-10-06,66.3,69.59,66.22,68.29
1268,2021-10-05,66.84,68.39,66.6,67.6
1267,2021-10-04,69.16,69.32,65.32,66.03
1266,2021-10-01,70.03,70.76,68.7,70.42
1265,2021-09-30,68.58,70.91,67.8,70.3
1264,2021-09-29,70.7,70.99,67.71,67.81
1263,2021-09-28,73.91,74.25,69.2,69.27
1262,2021-09-27,75.72,75.95,74.39,75.79
1261,2021-09-24,75.1,76.59,73.94,76.46
1260,2021-09-23,76.62,77.23,75.74,76.4
1259,2021-09-22,72.3,75.83,71.85,75.58
1258,2021-09-21,70.47,72.74,70.3,72.14
1257,2021-09-20,69.61,71.31,68.51,69.71
1256,2021-09-17,73.11,74.1,71.87,72.58
1255,2021-09-16,70.45,73.4,70.1,73.2
1254,2021-09-15,70.52,71.02,69.2,70.82
1253,2021-09-14,71.5,72.73,70.45,70.83
1252,2021-09-13,72.35,72.39,69.3,71.2
1251,2021-09-10,73.66,74.46,72.5925,72.78
1250,2021-09-09,72.14,73.5999,71.1506,72.82
1249,2021-09-08,74.95,75.02,71.85,72.3
1248,2021-09-07,78.44,78.44,75.0925,75.28
1247,2021-09-03,77.98,78.979,76.66,78.2
1246,2021-09-02,79.933,80.0,77.7,78.02
1245,2021-09-01,80.25,80.7,78.82,79.51
1244,2021-08-31,80.12,81.02,79.17,80.05
1243,2021-08-30,80.6,81.97,80.34,80.71
1242,2021-08-27,79.18,80.98,78.8,80.58
1241,2021-08-26,79.85,81.05,78.2183,78.42
1240,2021-08-25,80.7764,80.99,79.52,80.06
1239,2021-08-24,80.1,81.98,79.66,80.62
1238,2021-08-23,77.66,79.77,77.66,79.39
1237,2021-08-20,75.92,77.49,75.79,77.18
1236,2021-08-19,75.68,77.55,75.14,75.79
1235,2021-08-18,79.52,80.0,76.85,76.9
1234,2021-08-17,78.5,79.69,77.93,79.26
1233,2021-08-16,80.0976,80.5,77.32,78.96
1232,2021-08-13,85.0,85.0,80.78,80.91
1231,2021-08-12,82.27,85.75,82.2501,85.61
1230,2021-08-11,86.31,86.66,81.4508,82.4
1229,2021-08-10,82.85,90.0,82.85,87.53
1228,2021-08-09,82.57,83.88,78.25,81.32
1227,2021-08-06,83.15,84.99,82.31,84.04
1226,2021-08-05,84.8,86.26,83.06,83.38
1225,2021-08-04,83.0,86.69,82.76,86.44
1224,2021-08-03,83.0,84.6152,81.77,83.16
1223,2021-08-02,82.16,84.06,81.11,83.19
