,Date,Open,High,Low,Close
1495,2021-11-04,2.18,3.2,2.03,3.2
1494,2021-11-03,3.59,3.65,1.7,2.4
1493,2021-11-02,3.75,3.75,3.69,3.73
1492,2021-11-01,3.63,3.8303,3.63,3.73
1491,2021-10-29,3.75,3.78,3.72,3.73
1490,2021-10-28,3.72,3.77,3.68,3.68
1489,2021-10-27,3.65,3.75,3.62,3.6609
1488,2021-10-26,3.65,3.78,3.65,3.69
1487,2021-10-25,3.59,3.73,3.59,3.68
1486,2021-10-22,3.45,3.705,3.45,3.685
1485,2021-10-21,3.55,3.62,3.5276,3.57
1484,2021-10-20,3.55,3.6201,3.51,3.57
1483,2021-10-19,3.34,3.52,3.34,3.5
1482,2021-10-18,3.47,3.54,3.42,3.46
1481,2021-10-15,3.6,3.66,3.3901,3.48
1480,2021-10-14,3.4,3.55,3.4,3.49
1479,2021-10-13,3.56,3.56,3.42,3.47
1478,2021-10-12,3.6,3.6,3.29,3.42
1477,2021-10-11,3.62,3.74,3.5399,3.5399
1476,2021-10-08,3.53,3.65,3.53,3.57
1475,2021-10-07,3.34,3.56,3.34,3.5
1474,2021-10-06,3.27,3.54,3.27,3.44
1473,2021-10-05,3.1,3.38,3.05,3.265
1472,2021-10-04,3.1,3.28,3.1,3.1199
1471,2021-10-01,3.08,3.0816,3.05,3.07
1470,2021-09-30,3.18,3.18,2.97,2.98
1469,2021-09-29,3.03,3.18,3.01,3.14
1468,2021-09-28,3.0,3.02,2.9689,2.99
1467,2021-09-27,2.98,3.0,2.9,2.93
1466,2021-09-24,2.86,3.01,2.86,2.88
1465,2021-09-23,2.9282,3.01,2.9224,2.93
1464,2021-09-22,4.0179,4.0179,2.86,2.8801
1463,2021-09-21,2.55,2.7606,2.52,2.72
1462,2021-09-20,2.37,2.37,2.29,2.35
1461,2021-09-17,2.3418,2.42,2.3418,2.41
1460,2021-09-16,2.29,2.36,2.26,2.32
1459,2021-09-15,2.35,2.38,2.32,2.38
1458,2021-09-14,2.29,2.3,2.25,2.26
1457,2021-09-13,2.3,2.44,2.3,2.31
1456,2021-09-10,2.35,2.39,2.33,2.37
