,Date,Open,High,Low,Close
1533,2021-12-31,20.32,20.475,20.23,20.42
1532,2021-12-30,20.42,20.51,20.3,20.32
1531,2021-12-29,19.45,20.475,19.45,20.46
1530,2021-12-28,20.2,20.3,20.12,20.19
1529,2021-12-27,19.98,20.295,19.89,20.24
1528,2021-12-23,19.93,20.22,19.73,20.0
1527,2021-12-22,19.75,19.85,19.32,19.83
1526,2021-12-21,19.6,19.82,19.2225,19.81
1525,2021-12-20,18.95,19.275,18.835,19.2
1524,2021-12-17,19.3,19.42,19.145,19.26
1523,2021-12-16,19.1,19.5,19.065,19.27
1522,2021-12-15,19.16,19.42,18.8,19.1
1521,2021-12-14,18.74,19.04,18.71,18.95
1520,2021-12-13,18.57,18.89,18.42,18.78
1519,2021-12-10,18.55,18.72,18.49,18.64
1518,2021-12-09,18.43,18.64,18.34,18.5
1517,2021-12-08,18.15,18.63,17.97,18.52
1516,2021-12-07,17.34,18.215,17.31,18.15
1515,2021-12-06,17.21,17.66,17.19,17.56
1514,2021-12-03,17.23,17.3324,16.96,17.09
1513,2021-12-02,16.89,17.22,16.76,17.18
1512,2021-12-01,17.21,17.3626,16.78,16.79
1511,2021-11-30,17.2,17.4,16.905,16.99
1510,2021-11-29,17.93,17.96,17.525,17.54
1509,2021-11-26,17.74,17.975,17.49,17.92
1508,2021-11-24,17.79,18.2,17.73,18.09
1507,2021-11-23,18.05,18.14,17.79,17.81
1506,2021-11-22,18.02,18.55,17.98,18.01
1505,2021-11-19,18.18,18.41,17.855,17.95
1504,2021-11-18,18.53,18.67,18.16,18.24
1503,2021-11-17,18.69,18.74,18.395,18.52
1502,2021-11-16,18.7,18.78,18.53,18.73
1501,2021-11-15,18.44,18.66,18.43,18.66
1500,2021-11-12,18.36,18.68,18.24,18.5
1499,2021-11-11,18.28,18.5,18.17,18.33
1498,2021-11-10,18.91,18.94,17.77,18.16
1497,2021-11-09,18.51,18.88,18.39,18.76
1496,2021-11-08,18.77,18.89,18.51,18.55
1495,2021-11-05,19.15,19.24,18.78,18.78
1494,2021-11-04,19.04,19.229,18.97,19.03
1493,2021-11-03,18.99,19.225,18.89,19.16
1492,2021-11-02,19.0,19.18,18.74,19.08
1491,2021-11-01,18.91,19.255,18.8,18.92
1490,2021-10-29,18.82,19.01,18.71,18.91
1489,2021-10-28,18.74,18.99,18.71,18.8
1488,2021-10-27,18.79,18.98,18.62,18.75
1487,2021-10-26,18.82,19.0,18.8,18.83
1486,2021-10-25,18.83,18.91,18.66,18.79
1485,2021-10-22,18.47,18.815,18.4092,18.77
1484,2021-10-21,18.38,18.6,18.35,18.51
1483,2021-10-20,18.25,18.62,18.16,18.37
1482,2021-10-19,18.19,18.37,18.0,18.25
1481,2021-10-18,18.21,18.395,18.07,18.17
1480,2021-10-15,18.77,18.79,18.095,18.19
1479,2021-10-14,18.34,18.49,18.135,18.25
1478,2021-10-13,18.16,18.4461,18.095,18.25
1477,2021-10-12,18.44,18.68,17.87,18.11
1476,2021-10-11,18.53,18.9,18.41,18.42
1475,2021-10-08,18.38,18.73,18.38,18.54
1474,2021-10-07,18.19,18.57,18.19,18.39
1473,2021-10-06,17.93,18.46,17.82,18.19
1472,2021-10-05,17.61,18.17,17.57,17.93
1471,2021-10-04,17.58,17.92,17.56,17.62
1470,2021-10-01,17.47,17.59,17.44,17.54
1469,2021-09-30,17.71,17.84,17.295,17.37
1468,2021-09-29,17.32,17.72,17.29,17.7
1467,2021-09-28,17.22,17.455,17.18,17.32
1466,2021-09-27,17.21,17.38,17.1,17.24
1465,2021-09-24,17.29,17.425,17.07,17.11
1464,2021-09-23,17.26,17.49,17.18,17.26
1463,2021-09-22,17.1,17.4,16.97,17.2
1462,2021-09-21,16.39,17.02,16.39,16.92
1461,2021-09-20,16.2,16.21,15.925,16.12
1460,2021-09-17,16.09,16.26,16.0,16.23
1459,2021-09-16,16.08,16.15,15.925,16.07
1458,2021-09-15,16.09,16.15,15.975,16.15
1457,2021-09-14,16.07,16.07,15.86,16.07
1456,2021-09-13,16.22,16.315,16.01,16.05
1455,2021-09-10,16.16,16.21,16.01,16.1
1454,2021-09-09,16.15,16.29,16.0223,16.16
1453,2021-09-08,16.11,16.45,16.005,16.21
1452,2021-09-07,16.13,16.1999,16.01,16.07
1451,2021-09-03,16.23,16.29,16.06,16.19
1450,2021-09-02,16.04,16.29,16.04,16.28
1449,2021-09-01,16.01,16.11,15.93,16.06
1448,2021-08-31,15.71,16.0,15.66,15.96
