,Date,Open,High,Low,Close
3063,2021-12-31,5.81,5.8688,5.76,5.77
3062,2021-12-30,5.83,5.96,5.82,5.83
3061,2021-12-29,5.9,5.91,5.83,5.85
3060,2021-12-28,5.9,6.0,5.89,5.9
3059,2021-12-27,6.1,6.11,5.98,6.09
3058,2021-12-23,5.99,6.09,5.98,6.06
3057,2021-12-22,5.89,6.0,5.87,5.96
3056,2021-12-21,5.74,5.92,5.73,5.9
3055,2021-12-20,5.72,5.72,5.43,5.64
3054,2021-12-17,5.85,5.865,5.72,5.77
3053,2021-12-16,6.0,6.02,5.82,5.83
3052,2021-12-15,5.85,5.93,5.78,5.93
3051,2021-12-14,6.005,6.075,5.86,5.87
3050,2021-12-13,6.03,6.04,5.92,5.99
3049,2021-12-10,6.21,6.225,6.04,6.04
3048,2021-12-09,6.21,6.23,6.13,6.18
3047,2021-12-08,6.17,6.27,6.145,6.21
3046,2021-12-07,6.12,6.2,6.085,6.14
3045,2021-12-06,5.98,6.14,5.935,6.09
3044,2021-12-03,6.02,6.02,5.905,5.92
3043,2021-12-02,5.84,6.03,5.83,6.01
3042,2021-12-01,6.0,6.06,5.8,5.8
3041,2021-11-30,5.96,6.02,5.83,5.88
3040,2021-11-29,6.05,6.13,5.9,6.02
3039,2021-11-26,6.09,6.09,5.77,5.99
3038,2021-11-24,6.07,6.19,6.06,6.14
3037,2021-11-23,6.07,6.09,6.01,6.08
3036,2021-11-22,6.09,6.09,6.02,6.04
3035,2021-11-19,6.03,6.08,6.0001,6.07
3034,2021-11-18,6.12,6.14,5.99,6.06
3033,2021-11-17,6.09,6.14,6.05,6.12
3032,2021-11-16,6.15,6.16,6.06,6.16
3031,2021-11-15,6.28,6.295,6.14,6.14
3030,2021-11-12,6.335,6.345,6.24,6.26
3029,2021-11-11,6.26,6.35,6.25,6.33
3028,2021-11-10,6.31,6.37,6.17,6.19
3027,2021-11-09,6.4,6.545,6.29,6.31
3026,2021-11-08,6.46,6.475,6.35,6.37
3025,2021-11-05,6.41,6.48,6.4,6.43
3024,2021-11-04,6.46,6.48,6.35,6.37
3023,2021-11-03,6.43,6.51,6.385,6.42
3022,2021-11-02,6.52,6.53,6.38,6.4
3021,2021-11-01,6.46,6.53,6.435,6.51
3020,2021-10-29,6.42,6.45,6.39,6.42
3019,2021-10-28,6.46,6.48,6.35,6.4
3018,2021-10-27,6.52,6.53,6.42,6.44
3017,2021-10-26,6.48,6.54,6.44,6.44
3016,2021-10-25,6.71,6.78,6.7001,6.72
3015,2021-10-22,6.76,6.77,6.685,6.71
3014,2021-10-21,6.74,6.79,6.68,6.75
3013,2021-10-20,6.72,6.81,6.7182,6.74
3012,2021-10-19,6.72,6.74,6.675,6.71
3011,2021-10-18,6.66,6.73,6.63,6.69
3010,2021-10-15,6.77,6.785,6.66,6.66
3009,2021-10-14,6.7,6.72,6.655,6.7
3008,2021-10-13,6.66,6.71,6.6,6.63
3007,2021-10-12,6.62,6.655,6.58,6.65
3006,2021-10-11,6.55,6.66,6.54,6.59
3005,2021-10-08,6.51,6.54,6.49,6.51
3004,2021-10-07,6.49,6.58,6.48,6.49
3003,2021-10-06,6.45,6.47,6.365,6.45
3002,2021-10-05,6.45,6.56,6.4,6.5
3001,2021-10-04,6.38,6.53,6.37,6.42
