,Date,Open,High,Low,Close
5578,2021-12-31,24.72,24.825,24.565,24.6
5577,2021-12-30,24.67,24.95,24.66,24.78
5576,2021-12-29,24.81,24.92,24.6,24.64
5575,2021-12-28,24.74,25.12,24.69,24.82
5574,2021-12-27,24.87,25.09,24.625,24.78
5573,2021-12-23,24.85,25.02,24.809,24.87
5572,2021-12-22,24.44,24.835,24.24,24.78
5571,2021-12-21,24.32,24.8239,24.195,24.47
5570,2021-12-20,24.03,24.29,23.75,24.19
5569,2021-12-17,23.8,23.84,23.28,23.78
5568,2021-12-16,22.65,23.89,22.65,23.71
5567,2021-12-15,22.28,22.4,22.02,22.17
5566,2021-12-14,22.39,22.73,22.25,22.29
5565,2021-12-13,22.71,22.8,22.285,22.44
5564,2021-12-10,22.98,23.05,22.75,22.84
5563,2021-12-09,23.03,23.07,22.68,22.94
5562,2021-12-08,23.02,23.565,22.98,23.17
5561,2021-12-07,23.295,23.37,22.97,23.08
5560,2021-12-06,23.59,23.94,23.23,23.28
5559,2021-12-03,23.02,23.53,22.91,23.46
5558,2021-12-02,22.28,23.26,22.28,23.05
5557,2021-12-01,23.0,23.195,22.22,22.23
5556,2021-11-30,23.64,23.68,22.55,22.83
5555,2021-11-29,24.25,24.26,23.85,23.89
5554,2021-11-26,24.06,24.32,24.01,24.22
5553,2021-11-24,24.67,24.7184,24.43,24.47
5552,2021-11-23,24.69,24.99,24.69,24.76
5551,2021-11-22,24.1,24.86,24.07,24.7
5550,2021-11-19,24.32,24.34,23.96,24.13
5549,2021-11-18,24.63,24.69,24.39,24.39
5548,2021-11-17,24.63,24.72,24.56,24.66
5547,2021-11-16,24.79,24.89,24.63,24.66
5546,2021-11-15,24.97,25.05,24.74,24.8
5545,2021-11-12,24.95,25.075,24.91,24.94
5544,2021-11-11,24.99,25.1,24.88,24.92
5543,2021-11-10,24.69,25.13,24.66,24.95
5542,2021-11-09,24.82,24.85,24.58,24.71
5541,2021-11-08,25.06,25.13,24.73,24.88
5540,2021-11-05,24.85,25.31,24.83,25.1
5539,2021-11-04,25.13,25.25,24.54,24.8
5538,2021-11-03,25.12,25.33,25.11,25.18
5537,2021-11-02,25.4,25.48,25.13,25.23
5536,2021-11-01,25.46,25.58,25.345,25.37
5535,2021-10-29,25.37,25.52,25.15,25.26
5534,2021-10-28,25.13,25.635,25.09,25.55
5533,2021-10-27,25.39,25.475,25.04,25.06
5532,2021-10-26,25.63,25.7,25.35,25.37
5531,2021-10-25,25.43,25.66,25.32,25.64
5530,2021-10-22,25.76,25.8,25.465,25.49
5529,2021-10-21,26.12,26.29,25.6,25.76
5528,2021-10-20,25.61,26.09,25.56,25.91
5527,2021-10-19,25.46,25.6,25.265,25.59
5526,2021-10-18,25.56,25.65,25.28,25.33
5525,2021-10-15,25.69,25.94,25.65,25.7
5524,2021-10-14,25.368,25.81,25.35,25.62
5523,2021-10-13,25.28,25.46,25.01,25.3
5522,2021-10-12,26.02,26.0257,25.36,25.43
5521,2021-10-11,26.69,26.77,26.03,26.03
5520,2021-10-08,27.06,27.119,26.75,26.77
5519,2021-10-07,27.0,27.23,26.97,27.09
5518,2021-10-06,27.26,27.335,26.97,27.31
5517,2021-10-05,27.3,27.48,27.165,27.35
5516,2021-10-04,27.24,27.455,27.09,27.25
5515,2021-10-01,27.135,27.4,27.01,27.16
5514,2021-09-30,27.48,27.51,27.01,27.01
5513,2021-09-29,27.28,27.57,27.17,27.4
5512,2021-09-28,27.44,27.74,27.19,27.24
5511,2021-09-27,27.17,27.65,27.16,27.4
5510,2021-09-24,27.15,27.38,27.1,27.13
5509,2021-09-23,27.06,27.29,27.0218,27.19
5508,2021-09-22,27.02,27.2058,26.99,27.01
5507,2021-09-21,27.305,27.43,26.94,26.96
5506,2021-09-20,27.32,27.37,26.94,27.21
5505,2021-09-17,27.42,27.94,27.42,27.53
5504,2021-09-16,27.56,27.74,27.4441,27.6
5503,2021-09-15,27.35,27.65,27.31,27.57
