,Date,Open,High,Low,Close
5578,2021-12-31,40.72,41.1099,40.66,40.75
5577,2021-12-30,41.17,41.505,40.635,40.81
5576,2021-12-29,41.37,41.43,40.7,41.14
5575,2021-12-28,41.14,41.535,40.77,41.2
5574,2021-12-27,42.35,42.35,41.1,41.3
5573,2021-12-23,40.6,41.72,40.13,41.32
5572,2021-12-22,39.9,40.65,39.345,40.63
5571,2021-12-21,39.54,40.2,39.2901,40.2
5570,2021-12-20,39.42,40.26,38.42,39.3
5569,2021-12-17,39.62,40.52,39.275,40.06
5568,2021-12-16,40.52,41.335,39.95,39.95
5567,2021-12-15,40.0,40.65,38.68,40.51
5566,2021-12-14,36.89,37.935,36.84,37.42
5565,2021-12-13,37.62,38.405,36.7,37.14
5564,2021-12-10,38.85,38.85,37.72,37.85
5563,2021-12-09,39.15,39.2,38.32,38.63
5562,2021-12-08,38.59,39.62,38.2277,39.38
5561,2021-12-07,38.35,39.17,38.35,38.58
5560,2021-12-06,36.98,38.58,36.8,38.15
5559,2021-12-03,37.06,37.06,36.52,36.73
5558,2021-12-02,36.51,37.13,36.45,37.08
5557,2021-12-01,36.81,37.21,36.3326,36.44
5556,2021-11-30,36.5,36.78,35.96,36.2
5555,2021-11-29,37.88,37.88,36.53,36.56
5554,2021-11-26,37.22,37.96,36.53,37.56
5553,2021-11-24,38.54,38.54,37.795,38.26
5552,2021-11-23,39.37,39.39,38.5,38.6
5551,2021-11-22,39.46,39.94,39.02,39.32
5550,2021-11-19,38.39,39.26,38.39,39.25
5549,2021-11-18,39.48,40.65,38.67,38.75
5548,2021-11-17,40.38,40.38,39.15,39.42
5547,2021-11-16,40.31,41.04,40.03,40.7
5546,2021-11-15,39.76,40.39,39.33,40.3
5545,2021-11-12,38.73,40.0163,38.34,39.52
5544,2021-11-11,38.22,38.92,38.0788,38.67
5543,2021-11-10,37.88,38.575,37.6634,38.22
5542,2021-11-09,36.5,38.74,36.5,37.76
5541,2021-11-08,35.95,36.95,35.47,36.67
5540,2021-11-05,40.2,40.2,35.23,35.7
5539,2021-11-04,43.53,43.92,42.3,42.78
5538,2021-11-03,42.38,43.75,42.25,43.46
5537,2021-11-02,42.66,42.67,42.11,42.37
5536,2021-11-01,41.18,43.22,41.18,42.66
5535,2021-10-29,41.31,41.5,41.03,41.18
5534,2021-10-28,41.11,41.54,40.96,41.22
5533,2021-10-27,42.04,42.04,40.83,40.86
5532,2021-10-26,43.7,43.7,42.27,42.36
5531,2021-10-25,43.7,43.91,43.06,43.35
5530,2021-10-22,43.76,44.26,43.49,43.79
5529,2021-10-21,44.95,45.02,43.72,43.81
5528,2021-10-20,45.71,46.31,44.82,44.92
5527,2021-10-19,46.04,47.305,45.35,46.05
5526,2021-10-18,46.02,46.68,45.445,45.94
5525,2021-10-15,46.71,46.79,45.53,45.65
5524,2021-10-14,46.5,46.75,45.97,46.07
5523,2021-10-13,46.54,46.89,45.75,46.04
5522,2021-10-12,47.35,48.1,46.36,46.47
5521,2021-10-11,48.57,49.07,47.44,47.44
5520,2021-10-08,49.7,49.95,48.35,48.36
5519,2021-10-07,50.0,50.53,49.23,49.5
5518,2021-10-06,49.37,49.77,48.87,49.62
5517,2021-10-05,49.52,50.1,49.41,49.93
5516,2021-10-04,49.86,49.99,49.24,49.77
5515,2021-10-01,49.69,50.25,49.02,49.81
5514,2021-09-30,50.09,50.14,49.17,49.25
5513,2021-09-29,49.82,50.24,49.31,49.69
5512,2021-09-28,50.93,50.93,49.5,49.69
5511,2021-09-27,50.71,51.75,50.2,50.92
5510,2021-09-24,50.19,50.96,49.91,50.48
5509,2021-09-23,50.07,51.18,50.07,50.46
5508,2021-09-22,48.75,50.09,48.6,49.65
5507,2021-09-21,49.52,49.52,48.17,48.32
5506,2021-09-20,50.22,50.76,48.51,49.18
5505,2021-09-17,50.62,51.61,49.87,51.31
