,Date,Open,High,Low,Close
5578,2021-12-31,5.38,5.43,5.29,5.32
5577,2021-12-30,5.4,5.5999,5.36,5.4
5576,2021-12-29,5.39,5.45,5.2901,5.38
5575,2021-12-28,5.42,5.53,5.25,5.4
5574,2021-12-27,5.42,5.66,5.24,5.42
5573,2021-12-23,5.51,5.5825,5.41,5.41
5572,2021-12-22,5.55,5.7,5.37,5.51
5571,2021-12-21,5.44,5.5,5.26,5.41
5570,2021-12-20,4.88,5.41,4.81,5.35
5569,2021-12-17,4.45,5.51,4.45,5.05
5568,2021-12-16,4.51,4.61,4.15,4.23
5567,2021-12-15,4.44,4.7422,4.0,4.42
5566,2021-12-14,4.16,4.53,4.06,4.5
5565,2021-12-13,4.52,4.75,4.07,4.23
5564,2021-12-10,4.59,4.64,4.395,4.52
5563,2021-12-09,4.88,4.89,4.55,4.55
5562,2021-12-08,4.8,5.01,4.58,4.94
5561,2021-12-07,4.4,4.63,4.33,4.55
5560,2021-12-06,4.26,4.57,4.17,4.37
5559,2021-12-03,4.5,4.69,4.2,4.26
5558,2021-12-02,4.39,4.83,4.35,4.54
5557,2021-12-01,4.7,4.71,4.38,4.4
5556,2021-11-30,4.71,4.869,4.57,4.61
5555,2021-11-29,4.94,5.105,4.75,4.78
5554,2021-11-26,4.82,5.32,4.7,4.84
5553,2021-11-24,4.84,5.03,4.84,4.93
5552,2021-11-23,4.84,4.95,4.66,4.92
5551,2021-11-22,4.99,5.08,4.82,4.88
5550,2021-11-19,5.12,5.17,4.98,5.0
5549,2021-11-18,5.67,5.8,5.13,5.13
5548,2021-11-17,5.68,5.75,5.15,5.25
5547,2021-11-16,5.54,5.8,5.5,5.75
5546,2021-11-15,5.45,5.53,5.39,5.47
5545,2021-11-12,5.36,5.5,5.36,5.49
5544,2021-11-11,5.68,5.68,5.24,5.28
5543,2021-11-10,5.75,5.8809,5.588,5.68
5542,2021-11-09,5.86,6.0,5.81,5.83
5541,2021-11-08,5.98,6.15,5.85,5.93
5540,2021-11-05,6.05,6.29,5.91,5.96
5539,2021-11-04,6.43,6.45,5.7,6.06
5538,2021-11-03,6.35,6.97,6.325,6.45
5537,2021-11-02,5.68,6.43,5.68,6.37
5536,2021-11-01,5.7,5.886,5.65,5.71
5535,2021-10-29,5.51,5.6899,5.47,5.59
5534,2021-10-28,5.53,5.64,5.41,5.54
5533,2021-10-27,5.56,5.79,5.5,5.5
5532,2021-10-26,5.65,5.7324,5.4,5.53
5531,2021-10-25,5.43,5.74,5.3614,5.64
5530,2021-10-22,5.38,5.45,5.31,5.4
5529,2021-10-21,5.2,5.44,5.15,5.36
5528,2021-10-20,5.25,5.29,5.19,5.24
5527,2021-10-19,5.29,5.3,5.2,5.24
5526,2021-10-18,5.28,5.39,5.25,5.26
5525,2021-10-15,5.39,5.5,5.29,5.34
5524,2021-10-14,4.95,5.31,4.95,5.31
5523,2021-10-13,4.79,4.9514,4.78,4.95
5522,2021-10-12,4.79,4.9,4.76,4.8
5521,2021-10-11,4.82,4.9,4.7001,4.75
5520,2021-10-08,4.72,4.98,4.6701,4.83
5519,2021-10-07,4.64,4.85,4.64,4.7
5518,2021-10-06,4.64,4.79,4.61,4.64
5517,2021-10-05,4.78,4.82,4.6,4.71
5516,2021-10-04,4.87,4.87,4.65,4.76
5515,2021-10-01,4.66,4.87,4.64,4.85
5514,2021-09-30,4.62,4.69,4.6,4.65
5513,2021-09-29,4.63,4.68,4.62,4.63
5512,2021-09-28,4.65,4.73,4.5401,4.63
5511,2021-09-27,4.66,4.73,4.53,4.7
5510,2021-09-24,4.62,4.75,4.5701,4.69
5509,2021-09-23,4.69,4.78,4.62,4.65
5508,2021-09-22,4.48,4.7,4.47,4.66
5507,2021-09-21,4.48,4.67,4.45,4.49
5506,2021-09-20,4.5,4.5,4.18,4.44
5505,2021-09-17,4.66,4.69,4.51,4.55
5504,2021-09-16,4.62,4.69,4.4192,4.63
5503,2021-09-15,4.65,4.82,4.57,4.62
5502,2021-09-14,4.57,4.803,4.46,4.62
5501,2021-09-13,4.63,4.66,4.42,4.44
5500,2021-09-10,4.65,4.75,4.59,4.63
5499,2021-09-09,4.62,4.74,4.58,4.65
5498,2021-09-08,4.64,4.74,4.63,4.65
5497,2021-09-07,4.61,4.69,4.59,4.68
5496,2021-09-03,4.58,4.64,4.55,4.61
5495,2021-09-02,4.55,4.67,4.51,4.62
5494,2021-09-01,4.47,4.59,4.47,4.56
5493,2021-08-31,4.31,4.5,4.31,4.43
5492,2021-08-30,4.22,4.34,4.22,4.29
5491,2021-08-27,4.15,4.26,4.15,4.18
5490,2021-08-26,4.15,4.41,4.15,4.18
5489,2021-08-25,4.31,4.31,4.14,4.16
5488,2021-08-24,4.31,4.5,4.25,4.39
5487,2021-08-23,4.28,4.33,4.23,4.3
5486,2021-08-20,4.23,4.28,4.19,4.25
5485,2021-08-19,4.28,4.34,4.19,4.21
5484,2021-08-18,4.42,4.45,4.27,4.28
5483,2021-08-17,4.49,4.52,4.36,4.42
5482,2021-08-16,4.35,4.6,4.0,4.48
5481,2021-08-13,4.45,4.45,4.3341,4.38
5480,2021-08-12,4.35,4.46,4.27,4.44
5479,2021-08-11,4.33,4.39,4.2882,4.35
5478,2021-08-10,4.61,4.66,4.27,4.29
5477,2021-08-09,4.36,4.68,4.33,4.62
5476,2021-08-06,4.29,4.44,4.24,4.4
5475,2021-08-05,4.14,4.3,4.1,4.28
5474,2021-08-04,4.23,4.25,4.1,4.17
5473,2021-08-03,4.29,4.29,4.13,4.26
5472,2021-08-02,4.33,4.35,4.16,4.27
5471,2021-07-30,4.16,4.42,4.02,4.32
5470,2021-07-29,4.11,4.22,4.05,4.2
5469,2021-07-28,4.03,4.21,4.0,4.13
5468,2021-07-27,4.15,4.19,4.01,4.02
5467,2021-07-26,4.21,4.33,4.12,4.12
5466,2021-07-23,4.22,4.22,4.1,4.21
5465,2021-07-22,4.14,4.35,4.0701,4.21
5464,2021-07-21,4.06,4.19,3.95,4.11
5463,2021-07-20,3.91,4.1,3.84,4.09
5462,2021-07-19,4.01,4.07,3.89,3.9
5461,2021-07-16,4.13,4.15,4.04,4.07
5460,2021-07-15,4.11,4.2,4.0705,4.13
5459,2021-07-14,4.24,4.32,4.13,4.13
5458,2021-07-13,4.23,4.3,4.18,4.28
5457,2021-07-12,4.24,4.35,4.18,4.26
5456,2021-07-09,4.08,4.3,4.07,4.23
5455,2021-07-08,4.17,4.2,4.0,4.07
5454,2021-07-07,4.41,4.64,4.17,4.21
5453,2021-07-06,4.55,4.58,4.29,4.34
5452,2021-07-02,4.68,4.68,4.52,4.56
5451,2021-07-01,4.71,4.75,4.61,4.63
5450,2021-06-30,4.6,4.85,4.56,4.71
5449,2021-06-29,4.73,4.73,4.57,4.59
5448,2021-06-28,4.67,4.72,4.62,4.71
5447,2021-06-25,4.63,4.77,4.63,4.64
5446,2021-06-24,4.73,4.88,4.62,4.65
5445,2021-06-23,4.81,4.81,4.67,4.75
5444,2021-06-22,4.89,4.93,4.75,4.8
5443,2021-06-21,5.0,5.0,4.865,4.89
5442,2021-06-18,4.94,5.14,4.93,5.01
5441,2021-06-17,5.03,5.08,4.9,5.0
5440,2021-06-16,5.1,5.12,5.01,5.06
5439,2021-06-15,5.18,5.2,5.09,5.09
5438,2021-06-14,4.93,5.15,4.87,5.15
5437,2021-06-11,4.95,4.97,4.89,4.91
5436,2021-06-10,4.94,4.98,4.851,4.96
5435,2021-06-09,5.01,5.04,4.9,4.95
5434,2021-06-08,5.07,5.14,4.96,5.0
5433,2021-06-07,5.2,5.2,5.07,5.07
5432,2021-06-04,5.32,5.36,5.17,5.2
5431,2021-06-03,5.21,5.38,5.14,5.32
5430,2021-06-02,5.04,5.24,4.99,5.23
5429,2021-06-01,4.99,5.09,4.95,5.05
5428,2021-05-28,4.99,5.05,4.91,4.98
5427,2021-05-27,5.03,5.06,4.9,4.97
5426,2021-05-26,4.98,5.07,4.95,5.03
5425,2021-05-25,4.97,5.08,4.9201,4.97
5424,2021-05-24,5.05,5.058,4.94,4.95
5423,2021-05-21,4.97,5.0784,4.925,5.04
5422,2021-05-20,4.74,4.98,4.74,4.91
5421,2021-05-19,4.68,4.75,4.57,4.74
5420,2021-05-18,4.7,4.87,4.7,4.74
5419,2021-05-17,4.61,4.77,4.48,4.72
5418,2021-05-14,4.61,4.78,4.58,4.67
5417,2021-05-13,4.53,4.68,4.46,4.59
5416,2021-05-12,4.78,4.84,4.5,4.55
5415,2021-05-11,4.8,4.875,4.67,4.77
5414,2021-05-10,4.59,4.92,4.57,4.84
5413,2021-05-07,5.2,5.2,4.545,4.63
5412,2021-05-06,5.28,5.33,5.02,5.25
5411,2021-05-05,5.54,5.5899,5.27,5.32
5410,2021-05-04,5.59,5.63,5.421,5.52
5409,2021-05-03,5.65,5.83,5.56,5.61
5408,2021-04-30,5.75,5.76,5.58,5.63
5407,2021-04-29,5.74,5.86,5.63,5.78
5406,2021-04-28,5.61,5.74,5.58,5.69
5405,2021-04-27,5.74,5.79,5.59,5.59
5404,2021-04-26,5.58,5.765,5.58,5.71
5403,2021-04-23,5.46,5.58,5.4,5.54
5402,2021-04-22,5.48,5.59,5.39,5.49
5401,2021-04-21,5.41,5.49,5.35,5.45
