,Date,Open,High,Low,Close
1752,2021-12-31,18.86,19.28,18.86,19.0
1751,2021-12-30,18.72,19.1,18.72,18.86
1750,2021-12-29,18.8,18.82,18.55,18.71
1749,2021-12-28,18.58,18.79,18.51,18.76
1748,2021-12-27,18.3,18.67,18.14,18.67
1747,2021-12-23,18.51,18.53,18.2,18.35
1746,2021-12-22,18.23,18.47,18.16,18.39
1745,2021-12-21,17.48,18.18,17.48,18.16
1744,2021-12-20,17.45,17.66,17.0,17.34
1743,2021-12-17,17.71,17.94,17.605,17.74
1742,2021-12-16,17.96,18.04,17.58,17.75
1741,2021-12-15,17.62,17.92,17.35,17.8
1740,2021-12-14,17.71,17.95,17.395,17.58
1739,2021-12-13,17.91,18.06,17.63,17.87
1738,2021-12-10,18.25,18.34,17.86,18.04
1737,2021-12-09,18.39,18.39,18.025,18.18
1736,2021-12-08,18.33,18.77,18.26,18.63
1735,2021-12-07,18.34,18.495,18.22,18.32
1734,2021-12-06,17.89,18.26,17.62,18.13
1733,2021-12-03,17.51,17.78,17.35,17.54
1732,2021-12-02,16.79,17.71,16.79,17.56
1731,2021-12-01,17.69,17.89,16.61,16.61
1730,2021-11-30,17.23,17.45,16.955,17.23
1729,2021-11-29,17.83,17.84,17.26,17.43
1728,2021-11-26,17.89,17.92,17.01,17.55
1727,2021-11-24,18.48,18.73,18.28,18.65
1726,2021-11-23,18.83,18.98,18.49,18.49
1725,2021-11-22,18.56,19.06,18.205,18.83
1724,2021-11-19,18.56,18.57,18.09,18.4
1723,2021-11-18,18.47,18.88,18.47,18.72
1722,2021-11-17,18.27,18.8,17.99,18.62
1721,2021-11-16,18.78,18.78,18.19,18.34
1720,2021-11-15,18.54,18.725,18.42,18.71
1719,2021-11-12,18.81,18.81,18.34,18.4
1718,2021-11-11,18.59,18.895,18.43,18.78
1717,2021-11-10,18.45,18.79,18.45,18.57
1716,2021-11-09,18.52,18.7339,18.27,18.46
1715,2021-11-08,19.42,19.53,18.45,18.57
1714,2021-11-05,19.04,19.58,19.03,19.34
1713,2021-11-04,18.96,19.5626,18.525,18.65
1712,2021-11-03,18.41,19.01,18.41,18.95
1711,2021-11-02,18.34,18.63,18.17,18.45
1710,2021-11-01,17.61,18.31,17.46,18.25
1709,2021-10-29,17.61,17.7199,17.41,17.53
1708,2021-10-28,17.59,17.685,17.31,17.61
1707,2021-10-27,18.07,18.07,17.46,17.52
1706,2021-10-26,18.2,18.26,18.03,18.1
1705,2021-10-25,18.185,18.32,18.075,18.2
1704,2021-10-22,18.49,18.57,18.15,18.18
1703,2021-10-21,18.71,18.73,18.34,18.41
1702,2021-10-20,18.2,18.705,18.14,18.69
1701,2021-10-19,18.62,18.62,18.24,18.25
1700,2021-10-18,18.35,18.65,18.31,18.62
1699,2021-10-15,18.89,18.96,18.47,18.47
1698,2021-10-14,18.93,18.93,18.535,18.59
1697,2021-10-13,18.34,18.77,18.18,18.76
1696,2021-10-12,18.255,18.59,18.14,18.35
1695,2021-10-11,18.51,18.68,18.23,18.25
1694,2021-10-08,18.82,18.95,18.52,18.52
1693,2021-10-07,18.96,19.12,18.76,18.9
1692,2021-10-06,18.72,18.85,18.331,18.83
1691,2021-10-05,19.33,19.435,18.87,18.96
1690,2021-10-04,19.12,19.39,18.99,19.28
1689,2021-10-01,18.44,19.25,18.35,19.15
1688,2021-09-30,18.63,18.63,18.18,18.31
1687,2021-09-29,18.39,18.55,18.22,18.47
1686,2021-09-28,18.29,18.45,18.22,18.35
1685,2021-09-27,18.23,18.61,18.23,18.35
1684,2021-09-24,18.3,18.48,18.12,18.16
1683,2021-09-23,18.46,18.5,18.28,18.4
1682,2021-09-22,17.91,18.26,17.89,18.12
1681,2021-09-21,17.95,18.13,17.71,17.75
1680,2021-09-20,17.78,17.96,17.49,17.82
1679,2021-09-17,18.29,18.47,17.95,17.95
1678,2021-09-16,18.36,18.54,18.25,18.34
1677,2021-09-15,18.19,18.35,17.95,18.28
