,Date,Open,High,Low,Close
1638,2021-12-31,1.9583,1.9814,1.9501,1.96
1637,2021-12-30,1.922,1.945,1.91,1.945
1636,2021-12-29,1.97,2.0,1.8747,1.93
1635,2021-12-28,2.0001,2.08,1.95,2.06
1634,2021-12-27,2.04,2.098,2.0,2.04
1633,2021-12-23,2.0338,2.09,1.96,2.04
1632,2021-12-22,1.83,2.1,1.83,2.02
1631,2021-12-21,1.8074,1.95,1.8074,1.84
1630,2021-12-20,1.78,1.9,1.78,1.81
1629,2021-12-17,1.9,1.9,1.8,1.81
1628,2021-12-16,1.92,1.95,1.875,1.88
1627,2021-12-15,1.91,2.01,1.8,1.89
1626,2021-12-14,1.9027,1.915,1.835,1.905
1625,2021-12-13,2.03,2.04,1.92,1.92
1624,2021-12-10,1.91,1.98,1.9,1.96
1623,2021-12-09,2.0,2.03,1.92,1.92
1622,2021-12-08,1.96,2.05,1.92,2.02
1621,2021-12-07,2.05,2.05,1.94,1.98
1620,2021-12-06,2.0467,2.06,1.96,1.99
1619,2021-12-03,2.0628,2.09,2.03,2.08
1618,2021-12-02,1.73,2.1934,1.73,2.15
1617,2021-12-01,2.275,2.31,2.22,2.22
1616,2021-11-30,2.3101,2.34,2.2201,2.24
1615,2021-11-29,2.36,2.445,2.22,2.31
1614,2021-11-26,2.48,2.48,2.3335,2.38
1613,2021-11-24,2.46,2.46,2.4011,2.46
1612,2021-11-23,2.52,2.59,2.41,2.46
1611,2021-11-22,2.55,2.59,2.42,2.59
1610,2021-11-19,2.57,2.57,2.45,2.5
1609,2021-11-18,2.62,2.64,2.5012,2.58
1608,2021-11-17,2.63,2.7499,2.5557,2.59
1607,2021-11-16,2.8,2.8,2.59,2.59
1606,2021-11-15,3.12,3.15,2.76,2.964
1605,2021-11-12,3.0,3.14,2.91,3.13
1604,2021-11-11,3.11,3.14,2.8446,3.02
1603,2021-11-10,3.13,3.2,3.1,3.16
1602,2021-11-09,3.16,3.1999,3.1,3.1
1601,2021-11-08,3.2,3.2,3.11,3.2
1600,2021-11-05,3.17,3.22,3.1001,3.2
1599,2021-11-04,3.17,3.23,3.11,3.2
1598,2021-11-03,3.23,3.23,3.1,3.17
1597,2021-11-02,2.9945,3.26,2.9945,3.24
1596,2021-11-01,2.95,3.09,2.8409,3.02
1595,2021-10-29,2.9,2.9899,2.8301,2.95
1594,2021-10-28,2.75,2.96,2.75,2.94
1593,2021-10-27,2.81,2.85,2.74,2.77
1592,2021-10-26,2.89,2.89,2.75,2.83
1591,2021-10-25,2.82,2.8626,2.72,2.83
1590,2021-10-22,2.9,2.9433,2.77,2.8
1589,2021-10-21,3.0,3.0615,2.83,2.88
1588,2021-10-20,3.08,3.18,3.0,3.0
1587,2021-10-19,3.07,3.13,3.03,3.08
1586,2021-10-18,3.2,3.2,3.04,3.1
1585,2021-10-15,3.22,3.28,3.12,3.18
1584,2021-10-14,3.19,3.3,3.11,3.2
1583,2021-10-13,3.21,3.34,3.1,3.19
1582,2021-10-12,3.31,3.3798,3.17,3.19
1581,2021-10-11,3.31,3.37,3.21,3.32
1580,2021-10-08,3.13,3.35,3.0501,3.3
1579,2021-10-07,3.1,3.18,3.04,3.12
1578,2021-10-06,3.14,3.2072,3.1,3.13
1577,2021-10-05,3.41,3.4582,3.17,3.22
1576,2021-10-04,3.22,3.58,3.1701,3.42
1575,2021-10-01,3.29,3.3299,3.08,3.27
1574,2021-09-30,3.4,3.49,3.09,3.3
1573,2021-09-29,3.33,3.89,2.92,3.62
1572,2021-09-28,3.38,3.3999,3.18,3.34
1571,2021-09-27,3.12,3.57,2.88,3.4
1570,2021-09-24,3.52,4.09,3.13,3.45
1569,2021-09-23,2.51,2.52,2.475,2.52
1568,2021-09-22,2.54,2.54,2.515,2.525
1567,2021-09-21,2.54,2.64,2.47,2.51
1566,2021-09-20,2.51,2.52,2.48,2.52
1565,2021-09-17,2.51,2.64,2.51,2.64
1564,2021-09-16,2.5121,2.5121,2.51,2.51
1563,2021-09-15,2.5,2.54,2.5,2.54
1562,2021-09-14,2.63,2.63,2.5,2.5
1561,2021-09-13,2.5,2.528,2.5,2.5
1560,2021-09-10,2.45,2.55,2.39,2.41
1559,2021-09-09,2.58,2.58,2.4,2.4399
1558,2021-09-08,2.6001,2.64,2.5,2.5
1557,2021-09-07,2.67,2.85,2.6,2.615
1556,2021-09-03,2.73,2.795,2.63,2.6674
1555,2021-09-02,2.84,2.95,2.73,2.73
1554,2021-09-01,2.7,2.88,2.7,2.84
1553,2021-08-31,2.64,2.8,2.64,2.7
1552,2021-08-30,2.61,2.714,2.5801,2.64
1551,2021-08-27,2.66,2.66,2.55,2.61
1550,2021-08-26,2.7,2.745,2.66,2.66
1549,2021-08-25,2.7,2.7488,2.63,2.68
1548,2021-08-24,2.6823,2.84,2.64,2.7
1547,2021-08-23,2.62,2.67,2.5524,2.66
1546,2021-08-20,2.5927,2.64,2.5301,2.61
1545,2021-08-19,2.65,2.69,2.51,2.59
1544,2021-08-18,2.5651,2.69,2.5651,2.64
1543,2021-08-17,2.63,2.6386,2.5,2.59
1542,2021-08-16,2.76,2.76,2.6104,2.63
1541,2021-08-13,2.73,2.81,2.67,2.7499
1540,2021-08-12,2.81,2.81,2.66,2.73
1539,2021-08-11,2.83,2.8973,2.7137,2.72
1538,2021-08-10,2.72,2.7599,2.7,2.7
1537,2021-08-09,2.59,2.78,2.59,2.72
1536,2021-08-06,2.635,2.9679,2.6007,2.66
1535,2021-08-05,2.31,2.58,2.31,2.53
1534,2021-08-04,2.54,2.61,2.51,2.51
1533,2021-08-03,2.52,2.6,2.52,2.55
1532,2021-08-02,2.64,2.64,2.5461,2.59
1531,2021-07-30,2.46,2.6489,2.44,2.6399
1530,2021-07-29,2.45,2.66,2.45,2.56
1529,2021-07-28,2.6,2.6,2.42,2.44
1528,2021-07-27,2.6,2.6666,2.55,2.57
1527,2021-07-26,2.83,2.83,2.53,2.62
1526,2021-07-23,2.87,2.8778,2.51,2.64
1525,2021-07-22,3.07,3.1199,2.8517,2.87
1524,2021-07-21,3.07,3.18,3.01,3.08
1523,2021-07-20,2.9,3.14,2.87,3.06
1522,2021-07-19,3.06,3.19,2.75,2.9
1521,2021-07-16,3.31,3.35,3.12,3.17
1520,2021-07-15,3.25,3.28,3.245,3.28
1519,2021-07-14,3.36,3.4632,3.3,3.33
1518,2021-07-13,3.5,3.53,3.37,3.4
1517,2021-07-12,3.59,3.6,3.45,3.46
1516,2021-07-09,3.38,3.6,3.38,3.55
1515,2021-07-08,3.6,3.61,3.35,3.43
1514,2021-07-07,3.69,3.76,3.62,3.63
1513,2021-07-06,3.7,3.77,3.61,3.72
1512,2021-07-02,3.66,3.773,3.65,3.74
1511,2021-07-01,3.76,3.8901,3.61,3.75
1510,2021-06-30,3.51,3.74,3.51,3.7
1509,2021-06-29,3.77,3.81,3.54,3.54
1508,2021-06-28,3.85,3.9299,3.74,3.74
1507,2021-06-25,3.87,3.96,3.87,3.96
1506,2021-06-24,4.16,4.16,3.8,3.86
1505,2021-06-23,3.72,4.15,3.55,4.1299
1504,2021-06-22,3.9,3.9,3.53,3.76
1503,2021-06-21,3.99,3.99,3.85,3.94
1502,2021-06-18,4.07,4.09,3.83,3.96
1501,2021-06-17,4.11,4.48,4.08,4.09
1500,2021-06-16,4.11,4.42,3.82,4.17
1499,2021-06-15,3.95,5.0,3.69,4.49
1498,2021-06-14,3.29,3.29,3.2021,3.27
1497,2021-06-11,3.35,3.35,3.26,3.31
1496,2021-06-10,3.35,3.3553,3.3318,3.35
1495,2021-06-09,3.35,3.37,3.345,3.35
1494,2021-06-08,3.35,3.37,3.35,3.36
1493,2021-06-07,3.57,3.57,3.35,3.3506
1492,2021-06-04,3.45,3.4526,3.36,3.4
1491,2021-06-03,3.47,3.5,3.426,3.5
1490,2021-06-02,3.4386,3.4386,3.4386,3.4386
1489,2021-06-01,3.3701,3.5,3.3701,3.45
1488,2021-05-28,3.5,3.5,3.3826,3.43
1487,2021-05-27,3.45,3.53,3.45,3.46
1486,2021-05-26,3.4,3.57,3.3754,3.57
1485,2021-05-25,3.3,3.4,3.3,3.37
1484,2021-05-24,3.3,3.37,3.285,3.35
1483,2021-05-21,3.35,3.35,3.295,3.3283
1482,2021-05-20,3.3316,3.35,3.33,3.33
1481,2021-05-19,3.45,3.45,3.25,3.33
1480,2021-05-18,3.39,3.47,3.39,3.43
1479,2021-05-17,3.67,3.87,3.46,3.5831
1478,2021-05-14,3.99,3.99,3.6638,3.77
1477,2021-05-13,3.955,4.03,3.85,3.85
1476,2021-05-12,3.7738,4.05,3.7738,4.05
1475,2021-05-11,3.86,3.88,3.85,3.86
1474,2021-05-10,4.13,4.1999,3.9101,3.9887
1473,2021-05-07,4.2,4.2,4.01,4.01
1472,2021-05-06,4.29,4.35,4.15,4.15
1471,2021-05-05,4.65,4.65,4.35,4.37
1470,2021-05-04,4.71,4.85,4.5,4.51
1469,2021-05-03,4.56,4.85,4.44,4.85
1468,2021-04-30,4.38,4.44,4.32,4.32
1467,2021-04-29,4.53,4.53,4.25,4.315
1466,2021-04-28,4.59,4.59,4.27,4.53
1465,2021-04-27,4.26,4.54,4.26,4.54
1464,2021-04-26,4.37,4.37,4.1227,4.26
1463,2021-04-23,4.07,4.38,4.0008,4.23
1462,2021-04-22,3.95,4.05,3.89,4.02
1461,2021-04-21,5.04,5.04,3.7,4.04
1460,2021-04-20,5.02,5.09,5.02,5.05
1459,2021-04-19,5.14,5.25,5.14,5.14
1458,2021-04-16,5.19,5.29,5.19,5.23
1457,2021-04-15,5.16,5.18,5.16,5.18
1456,2021-04-14,5.2075,5.2075,5.2075,5.2075
1455,2021-04-13,5.33,5.33,5.25,5.25
1454,2021-04-12,5.5,5.5,5.37,5.38
1453,2021-04-09,5.5,5.605,5.46,5.46
1452,2021-04-08,5.67,5.67,5.46,5.6
1451,2021-04-07,5.79,5.8,5.65,5.66
1450,2021-04-06,5.94,5.94,5.81,5.81
1449,2021-04-05,5.98,6.05,5.9784,5.9784
1448,2021-04-01,6.0133,6.0133,6.0032,6.01
1447,2021-03-31,5.88,6.0,5.8,5.95
1446,2021-03-30,6.292,6.37,5.84,5.84
1445,2021-03-29,6.4,6.4,6.23,6.23
1444,2021-03-26,6.4,6.4,6.3301,6.4
1443,2021-03-25,6.42,6.42,6.35,6.35
1442,2021-03-24,6.23,6.31,6.23,6.28
1441,2021-03-23,6.16,6.27,6.16,6.23
1440,2021-03-22,6.3252,6.3252,6.13,6.1999
1439,2021-03-19,6.16,6.34,6.16,6.34
1438,2021-03-18,6.4,6.47,6.01,6.23
1437,2021-03-17,6.41,6.45,6.41,6.42
1436,2021-03-16,6.63,6.64,6.54,6.58
1435,2021-03-15,6.6,6.64,6.58,6.64
1434,2021-03-12,6.655,6.71,6.6,6.604
1433,2021-03-11,6.46,6.72,6.46,6.65
1432,2021-03-10,6.45,6.49,6.45,6.49
1431,2021-03-09,6.38,6.38,6.38,6.38
1430,2021-03-08,6.6,6.69,6.41,6.41
1429,2021-03-05,6.67,6.69,6.595,6.67
1428,2021-03-04,6.74,6.8084,6.65,6.67
1427,2021-03-03,6.85,6.85,6.7415,6.7415
1426,2021-03-02,6.87,6.9,6.81,6.81
1425,2021-03-01,6.88,6.9,6.73,6.73
1424,2021-02-26,6.7341,6.87,6.7341,6.8
1423,2021-02-25,6.7899,6.79,6.63,6.63
1422,2021-02-24,6.83,6.91,6.71,6.77
1421,2021-02-23,7.06,7.2,6.83,6.92
1420,2021-02-22,7.23,7.23,7.16,7.18
1419,2021-02-19,7.26,7.3194,7.16,7.1816
1418,2021-02-18,7.08,7.4,7.08,7.25
1417,2021-02-17,7.01,7.01,6.91,7.0
1416,2021-02-16,7.05,7.1,7.04,7.08
1415,2021-02-12,7.02,7.08,6.9201,7.05
1414,2021-02-11,7.0,7.14,6.91,7.05
1413,2021-02-10,6.96,7.18,6.9297,7.18
1412,2021-02-09,7.0,7.14,6.94,6.96
1411,2021-02-08,6.95,7.0,6.9347,7.0
1410,2021-02-05,7.2,7.31,7.0,7.0002
1409,2021-02-04,7.25,7.39,7.2,7.2
1408,2021-02-03,7.0,7.25,7.0,7.25
1407,2021-02-02,7.03,7.05,6.94,7.0
1406,2021-02-01,7.44,7.49,7.06,7.1
1405,2021-01-29,7.315,7.315,6.9,6.9
1404,2021-01-28,7.48,7.48,7.34,7.46
1403,2021-01-27,7.47,7.51,7.4,7.44
1402,2021-01-26,7.49,7.51,7.385,7.47
1401,2021-01-25,7.39,7.46,7.25,7.46
1400,2021-01-22,7.29,7.35,7.1937,7.255
1399,2021-01-21,7.24,7.3,7.1001,7.28
1398,2021-01-20,7.19,7.2,7.1,7.1
1397,2021-01-19,7.19,7.19,6.91,7.15
1396,2021-01-15,7.19,7.19,7.02,7.19
1395,2021-01-14,6.84,7.3,6.775,7.18
1394,2021-01-13,6.49,6.85,6.49,6.8
1393,2021-01-12,6.31,6.51,6.31,6.42
1392,2021-01-11,6.5773,6.5773,6.41,6.41
1391,2021-01-08,6.52,6.58,6.28,6.5
1390,2021-01-07,6.4,6.55,6.33,6.4669
1389,2021-01-06,5.94,6.45,5.94,6.32
1388,2021-01-05,5.7,5.79,5.5,5.79
1387,2021-01-04,5.61,5.8,5.55,5.7
1386,2020-12-31,5.54,5.657,5.48,5.4993
1385,2020-12-30,5.9,5.9,5.49,5.54
1384,2020-12-29,5.89,5.9,5.7101,5.88
1383,2020-12-28,6.03,6.1,5.85,5.85
1382,2020-12-24,5.65,6.0254,5.65,6.0254
1381,2020-12-23,5.7,5.76,5.65,5.7
1380,2020-12-22,5.8615,5.9078,5.7,5.77
1379,2020-12-21,5.86,5.96,5.76,5.82
1378,2020-12-18,6.38,6.39,5.86,5.86
1377,2020-12-17,6.09,6.24,6.0135,6.24
1376,2020-12-16,5.8,6.1,5.765,5.97
1375,2020-12-15,5.32,5.8585,5.31,5.731
1374,2020-12-14,5.59,5.81,5.46,5.46
1373,2020-12-11,5.39,5.68,5.3505,5.68
1372,2020-12-10,5.13,5.34,5.04,5.34
1371,2020-12-09,4.85,5.45,4.83,5.11
1370,2020-12-08,4.72,4.9,4.72,4.86
1369,2020-12-07,4.99,4.99,4.72,4.72
1368,2020-12-04,4.67,5.05,4.64,5.0
1367,2020-12-03,4.69,4.69,4.6203,4.66
1366,2020-12-02,4.46,4.64,4.43,4.64
1365,2020-12-01,4.78,4.78,4.51,4.51
1364,2020-11-30,4.34,4.705,4.3392,4.69
1363,2020-11-27,4.74,4.94,4.6,4.7
1362,2020-11-25,4.33,4.6969,4.1332,4.3514
1361,2020-11-24,4.03,4.3799,3.97,4.273
1360,2020-11-23,4.08,4.18,3.875,4.0
1359,2020-11-20,4.03,4.03,3.91,3.92
1358,2020-11-19,4.01,4.031,3.9501,4.0
1357,2020-11-18,4.11,4.12,4.01,4.08
1356,2020-11-17,4.12,4.15,4.1,4.11
1355,2020-11-16,4.155,4.27,4.13,4.13
1354,2020-11-13,4.167,4.25,4.13,4.2
1353,2020-11-12,4.0,4.35,3.85,4.2
1352,2020-11-11,3.65,3.79,3.6001,3.766
1351,2020-11-10,3.58,3.73,3.4601,3.6
1350,2020-11-09,3.46,3.6,3.424,3.5398
1349,2020-11-06,3.45,3.45,3.4,3.4
1348,2020-11-05,3.42,3.48,3.42,3.44
1347,2020-11-04,3.415,3.415,3.3513,3.4
1346,2020-11-03,3.48,3.48,3.39,3.4352
1345,2020-11-02,3.47,3.5,3.441,3.441
1344,2020-10-30,3.35,3.46,3.35,3.46
1343,2020-10-29,3.39,3.4,3.35,3.35
1342,2020-10-28,3.52,3.52,3.15,3.235
1341,2020-10-27,3.76,3.77,3.4536,3.5
1340,2020-10-26,3.767,3.81,3.748,3.76
1339,2020-10-23,3.77,3.79,3.77,3.79
1338,2020-10-22,3.79,3.8,3.77,3.77
1337,2020-10-21,3.74,3.77,3.65,3.7
1336,2020-10-20,3.65,3.7,3.65,3.7
1335,2020-10-19,3.94,3.94,3.61,3.65
1334,2020-10-16,3.71,3.85,3.6563,3.705
1333,2020-10-15,3.87,3.87,3.6819,3.7
1332,2020-10-14,3.82,3.82,3.6301,3.68
1331,2020-10-13,3.875,4.0,3.82,3.865
1330,2020-10-12,3.83,4.0,3.83,3.915
1329,2020-10-09,3.55,4.0,3.55,3.94
1328,2020-10-08,3.51,3.63,3.51,3.63
1327,2020-10-07,3.5,3.56,3.4369,3.5
1326,2020-10-06,3.4,3.5,3.39,3.43
1325,2020-10-05,3.5,3.5,3.37,3.37
1324,2020-10-02,3.35,3.5,3.35,3.5
1323,2020-10-01,3.37,3.53,3.358,3.5
1322,2020-09-30,3.5,3.5,3.37,3.37
1321,2020-09-29,3.3005,3.5,3.3005,3.4974
1320,2020-09-28,3.49,3.49,3.2,3.35
1319,2020-09-25,3.32,3.56,3.31,3.31
1318,2020-09-24,3.38,3.38,3.21,3.28
1317,2020-09-23,3.31,3.31,3.2,3.22
1316,2020-09-22,3.3112,3.3112,3.24,3.25
1315,2020-09-21,3.26,3.31,3.24,3.24
1314,2020-09-18,3.22,3.29,3.2,3.29
1313,2020-09-17,3.2,3.235,3.2,3.215
1312,2020-09-16,3.23,3.23,3.11,3.18
1311,2020-09-15,3.2,3.26,3.11,3.22
1310,2020-09-14,3.09,3.145,3.09,3.1
1309,2020-09-11,3.3153,3.3153,3.12,3.12
1308,2020-09-10,3.25,3.33,3.11,3.13
1307,2020-09-09,3.24,3.24,3.225,3.24
1306,2020-09-08,3.09,3.2,3.09,3.2
1305,2020-09-04,3.29,3.29,3.114,3.1254
1304,2020-09-03,3.24,3.24,3.14,3.1954
