,Date,Open,High,Low,Close
5578,2021-12-31,23.71,23.77,23.08,23.19
5577,2021-12-30,23.63,23.96,23.33,23.5
5576,2021-12-29,23.96,23.96,23.25,23.64
5575,2021-12-28,23.6,24.1099,23.5297,23.74
5574,2021-12-27,23.35,23.66,23.15,23.57
5573,2021-12-23,23.02,23.82,22.97,23.33
5572,2021-12-22,22.93,23.185,22.65,23.12
5571,2021-12-21,22.55,23.47,22.55,22.93
5570,2021-12-20,23.24,23.25,21.6424,22.31
5569,2021-12-17,24.8,25.03,23.42,23.59
5568,2021-12-16,24.78,25.57,24.32,24.73
5567,2021-12-15,23.76,24.58,23.36,24.54
5566,2021-12-14,23.38,24.12,23.35,23.67
5565,2021-12-13,22.67,23.755,22.54,23.32
5564,2021-12-10,22.9,22.9,22.38,22.71
5563,2021-12-09,22.68,23.08,22.58,22.71
5562,2021-12-08,23.44,23.59,22.4059,22.99
5561,2021-12-07,23.51,23.6,22.68,23.28
5560,2021-12-06,22.6,23.5,22.6,23.23
5559,2021-12-03,22.42,22.6429,21.8686,22.26
5558,2021-12-02,21.99,22.82,21.62,22.48
5557,2021-12-01,22.28,22.83,21.5245,21.82
5556,2021-11-30,20.79,21.34,20.63,20.92
5555,2021-11-29,21.78,21.78,20.81,21.0
5554,2021-11-26,21.77,22.36,20.7801,21.44
5553,2021-11-24,22.59,22.89,21.83,22.38
5552,2021-11-23,22.38,22.915,21.4301,22.76
5551,2021-11-22,22.1,22.97,22.075,22.41
5550,2021-11-19,21.95,22.345,21.5682,21.97
5549,2021-11-18,21.87,22.38,21.475,22.27
5548,2021-11-17,21.3827,22.11,21.3827,21.98
5547,2021-11-16,21.81,22.22,21.69,21.82
5546,2021-11-15,21.89,21.9,21.3,21.77
5545,2021-11-12,21.72,22.25,21.3573,21.7
5544,2021-11-11,22.08,22.295,21.59,21.81
5543,2021-11-10,22.58,22.58,21.62,21.89
5542,2021-11-09,22.53,22.785,21.85,22.68
5541,2021-11-08,22.5,22.83,22.4227,22.68
5540,2021-11-05,21.73,22.57,21.5715,22.31
5539,2021-11-04,22.42,23.03,21.3,21.81
5538,2021-11-03,21.97,23.565,21.77,23.22
5537,2021-11-02,22.04,22.63,21.32,22.12
5536,2021-11-01,20.64,22.23,20.57,22.15
5535,2021-10-29,21.06,21.06,19.85,20.43
5534,2021-10-28,20.57,21.45,20.57,21.14
5533,2021-10-27,21.05,21.465,20.497,20.5
5532,2021-10-26,21.99,21.99,21.02,21.09
5531,2021-10-25,22.1,22.1062,21.4,21.65
5530,2021-10-22,22.14,22.4697,21.66,21.75
5529,2021-10-21,22.17,22.23,21.57,21.85
5528,2021-10-20,21.99,22.25,21.241,22.08
5527,2021-10-19,21.93,22.15,21.71,22.09
5526,2021-10-18,22.01,22.87,21.875,21.88
5525,2021-10-15,22.84,22.84,22.01,22.01
5524,2021-10-14,22.51,22.865,22.33,22.46
5523,2021-10-13,22.15,22.34,21.695,22.23
5522,2021-10-12,22.15,22.52,21.6567,22.24
5521,2021-10-11,23.05,23.2802,22.04,22.1
5520,2021-10-08,23.07,23.4359,22.81,22.9
5519,2021-10-07,23.37,23.64,22.952,23.21
5518,2021-10-06,23.01,23.19,22.5,23.06
5517,2021-10-05,23.0,23.45,22.7,23.27
5516,2021-10-04,23.35,23.82,22.81,22.97
5515,2021-10-01,23.75,23.78,22.53,23.4
5514,2021-09-30,23.87,23.8867,23.1,23.1
5513,2021-09-29,23.06,23.61,23.06,23.39
5512,2021-09-28,23.81,24.18,22.72,23.04
5511,2021-09-27,23.42,24.235,23.42,23.64
5510,2021-09-24,23.08,23.75,22.873,23.21
5509,2021-09-23,22.97,23.44,22.78,23.25
5508,2021-09-22,22.95,23.165,22.34,22.78
5507,2021-09-21,23.07,23.7017,22.4,22.67
5506,2021-09-20,22.53,24.78,22.46,22.96
5505,2021-09-17,22.74,23.4,22.23,23.01
5504,2021-09-16,23.48,24.02,22.22,22.83
5503,2021-09-15,22.77,24.5506,22.72,23.1
5502,2021-09-14,23.44,23.815,22.7,22.79
5501,2021-09-13,22.9,23.84,22.68,23.4
5500,2021-09-10,23.3,23.5,22.36,22.62
5499,2021-09-09,23.49,23.69,22.79,23.06
5498,2021-09-08,24.42,24.85,23.255,23.53
5497,2021-09-07,24.94,24.94,24.26,24.47
5496,2021-09-03,25.44,25.825,24.78,25.18
5495,2021-09-02,25.6,25.7,25.24,25.53
5494,2021-09-01,26.09,26.25,25.26,25.69
5493,2021-08-31,26.25,26.52,25.89,25.96
5492,2021-08-30,27.59,27.885,26.08,26.25
5491,2021-08-27,27.06,27.52,25.821,27.47
5490,2021-08-26,27.2,27.93,26.83,26.97
5489,2021-08-25,27.38,27.38,26.51,27.3
5488,2021-08-24,27.25,28.7253,26.8118,27.27
5487,2021-08-23,27.16,27.76,26.99,27.3
5486,2021-08-20,26.66,27.2335,26.603,27.05
5485,2021-08-19,27.02,27.36,26.49,26.8
5484,2021-08-18,27.42,28.04,27.15,27.43
5483,2021-08-17,27.01,27.645,26.585,27.42
5482,2021-08-16,26.55,27.4,25.9865,27.06
5481,2021-08-13,26.42,26.8815,26.06,26.76
5480,2021-08-12,26.79,26.79,25.93,26.3
5479,2021-08-11,26.89,26.89,26.38,26.74
5478,2021-08-10,26.3,27.3,26.3,26.95
5477,2021-08-09,26.53,26.81,26.23,26.66
5476,2021-08-06,25.67,26.71,25.5101,26.59
5475,2021-08-05,25.21,25.67,24.85,25.3
5474,2021-08-04,26.0,26.27,24.15,25.32
5473,2021-08-03,24.09,24.73,23.3,24.35
