,Date,Open,High,Low,Close
5578,2021-12-31,22.77,23.25,22.56,23.15
5577,2021-12-30,22.9,23.285,22.683,22.89
5576,2021-12-29,22.65,22.9,22.3445,22.77
5575,2021-12-28,22.87,23.18,22.78,22.81
5574,2021-12-27,23.14,23.25,22.72,22.99
5573,2021-12-23,22.39,23.13,22.3326,22.78
5572,2021-12-22,21.99,22.28,21.655,22.27
5571,2021-12-21,21.51,22.27,21.33,21.8
5570,2021-12-20,21.66,21.71,21.0,21.34
5569,2021-12-17,22.37,22.75,21.9667,22.23
5568,2021-12-16,23.66,23.92,22.42,22.56
5567,2021-12-15,24.13,24.54,23.1,23.6
5566,2021-12-14,23.99,24.631,23.587,24.33
5565,2021-12-13,23.75,24.48,23.305,24.02
5564,2021-12-10,23.77,24.0,23.52,23.75
5563,2021-12-09,22.83,23.68,22.67,23.25
5562,2021-12-08,22.52,23.36,22.37,22.95
5561,2021-12-07,22.09,22.77,21.82,22.41
5560,2021-12-06,21.09,21.62,21.09,21.39
5559,2021-12-03,20.91,20.99,20.3801,20.73
5558,2021-12-02,20.1,20.97,19.8644,20.77
5557,2021-12-01,20.95,21.35,20.1,20.14
5556,2021-11-30,20.25,20.56,19.48,20.37
5555,2021-11-29,21.23,21.5,20.34,20.51
5554,2021-11-26,21.05,21.05,20.01,20.93
5553,2021-11-24,22.21,22.6,21.52,21.74
5552,2021-11-23,22.84,23.35,22.27,22.45
5551,2021-11-22,22.0,23.395,22.0,23.07
5550,2021-11-19,21.59,21.915,21.21,21.83
5549,2021-11-18,22.53,23.06,21.68,21.95
5548,2021-11-17,22.39,22.39,21.61,22.18
5547,2021-11-16,22.89,23.36,22.2067,22.34
5546,2021-11-15,23.77,24.005,22.9,22.94
5545,2021-11-12,24.43,24.47,23.51,23.57
5544,2021-11-11,24.65,24.8437,24.32,24.5
5543,2021-11-10,24.8,24.94,24.32,24.39
5542,2021-11-09,24.72,25.06,24.38,24.9
5541,2021-11-08,25.13,25.38,24.41,24.84
5540,2021-11-05,24.95,25.7,24.82,25.04
5539,2021-11-04,24.82,25.32,24.36,24.51
5538,2021-11-03,24.21,24.94,24.16,24.6
5537,2021-11-02,24.57,24.93,24.06,24.21
5536,2021-11-01,24.19,24.75,23.79,24.61
5535,2021-10-29,24.0,24.27,23.7101,24.02
5534,2021-10-28,22.41,24.5,22.41,23.83
5533,2021-10-27,22.58,22.58,21.47,22.06
5532,2021-10-26,23.9,24.8333,22.77,22.78
5531,2021-10-25,21.82,22.85,21.65,22.6
5530,2021-10-22,22.27,22.38,21.63,21.91
5529,2021-10-21,22.14,22.57,22.14,22.38
5528,2021-10-20,22.16,22.5,21.96,22.26
5527,2021-10-19,22.58,22.58,21.91,22.15
5526,2021-10-18,23.04,23.04,22.51,22.55
5525,2021-10-15,24.0,24.0,23.03,23.03
5524,2021-10-14,23.72,23.72,23.21,23.41
5523,2021-10-13,23.43,23.47,22.9717,23.35
5522,2021-10-12,23.25,23.52,23.23,23.47
5521,2021-10-11,23.05,23.3,22.73,23.18
5520,2021-10-08,23.23,23.47,22.82,22.91
5519,2021-10-07,22.45,23.28,22.45,23.11
5518,2021-10-06,22.43,22.92,21.97,22.28
5517,2021-10-05,22.68,22.96,22.29,22.8
5516,2021-10-04,22.6,22.785,22.1801,22.66
5515,2021-10-01,22.15,22.815,21.72,22.67
5514,2021-09-30,22.64,22.67,21.93,21.93
5513,2021-09-29,22.6,22.87,22.25,22.53
5512,2021-09-28,23.12,23.19,22.3,22.57
5511,2021-09-27,22.46,23.5,22.11,23.08
5510,2021-09-24,21.9,22.61,21.85,22.35
5509,2021-09-23,21.4,22.55,21.26,22.17
5508,2021-09-22,20.94,21.4,20.8,21.17
5507,2021-09-21,21.1,21.24,20.71,20.77
5506,2021-09-20,21.37,21.6,20.48,20.75
5505,2021-09-17,21.48,21.99,21.2,21.81
5504,2021-09-16,21.53,21.91,21.25,21.34
5503,2021-09-15,21.05,22.02,21.025,21.59
5502,2021-09-14,21.34,21.34,20.71,21.07
5501,2021-09-13,20.87,21.5499,20.415,21.4
