,Date,Open,High,Low,Close
5578,2021-12-31,91.1,92.57,90.58,92.01
5577,2021-12-30,93.28,93.43,90.85,91.06
5576,2021-12-29,91.75,93.54,91.12,93.4
5575,2021-12-28,90.03,91.85,89.7,91.42
5574,2021-12-27,88.5,89.96,87.72,89.96
5573,2021-12-23,87.92,88.38,87.445,87.73
5572,2021-12-22,83.525,87.22,82.4011,86.95
5571,2021-12-21,83.5,86.095,83.17,85.48
5570,2021-12-20,81.55,83.14,79.16,82.72
5569,2021-12-17,87.62,87.62,81.22,82.92
5568,2021-12-16,88.18,88.82,86.64,87.22
5567,2021-12-15,86.3,87.99,85.49,87.65
5566,2021-12-14,86.56,87.395,85.6259,86.4
5565,2021-12-13,90.62,90.75,86.56,86.95
5564,2021-12-10,90.97,91.32,89.67,90.61
5563,2021-12-09,90.79,91.38,90.02,90.29
5562,2021-12-08,92.26,92.26,90.28,91.57
5561,2021-12-07,91.84,93.085,91.05,91.95
5560,2021-12-06,89.75,91.38,89.32,90.79
5559,2021-12-03,88.03,88.915,86.79,88.72
5558,2021-12-02,84.4,87.73,84.4,87.32
5557,2021-12-01,85.33,87.13,83.7,83.7
5556,2021-11-30,85.31,85.31,82.88,83.28
5555,2021-11-29,88.09,88.42,86.24,86.5
5554,2021-11-26,88.79,89.465,85.839,86.96
5553,2021-11-24,91.04,91.85,90.46,91.18
5552,2021-11-23,90.06,92.08,89.51,91.52
5551,2021-11-22,89.79,92.098,89.43,90.19
5550,2021-11-19,89.56,90.75,88.96,89.25
5549,2021-11-18,90.67,91.02,89.17,89.84
5548,2021-11-17,89.78,90.45,88.9,90.37
5547,2021-11-16,88.15,89.87,85.45,89.66
5546,2021-11-15,88.42,88.98,84.71,88.28
5545,2021-11-12,88.87,89.05,83.08,88.43
5544,2021-11-11,87.81,88.7,82.13,88.35
5543,2021-11-10,88.09,89.095,86.94,87.61
5542,2021-11-09,88.0,89.205,87.7301,88.37
5541,2021-11-08,87.73,88.46,86.86,87.77
5540,2021-11-05,86.04,87.84,86.04,87.32
5539,2021-11-04,85.8,86.53,84.725,84.95
5538,2021-11-03,83.33,85.86,82.82,85.25
5537,2021-11-02,82.88,83.57,81.56,83.27
5536,2021-11-01,82.475,82.8,81.4,82.8
5535,2021-10-29,82.16,82.98,81.3,81.83
5534,2021-10-28,81.58,83.02,81.25,82.51
5533,2021-10-27,83.24,84.51,80.6615,80.83
5532,2021-10-26,84.19,84.232,82.653,83.28
5531,2021-10-25,81.62,84.39,81.4,84.04
5530,2021-10-22,82.5,84.49,80.99,81.41
5529,2021-10-21,76.38,81.97,74.1306,81.97
5528,2021-10-20,74.07,76.75,74.01,76.53
5527,2021-10-19,75.55,75.715,74.11,74.32
5526,2021-10-18,74.67,75.745,74.67,75.19
5525,2021-10-15,76.31,76.615,75.05,75.16
5524,2021-10-14,74.31,75.25,74.31,75.2
5523,2021-10-13,73.25,74.23,72.31,73.8
5522,2021-10-12,72.71,73.43,72.215,72.98
5521,2021-10-11,72.24,73.3,71.935,72.41
5520,2021-10-08,72.91,73.0965,72.04,72.14
5519,2021-10-07,71.46,73.5,71.241,72.79
5518,2021-10-06,69.11,70.91,68.93,70.66
5517,2021-10-05,68.83,70.01,68.32,69.82
5516,2021-10-04,68.36,69.315,67.795,68.67
5515,2021-10-01,68.33,69.67,67.59,68.53
5514,2021-09-30,70.61,70.92,67.61,67.98
5513,2021-09-29,69.63,70.56,69.4,70.13
5512,2021-09-28,69.95,70.43,69.11,69.59
5511,2021-09-27,68.53,70.45,68.53,70.03
5510,2021-09-24,68.72,69.3,67.88,68.53
5509,2021-09-23,69.08,70.38,68.66,69.31
5508,2021-09-22,68.38,69.67,67.76,68.95
5507,2021-09-21,69.05,69.225,67.495,67.92
5506,2021-09-20,68.17,68.98,67.68,68.81
5505,2021-09-17,70.27,70.35,69.36,69.66
5504,2021-09-16,70.32,70.43,69.72,70.09
5503,2021-09-15,69.01,70.67,69.01,70.51
5502,2021-09-14,71.07,71.49,68.97,69.24
5501,2021-09-13,71.12,72.28,70.605,71.0
5500,2021-09-10,71.88,72.43,70.23,70.26
5499,2021-09-09,72.46,72.66,71.55,71.73
5498,2021-09-08,72.08,72.8,70.83,71.82
5497,2021-09-07,73.48,73.545,72.47,72.5
5496,2021-09-03,74.02,74.24,73.18,73.59
5495,2021-09-02,74.96,75.205,73.97,74.33
5494,2021-09-01,75.21,75.29,73.885,74.6
5493,2021-08-31,78.11,78.11,74.87,75.08
5492,2021-08-30,78.19,78.53,77.57,78.17
5491,2021-08-27,75.67,78.49,75.67,78.15
5490,2021-08-26,76.57,76.82,75.565,75.59
5489,2021-08-25,74.83,76.64,74.815,76.47
5488,2021-08-24,73.97,75.255,73.8,74.81
5487,2021-08-23,74.22,74.39,73.12,73.95
5486,2021-08-20,72.93,74.34,72.801,73.74
5485,2021-08-19,72.31,73.12,71.72,72.95
5484,2021-08-18,73.9,75.04,73.21,73.28
5483,2021-08-17,74.18,74.71,72.5,74.04
