,Date,Open,High,Low,Close
5578,2021-12-31,70.137,71.01,69.87,70.26
5577,2021-12-30,71.3636,72.525,71.155,71.29
5576,2021-12-29,71.56,72.62,70.89,71.34
5575,2021-12-28,70.81,72.3,70.135,71.76
5574,2021-12-27,69.27,70.67,68.84,70.35
5573,2021-12-23,66.14,69.7,66.14,68.72
5572,2021-12-22,66.215,66.7099,65.5,66.37
5571,2021-12-21,64.9,65.67,64.285,65.3
5570,2021-12-20,66.25,67.0,63.55,64.75
5569,2021-12-17,65.31,68.73,63.19,66.87
5568,2021-12-16,68.7,68.7,64.82,65.21
5567,2021-12-15,67.65,68.99,67.04,67.76
5566,2021-12-14,67.66,67.86,66.99,67.595
5565,2021-12-13,69.85,70.11,66.5572,68.42
5564,2021-12-10,68.86,70.19,67.69,69.6
5563,2021-12-09,69.81,70.53,68.3,68.52
5562,2021-12-08,68.77,70.77,67.145,70.75
5561,2021-12-07,68.78,72.0,65.72,68.85
5560,2021-12-06,68.01,69.5,67.24,67.73
5559,2021-12-03,70.1,72.0,66.465,67.14
5558,2021-12-02,66.66,70.49,66.15,69.98
5557,2021-12-01,68.06,69.8,64.16,64.63
5556,2021-11-30,70.28,70.495,66.76,66.87
5555,2021-11-29,70.34,71.295,69.05,70.7
5554,2021-11-26,72.52,72.52,66.6887,69.32
5553,2021-11-24,72.48,74.945,69.01,74.01
5552,2021-11-23,73.61,75.3419,71.89,72.15
5551,2021-11-22,69.6,75.27,69.47,73.5
5550,2021-11-19,66.82,69.46,66.82,69.45
5549,2021-11-18,65.2,67.09,64.32,66.74
5548,2021-11-17,66.28,67.5,64.83,64.83
5547,2021-11-16,66.41,68.15,66.41,67.75
5546,2021-11-15,67.94,68.44,67.245,68.35
5545,2021-11-12,67.7,67.99,67.356,67.99
5544,2021-11-11,67.2,68.325,67.2,67.88
5543,2021-11-10,65.61,68.365,62.74,67.25
5542,2021-11-09,66.36,66.7,65.0785,66.01
5541,2021-11-08,65.52,66.94,65.52,66.62
5540,2021-11-05,65.0,66.89,63.4756,65.89
5539,2021-11-04,62.0,65.93,60.115,64.96
5538,2021-11-03,60.5,61.84,59.0,61.39
5537,2021-11-02,61.86,62.56,61.6,62.4
5536,2021-11-01,61.81,63.11,61.81,62.37
5535,2021-10-29,62.38,62.5,61.15,61.89
5534,2021-10-28,61.02,62.44,61.02,62.4
5533,2021-10-27,62.45,62.45,60.01,60.52
5532,2021-10-26,63.09,63.49,62.11,62.11
5531,2021-10-25,62.77,63.75,62.51,62.69
5530,2021-10-22,62.5452,62.84,62.0853,62.7
5529,2021-10-21,63.2,63.2,62.02,62.48
5528,2021-10-20,63.56,63.56,62.76,63.0
5527,2021-10-19,64.23,64.23,63.06,63.4
5526,2021-10-18,63.45,64.53,63.45,64.4
5525,2021-10-15,64.64,65.3,63.7,63.82
5524,2021-10-14,63.45,64.335,62.7788,63.64
5523,2021-10-13,64.25,64.52,63.05,63.34
5522,2021-10-12,62.92,64.04,62.75,64.04
5521,2021-10-11,63.85,63.9466,62.56,62.91
5520,2021-10-08,64.52,64.52,63.5,64.26
5519,2021-10-07,63.58,64.515,62.5,64.39
5518,2021-10-06,63.0,64.76,62.05,62.34
5517,2021-10-05,62.5,63.8999,62.27,63.43
5516,2021-10-04,62.78,62.78,61.89,61.89
5515,2021-10-01,62.16,62.24,61.22,61.86
5514,2021-09-30,62.72,62.72,61.335,61.59
5513,2021-09-29,61.09,63.14,61.09,62.7
5512,2021-09-28,62.53,62.53,60.98,60.98
5511,2021-09-27,62.0,62.77,61.9807,62.25
5510,2021-09-24,62.06,63.3255,61.81,62.21
5509,2021-09-23,63.7,64.2853,62.75,62.81
5508,2021-09-22,64.13,64.23,63.07,63.29
5507,2021-09-21,62.19,63.6104,62.04,62.7
5506,2021-09-20,62.91,63.64,61.73,62.32
5505,2021-09-17,63.2,64.463,62.37,63.44
5504,2021-09-16,64.59,65.32,63.59,63.74
5503,2021-09-15,65.24,65.24,63.52,64.7
5502,2021-09-14,65.2,66.13,64.27,64.47
5501,2021-09-13,67.1,67.1,64.5601,65.55
5500,2021-09-10,66.17,69.11,64.4798,66.5
5499,2021-09-09,65.34,65.9199,64.52,64.88
5498,2021-09-08,66.65,67.8308,64.07,65.0
5497,2021-09-07,69.12,69.12,66.1,66.82
5496,2021-09-03,69.1,69.5,68.22,69.13
5495,2021-09-02,68.99,69.895,68.84,69.72
5494,2021-09-01,70.57,71.1722,67.91,69.04
5493,2021-08-31,69.12,70.0,68.8,69.99
5492,2021-08-30,69.25,69.25,67.9038,68.13
5491,2021-08-27,69.0,69.9408,68.54,68.84
5490,2021-08-26,66.31,68.88,66.01,68.84
5489,2021-08-25,65.29,65.81,65.05,65.36
5488,2021-08-24,65.34,66.6798,64.845,65.36
5487,2021-08-23,65.31,66.0,65.11,65.5
5486,2021-08-20,62.89,65.1038,62.44,65.0
5485,2021-08-19,62.46,63.32,62.45,63.28
5484,2021-08-18,62.2417,63.96,61.48,63.0
5483,2021-08-17,62.075,63.04,61.305,62.1
5482,2021-08-16,62.5,63.6,62.03,62.5
5481,2021-08-13,63.93,63.93,61.92,62.32
5480,2021-08-12,63.9,64.44,63.0142,63.74
5479,2021-08-11,63.63,64.14,63.075,63.6
5478,2021-08-10,64.95,64.95,63.15,63.7
5477,2021-08-09,68.3,68.3,64.45,64.95
5476,2021-08-06,69.3,69.3,66.815,68.32
5475,2021-08-05,67.74,69.455,67.1441,68.75
5474,2021-08-04,65.08,66.86,64.385,66.55
5473,2021-08-03,62.5,65.4212,62.32,65.07
5472,2021-08-02,60.45,61.64,60.45,60.72
5471,2021-07-30,60.755,60.765,59.78,59.78
5470,2021-07-29,60.5,60.98,59.78,60.9
