,Date,Open,High,Low,Close
5261,2021-11-30,55.49,55.49,55.49,55.49
5260,2021-11-29,55.48,55.5,55.47,55.49
5259,2021-11-26,55.46,55.49,55.46,55.48
5258,2021-11-24,55.44,55.49,55.44,55.46
5257,2021-11-23,55.44,55.49,55.44,55.46
5256,2021-11-22,55.45,55.49,55.44,55.45
5255,2021-11-19,55.4,55.45,55.4,55.42
5254,2021-11-18,53.8,54.07,53.54,53.9
5253,2021-11-17,53.9,54.01,53.78,53.81
5252,2021-11-16,54.06,54.15,53.9,53.91
5251,2021-11-15,54.13,54.26,54.04,54.1
5250,2021-11-12,53.98,54.19,53.98,54.05
5249,2021-11-11,54.285,54.29,54.055,54.06
5248,2021-11-10,54.12,54.3,53.94,54.1
5247,2021-11-09,54.04,54.27,53.855,54.24
5246,2021-11-08,54.57,54.57,53.75,53.97
5245,2021-11-05,54.64,54.64,47.71,54.27
5244,2021-11-04,54.55,54.73,54.48,54.59
5243,2021-11-03,54.68,54.72,54.56,54.58
5242,2021-11-02,54.59,54.74,54.5,54.68
5241,2021-11-01,54.6,54.81,54.52,54.78
5240,2021-10-29,54.56,54.68,54.5,54.59
5239,2021-10-28,54.52,54.62,54.51,54.56
5238,2021-10-27,54.7,54.7,54.5,54.55
5237,2021-10-26,54.71,54.82,54.65,54.7
5236,2021-10-25,54.74,54.84,54.67,54.73
5235,2021-10-22,54.84,54.84,54.67,54.78
5234,2021-10-21,54.79,54.84,54.63,54.77
5233,2021-10-20,54.7,54.95,54.625,54.81
5232,2021-10-19,54.76,54.8,53.97,54.76
5231,2021-10-18,55.1,55.19,54.71,54.76
5230,2021-10-15,55.47,55.48,55.02,55.1
5229,2021-10-14,55.23,55.36,55.15,55.36
5228,2021-10-13,55.2,55.25,55.11,55.18
5227,2021-10-12,55.24,55.27,55.13,55.16
5226,2021-10-11,55.29,55.3,55.13,55.2
5225,2021-10-08,55.24,55.3,55.195,55.2
5224,2021-10-07,55.15,55.25,55.15,55.25
5223,2021-10-06,55.02,55.23,55.02,55.2
5222,2021-10-05,54.96,55.2,54.96,55.16
5221,2021-10-04,55.06,55.08,54.92,54.95
