,Date,Open,High,Low,Close
5578,2021-12-31,16.5,16.5,16.45,16.45
5577,2021-12-30,16.23,16.696,16.23,16.696
5576,2021-12-29,16.27,16.4996,16.2,16.41
5575,2021-12-28,16.5,16.5,16.21,16.38
5574,2021-12-27,16.48,16.5,16.2002,16.35
5573,2021-12-23,16.5,16.5,16.2302,16.35
5572,2021-12-22,16.44,16.49,16.23,16.26
5571,2021-12-21,16.4,16.7,15.87,16.48
5570,2021-12-20,16.29,16.35,15.82,16.35
5569,2021-12-17,16.39,16.49,16.25,16.3
5568,2021-12-16,16.145,16.5,16.0448,16.48
5567,2021-12-15,16.25,16.5,15.95,16.17
5566,2021-12-14,16.03,16.2499,15.815,15.85
5565,2021-12-13,15.73,17.1464,15.43,16.16
5564,2021-12-10,15.7,15.7,15.25,15.67
5563,2021-12-09,15.1,15.35,15.1,15.23
5562,2021-12-08,15.35,16.0,15.0199,15.3251
5561,2021-12-07,14.95,15.3999,14.77,15.26
5560,2021-12-06,14.98,15.23,14.17,14.88
5559,2021-12-03,15.38,15.45,14.7001,15.185
5558,2021-12-02,15.12,15.34,15.01,15.34
5557,2021-12-01,16.4251,16.4251,14.25,14.75
5556,2021-11-30,16.2143,16.2554,15.35,15.94
5555,2021-11-29,16.2,16.89,16.0,16.39
5554,2021-11-26,16.29,17.2,15.97,15.97
5553,2021-11-24,16.89,17.25,16.5,17.09
5552,2021-11-23,16.48,17.08,16.45,16.85
5551,2021-11-22,16.82,17.7899,16.318,16.92
5550,2021-11-19,15.0,16.79,14.9,16.3
5549,2021-11-18,14.24,14.99,14.24,14.89
5548,2021-11-17,14.2155,14.25,14.15,14.15
5547,2021-11-16,14.23,14.5,14.23,14.25
5546,2021-11-15,14.1,14.38,14.1,14.14
5545,2021-11-12,14.18,14.3982,14.13,14.195
5544,2021-11-11,14.69,14.69,13.845,14.185
5543,2021-11-10,14.11,14.69,13.8,14.69
5542,2021-11-09,13.86,14.18,13.8,14.05
5541,2021-11-08,13.98,13.9816,13.7,13.9816
5540,2021-11-05,13.86,13.95,13.7,13.8906
5539,2021-11-04,14.0,14.0,13.81,13.8773
5538,2021-11-03,14.0,14.0499,13.6801,14.0
5537,2021-11-02,14.49,14.49,13.92,14.03
5536,2021-11-01,14.0955,14.3,14.0955,14.3
5535,2021-10-29,14.13,14.3,14.01,14.01
5534,2021-10-28,14.0799,14.19,14.07,14.19
5533,2021-10-27,14.18,14.18,14.18,14.18
5532,2021-10-26,14.3,14.4241,14.05,14.08
5531,2021-10-25,14.14,14.5,14.14,14.38
5530,2021-10-22,14.475,14.475,14.11,14.2711
5529,2021-10-21,14.38,14.38,14.3751,14.3751
5528,2021-10-20,14.67,14.7,14.2694,14.57
5527,2021-10-19,14.3,14.68,14.3,14.62
5526,2021-10-18,14.29,14.39,14.29,14.29
5525,2021-10-15,14.25,14.29,14.25,14.29
5524,2021-10-14,14.3194,14.49,14.1801,14.31
5523,2021-10-13,14.12,14.46,14.12,14.32
5522,2021-10-12,14.3,14.4299,14.2,14.4016
5521,2021-10-11,14.4489,14.4489,14.12,14.2
5520,2021-10-08,14.11,14.49,14.11,14.49
5519,2021-10-07,14.1646,14.505,14.05,14.49
5518,2021-10-06,14.35,14.5,14.04,14.05
5517,2021-10-05,14.22,14.43,14.0361,14.41
5516,2021-10-04,14.0,14.32,13.99,14.05
5515,2021-10-01,14.05,14.2,13.95,14.1999
