,Date,Open,High,Low,Close
3562,2021-12-31,4.25,4.39,4.2,4.34
3561,2021-12-30,4.37,4.39,4.23,4.24
3560,2021-12-29,4.39,4.42,4.3251,4.37
3559,2021-12-28,4.37,4.43,4.27,4.34
3558,2021-12-27,4.38,4.4,4.2237,4.39
3557,2021-12-23,4.28,4.4,4.22,4.33
3556,2021-12-22,4.28,4.33,4.15,4.25
3555,2021-12-21,4.16,4.35,4.16,4.23
3554,2021-12-20,4.2,4.25,4.01,4.15
3553,2021-12-17,4.27,4.34,4.2,4.23
3552,2021-12-16,4.34,4.54,4.25,4.31
3551,2021-12-15,4.22,4.37,4.09,4.32
3550,2021-12-14,4.17,4.3,4.1,4.24
3549,2021-12-13,4.36,4.38,4.17,4.23
3548,2021-12-10,4.45,4.52,4.27,4.36
3547,2021-12-09,4.49,4.6239,4.38,4.45
3546,2021-12-08,4.58,4.645,4.5,4.56
3545,2021-12-07,4.7,4.73,4.56,4.58
3544,2021-12-06,4.46,4.75,4.45,4.63
3543,2021-12-03,4.49,4.512,4.32,4.36
3542,2021-12-02,4.23,4.48,4.23,4.44
3541,2021-12-01,4.29,4.46,4.14,4.24
3540,2021-11-30,4.25,4.25,4.09,4.13
3539,2021-11-29,4.46,4.48,4.25,4.27
3538,2021-11-26,4.45,4.5,4.2,4.37
3537,2021-11-24,4.66,4.81,4.54,4.57
3536,2021-11-23,4.75,4.865,4.56,4.71
3535,2021-11-22,4.6,4.78,4.56,4.71
3534,2021-11-19,4.65,4.68,4.45,4.61
3533,2021-11-18,4.61,4.82,4.61,4.73
3532,2021-11-17,4.65,4.705,4.43,4.53
3531,2021-11-16,4.89,4.89,4.7,4.71
3530,2021-11-15,5.03,5.08,4.77,4.92
3529,2021-11-12,4.47,5.09,4.47,5.02
3528,2021-11-11,4.27,4.43,4.24,4.41
3527,2021-11-10,4.3,4.32,4.235,4.27
3526,2021-11-09,4.4,4.4,4.28,4.33
3525,2021-11-08,4.28,4.4,4.28,4.36
3524,2021-11-05,4.15,4.39,4.15,4.33
3523,2021-11-04,4.28,4.31,4.06,4.11
3522,2021-11-03,4.17,4.3,4.1399,4.27
3521,2021-11-02,4.13,4.19,4.04,4.17
3520,2021-11-01,3.89,4.18,3.89,4.13
3519,2021-10-29,3.93,4.0,3.786,3.82
3518,2021-10-28,3.87,3.94,3.78,3.89
3517,2021-10-27,3.75,3.87,3.75,3.8
3516,2021-10-26,3.9,3.9093,3.745,3.76
3515,2021-10-25,4.37,4.37,3.68,3.9
3514,2021-10-22,4.41,4.49,4.3,4.4
3513,2021-10-21,4.23,4.43,4.2183,4.41
3512,2021-10-20,3.94,4.33,3.82,4.24
3511,2021-10-19,3.95,4.0,3.84,3.86
3510,2021-10-18,4.15,4.18,3.94,3.96
3509,2021-10-15,4.22,4.23,4.02,4.02
3508,2021-10-14,4.26,4.29,4.14,4.18
3507,2021-10-13,4.2,4.26,4.12,4.23
3506,2021-10-12,4.24,4.35,4.16,4.23
3505,2021-10-11,4.43,4.53,4.1,4.26
3504,2021-10-08,4.07,4.55,4.05,4.44
3503,2021-10-07,4.2,4.25,4.02,4.08
3502,2021-10-06,3.95,4.19,3.911,4.17
3501,2021-10-05,3.94,4.0,3.8,3.99
3500,2021-10-04,3.82,4.02,3.72,3.92
3499,2021-10-01,3.68,3.79,3.6001,3.79
3498,2021-09-30,3.65,3.73,3.53,3.63
3497,2021-09-29,3.55,3.6992,3.52,3.59
3496,2021-09-28,3.65,3.6799,3.38,3.46
3495,2021-09-27,3.56,3.76,3.55,3.64
3494,2021-09-24,3.77,3.79,3.47,3.48
3493,2021-09-23,3.41,3.58,3.38,3.53
3492,2021-09-22,3.33,3.38,3.3,3.34
3491,2021-09-21,3.27,3.32,3.06,3.19
3490,2021-09-20,3.12,3.28,3.01,3.26
3489,2021-09-17,2.83,3.35,2.79,3.15
3488,2021-09-16,2.91,2.9599,2.76,2.8
3487,2021-09-15,3.02,3.04,2.85,2.88
3486,2021-09-14,3.09,3.0944,2.94,2.98
3485,2021-09-13,3.16,3.235,3.01,3.06
3484,2021-09-10,3.25,3.2629,3.11,3.14
3483,2021-09-09,3.36,3.36,3.11,3.22
3482,2021-09-08,3.4,3.423,3.3201,3.36
3481,2021-09-07,3.46,3.6,3.33,3.37
3480,2021-09-03,3.71,3.73,3.5495,3.71
3479,2021-09-02,3.75,3.8,3.66,3.69
3478,2021-09-01,3.82,3.83,3.66,3.74
3477,2021-08-31,3.8,3.85,3.74,3.81
3476,2021-08-30,4.0,4.0,3.75,3.77
3475,2021-08-27,3.73,4.05,3.705,4.03
3474,2021-08-26,3.8,3.81,3.6336,3.71
3473,2021-08-25,3.83,3.88,3.77,3.77
3472,2021-08-24,3.89,3.89,3.76,3.81
3471,2021-08-23,3.79,3.94,3.7236,3.85
3470,2021-08-20,3.82,3.84,3.76,3.79
3469,2021-08-19,3.98,4.0,3.83,3.85
3468,2021-08-18,3.99,4.03,3.94,3.98
3467,2021-08-17,4.08,4.08,3.9512,4.0
3466,2021-08-16,4.07,4.09,4.0,4.05
3465,2021-08-13,4.11,4.14,4.05,4.1
3464,2021-08-12,4.14,4.22,4.07,4.11
3463,2021-08-11,3.98,4.17,3.97,4.14
3462,2021-08-10,3.95,4.01,3.82,4.01
3461,2021-08-09,4.11,4.12,3.91,3.96
3460,2021-08-06,4.12,4.18,3.9844,4.16
3459,2021-08-05,4.14,4.14,3.66,4.11
3458,2021-08-04,4.26,4.26,4.14,4.24
3457,2021-08-03,4.39,4.4799,4.22,4.25
3456,2021-08-02,4.37,4.47,4.34,4.39
3455,2021-07-30,4.45,4.45,4.26,4.38
3454,2021-07-29,4.39,4.5377,4.32,4.47
3453,2021-07-28,4.2,4.48,4.14,4.37
3452,2021-07-27,4.24,4.3,4.11,4.16
3451,2021-07-26,4.26,4.3638,4.18,4.28
3450,2021-07-23,4.34,4.38,4.21,4.28
3449,2021-07-22,4.4,4.55,4.28,4.34
3448,2021-07-21,4.44,4.71,4.41,4.42
3447,2021-07-20,4.39,4.58,4.39,4.43
3446,2021-07-19,4.52,4.5713,4.3615,4.41
3445,2021-07-16,4.71,4.71,4.56,4.57
3444,2021-07-15,4.85,4.85,4.58,4.67
3443,2021-07-14,4.9,4.96,4.85,4.86
3442,2021-07-13,4.9,5.045,4.86,4.88
3441,2021-07-12,4.95,4.96,4.85,4.88
3440,2021-07-09,4.97,5.02,4.9,4.95
3439,2021-07-08,5.0,5.05,4.88,4.96
3438,2021-07-07,5.18,5.22,5.0,5.06
3437,2021-07-06,5.55,5.56,5.17,5.17
3436,2021-07-02,5.72,5.72,5.57,5.6
3435,2021-07-01,5.71,5.7825,5.699,5.75
3434,2021-06-30,5.75,5.79,5.68,5.7
3433,2021-06-29,5.85,5.85,5.7,5.78
3432,2021-06-28,5.95,5.95,5.67,5.81
3431,2021-06-25,5.99,5.99,5.77,5.8
3430,2021-06-24,6.18,6.18,5.9,5.96
3429,2021-06-23,5.87,6.11,5.87,6.07
3428,2021-06-22,6.07,6.12,5.82,5.91
3427,2021-06-21,6.06,6.08,5.95,6.04
3426,2021-06-18,6.19,6.25,5.98,6.05
