,Date,Open,High,Low,Close
5578,2021-12-31,20.63,20.85,20.545,20.57
5577,2021-12-30,20.66,21.07,20.66,20.77
5576,2021-12-29,20.6,20.98,20.51,20.78
5575,2021-12-28,20.76,21.07,20.44,20.68
5574,2021-12-27,20.66,20.985,20.35,20.92
5573,2021-12-23,19.95,20.51,19.69,20.44
5572,2021-12-22,19.83,19.91,19.58,19.86
5571,2021-12-21,19.12,19.61,19.12,19.58
5570,2021-12-20,19.21,19.21,18.325,18.95
5569,2021-12-17,19.48,19.89,19.02,19.58
5568,2021-12-16,19.9,20.08,19.22,19.6
5567,2021-12-15,19.14,19.64,18.63,19.57
5566,2021-12-14,18.89,20.17,18.89,19.29
5565,2021-12-13,19.07,19.23,18.76,18.93
5564,2021-12-10,19.63,19.84,19.2201,19.37
5563,2021-12-09,19.73,20.04,19.41,19.51
5562,2021-12-08,19.5,20.05,19.38,19.95
5561,2021-12-07,19.25,19.64,18.8301,19.43
5560,2021-12-06,18.58,19.19,18.3601,18.87
5559,2021-12-03,18.58,18.58,18.08,18.34
5558,2021-12-02,17.92,18.62,17.76,18.53
5557,2021-12-01,18.65,18.72,17.88,17.9
5556,2021-11-30,18.4,18.59,17.91,18.16
5555,2021-11-29,18.89,19.0,18.475,18.62
5554,2021-11-26,18.6,18.9,18.3248,18.73
5553,2021-11-24,19.13,20.3,19.13,19.44
5552,2021-11-23,18.8,19.07,18.16,18.88
5551,2021-11-22,19.1,19.36,18.76,18.91
5550,2021-11-19,19.65,19.89,19.0,19.13
5549,2021-11-18,20.37,20.62,19.39,19.78
5548,2021-11-17,20.52,20.54,19.91,20.23
5547,2021-11-16,20.28,20.74,20.15,20.71
5546,2021-11-15,20.85,21.0,20.31,20.41
5545,2021-11-12,21.11,21.36,20.7003,20.77
5544,2021-11-11,21.24,21.49,20.98,21.13
5543,2021-11-10,21.33,21.62,20.96,21.41
5542,2021-11-09,22.77,22.95,21.41,21.57
5541,2021-11-08,21.57,22.95,21.51,22.66
5540,2021-11-05,21.25,21.83,21.0,21.41
5539,2021-11-04,21.62,22.19,20.44,21.0
5538,2021-11-03,24.4,24.45,21.01,21.48
5537,2021-11-02,25.8,26.65,25.54,26.45
5536,2021-11-01,25.54,26.06,25.285,25.69
5535,2021-10-29,24.79,25.66,24.46,25.57
5534,2021-10-28,24.14,24.82,24.14,24.78
5533,2021-10-27,24.41,24.5,23.9,23.96
5532,2021-10-26,24.95,25.39,24.57,24.6
5531,2021-10-25,25.32,25.32,24.46,24.86
5530,2021-10-22,25.94,25.94,25.14,25.15
5529,2021-10-21,26.24,26.72,25.94,25.96
5528,2021-10-20,25.97,26.35,25.94,26.32
5527,2021-10-19,26.16,26.4016,25.74,26.27
5526,2021-10-18,26.3,26.5,25.991,26.03
5525,2021-10-15,27.3,27.3,26.5,26.5
