,Date,Open,High,Low,Close
2570,2021-12-31,305.56,311.77,305.56,306.7
2569,2021-12-30,309.02,314.48,306.42,310.29
2568,2021-12-29,311.62,312.94,308.925,311.48
2567,2021-12-28,313.83,313.83,308.7934,310.05
2566,2021-12-27,311.38,315.8976,311.38,313.83
2565,2021-12-23,310.77,314.58,309.73,311.75
2564,2021-12-22,307.7,311.15,305.91,309.99
2563,2021-12-21,305.25,309.2,299.99,306.95
2562,2021-12-20,302.4,304.59,296.075,302.03
2561,2021-12-17,291.28,309.79,291.28,308.81
2560,2021-12-16,299.6,303.19,291.6,292.44
2559,2021-12-15,287.2,296.56,279.38,296.38
2558,2021-12-14,289.94,300.5,281.09,284.46
2557,2021-12-13,291.9,298.98,287.67,293.83
2556,2021-12-10,288.17,297.79,287.63,292.73
2555,2021-12-09,281.83,298.23,281.83,286.64
2554,2021-12-08,285.9,294.66,278.64,283.67
2553,2021-12-07,273.74,294.95,273.74,287.59
2552,2021-12-06,299.56,301.11,266.02,269.7
2551,2021-12-03,307.14,307.14,295.52,301.0
2550,2021-12-02,298.29,306.3833,298.29,304.47
2549,2021-12-01,303.62,305.98,296.35,296.67
2548,2021-11-30,295.43,302.56,294.89,299.29
2547,2021-11-29,298.4,304.22,298.0,298.46
2546,2021-11-26,300.0,303.7,293.58,294.28
2545,2021-11-24,291.0,305.99,291.0,305.96
2544,2021-11-23,295.16,301.4108,290.48,292.89
2543,2021-11-22,297.89,301.86,295.57,296.07
2542,2021-11-19,302.55,302.8,296.9,297.05
2541,2021-11-18,302.39,303.73,299.52,302.97
2540,2021-11-17,301.85,304.31,299.99,303.13
2539,2021-11-16,300.31,305.34,300.31,301.96
2538,2021-11-15,305.45,307.355,300.43,301.32
2537,2021-11-12,302.19,308.73,302.19,305.64
2536,2021-11-11,300.32,304.7,300.0,301.73
2535,2021-11-10,300.0,304.1,295.34,297.72
2534,2021-11-09,300.25,306.77,299.39,300.3
2533,2021-11-08,312.0,312.59,297.4,298.85
2532,2021-11-05,307.09,318.9471,298.81,308.86
2531,2021-11-04,323.9,330.96,308.77,312.41
2530,2021-11-03,317.91,328.2,317.91,327.95
2529,2021-11-02,315.8,323.96,314.5,316.61
2528,2021-11-01,304.69,316.38,304.69,314.63
2527,2021-10-29,303.0,307.9871,303.0,305.53
2526,2021-10-28,300.0,307.71,299.95,306.58
2525,2021-10-27,305.21,307.86,299.43,299.45
2524,2021-10-26,301.34,305.73,299.99,303.89
2523,2021-10-25,304.75,305.68,298.54,298.69
2522,2021-10-22,328.75,328.75,302.22,304.89
2521,2021-10-21,324.75,333.0,324.04,327.0
2520,2021-10-20,322.56,327.37,321.8,324.71
2519,2021-10-19,324.0,325.37,320.08,321.58
2518,2021-10-18,318.83,322.42,317.7,321.81
2517,2021-10-15,322.47,323.5116,316.6301,319.25
2516,2021-10-14,316.27,322.59,316.27,321.29
2515,2021-10-13,311.28,312.97,308.9981,312.92
2514,2021-10-12,311.5,314.1,308.22,308.9
2513,2021-10-11,308.57,314.3,307.6455,311.35
2512,2021-10-08,317.35,317.35,308.16,308.44
2511,2021-10-07,307.22,317.73,307.22,315.96
2510,2021-10-06,302.0,306.98,299.99,305.79
2509,2021-10-05,301.77,309.16,301.64,305.19
2508,2021-10-04,302.71,303.58,296.34,301.56
2507,2021-10-01,300.21,304.67,296.502,301.61
2506,2021-09-30,299.33,304.94,297.85,298.67
2505,2021-09-29,298.43,303.07,296.93,296.93
2504,2021-09-28,299.43,302.02,296.61,297.28
2503,2021-09-27,302.73,307.43,302.18,303.31
2502,2021-09-24,301.97,306.98,300.685,305.49
2501,2021-09-23,301.0,308.49,301.0,305.55
2500,2021-09-22,300.12,305.49,300.12,301.57
2499,2021-09-21,299.33,304.49,299.33,301.85
2498,2021-09-20,304.41,305.56,295.88,298.72
2497,2021-09-17,307.45,307.72,300.39,304.07
2496,2021-09-16,312.73,314.58,306.05,308.23
2495,2021-09-15,310.22,313.58,305.06,311.46
2494,2021-09-14,314.47,314.47,306.94,308.08
2493,2021-09-13,315.33,320.0,312.315,313.62
2492,2021-09-10,318.88,318.88,311.12,314.37
2491,2021-09-09,318.25,318.25,310.909,316.15
2490,2021-09-08,322.0,322.0,311.095,316.74
2489,2021-09-07,331.6,331.6,318.02,322.29
2488,2021-09-03,330.29,332.92,326.3876,331.55
2487,2021-09-02,330.6,332.1,324.42,329.16
2486,2021-09-01,327.19,329.28,323.75,327.07
2485,2021-08-31,340.58,341.85,322.43,325.36
2484,2021-08-30,324.62,344.77,323.87,337.95
2483,2021-08-27,325.49,327.0,306.4491,321.87
2482,2021-08-26,303.2,304.0,298.03,300.54
2481,2021-08-25,307.46,310.85,305.16,305.17
2480,2021-08-24,304.14,308.2,302.1589,305.27
2479,2021-08-23,308.95,310.28,304.06,304.34
2478,2021-08-20,301.32,309.79,300.03,309.0
2477,2021-08-19,292.82,304.89,292.82,302.83
2476,2021-08-18,301.0,306.13,297.0,297.0
2475,2021-08-17,307.0,307.0,296.13,302.27
2474,2021-08-16,310.68,316.73,307.48,307.48
2473,2021-08-13,307.5,312.75,307.4,310.51
2472,2021-08-12,310.97,316.39,307.56,308.37
2471,2021-08-11,308.71,312.79,306.0,309.25
2470,2021-08-10,311.16,312.835,305.23,305.75
2469,2021-08-09,313.17,317.98,309.0,310.28
2468,2021-08-06,313.87,317.005,310.19,315.38
2467,2021-08-05,316.34,320.44,311.955,313.77
2466,2021-08-04,317.1,318.21,310.4,317.69
2465,2021-08-03,312.11,319.14,303.0,317.32
2464,2021-08-02,314.99,316.92,309.91,310.08
2463,2021-07-30,315.0,315.51,309.98,313.1
2462,2021-07-29,311.34,321.87,311.34,315.31
2461,2021-07-28,305.21,312.58,302.8588,310.84
2460,2021-07-27,307.26,307.26,298.83,303.49
2459,2021-07-26,311.81,314.4899,305.55,306.95
2458,2021-07-23,302.98,311.795,300.0,311.02
2457,2021-07-22,310.56,310.56,299.285,301.32
2456,2021-07-21,309.36,311.66,304.36,308.49
2455,2021-07-20,300.52,310.895,299.02,307.42
2454,2021-07-19,288.76,301.49,288.011,299.07
2453,2021-07-16,299.61,303.285,293.54,294.55
2452,2021-07-15,299.31,304.18,294.0,297.55
2451,2021-07-14,304.36,307.07,299.99,301.84
2450,2021-07-13,300.13,307.075,300.13,303.34
2449,2021-07-12,314.21,314.73,299.69,300.43
2448,2021-07-09,305.54,314.605,301.6728,313.12
2447,2021-07-08,295.72,308.85,295.72,305.04
2446,2021-07-07,302.59,308.23,293.77,304.74
2445,2021-07-06,309.07,310.0,303.3,305.76
2444,2021-07-02,316.23,316.44,305.205,309.07
2443,2021-07-01,314.25,317.8,310.05,313.09
2442,2021-06-30,311.7,314.77,308.79,312.19
2441,2021-06-29,310.9,313.8,305.75,313.53
2440,2021-06-28,316.7,316.7,307.5117,309.89
2439,2021-06-25,302.25,314.96,302.25,313.38
2438,2021-06-24,305.68,306.015,298.0,302.45
2437,2021-06-23,309.68,311.15,303.83,304.93
2436,2021-06-22,305.04,309.26,301.705,307.46
2435,2021-06-21,295.14,307.65,293.98,304.58
2434,2021-06-18,306.72,308.07,293.34,296.2
2433,2021-06-17,303.93,310.615,302.43,306.61
2432,2021-06-16,315.94,316.24,301.655,306.35
2431,2021-06-15,319.98,319.98,312.7,315.8
2430,2021-06-14,319.1,320.0,316.44,319.99
2429,2021-06-11,320.18,324.81,318.0201,320.67
2428,2021-06-10,317.88,322.68,314.72,322.12
2427,2021-06-09,319.95,319.95,313.54,315.88
2426,2021-06-08,314.26,322.12,313.6,319.87
2425,2021-06-07,320.38,322.39,311.66,313.73
2424,2021-06-04,308.88,321.5,308.5,321.24
2423,2021-06-03,298.98,308.37,298.0,308.12
2422,2021-06-02,290.19,303.0,290.0,301.84
2421,2021-06-01,302.87,302.87,285.1389,289.92
2420,2021-05-28,298.54,303.8,296.49,301.52
2419,2021-05-27,292.9,303.07,290.69,299.38
2418,2021-05-26,291.29,296.53,288.59,290.51
2417,2021-05-25,294.24,296.07,287.83,288.65
2416,2021-05-24,287.79,297.1599,287.79,292.01
2415,2021-05-21,292.83,298.51,286.36,287.24
2414,2021-05-20,286.88,294.12,285.02,293.5
2413,2021-05-19,275.79,286.34,275.79,285.6
2412,2021-05-18,281.49,285.33,279.52,279.52
2411,2021-05-17,280.09,283.5,277.41,279.56
2410,2021-05-14,271.19,287.04,271.19,283.66
2409,2021-05-13,271.64,280.4,267.56,269.36
2408,2021-05-12,276.26,280.85,270.0,271.64
2407,2021-05-11,270.01,283.14,268.0002,281.93
