,Date,Open,High,Low,Close
281,2021-12-31,0.0899,0.09,0.071,0.09
280,2021-12-30,0.0868,0.0939,0.0868,0.0939
279,2021-12-29,0.089,0.0898,0.086,0.088
278,2021-12-28,0.088,0.1,0.088,0.0934
277,2021-12-27,0.08,0.091,0.08,0.088
276,2021-12-23,0.0899,0.1,0.0859,0.091
275,2021-12-22,0.0901,0.0905,0.0802,0.0899
274,2021-12-21,0.0991,0.1008,0.09,0.096
273,2021-12-20,0.11,0.11,0.09,0.1096
272,2021-12-17,0.1001,0.1099,0.0956,0.1099
271,2021-12-16,0.1,0.1087,0.0973,0.1077
270,2021-12-15,0.1092,0.1092,0.09,0.0957
269,2021-12-14,0.0968,0.0968,0.0968,0.0968
268,2021-12-13,0.101,0.1025,0.0968,0.0968
267,2021-12-10,0.1015,0.111,0.09,0.1014
266,2021-12-09,0.111,0.1194,0.1106,0.1194
265,2021-12-08,0.1199,0.13,0.1121,0.1199
264,2021-12-07,0.105,0.1299,0.1,0.1197
263,2021-12-06,0.11,0.11,0.0956,0.1
262,2021-12-03,0.1159,0.1159,0.11,0.11
261,2021-12-02,0.1224,0.1224,0.1159,0.1159
260,2021-12-01,0.12,0.1284,0.1101,0.1223
259,2021-11-30,0.1298,0.1298,0.1134,0.115
258,2021-11-29,0.1397,0.1397,0.12,0.122
257,2021-11-26,0.1233,0.1319,0.123,0.123
256,2021-11-24,0.1249,0.1249,0.12,0.1233
255,2021-11-23,0.1251,0.13,0.1249,0.1249
254,2021-11-22,0.13,0.13,0.1251,0.1251
253,2021-11-19,0.1321,0.134,0.13,0.13
252,2021-11-18,0.1338,0.1338,0.128,0.128
251,2021-11-17,0.1469,0.1469,0.1338,0.1338
250,2021-11-16,0.1283,0.14,0.1283,0.1321
249,2021-11-15,0.1206,0.1479,0.1206,0.1454
248,2021-11-12,0.1511,0.1511,0.1249,0.15
247,2021-11-11,0.1346,0.1369,0.125,0.1305
246,2021-11-10,0.13,0.13,0.125,0.1293
245,2021-11-09,0.1389,0.1389,0.13,0.13
244,2021-11-08,0.1303,0.135,0.1303,0.1349
243,2021-11-05,0.137,0.1481,0.1309,0.1404
242,2021-11-04,0.137,0.1486,0.1303,0.137
241,2021-11-03,0.1499,0.15,0.1204,0.1301
240,2021-11-02,0.13,0.1493,0.1142,0.1492
239,2021-11-01,0.1413,0.143,0.1199,0.1385
238,2021-10-29,0.1332,0.1415,0.1332,0.1413
237,2021-10-28,0.132,0.1511,0.132,0.1415
236,2021-10-27,0.1489,0.1489,0.1313,0.1313
235,2021-10-26,0.15,0.16,0.1313,0.1313
234,2021-10-25,0.155,0.155,0.13,0.1502
233,2021-10-22,0.1583,0.1583,0.1303,0.1581
232,2021-10-21,0.141,0.1418,0.1279,0.1302
231,2021-10-20,0.125,0.1796,0.125,0.1418
230,2021-10-19,0.1297,0.1999,0.129,0.1584
229,2021-10-18,0.17,0.17,0.1046,0.13
228,2021-10-15,0.14,0.1499,0.1295,0.14
227,2021-10-14,0.1297,0.1398,0.1295,0.13
