,Date,Open,High,Low,Close
281,2021-12-31,0.673,0.711,0.6503,0.69
280,2021-12-30,0.65,0.71,0.6045,0.6733
279,2021-12-29,0.6296,0.701,0.6,0.6701
278,2021-12-28,0.63,0.63,0.593,0.6298
277,2021-12-27,0.561,0.5983,0.5304,0.5918
276,2021-12-23,0.571,0.579,0.56,0.5651
275,2021-12-22,0.58,0.605,0.564,0.5735
274,2021-12-21,0.591,0.63,0.561,0.5755
273,2021-12-20,0.5549,0.65,0.5549,0.5979
272,2021-12-17,0.595,0.63,0.57,0.6007
271,2021-12-16,0.5901,0.63,0.58,0.5954
270,2021-12-15,0.6,0.6202,0.5512,0.597
269,2021-12-14,0.6625,0.68,0.605,0.611
268,2021-12-13,0.7555,0.7555,0.661,0.683
267,2021-12-10,0.8135,0.83,0.7305,0.76
266,2021-12-09,1.03,1.03,0.8133,0.85
265,2021-12-08,1.0,1.09,0.9007,1.04
264,2021-12-07,0.8594,1.09,0.7095,1.09
263,2021-12-06,0.8237,0.9,0.6499,0.89
262,2021-12-03,0.7599,0.9899,0.6999,0.92
261,2021-12-02,0.882,0.93,0.6927,0.7999
260,2021-12-01,0.661,1.05,0.62,0.98
259,2021-11-30,0.6135,0.6808,0.605,0.6611
258,2021-11-29,0.66,0.66,0.63,0.6325
257,2021-11-26,0.7,0.702,0.6312,0.6498
256,2021-11-24,0.78,0.7875,0.68,0.69
255,2021-11-23,0.82,0.8596,0.75,0.7738
254,2021-11-22,0.9,0.9,0.83,0.84
253,2021-11-19,0.9224,0.938,0.86,0.9
252,2021-11-18,0.92,0.9711,0.87,0.938
251,2021-11-17,0.9999,0.9999,0.9018,0.931
250,2021-11-16,0.9252,1.0,0.8904,0.95
249,2021-11-15,0.8993,0.947,0.8993,0.9436
248,2021-11-12,0.92,0.92,0.84,0.87
247,2021-11-11,0.935,0.935,0.9,0.92
246,2021-11-10,0.93,0.93,0.87,0.92
245,2021-11-09,0.949,0.9595,0.92,0.9373
244,2021-11-08,0.95,0.95,0.9051,0.9201
243,2021-11-05,0.9597,0.9597,0.9,0.939
242,2021-11-04,0.95,0.979,0.93,0.9597
241,2021-11-03,0.997,1.0,0.9267,0.95
240,2021-11-02,0.9978,0.9978,0.951,0.9978
239,2021-11-01,0.9505,1.0,0.9505,1.0
238,2021-10-29,1.0,1.01,0.94,0.9976
237,2021-10-28,1.0,1.04,0.98,1.0
236,2021-10-27,0.98,1.05,0.96,1.04
235,2021-10-26,0.9694,1.01,0.91,0.9876
234,2021-10-25,0.9856,1.0,0.9301,0.9596
233,2021-10-22,0.98,1.0,0.9243,0.93
232,2021-10-21,1.02,1.02,0.9104,0.9798
231,2021-10-20,1.0,1.05,0.9901,1.02
230,2021-10-19,1.0,1.05,0.9805,1.0
229,2021-10-18,0.99,1.0,0.97,0.98
228,2021-10-15,1.05,1.0598,0.9666,1.05
227,2021-10-14,1.09,1.09,1.0,1.045
226,2021-10-13,0.95,1.09,0.92,0.9899
225,2021-10-12,0.92,0.9473,0.88,0.93
224,2021-10-11,0.91,0.94,0.9,0.92
223,2021-10-08,0.9286,0.9286,0.8905,0.9049
222,2021-10-07,0.8601,0.947,0.8601,0.9287
221,2021-10-06,0.85,0.86,0.821,0.86
220,2021-10-05,0.8503,0.86,0.84,0.8444
219,2021-10-04,0.84,0.85,0.833,0.8499
218,2021-10-01,0.89,0.9,0.86,0.8608
217,2021-09-30,0.8464,0.9135,0.8464,0.869
216,2021-09-29,0.861,0.91,0.8379,0.8452
215,2021-09-28,0.819,0.904,0.819,0.886
214,2021-09-27,0.905,0.9099,0.81,0.85
213,2021-09-24,0.92,0.92,0.8894,0.91
212,2021-09-23,0.9,0.95,0.9,0.93
211,2021-09-22,0.91,0.93,0.9,0.92
210,2021-09-21,0.93,0.93,0.9103,0.93
209,2021-09-20,0.9812,0.9812,0.92,0.9235
208,2021-09-17,0.9935,0.9941,0.949,0.9812
207,2021-09-16,0.97,0.9953,0.97,0.984
206,2021-09-15,0.98,1.0,0.98,0.9949
205,2021-09-14,0.9903,0.9999,0.98,0.9853
204,2021-09-13,1.0,1.02,0.98,1.0
203,2021-09-10,1.02,1.02,1.0,1.02
202,2021-09-09,1.03,1.03,0.98,1.02
201,2021-09-08,1.05,1.05,1.01,1.03
200,2021-09-07,1.03,1.08,1.01,1.06
199,2021-09-03,1.05,1.0545,1.02,1.03
198,2021-09-02,1.04,1.11,1.04,1.05
197,2021-09-01,1.05,1.08,1.05,1.055
196,2021-08-31,1.04,1.07,1.03,1.06
195,2021-08-30,1.01,1.0756,0.98,1.01
194,2021-08-27,1.05,1.09,1.01,1.02
193,2021-08-26,1.11,1.13,1.07,1.07
192,2021-08-25,1.11,1.1635,1.08,1.13
191,2021-08-24,1.2,1.2,1.05,1.09
190,2021-08-23,1.05,1.12,1.05,1.07
189,2021-08-20,1.03,1.03,1.01,1.03
188,2021-08-19,1.01,1.03,1.0,1.015
187,2021-08-18,1.1,1.1,0.99,1.01
186,2021-08-17,1.14,1.1622,1.1,1.1
185,2021-08-16,1.18,1.19,1.14,1.16
184,2021-08-13,1.15,1.3,1.15,1.19
183,2021-08-12,1.24,1.24,1.15,1.15
182,2021-08-11,1.25,1.25,1.21,1.21
181,2021-08-10,1.21,1.31,1.21,1.25
180,2021-08-09,1.16,1.21,1.14,1.18
179,2021-08-06,1.15,1.17,1.13,1.16
178,2021-08-05,1.1605,1.17,1.12,1.14
177,2021-08-04,1.16,1.17,1.14,1.17
176,2021-08-03,1.15,1.17,1.11,1.17
175,2021-08-02,1.15,1.23,1.12,1.18
174,2021-07-30,1.15,1.27,1.15,1.23
173,2021-07-29,1.1339,1.21,1.08,1.1
172,2021-07-28,1.22,1.25,0.98,1.11
171,2021-07-27,1.55,1.55,1.2,1.22
170,2021-07-26,1.67,1.7227,1.55,1.56
169,2021-07-23,1.94,1.94,1.75,1.7524
168,2021-07-22,1.95,2.03,1.94,1.95
167,2021-07-21,2.05,2.07,1.9,1.985
166,2021-07-20,1.98,2.05,1.9201,2.03
165,2021-07-19,1.96,1.99,1.82,1.97
164,2021-07-16,2.03,2.0999,1.9,1.96
163,2021-07-15,2.06,2.1144,1.98,1.99
162,2021-07-14,2.25,2.25,2.0984,2.14
161,2021-07-13,2.13,2.3,2.0552,2.24
160,2021-07-12,2.1,2.16,2.1,2.16
159,2021-07-09,2.07,2.15,2.0375,2.11
158,2021-07-08,2.0156,2.07,1.98,2.07
157,2021-07-07,2.08,2.08,1.97,2.07
156,2021-07-06,2.08,2.0843,2.01,2.06
155,2021-07-02,2.19,2.2,2.0,2.0699
154,2021-07-01,2.21,2.309,2.08,2.2
153,2021-06-30,2.23,2.25,2.18,2.22
152,2021-06-29,2.277,2.28,2.18,2.21
151,2021-06-28,2.39,2.39,2.22,2.27
150,2021-06-25,2.41,2.4358,2.33,2.35
149,2021-06-24,2.34,2.43,2.29,2.43
148,2021-06-23,2.25,2.35,2.1731,2.34
147,2021-06-22,2.16,2.25,2.09,2.24
146,2021-06-21,2.18,2.23,2.12,2.15
145,2021-06-18,2.24,2.28,2.1532,2.17
144,2021-06-17,2.4,2.44,2.2267,2.24
143,2021-06-16,2.2559,2.45,2.2227,2.43
142,2021-06-15,2.26,2.31,2.23,2.27
141,2021-06-14,2.26,2.3699,2.2058,2.3
140,2021-06-11,2.27,2.37,2.21,2.26
139,2021-06-10,2.25,2.43,2.15,2.29
138,2021-06-09,2.47,2.49,2.098,2.25
137,2021-06-08,2.35,2.51,2.32,2.49
136,2021-06-07,2.66,2.73,2.32,2.37
135,2021-06-04,2.64,2.73,2.5144,2.53
134,2021-06-03,2.41,2.63,2.3459,2.63
133,2021-06-02,2.41,2.4646,2.28,2.4
132,2021-06-01,2.3,2.46,2.25,2.32
131,2021-05-28,2.38,2.4,2.2,2.3
130,2021-05-27,2.06,2.3325,2.03,2.27
129,2021-05-26,2.06,2.06,2.0,2.05
128,2021-05-25,1.97,2.03,1.9338,2.03
127,2021-05-24,2.0,2.0246,1.94,1.98
126,2021-05-21,2.1,2.11,1.98,2.0
125,2021-05-20,2.03,2.11,2.03,2.11
124,2021-05-19,2.0601,2.1055,2.0,2.03
123,2021-05-18,1.98,2.16,1.96,2.06
122,2021-05-17,1.9715,2.0,1.95,2.0
121,2021-05-14,2.0,2.0862,1.99,2.01
120,2021-05-13,2.05,2.06,1.9,2.02
119,2021-05-12,2.1746,2.1746,1.94,2.05
118,2021-05-11,2.06,2.1899,2.05,2.06
117,2021-05-10,2.28,2.2842,2.08,2.1
116,2021-05-07,2.1234,2.32,2.1,2.31
