,Date,Open,High,Low,Close
5578,2021-12-31,53.5,53.83,53.48,53.79
5577,2021-12-30,53.55,53.675,53.505,53.58
5576,2021-12-29,53.7,53.765,53.45,53.62
5575,2021-12-28,53.39,53.65,53.36,53.53
5574,2021-12-27,53.13,53.34,52.9641,53.25
5573,2021-12-23,52.73,53.03,52.69,52.82
5572,2021-12-22,52.03,52.49,51.93,52.46
5571,2021-12-21,52.195,52.47,52.065,52.29
5570,2021-12-20,52.72,52.87,52.45,52.53
5569,2021-12-17,53.06,53.14,52.69,52.7
5568,2021-12-16,52.83,53.37,52.81,53.3
5567,2021-12-15,52.6,52.7757,52.4506,52.7
5566,2021-12-14,53.19,53.305,52.93,53.03
5565,2021-12-13,53.03,53.38,52.86,53.09
5564,2021-12-10,53.06,53.405,53.03,53.25
5563,2021-12-09,52.55,52.92,52.33,52.9
5562,2021-12-08,52.47,53.06,52.34,52.98
5561,2021-12-07,51.78,52.425,51.78,52.35
5560,2021-12-06,51.59,52.705,51.59,52.62
5559,2021-12-03,51.55,51.66,51.175,51.29
5558,2021-12-02,51.725,51.985,51.375,51.44
5557,2021-12-01,51.21,51.38,50.6,50.61
5556,2021-11-30,52.01,52.07,50.77,50.85
5555,2021-11-29,52.77,52.82,52.24,52.76
5554,2021-11-26,52.64,52.985,52.38,52.49
5553,2021-11-24,51.83,52.13,51.725,52.1
5552,2021-11-23,51.99,52.3675,51.8918,52.25
5551,2021-11-22,51.48,51.95,51.27,51.27
5550,2021-11-19,52.025,52.05,51.435,51.46
5549,2021-11-18,51.965,51.97,51.3,51.32
5548,2021-11-17,52.0,52.0467,51.7175,51.77
5547,2021-11-16,52.36,52.445,52.01,52.01
5546,2021-11-15,52.41,52.54,52.31,52.32
5545,2021-11-12,52.58,52.61,52.32,52.46
5544,2021-11-11,52.6,52.65,52.34,52.46
5543,2021-11-10,52.94,53.04,52.72,52.97
5542,2021-11-09,52.79,53.11,52.79,52.95
5541,2021-11-08,52.85,52.85,52.4498,52.81
5540,2021-11-05,52.76,52.9915,52.63,52.86
5539,2021-11-04,52.79,53.35,52.72,52.87
5538,2021-11-03,53.82,54.13,53.64,54.06
5537,2021-11-02,53.55,54.065,53.48,53.82
5536,2021-11-01,53.5,53.9187,53.4125,53.77
5535,2021-10-29,53.37,53.675,53.34,53.58
5534,2021-10-28,53.75,54.02,53.68,53.88
5533,2021-10-27,53.9,53.99,53.4163,53.54
5532,2021-10-26,54.0,54.165,53.85,54.0
5531,2021-10-25,53.66,53.67,53.2899,53.51
5530,2021-10-22,53.57,53.965,53.54,53.71
5529,2021-10-21,53.23,53.5457,53.15,53.38
5528,2021-10-20,52.82,52.975,52.68,52.8
5527,2021-10-19,52.37,52.6,52.255,52.51
5526,2021-10-18,52.74,52.845,52.53,52.72
5525,2021-10-15,52.69,53.25,52.67,52.96
5524,2021-10-14,53.13,53.19,52.93,53.14
5523,2021-10-13,52.69,53.03,52.69,52.97
5522,2021-10-12,52.4,52.475,52.18,52.28
5521,2021-10-11,52.67,52.8499,52.5,52.5
5520,2021-10-08,52.84,52.98,52.6,52.64
5519,2021-10-07,52.99,53.38,52.85,52.93
5518,2021-10-06,52.54,53.085,52.51,53.05
5517,2021-10-05,53.68,53.715,53.42,53.44
5516,2021-10-04,53.68,54.035,53.6136,53.81
5515,2021-10-01,54.36,54.465,53.815,54.21
5514,2021-09-30,54.52,54.57,54.01,54.22
5513,2021-09-29,54.32,55.01,54.15,54.84
5512,2021-09-28,54.6,54.62,54.03,54.42
5511,2021-09-27,54.34,54.675,54.25,54.25
5510,2021-09-24,54.6,54.87,54.5,54.57
5509,2021-09-23,55.05,55.2,54.805,54.86
5508,2021-09-22,54.92,55.21,54.565,54.6
5507,2021-09-21,54.63,55.0,54.47,54.47
5506,2021-09-20,54.24,54.67,53.86,54.23
5505,2021-09-17,54.37,54.6,53.87,53.95
5504,2021-09-16,54.68,54.78,54.2823,54.54
5503,2021-09-15,55.17,55.28,54.79,54.96
5502,2021-09-14,55.81,55.82,55.35,55.37
5501,2021-09-13,55.31,55.4869,55.14,55.22
5500,2021-09-10,54.96,55.02,54.67,54.73
5499,2021-09-09,55.3,55.3,54.74,54.85
5498,2021-09-08,54.91,55.46,54.91,55.42
5497,2021-09-07,55.02,55.305,55.0,55.04
5496,2021-09-03,54.82,55.37,54.76,55.15
5495,2021-09-02,54.62,55.0,54.6,54.86
5494,2021-09-01,55.73,56.055,55.59,56.02
5493,2021-08-31,55.5,55.7,55.44,55.68
5492,2021-08-30,55.46,55.825,55.46,55.8
5491,2021-08-27,55.74,55.88,55.46,55.51
5490,2021-08-26,55.64,55.86,55.52,55.74
5489,2021-08-25,55.36,55.66,55.22,55.57
5488,2021-08-24,55.72,56.13,55.63,55.94
5487,2021-08-23,56.26,56.53,56.115,56.38
5486,2021-08-20,56.08,56.63,55.99,56.37
5485,2021-08-19,55.88,56.285,55.85,55.95
5484,2021-08-18,56.8,56.82,56.29,56.31
5483,2021-08-17,56.9,57.275,56.86,57.1
5482,2021-08-16,57.0,57.27,56.84,57.2
5481,2021-08-13,57.41,57.845,57.37,57.77
5480,2021-08-12,57.19,57.28,57.02,57.03
5479,2021-08-11,57.28,57.49,57.23,57.34
5478,2021-08-10,57.17,57.26,56.88,57.09
5477,2021-08-09,57.2,57.28,57.035,57.26
5476,2021-08-06,56.79,56.925,56.665,56.79
5475,2021-08-05,57.41,57.49,57.035,57.2
5474,2021-08-04,58.0,58.16,57.27,57.39
5473,2021-08-03,57.58,57.8501,57.5377,57.83
5472,2021-08-02,57.34,57.6,57.0,57.27
5471,2021-07-30,57.96,58.04,57.51,57.53
5470,2021-07-29,57.09,57.74,57.08,57.52
5469,2021-07-28,56.33,56.65,56.22,56.6
5468,2021-07-27,56.12,56.55,56.09,56.46
5467,2021-07-26,56.2,56.3501,55.71,55.74
5466,2021-07-23,56.51,57.095,56.36,57.0
5465,2021-07-22,55.94,56.1,55.495,55.52
5464,2021-07-21,58.99,59.175,58.595,58.71
5463,2021-07-20,58.93,59.31,58.645,58.82
5462,2021-07-19,59.55,59.87,59.19,59.57
5461,2021-07-16,60.02,60.255,59.77,60.15
5460,2021-07-15,59.72,59.76,59.31,59.64
5459,2021-07-14,59.55,59.83,59.34,59.77
5458,2021-07-13,59.66,60.115,59.64,59.8
5457,2021-07-12,59.49,59.91,59.49,59.74
5456,2021-07-09,59.2,59.61,59.2,59.49
5455,2021-07-08,59.31,59.52,58.925,59.19
5454,2021-07-07,59.46,60.12,59.31,59.92
