,Date,Open,High,Low,Close
5578,2021-12-31,105.94,107.345,105.0425,106.11
5577,2021-12-30,107.24,108.12,106.19,106.4
5576,2021-12-29,106.43,107.26,104.05,107.13
5575,2021-12-28,106.01,107.23,105.28,106.36
5574,2021-12-27,105.06,106.49,104.42,106.27
5573,2021-12-23,105.68,108.67,105.105,105.19
5572,2021-12-22,102.94,104.82,102.0,104.79
5571,2021-12-21,101.45,103.5,101.07,103.43
5570,2021-12-20,100.08,101.21,97.65,99.01
5569,2021-12-17,104.19,104.19,100.4,101.46
5568,2021-12-16,105.58,106.825,103.43,104.35
5567,2021-12-15,105.0,107.205,103.61,104.38
5566,2021-12-14,104.84,107.37,103.1,104.65
5565,2021-12-13,104.37,107.29,103.16,104.7
5564,2021-12-10,105.0,105.57,104.08,105.14
5563,2021-12-09,104.15,105.515,103.87,104.56
5562,2021-12-08,104.15,105.64,103.78,105.32
5561,2021-12-07,104.36,107.74,103.19,103.77
5560,2021-12-06,103.67,106.86,101.9,104.21
5559,2021-12-03,104.24,104.24,100.19,102.15
5558,2021-12-02,100.93,104.19,100.89,103.42
5557,2021-12-01,102.95,104.44,99.82,99.9
5556,2021-11-30,100.98,103.9625,100.01,100.58
5555,2021-11-29,103.74,104.1,100.07,102.09
5554,2021-11-26,103.83,103.83,99.76,102.03
5553,2021-11-24,108.06,108.92,106.0,107.47
5552,2021-11-23,108.01,109.9,107.97,108.36
5551,2021-11-22,107.3,109.61,106.04,107.23
5550,2021-11-19,106.46,107.65,104.98,106.23
5549,2021-11-18,106.48,107.865,105.4,107.49
5548,2021-11-17,105.65,106.37,103.005,106.08
5547,2021-11-16,106.2,106.98,98.02,105.95
5546,2021-11-15,105.91,107.0,105.44,106.18
5545,2021-11-12,106.29,106.98,104.8501,105.52
5544,2021-11-11,105.46,106.5,105.0,106.23
5543,2021-11-10,104.82,106.0875,104.48,105.1
5542,2021-11-09,104.01,105.195,103.25,104.8
5541,2021-11-08,104.42,104.99,103.18,104.68
5540,2021-11-05,103.32,104.99,103.18,104.2
5539,2021-11-04,103.54,103.54,101.39,102.37
5538,2021-11-03,99.79,103.78,99.78,103.35
5537,2021-11-02,101.53,101.66,99.56,100.04
5536,2021-11-01,99.87,101.95,99.4875,101.64
5535,2021-10-29,100.09,101.13,98.22,98.82
5534,2021-10-28,97.27,99.75,96.62,99.7
5533,2021-10-27,94.25,101.475,94.12,96.81
5532,2021-10-26,103.64,104.98,102.7,104.55
5531,2021-10-25,104.03,104.945,103.2441,103.73
5530,2021-10-22,102.69,103.66,102.39,103.61
5529,2021-10-21,102.27,102.49,101.785,102.31
5528,2021-10-20,99.57,102.21,98.83,102.12
5527,2021-10-19,99.64,100.01,98.67,99.57
5526,2021-10-18,100.08,100.86,99.28,99.42
5525,2021-10-15,100.73,101.86,99.35,99.82
5524,2021-10-14,100.5,100.55,99.58,100.04
5523,2021-10-13,99.8,102.33,97.725,99.32
5522,2021-10-12,100.03,101.27,99.0225,99.85
5521,2021-10-11,101.91,102.37,100.22,100.23
5520,2021-10-08,101.04,102.39,100.57,101.12
5519,2021-10-07,100.56,101.36,100.12,101.15
5518,2021-10-06,99.71,100.42,95.83,99.58
5517,2021-10-05,100.98,102.01,99.66,100.63
5516,2021-10-04,99.53,101.0092,99.22,100.24
5515,2021-10-01,97.24,99.76,96.58,99.09
5514,2021-09-30,99.12,99.12,96.63,96.71
5513,2021-09-29,97.4,98.87,96.36,98.65
5512,2021-09-28,98.7,99.09,96.5875,97.25
5511,2021-09-27,96.54,99.18,95.7,98.29
5510,2021-09-24,93.83,97.52,93.36,95.55
5509,2021-09-23,90.95,94.885,90.95,93.7
5508,2021-09-22,89.94,90.6,88.96,90.01
5507,2021-09-21,89.74,89.82,87.82,88.85
5506,2021-09-20,87.86,89.32,86.88,89.24
5505,2021-09-17,90.02,91.27,89.44,90.26
5504,2021-09-16,90.67,91.37,88.55,89.63
5503,2021-09-15,88.27,90.03,88.08,89.97
5502,2021-09-14,90.06,90.7,87.54,88.18
5501,2021-09-13,89.37,90.22,88.445,89.98
5500,2021-09-10,89.46,89.56,88.09,88.62
5499,2021-09-09,88.79,90.47,88.08,89.2
5498,2021-09-08,89.6,94.2,88.26,89.08
5497,2021-09-07,91.69,92.345,90.055,90.27
5496,2021-09-03,90.74,91.15,89.89,90.93
5495,2021-09-02,91.17,92.51,90.42,90.56
5494,2021-09-01,91.97,91.97,90.06,91.1
5493,2021-08-31,91.05,92.115,90.38,91.58
5492,2021-08-30,93.01,93.01,90.47,90.69
5491,2021-08-27,90.7,93.29,90.01,93.07
5490,2021-08-26,92.7,93.1175,90.11,90.27
5489,2021-08-25,92.17,93.3,91.13,91.92
5488,2021-08-24,91.16,92.08,89.755,91.85
5487,2021-08-23,91.24,91.61,90.415,91.23
5486,2021-08-20,88.97,91.14,88.97,90.58
5485,2021-08-19,89.33,90.445,87.09,89.3
5484,2021-08-18,91.52,92.41,90.4,90.57
5483,2021-08-17,92.39,93.2,90.76,91.79
5482,2021-08-16,92.22,93.92,91.105,93.24
5481,2021-08-13,93.78,94.63,92.53,92.95
5480,2021-08-12,95.8,96.515,93.78,93.86
5479,2021-08-11,94.48,95.85,92.955,95.78
5478,2021-08-10,93.42,94.25,92.525,93.99
5477,2021-08-09,95.55,95.93,93.7,93.78
5476,2021-08-06,95.44,96.935,94.39,95.82
5475,2021-08-05,93.39,94.39,92.79,93.9
5474,2021-08-04,91.71,93.33,90.76,92.48
5473,2021-08-03,92.29,93.51,90.26,93.0
5472,2021-08-02,94.1,95.98,91.96,91.98
5471,2021-07-30,92.93,95.0,92.16,93.6
5470,2021-07-29,93.79,94.23,92.31,93.65
5469,2021-07-28,87.92,93.5,87.92,92.48
5468,2021-07-27,86.88,88.74,86.88,88.65
5467,2021-07-26,87.11,88.18,87.11,88.04
5466,2021-07-23,87.08,87.99,85.78,86.93
