,Date,Open,High,Low,Close
5578,2021-12-31,28.8674,29.88,28.665,29.83
5577,2021-12-30,29.63,29.6301,28.61,28.61
5576,2021-12-29,29.56,30.33,29.56,29.61
5575,2021-12-28,30.25,30.64,29.35,29.84
5574,2021-12-27,30.16,30.3,28.78,29.1
5573,2021-12-23,30.29,30.29,30.29,30.29
5572,2021-12-22,30.5,30.775,30.29,30.29
5571,2021-12-21,31.19,31.4599,30.46,30.46
5570,2021-12-20,30.71,31.62,30.41,31.0
5569,2021-12-17,30.52,31.5,30.1,31.19
5568,2021-12-16,30.13,30.67,30.13,30.58
5567,2021-12-15,30.526,30.526,30.1,30.2
5566,2021-12-14,30.415,30.68,30.2,30.4
5565,2021-12-13,30.5,31.058,30.46,30.46
5564,2021-12-10,30.52,30.52,30.52,30.52
5563,2021-12-09,31.19,31.19,30.52,30.52
5562,2021-12-08,31.0,31.0,30.51,30.52
5561,2021-12-07,30.75,31.47,30.75,31.47
5560,2021-12-06,30.81,31.55,30.81,30.88
5559,2021-12-03,31.56,31.7499,30.76,31.0
5558,2021-12-02,31.275,31.275,31.275,31.275
5557,2021-12-01,31.65,31.65,30.8,30.8
5556,2021-11-30,31.0,31.2575,30.75,31.2575
5555,2021-11-29,31.375,31.375,31.0,31.03
5554,2021-11-26,31.15,31.6099,30.69,31.6099
5553,2021-11-24,31.7,31.75,31.7,31.75
5552,2021-11-23,31.31,31.75,31.31,31.32
5551,2021-11-22,31.07,31.3055,31.05,31.3055
5550,2021-11-19,31.25,31.25,31.0656,31.07
5549,2021-11-18,31.65,31.65,31.05,31.05
5548,2021-11-17,31.65,31.65,31.65,31.65
5547,2021-11-16,32.596,32.596,31.75,31.75
5546,2021-11-15,32.45,32.49,32.0375,32.0375
5545,2021-11-12,32.32,32.32,32.08,32.08
5544,2021-11-11,32.7119,32.7119,32.7119,32.7119
5543,2021-11-10,32.7119,32.7119,32.7119,32.7119
5542,2021-11-09,32.5,32.5,31.4901,32.1001
5541,2021-11-08,32.06,32.47,31.7501,32.45
5540,2021-11-05,32.28,32.28,31.195,31.195
5539,2021-11-04,32.08,32.25,32.08,32.25
5538,2021-11-03,31.9,31.9,31.9,31.9
5537,2021-11-02,32.13,32.5,31.79,32.28
5536,2021-11-01,32.5987,32.5987,32.22,32.22
5535,2021-10-29,32.0,32.0,32.0,32.0
5534,2021-10-28,32.3,32.5471,31.7,31.75
5533,2021-10-27,32.44,32.6497,32.0,32.1
5532,2021-10-26,32.44,32.48,32.44,32.44
5531,2021-10-25,32.6,32.8715,32.4397,32.4397
5530,2021-10-22,32.88,32.8917,32.799,32.799
5529,2021-10-21,32.63,33.025,32.0726,32.8558
5528,2021-10-20,33.445,33.445,33.445,33.445
5527,2021-10-19,33.0001,33.0001,32.56,32.6
5526,2021-10-18,32.76,33.2,32.233,33.0
5525,2021-10-15,32.5,32.6824,32.4,32.4006
5524,2021-10-14,32.8262,32.8262,32.21,32.69
5523,2021-10-13,32.01,32.15,32.01,32.1
5522,2021-10-12,32.0966,32.9124,32.04,32.04
5521,2021-10-11,32.61,32.61,31.96,32.11
5520,2021-10-08,31.9,32.0,31.55,31.9
5519,2021-10-07,31.75,32.75,31.75,32.0
5518,2021-10-06,31.68,31.75,31.665,31.75
5517,2021-10-05,31.7,31.7,31.51,31.65
5516,2021-10-04,31.75,32.0,31.0801,31.28
5515,2021-10-01,31.1366,32.7187,31.0,31.87
5514,2021-09-30,31.85,31.98,31.5,31.98
5513,2021-09-29,31.17,31.5,31.17,31.5
5512,2021-09-28,31.49,31.8131,30.67,31.5
5511,2021-09-27,30.35,31.08,30.35,31.0
5510,2021-09-24,31.3744,31.3744,30.07,30.07
5509,2021-09-23,31.03,31.07,30.415,30.65
5508,2021-09-22,30.71,31.76,30.65,30.95
5507,2021-09-21,31.4899,31.4899,29.83,30.71
5506,2021-09-20,32.0,32.0,30.8,31.09
5505,2021-09-17,31.89,32.0,31.63,32.0
5504,2021-09-16,31.5,33.0,30.77,31.65
5503,2021-09-15,32.22,32.22,30.29,31.1296
5502,2021-09-14,32.23,32.5,32.22,32.22
5501,2021-09-13,33.12,33.6699,32.69,32.69
5500,2021-09-10,33.16,33.56,33.02,33.02
5499,2021-09-09,34.1,34.1,33.31,33.31
5498,2021-09-08,33.35,33.92,33.35,33.92
5497,2021-09-07,33.6,33.895,33.1717,33.771
5496,2021-09-03,34.49,34.99,33.79,33.9
5495,2021-09-02,34.79,35.7,34.49,34.8
5494,2021-09-01,33.25,34.8,33.21,34.45
5493,2021-08-31,33.21,33.61,32.39,33.15
5492,2021-08-30,32.85,33.73,32.69,32.9
5491,2021-08-27,32.9,33.0,32.88,32.88
5490,2021-08-26,33.69,34.03,32.26,32.9
5489,2021-08-25,33.47,33.47,33.0,33.0
5488,2021-08-24,32.69,34.7,32.685,33.5006
5487,2021-08-23,34.11,34.73,33.09,33.7106
5486,2021-08-20,34.8446,34.8446,32.79,34.0
5485,2021-08-19,35.215,35.215,34.75,34.75
5484,2021-08-18,35.58,35.58,35.39,35.39
5483,2021-08-17,35.205,35.205,35.205,35.205
5482,2021-08-16,35.15,35.74,35.15,35.5
5481,2021-08-13,35.66,36.15,35.66,35.79
5480,2021-08-12,35.78,36.2694,35.25,35.65
5479,2021-08-11,36.0,37.9899,35.62,35.7205
5478,2021-08-10,34.98,35.75,34.8,35.57
5477,2021-08-09,33.49,35.945,33.49,35.1006
5476,2021-08-06,33.625,33.6401,33.625,33.6401
5475,2021-08-05,33.5,33.99,33.3501,33.67
5474,2021-08-04,32.6789,33.99,32.59,33.31
5473,2021-08-03,32.8,32.8,32.0,32.73
5472,2021-08-02,32.02,32.4,32.02,32.3871
5471,2021-07-30,32.0001,32.1981,32.0001,32.15
5470,2021-07-29,32.4,32.4,32.4,32.4
5469,2021-07-28,32.25,32.5,32.0,32.39
5468,2021-07-27,32.5292,32.5292,32.5292,32.5292
5467,2021-07-26,32.225,32.35,32.02,32.35
5466,2021-07-23,32.6,32.6,32.4084,32.4084
