,Date,Open,High,Low,Close
5578,2021-12-31,50.15,51.159,48.81,49.08
5577,2021-12-30,50.78,52.3155,50.15,50.23
5576,2021-12-29,50.16,51.34,50.05,51.09
5575,2021-12-28,50.14,51.19,50.04,50.31
5574,2021-12-27,49.17,50.91,48.97,50.61
5573,2021-12-23,48.55,49.925,48.4,49.19
5572,2021-12-22,48.39,48.625,47.19,48.45
5571,2021-12-21,48.59,48.59,46.77,48.21
5570,2021-12-20,48.64,48.9647,47.11,48.39
5569,2021-12-17,48.66,50.63,48.53,49.01
5568,2021-12-16,50.55,51.3,48.79,48.92
5567,2021-12-15,50.8,50.815,48.08,50.66
5566,2021-12-14,51.06,52.72,50.01,50.65
5565,2021-12-13,51.7,52.19,50.4837,51.05
5564,2021-12-10,54.31,54.78,52.115,52.34
5563,2021-12-09,55.93,56.5,53.59,54.14
5562,2021-12-08,51.8,57.89,51.65,55.61
5561,2021-12-07,49.24,50.33,48.95,49.12
5560,2021-12-06,48.8,49.82,47.86,48.78
5559,2021-12-03,49.51,49.99,47.98,48.28
5558,2021-12-02,47.95,50.45,47.6501,49.53
5557,2021-12-01,50.49,51.0,47.32,47.39
5556,2021-11-30,49.54,50.28,48.66,49.72
5555,2021-11-29,49.33,50.67,48.71,49.65
5554,2021-11-26,49.59,49.7232,48.05,48.96
5553,2021-11-24,50.74,50.9822,49.32,50.6
5552,2021-11-23,51.75,52.31,50.92,51.02
5551,2021-11-22,50.74,52.88,50.06,52.09
5550,2021-11-19,50.21,51.0,49.55,50.01
5549,2021-11-18,50.03,50.96,49.53,50.67
5548,2021-11-17,51.2,51.4785,49.46,49.99
5547,2021-11-16,50.54,51.46,50.2,51.42
5546,2021-11-15,51.2,51.2,50.02,50.9
5545,2021-11-12,51.71,52.99,51.02,51.06
5544,2021-11-11,50.32,51.9836,50.32,51.52
5543,2021-11-10,49.65,51.46,49.48,50.31
5542,2021-11-09,49.31,50.3579,49.1896,49.5
5541,2021-11-08,49.91,51.37,49.44,49.47
5540,2021-11-05,48.63,50.53,48.63,49.93
5539,2021-11-04,48.2,49.34,47.26,48.13
5538,2021-11-03,44.93,48.38,44.93,48.2
5537,2021-11-02,44.72,45.61,44.4,44.91
5536,2021-11-01,43.45,45.125,43.08,44.7
5535,2021-10-29,42.85,43.939,42.82,43.39
5534,2021-10-28,42.12,43.13,41.97,42.85
5533,2021-10-27,42.44,42.8,41.6601,41.79
5532,2021-10-26,43.86,44.02,42.36,42.54
5531,2021-10-25,44.27,45.3,43.56,43.98
5530,2021-10-22,44.13,44.49,43.61,44.11
5529,2021-10-21,44.23,45.35,43.46,44.01
5528,2021-10-20,43.92,45.29,43.92,44.1
5527,2021-10-19,45.0,45.22,43.03,44.1
5526,2021-10-18,44.08,44.85,43.65,44.67
5525,2021-10-15,45.19,45.3,43.69,44.09
5524,2021-10-14,44.94,45.61,44.18,44.5
5523,2021-10-13,45.94,46.37,44.4301,44.58
5522,2021-10-12,46.96,47.36,46.04,46.28
