,Date,Open,High,Low,Close
5578,2021-12-31,208.47,210.94,208.47,210.4
5577,2021-12-30,209.43,210.79,208.85,209.39
5576,2021-12-29,208.29,209.525,207.28,208.47
5575,2021-12-28,205.19,207.93,205.19,207.61
5574,2021-12-27,204.06,205.69,203.0,205.58
5573,2021-12-23,204.13,205.58,202.49,203.23
5572,2021-12-22,202.35,202.855,201.02,202.84
5571,2021-12-21,203.94,205.89,201.83,202.35
5570,2021-12-20,203.03,203.24,198.33,202.37
5569,2021-12-17,205.41,208.04,201.44,204.94
5568,2021-12-16,208.9,209.29,203.75,205.01
5567,2021-12-15,205.74,209.8,204.35,208.19
5566,2021-12-14,205.49,206.92,204.5,205.86
5565,2021-12-13,202.37,206.28,202.37,204.9
5564,2021-12-10,206.62,207.82,203.48,204.0
5563,2021-12-09,202.93,205.985,202.6721,205.03
5562,2021-12-08,203.9,205.92,202.38,204.6
5561,2021-12-07,204.24,206.67,202.25,203.52
5560,2021-12-06,197.79,205.2,197.79,202.53
5559,2021-12-03,197.21,198.26,194.3663,195.96
5558,2021-12-02,194.79,197.29,193.885,196.44
5557,2021-12-01,194.88,198.46,193.32,193.91
5556,2021-11-30,191.36,193.02,190.19,191.65
5555,2021-11-29,194.21,194.55,191.31,193.25
5554,2021-11-26,195.77,195.77,189.84,192.0
5553,2021-11-24,198.67,200.19,197.53,200.09
5552,2021-11-23,195.72,200.07,195.72,199.25
5551,2021-11-22,197.04,200.83,195.76,196.61
5550,2021-11-19,194.47,199.39,194.47,196.65
5549,2021-11-18,201.14,202.76,194.75,195.38
5548,2021-11-17,199.53,202.08,199.3,201.07
5547,2021-11-16,200.47,201.565,199.5,200.74
5546,2021-11-15,200.61,201.31,199.29,199.79
5545,2021-11-12,201.88,204.9633,199.58,200.62
5544,2021-11-11,203.59,204.085,200.14,200.64
5543,2021-11-10,205.14,206.96,204.23,204.4
5542,2021-11-09,205.24,207.61,204.87,206.29
5541,2021-11-08,208.68,210.255,205.5107,206.33
5540,2021-11-05,204.53,207.91,204.2866,207.55
5539,2021-11-04,203.66,205.79,200.93,202.4
5538,2021-11-03,195.38,202.69,195.38,202.22
5537,2021-11-02,199.97,199.97,196.11,196.44
5536,2021-11-01,198.2,199.31,197.29,199.11
5535,2021-10-29,200.47,202.47,197.48,197.96
5534,2021-10-28,200.07,201.58,199.115,199.68
5533,2021-10-27,202.3,202.3,198.23,198.7
5532,2021-10-26,202.8,205.425,201.93,202.79
5531,2021-10-25,206.42,207.265,202.84,203.38
5530,2021-10-22,202.53,207.97,201.93,206.49
5529,2021-10-21,202.37,204.15,200.68,202.14
5528,2021-10-20,210.8,210.8,198.25,203.66
5527,2021-10-19,216.27,217.81,212.76,215.72
5526,2021-10-18,212.69,216.74,211.49,215.11
5525,2021-10-15,220.49,220.49,210.1,211.99
5524,2021-10-14,219.48,219.48,216.26,217.05
5523,2021-10-13,219.8,220.0,216.8888,217.47
5522,2021-10-12,219.55,220.745,217.11,219.5
5521,2021-10-11,222.32,224.689,217.92,218.71
5520,2021-10-08,223.22,223.22,222.69,222.95
5519,2021-10-07,222.38,227.07,222.38,223.56
5518,2021-10-06,217.32,220.83,216.4,220.48
5517,2021-10-05,218.54,221.21,217.88,219.35
5516,2021-10-04,213.05,218.94,211.59,217.94
5515,2021-10-01,212.84,216.095,209.68,213.62
5514,2021-09-30,221.22,223.315,212.49,212.62
5513,2021-09-29,219.42,221.76,217.49,219.49
5512,2021-09-28,221.8,223.21,219.11,219.11
5511,2021-09-27,220.46,225.08,219.6,221.75
5510,2021-09-24,218.88,222.33,217.689,220.59
5509,2021-09-23,217.88,221.0,215.1834,219.6
5508,2021-09-22,216.36,218.41,213.66,216.14
5507,2021-09-21,216.9,220.09,214.53,214.53
5506,2021-09-20,218.86,220.74,212.935,215.43
5505,2021-09-17,222.22,222.74,217.69,222.74
5504,2021-09-16,222.21,223.13,221.34,221.63
5503,2021-09-15,222.94,223.06,220.74,221.19
5502,2021-09-14,224.87,224.87,221.22,222.19
5501,2021-09-13,225.44,225.51,222.105,224.22
5500,2021-09-10,225.1,227.88,223.87,224.6
5499,2021-09-09,227.02,227.02,223.81,223.81
